Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1999-07-29,19.125,19.875,18.75,18.75,12.181446,4780800,679702500.0,-0.375,-1.9607843137254901
1999-07-30,19.0,19.1875,18.625,19.1875,12.465678,1036200,675260000.0,0.1875,0.9868421052631579
1999-08-02,19.0,19.0,18.75,18.75,12.181446,168800,675260000.0,-0.25,-1.3157894736842104
1999-08-03,18.75,18.8125,18.25,18.75,12.181446,246200,666375000.0,0.0,0.0
1999-08-04,18.75,18.75,18.125,18.625,12.100234,178200,666375000.0,-0.125,-0.6666666666666667
1999-08-05,18.625,18.625,17.875,18.125,11.775397,67700,661932500.0,-0.5,-2.684563758389262
1999-08-06,18.125,18.1875,17.375,17.5,11.36935,103900,644162500.0,-0.625,-3.4482758620689653
1999-08-09,17.4375,17.5625,17.1875,17.375,11.288146,75800,619728750.0,-0.0625,-0.35842293906810035
1999-08-10,17.25,17.25,16.75,17.0,11.044515,81500,613065000.0,-0.25,-1.4492753623188406
1999-08-11,17.0,17.4375,17.0,17.4375,11.328741,18700,604180000.0,0.4375,2.5735294117647056
1999-08-12,18.25,18.25,17.625,17.75,11.531769,63400,648605000.0,-0.5,-2.73972602739726
1999-08-13,17.875,17.9375,17.1875,17.1875,11.166321,62700,635277500.0,-0.6875,-3.8461538461538463
1999-08-16,17.0,17.0,16.25,16.4375,10.67907,72600,604180000.0,-0.5625,-3.308823529411765
1999-08-17,16.4375,16.875,16.375,16.625,10.800883,37400,584188750.0,0.1875,1.1406844106463878
1999-08-18,16.625,16.6875,16.375,16.375,10.638465,36800,590852500.0,-0.25,-1.5037593984962405
1999-08-19,16.375,16.625,16.375,16.5,10.719675,32600,581967500.0,0.125,0.7633587786259541
1999-08-20,16.4375,17.1875,16.4375,17.0,11.044515,136100,584188750.0,0.5625,3.4220532319391634
1999-08-23,17.875,17.9375,17.25,17.375,11.288146,193800,635277500.0,-0.5,-2.797202797202797
1999-08-24,17.125,17.4375,16.875,17.0625,11.085113,126600,608622500.0,-0.0625,-0.36496350364963503
1999-08-25,16.875,17.0,16.5,16.625,10.854956,125500,599737500.0,-0.25,-1.4814814814814816
1999-08-26,16.625,17.0,16.625,17.0,11.099809,32700,590852500.0,0.375,2.2556390977443606
1999-08-27,17.25,17.5,17.125,17.4375,11.385464,34300,613065000.0,0.1875,1.0869565217391304
1999-08-30,17.4375,18.375,17.25,18.0625,11.793543,136000,619728750.0,0.625,3.584229390681003
1999-08-31,17.9375,19.25,17.75,19.0,12.405663,309100,637498750.0,1.0625,5.923344947735192
1999-09-01,19.0625,19.0625,18.25,18.375,11.997586,49100,677481250.0,-0.6875,-3.606557377049181
1999-09-02,18.375,18.375,17.75,18.375,11.997586,50900,653047500.0,0.0,0.0
1999-09-03,18.4375,18.5625,18.1875,18.3125,11.956776,52300,655268750.0,-0.125,-0.6779661016949152
1999-09-07,18.0625,18.0625,17.8125,17.8125,11.630314,12700,641941250.0,-0.25,-1.384083044982699
1999-09-08,17.8125,17.8125,16.625,16.9375,11.059,54400,633056250.0,-0.875,-4.912280701754386
1999-09-09,16.8125,16.9375,16.625,16.75,10.936578,28100,597516250.0,-0.0625,-0.37174721189591076
1999-09-10,16.875,16.875,16.25,16.25,10.610111,91800,599737500.0,-0.625,-3.7037037037037033
1999-09-13,16.375,17.0625,16.375,16.9375,11.059,33600,581967500.0,0.5625,3.435114503816794
1999-09-14,17.0625,17.125,16.375,16.5,10.773344,18500,606401250.0,-0.5625,-3.296703296703297
1999-09-15,16.5,17.0,16.3125,17.0,11.099809,69500,586410000.0,0.5,3.0303030303030303
1999-09-16,17.25,17.25,16.8125,16.8125,10.977384,84500,613065000.0,-0.4375,-2.536231884057971
1999-09-17,17.0,17.125,16.875,17.125,11.181423,22500,604180000.0,0.125,0.7352941176470588
1999-09-20,17.0625,17.0625,16.8125,16.9375,11.059,18200,606401250.0,-0.125,-0.7326007326007326
1999-09-21,16.75,16.8125,16.5,16.5,10.773344,23800,595295000.0,-0.25,-1.4925373134328357
1999-09-22,16.5,16.8125,16.5,16.75,10.936578,19600,586410000.0,0.25,1.5151515151515151
1999-09-23,16.75,16.75,15.375,15.375,10.038797,55700,595295000.0,-1.375,-8.208955223880597
