Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1994-04-04,24.0,24.0,24.0,24.0,23.450825,167,5718240000.0,0.0,0.0
1994-04-05,33.0,36.0,33.0,36.0,35.176235,167,7862580000.0,3.0,9.090909090909092
1994-04-06,36.0,36.0,36.0,36.0,35.176235,0,8577360000.0,0.0,0.0
1994-04-07,36.0,36.0,36.0,36.0,35.176235,0,8577360000.0,0.0,0.0
1994-04-08,36.0,36.0,36.0,36.0,35.176235,0,8577360000.0,0.0,0.0
1994-04-11,36.0,36.0,36.0,36.0,35.176235,0,8577360000.0,0.0,0.0
1994-04-12,36.0,36.0,36.0,36.0,35.176235,0,8577360000.0,0.0,0.0
1994-04-13,36.0,36.0,36.0,36.0,35.176235,0,8577360000.0,0.0,0.0
1994-04-14,36.0,36.0,36.0,36.0,35.176235,0,8577360000.0,0.0,0.0
1994-04-15,36.0,36.0,36.0,36.0,35.176235,0,8577360000.0,0.0,0.0
1994-04-18,36.0,36.0,36.0,36.0,35.176235,0,8577360000.0,0.0,0.0
1994-04-19,36.0,36.0,36.0,36.0,35.176235,0,8577360000.0,0.0,0.0
1994-04-20,36.0,36.0,36.0,36.0,35.176235,0,8577360000.0,0.0,0.0
1994-04-21,36.0,36.0,36.0,36.0,35.176235,0,8577360000.0,0.0,0.0
1994-04-22,36.0,36.0,36.0,36.0,35.176235,0,8577360000.0,0.0,0.0
1994-04-25,36.0,36.0,36.0,36.0,35.176235,0,8577360000.0,0.0,0.0
1994-04-26,24.0,24.0,24.0,24.0,23.450825,125,5718240000.0,0.0,0.0
1994-04-28,21.0,21.0,18.0,18.0,17.588118,292,5003460000.0,-3.0,-14.285714285714285
1994-04-29,18.0,18.0,18.0,18.0,17.588118,0,4288680000.0,0.0,0.0
1994-05-02,18.0,18.0,18.0,18.0,17.588118,0,4288680000.0,0.0,0.0
1994-05-03,18.0,18.0,18.0,18.0,17.588118,0,4288680000.0,0.0,0.0
1994-05-04,18.0,18.0,18.0,18.0,17.588118,0,4288680000.0,0.0,0.0
1994-05-05,27.0,27.0,27.0,27.0,26.382179,417,6433020000.0,0.0,0.0
1994-05-06,27.0,27.0,27.0,27.0,26.382179,0,6433020000.0,0.0,0.0
1994-05-09,18.0,18.0,15.0,15.0,14.656765,142,4288680000.0,-3.0,-16.666666666666664
1994-05-10,15.0,15.0,15.0,15.0,14.656765,0,3573900000.0,0.0,0.0
1994-05-11,15.0,15.0,15.0,15.0,14.656765,167,3573900000.0,0.0,0.0
1994-05-12,15.0,15.0,15.0,15.0,14.656765,0,3573900000.0,0.0,0.0
1994-05-13,15.0,15.0,15.0,15.0,14.656765,0,3573900000.0,0.0,0.0
1994-05-16,15.0,15.0,15.0,15.0,14.656765,0,3573900000.0,0.0,0.0
1994-05-17,15.0,15.0,15.0,15.0,14.656765,0,3573900000.0,0.0,0.0
1994-05-18,12.0,12.0,9.0,9.0,8.794059,150,2859120000.0,-3.0,-25.0
1994-05-19,9.0,9.0,9.0,9.0,8.794059,0,2144340000.0,0.0,0.0
1994-05-20,9.0,9.0,9.0,9.0,8.794059,0,2144340000.0,0.0,0.0
1994-05-23,9.0,9.0,9.0,9.0,8.794059,0,2144340000.0,0.0,0.0
1994-05-24,9.0,9.0,9.0,9.0,8.794059,0,2144340000.0,0.0,0.0
1994-05-25,18.0,18.0,18.0,18.0,17.588118,250,4288680000.0,0.0,0.0
1994-05-26,18.0,21.0,18.0,21.0,20.51947,417,4288680000.0,3.0,16.666666666666664
1994-05-27,21.0,21.0,21.0,21.0,20.51947,0,5003460000.0,0.0,0.0
1994-05-31,21.0,21.0,21.0,21.0,20.51947,0,5003460000.0,0.0,0.0
1994-06-01,18.0,18.0,12.0,12.0,11.725412,225,4288680000.0,-6.0,-33.33333333333333
1994-06-02,12.0,12.0,12.0,12.0,11.725412,0,2859120000.0,0.0,0.0
1994-06-03,12.0,12.0,12.0,12.0,11.725412,0,2859120000.0,0.0,0.0
1994-06-06,12.0,12.0,12.0,12.0,11.725412,0,2859120000.0,0.0,0.0
1994-06-07,12.0,12.0,12.0,12.0,11.725412,0,2859120000.0,0.0,0.0
1994-06-08,12.0,12.0,12.0,12.0,11.725412,0,2859120000.0,0.0,0.0
1994-06-09,12.0,12.0,12.0,12.0,11.725412,0,2859120000.0,0.0,0.0
1994-06-10,12.0,12.0,12.0,12.0,11.725412,0,2859120000.0,0.0,0.0
1994-06-13,12.0,12.0,12.0,12.0,11.725412,0,2859120000.0,0.0,0.0
1994-06-14,12.0,12.0,12.0,12.0,11.725412,0,2859120000.0,0.0,0.0
1994-06-15,12.0,12.0,12.0,12.0,11.725412,0,2859120000.0,0.0,0.0
1994-06-16,12.0,12.0,12.0,12.0,11.725412,0,2859120000.0,0.0,0.0
1994-06-17,12.0,12.0,12.0,12.0,11.725412,0,2859120000.0,0.0,0.0
