Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1988-05-02,0.0,3.0,2.75,2.75,2.582772,800,0.0,2.75,inf
1988-05-03,0.0,3.125,2.75,2.75,2.582772,400,0.0,2.75,inf
1988-05-04,0.0,3.125,2.75,2.75,2.582772,2800,0.0,2.75,inf
1988-05-05,2.75,2.75,2.75,2.75,2.582772,0,939345000.0,0.0,0.0
1988-05-06,0.0,3.125,2.75,2.75,2.582772,800,0.0,2.75,inf
1988-05-09,0.0,3.125,2.75,2.75,2.582772,400,0.0,2.75,inf
1988-05-10,0.0,3.125,2.75,2.75,2.582772,0,0.0,2.75,inf
1988-05-11,0.0,3.125,2.75,2.75,2.582772,2000,0.0,2.75,inf
1988-05-12,0.0,3.0,2.75,2.75,2.582772,0,0.0,2.75,inf
1988-05-13,2.75,2.75,2.75,2.75,2.582772,0,939345000.0,0.0,0.0
1988-05-16,0.0,3.0,2.75,2.75,2.582772,0,0.0,2.75,inf
1988-05-17,2.75,2.75,2.75,2.75,2.582772,0,939345000.0,0.0,0.0
1988-05-18,0.0,3.0,2.75,2.75,2.582772,7200,0.0,2.75,inf
1988-05-19,0.0,2.875,2.625,2.625,2.465373,2400,0.0,2.625,inf
1988-05-20,0.0,2.875,2.625,2.625,2.465373,1600,0.0,2.625,inf
1988-05-23,2.625,2.625,2.625,2.625,2.465373,0,896647500.0,0.0,0.0
1988-05-24,2.625,2.625,2.625,2.625,2.465373,0,896647500.0,0.0,0.0
1988-05-25,0.0,2.875,2.6875,2.6875,2.524072,800,0.0,2.6875,inf
1988-05-26,2.6875,2.6875,2.6875,2.6875,2.524072,0,917996250.0,0.0,0.0
1988-05-27,0.0,2.9375,2.75,2.75,2.582772,8000,0.0,2.75,inf
1988-05-31,2.75,2.75,2.75,2.75,2.582772,0,939345000.0,0.0,0.0
1988-06-01,0.0,2.9375,2.75,2.75,2.582772,400,0.0,2.75,inf
