Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2008-08-13,16.0,16.6,16.0,16.6,16.6,245000,267360000.0,0.6000000000000014,3.750000000000009
2008-08-14,16.6,16.75,16.299999,16.450001,16.450001,811200,277386000.0,-0.1499990000000011,-0.9036084337349464
2008-08-15,16.35,16.35,16.15,16.35,16.35,533500,273208500.0,0.0,0.0
2008-08-18,16.35,16.35,16.25,16.25,16.25,191200,273208500.0,-0.10000000000000142,-0.6116207951070424
2008-08-19,16.25,16.25,16.25,16.25,16.25,0,271537500.0,0.0,0.0
2008-08-20,16.0,16.35,15.5,16.200001,16.200001,1558100,267360000.0,0.20000100000000032,1.250006250000002
2008-08-21,16.0,16.0,16.0,16.0,16.0,51300,267360000.0,0.0,0.0
2008-08-22,16.0,16.0,16.0,16.0,16.0,12000,267360000.0,0.0,0.0
2008-08-25,16.0,16.0,16.0,16.0,16.0,0,267360000.0,0.0,0.0
2008-08-26,16.0,16.0,16.0,16.0,16.0,0,267360000.0,0.0,0.0
2008-08-27,16.0,16.0,16.0,16.0,16.0,0,267360000.0,0.0,0.0
2008-08-28,15.75,16.0,15.75,15.75,15.75,296500,263182500.0,0.0,0.0
2008-08-29,15.9,15.9,15.9,15.9,15.9,2000,265689000.0,0.0,0.0
2008-09-02,16.1,16.25,16.1,16.23,16.23,4200,269031000.0,0.129999999999999,0.8074534161490621
2008-09-03,15.0,16.0,15.0,16.0,16.0,397600,250650000.0,1.0,6.666666666666667
2008-09-04,16.0,16.0,16.0,16.0,16.0,2800,267360000.0,0.0,0.0
2008-09-05,16.0,16.0,15.5,16.0,16.0,24400,267360000.0,0.0,0.0
2008-09-08,16.0,16.0,16.0,16.0,16.0,49400,267360000.0,0.0,0.0
2008-09-09,16.0,18.0,13.89,15.72,15.72,246400,267360000.0,-0.27999999999999936,-1.749999999999996
2008-09-10,15.0,15.0,14.0,14.5,14.5,166500,250650000.0,-0.5,-3.3333333333333335
2008-09-11,14.28,14.5,14.0,14.5,14.5,68600,238618800.0,0.22000000000000064,1.540616246498604
