Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1992-11-19,15.0,15.0,15.0,15.0,3.232257,22800,174000000.0,0.0,0.0
1992-11-20,15.125,15.125,15.0,15.0,3.232257,4100,175450000.0,-0.125,-0.8264462809917356
1992-11-23,15.125,15.125,15.0,15.0,3.232257,6500,175450000.0,-0.125,-0.8264462809917356
1992-11-24,15.125,15.125,15.0,15.0,3.232257,2900,175450000.0,-0.125,-0.8264462809917356
1992-11-25,15.0,15.0,15.0,15.0,3.232257,0,174000000.0,0.0,0.0
1992-11-27,15.0,15.0,15.0,15.0,3.232257,0,174000000.0,0.0,0.0
1992-11-30,15.0,15.125,15.0,15.0,3.232257,2100,174000000.0,0.0,0.0
1992-12-01,15.125,15.125,15.0,15.0,3.232257,21200,175450000.0,-0.125,-0.8264462809917356
1992-12-02,15.0,15.0,15.0,15.0,3.232257,500,174000000.0,0.0,0.0
1992-12-03,15.0,15.0,15.0,15.0,3.232257,0,174000000.0,0.0,0.0
1992-12-04,15.125,15.125,15.0,15.0,3.232257,10900,175450000.0,-0.125,-0.8264462809917356
1992-12-07,15.125,15.125,15.0,15.125,3.25919,8100,175450000.0,0.0,0.0
1992-12-08,15.0,15.125,15.0,15.0,3.232257,4700,174000000.0,0.0,0.0
1992-12-09,15.125,15.125,15.0,15.0,3.232257,7400,175450000.0,-0.125,-0.8264462809917356
1992-12-10,15.125,15.125,15.0,15.0,3.232257,4300,175450000.0,-0.125,-0.8264462809917356
1992-12-11,15.0,15.0,15.0,15.0,3.232257,100,174000000.0,0.0,0.0
1992-12-14,15.125,15.125,15.125,15.125,3.25919,7900,175450000.0,0.0,0.0
1992-12-15,15.0,15.125,15.0,15.0,3.232257,4700,174000000.0,0.0,0.0
1992-12-16,15.0,15.0,15.0,15.0,3.232257,4500,174000000.0,0.0,0.0
1992-12-17,15.125,15.375,15.125,15.25,3.286125,4600,175450000.0,0.125,0.8264462809917356
1992-12-18,15.125,15.125,15.125,15.125,3.25919,2000,175450000.0,0.0,0.0
1992-12-21,15.125,15.5,15.125,15.375,3.313065,9500,175450000.0,0.25,1.6528925619834711
1992-12-22,15.5,15.5,15.125,15.125,3.25919,4600,179800000.0,-0.375,-2.4193548387096775
1992-12-23,15.25,15.375,15.25,15.375,3.313065,1500,176900000.0,0.125,0.819672131147541
1992-12-24,15.125,15.5,15.125,15.5,3.339998,9400,175450000.0,0.375,2.479338842975207
1992-12-28,15.375,15.375,15.125,15.125,3.25919,4700,178350000.0,-0.25,-1.6260162601626018
1992-12-29,15.25,15.25,15.25,15.25,3.286125,1900,176900000.0,0.0,0.0
1992-12-30,15.25,15.375,15.25,15.375,3.313065,7100,176900000.0,0.125,0.819672131147541
1992-12-31,15.375,15.375,15.25,15.25,3.286125,3100,178350000.0,-0.125,-0.8130081300813009
1993-01-04,15.25,15.25,15.125,15.125,3.25919,6700,176900000.0,-0.125,-0.819672131147541
1993-01-05,15.125,15.125,15.125,15.125,3.25919,0,175450000.0,0.0,0.0
1993-01-06,15.125,15.5,15.125,15.375,3.313065,8400,175450000.0,0.25,1.6528925619834711
1993-01-07,15.375,15.375,15.25,15.375,3.313065,3500,178350000.0,0.0,0.0
1993-01-08,15.375,15.375,15.375,15.375,3.313065,4100,178350000.0,0.0,0.0
1993-01-11,15.375,15.375,15.375,15.375,3.313065,1000,178350000.0,0.0,0.0
1993-01-12,15.375,15.5,15.375,15.5,3.339998,20200,178350000.0,0.125,0.8130081300813009
1993-01-13,15.25,15.5,15.25,15.5,3.339998,2500,176900000.0,0.25,1.639344262295082
1993-01-14,15.5,15.5,15.25,15.25,3.286125,6500,179800000.0,-0.25,-1.6129032258064515
1993-01-15,15.25,15.25,15.125,15.125,3.25919,6700,176900000.0,-0.125,-0.819672131147541
1993-01-18,15.125,15.125,15.0,15.0,3.232257,3200,175450000.0,-0.125,-0.8264462809917356
1993-01-19,15.0,15.0,14.875,15.0,3.232257,5000,174000000.0,0.0,0.0
1993-01-20,15.125,15.125,15.125,15.125,3.25919,2100,175450000.0,0.0,0.0
1993-01-21,15.125,15.125,15.125,15.125,3.25919,1500,175450000.0,0.0,0.0
