Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2014-07-01,48.0,51.040001,48.0,48.400002,48.400002,365775,335520000.0,0.40000200000000063,0.8333375000000013
2014-07-02,48.799999,49.200001,48.0,48.0,48.0,43638,341111993.01,-0.7999989999999997,-1.6393422467078322
2014-07-03,48.240002,49.759998,48.0,49.040001,49.040001,15000,337197613.97999996,0.7999989999999997,1.6583726509795744
2014-07-07,49.919998,49.919998,46.0,47.200001,47.200001,40650,348940786.02,-2.7199969999999993,-5.448712157400325
2014-07-08,46.400002,48.639999,46.400002,47.759998,47.759998,24450,324336013.98,1.3599960000000024,2.9310257357316543
2014-07-09,47.439999,48.48,47.439999,47.439999,47.439999,5388,331605593.01,0.0,0.0
2014-07-10,46.799999,60.32,46.400002,53.439999,53.439999,93413,327131993.01,6.640000000000001,14.188034491197318
2014-07-11,56.799999,57.040001,51.279999,52.880001,52.880001,34550,397031993.01,-3.9199979999999996,-6.901405051081075
2014-07-14,52.880001,56.0,50.880001,54.400002,54.400002,13425,369631206.99,1.5200010000000006,2.874434514477412
2014-07-15,54.400002,54.400002,46.0,46.799999,46.799999,66600,380256013.98,-7.600003000000001,-13.970593236375251
2014-07-16,47.200001,48.720001,44.560001,48.720001,48.720001,24925,329928006.99,1.5200000000000031,3.220338914823335
2014-07-17,48.0,51.200001,46.400002,50.799999,50.799999,17013,335520000.0,2.7999989999999997,5.833331249999999
2014-07-18,50.799999,51.200001,48.888,51.200001,51.200001,12125,355091993.01,0.40000200000000063,0.7874055273111337
2014-07-21,51.200001,51.200001,48.880001,50.639999,50.639999,7038,357888006.99,-0.5600019999999972,-1.093753884887614
2014-07-22,50.560001,50.560001,48.400002,49.200001,49.200001,10663,353414406.99,-1.3599999999999994,-2.6898733645199084
2014-07-23,50.080002,50.400002,48.400002,48.799999,48.799999,5250,350059213.98,-1.2800030000000007,-2.5559164314729874
2014-07-24,48.799999,53.599998,48.400002,52.48,52.48,24638,341111993.01,3.680000999999997,7.540985810266097
2014-07-25,50.240002,54.799999,50.240002,54.240002,54.240002,35425,351177613.97999996,4.0,7.9617831225404805
2014-07-28,55.919998,63.119999,54.560001,60.240002,60.240002,71338,390880786.02,4.320003999999997,7.725329317787166
2014-07-29,63.200001,63.200001,57.200001,57.52,57.52,12713,441768006.99,-5.680000999999997,-8.987343212225579
2014-07-30,56.240002,56.784,52.080002,52.240002,52.240002,16775,393117613.97999996,-4.0,-7.112375280498746
2014-07-31,52.0,54.799999,48.799999,50.48,50.48,10363,363480000.0,-1.5200000000000031,-2.923076923076929
2014-08-01,50.48,50.48,49.200001,50.080002,50.080002,9863,352855200.0,-0.3999979999999965,-0.7923890649762214
2014-08-04,53.919998,53.919998,50.400002,53.040001,53.040001,6163,376900786.02,-0.879997000000003,-1.6320419744822747
2014-08-05,51.599998,54.400002,49.759998,49.919998,49.919998,4088,360683986.02,-1.6799999999999997,-3.255814079682716
2014-08-06,49.200001,54.639999,49.200001,54.560001,54.560001,11000,343908006.99,5.359999999999999,10.89430872166039
2014-08-07,54.799999,56.0,52.911999,56.0,56.0,15575,383051993.01,1.2000010000000003,2.189782886674871
2014-08-08,50.080002,54.776001,50.080002,52.080002,52.080002,5000,350059213.98,2.0,3.9936100641529526
2014-08-11,52.400002,55.279999,52.080002,52.32,52.32,4563,366276013.98,-0.08000200000000035,-0.15267556669177293
2014-08-12,54.16,56.799999,52.959999,55.799999,55.799999,11250,378578400.0,1.639999000000003,3.0280631462333885
2014-08-13,56.799999,56.799999,54.528,54.880001,54.880001,775,397031993.01,-1.9199979999999996,-3.3802782285260244
2014-08-14,55.919998,59.360001,55.200001,55.919998,55.919998,11675,390880786.02,0.0,0.0
2014-08-15,58.639999,58.720001,54.911999,58.32,58.32,7825,409893593.01000005,-0.3199990000000028,-0.5457008960726667
2014-08-18,57.200001,58.400002,55.68,55.759998,55.759998,2363,399828006.99,-1.4400029999999973,-2.5174877182257345
