Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1980-03-17,0.0,17.375,16.5,16.5,2.245024,262200,0.0,16.5,inf
1980-03-18,0.0,17.75,16.5,17.5625,2.38959,269600,0.0,17.5625,inf
1980-03-19,0.0,18.125,17.5,18.125,2.466125,127200,0.0,18.125,inf
1980-03-20,0.0,18.625,18.1875,18.1875,2.474629,93200,0.0,18.1875,inf
1980-03-21,0.0,18.375,18.0,18.0,2.449117,108000,0.0,18.0,inf
1980-03-24,0.0,18.0,17.1875,17.25,2.347071,232200,0.0,17.25,inf
1980-03-25,0.0,17.625,17.25,17.375,2.364078,139600,0.0,17.375,inf
1980-03-26,0.0,18.0625,17.5,17.5,2.381086,162400,0.0,17.5,inf
1980-03-27,0.0,17.125,16.5,17.0,2.313055,280000,0.0,17.0,inf
1980-03-28,0.0,18.375,17.125,17.875,2.43211,104400,0.0,17.875,inf
1980-03-31,0.0,18.4375,17.875,18.25,2.483133,116000,0.0,18.25,inf
1980-04-01,0.0,18.875,18.0,18.5625,2.525654,168400,0.0,18.5625,inf
1980-04-02,0.0,19.0625,18.5,19.0,2.585179,107000,0.0,19.0,inf
1980-04-03,0.0,19.0625,18.75,18.8125,2.559669,65600,0.0,18.8125,inf
1980-04-07,0.0,18.625,17.375,17.375,2.364078,86400,0.0,17.375,inf
1980-04-08,0.0,18.5,17.125,18.5,2.51715,109600,0.0,18.5,inf
1980-04-09,0.0,18.9375,18.5,18.8125,2.559669,80800,0.0,18.8125,inf
1980-04-10,0.0,19.0625,18.625,19.0625,2.593683,151600,0.0,19.0625,inf
1980-04-11,0.0,19.25,19.0,19.125,2.602186,161600,0.0,19.125,inf
1980-04-14,0.0,19.0,18.6875,18.875,2.568172,163200,0.0,18.875,inf
1980-04-15,0.0,19.875,18.9375,19.75,2.687225,158000,0.0,19.75,inf
1980-04-16,0.0,20.25,19.25,19.5,2.653211,298200,0.0,19.5,inf
1980-04-17,0.0,19.375,18.5625,18.8125,2.559669,126600,0.0,18.8125,inf
1980-04-18,0.0,18.875,18.5,18.5,2.51715,144000,0.0,18.5,inf
1980-04-21,0.0,18.375,17.5,18.0,2.449117,237400,0.0,18.0,inf
1980-04-22,0.0,19.3125,18.3125,19.125,2.602186,356000,0.0,19.125,inf
1980-04-23,0.0,20.1875,19.5,19.8125,2.69573,267200,0.0,19.8125,inf
1980-04-24,0.0,20.75,19.75,20.5,2.789274,292400,0.0,20.5,inf
1980-04-25,0.0,20.625,19.875,20.5,2.789274,203400,0.0,20.5,inf
1980-04-28,0.0,20.625,20.25,20.5,2.789274,117600,0.0,20.5,inf
1980-04-29,0.0,20.375,20.125,20.125,2.73825,163400,0.0,20.125,inf
1980-04-30,0.0,20.25,19.75,20.1875,2.746752,110400,0.0,20.1875,inf
1980-05-01,0.0,20.4375,20.125,20.25,2.755257,191000,0.0,20.25,inf
1980-05-02,0.0,20.5,20.125,20.1875,2.746752,257600,0.0,20.1875,inf
1980-05-05,0.0,20.6875,20.0625,20.6875,2.814784,68400,0.0,20.6875,inf
1980-05-06,0.0,21.1875,20.5625,20.6875,2.814784,223800,0.0,20.6875,inf
1980-05-07,0.0,20.6875,20.3125,20.5,2.789274,123400,0.0,20.5,inf
1980-05-08,0.0,20.5,20.0625,20.3125,2.763761,205000,0.0,20.3125,inf
1980-05-09,0.0,20.25,19.6875,19.8125,2.69573,102800,0.0,19.8125,inf
1980-05-12,0.0,19.8125,19.375,19.8125,2.69573,128600,0.0,19.8125,inf
1980-05-13,0.0,20.0,19.6875,20.0,2.721241,83000,0.0,20.0,inf
1980-05-14,0.0,20.4375,20.0625,20.25,2.755257,136400,0.0,20.25,inf
1980-05-15,0.0,21.0,20.25,21.0,2.857304,310800,0.0,21.0,inf
1980-05-16,0.0,20.875,20.5625,20.6875,2.814784,85800,0.0,20.6875,inf
1980-05-19,0.0,20.9375,20.625,20.8125,2.831791,77400,0.0,20.8125,inf
1980-05-20,0.0,21.0,20.625,21.0,2.857304,113000,0.0,21.0,inf
1980-05-21,0.0,21.0,20.8125,21.0,2.857304,83200,0.0,21.0,inf
1980-05-22,0.0,21.375,20.875,21.125,2.874312,183200,0.0,21.125,inf
1980-05-23,0.0,22.125,21.125,21.9375,2.984862,299600,0.0,21.9375,inf
1980-05-27,0.0,22.5,22.0,22.375,3.044389,109000,0.0,22.375,inf
1980-05-28,0.0,22.5625,21.9375,22.5625,3.069899,209400,0.0,22.5625,inf
1980-05-29,0.0,23.0,22.0,22.0,2.993367,202400,0.0,22.0,inf
