Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2014-10-08,15.25,15.25,14.5,15.0,9.845736,2800,88297500.0,-0.25,-1.639344262295082
2014-10-09,15.05,15.2,14.9,15.2,9.977018,8300,87139500.0,0.14999999999999858,0.9966777408637779
2014-10-10,15.05,15.05,15.01,15.03,9.865436,4000,87139500.0,-0.02000000000000135,-0.13289036544851396
2014-10-13,15.24,15.33,15.05,15.214,9.986207,14000,88239600.0,-0.0259999999999998,-0.17060367454068112
2014-10-14,14.91,15.15,14.91,15.02,9.858874,13300,86328900.0,0.10999999999999943,0.7377598926894663
2014-10-15,15.054,15.22,15.054,15.22,9.990142,600,87162660.0,0.16600000000000037,1.1026969576192398
2014-10-16,15.15,15.173,15.02,15.17,9.957325,11200,87718500.0,0.019999999999999574,0.1320132013201292
2014-10-17,15.2,15.2,15.0,15.0,9.845736,2500,88008000.0,-0.1999999999999993,-1.315789473684206
2014-10-20,14.8,14.9,14.75,14.76,9.688208,10800,85692000.0,-0.040000000000000924,-0.2702702702702765
2014-10-21,14.76,14.801,14.65,14.76,9.688208,30300,85460400.0,0.0,0.0
2014-10-22,14.7,14.7,14.27,14.573,9.565465,41100,85113000.0,-0.1269999999999989,-0.863945578231285
2014-10-23,14.51,14.51,14.31,14.37,9.432221,31400,84012900.0,-0.14000000000000057,-0.9648518263266752
2014-10-24,14.549,14.549,14.4,14.4,9.451905,7700,84238710.0,-0.14899999999999913,-1.0241253694411927
2014-10-27,14.69,14.69,14.4,14.56,9.55693,3300,85055100.0,-0.129999999999999,-0.8849557522123827
2014-10-28,14.75,15.02,14.699,14.86,9.753848,42100,85402500.0,0.10999999999999943,0.7457627118644029
2014-10-29,14.89,15.1,14.62,14.78,9.701337,50800,86213100.0,-0.11000000000000121,-0.7387508394895984
2014-10-30,14.64,14.757,14.64,14.746,9.67902,4900,84765600.0,0.10599999999999987,0.7240437158469937
2014-10-31,14.592,14.8,14.5,14.63,9.60288,9400,84487680.0,0.038000000000000256,0.2604166666666684
2014-11-03,14.644,14.92,14.644,14.73,9.668515,14500,84788760.0,0.0860000000000003,0.5872712373668417
2014-11-04,14.72,14.893,14.68,14.72,9.661953,22600,85228800.0,0.0,0.0
2014-11-05,14.72,15.04,14.62,14.85,9.747279,24100,85228800.0,0.129999999999999,0.8831521739130367
2014-11-06,14.53,15.5,14.53,15.47,10.154243,47300,84128700.0,0.9400000000000013,6.4693737095664225
2014-11-07,15.15,15.35,15.15,15.3,10.042655,11700,87718500.0,0.15000000000000036,0.9900990099009923
2014-11-10,15.32,15.33,15.24,15.33,10.062346,4500,88702800.0,0.009999999999999787,0.06527415143602994
2014-11-11,15.232,15.29,15.201,15.201,9.977674,7900,88193280.0,-0.030999999999998806,-0.20351890756301738
2014-11-12,15.23,15.3,15.0,15.04,9.917009,6500,88181700.0,-0.19000000000000128,-1.2475377544320505
2014-11-13,15.09,15.1,15.0,15.03,9.910419,6800,87371100.0,-0.0600000000000005,-0.3976143141153115
2014-11-14,15.08,15.1,14.91,15.1,9.956577,2900,87313200.0,0.019999999999999574,0.1326259946949574
2014-11-17,15.1,15.1,15.1,15.1,9.956577,0,87429000.0,0.0,0.0
2014-11-18,14.91,15.1,14.796,14.94,9.851074,16400,86328900.0,0.02999999999999936,0.2012072434607603
2014-11-19,15.08,15.08,14.803,14.85,9.791726,5400,87313200.0,-0.23000000000000043,-1.5251989389920453
2014-11-20,14.95,15.33,14.367,14.45,9.527977,33700,86560500.0,-0.5,-3.3444816053511706
2014-11-21,14.57,14.66,14.48,14.563,9.602485,11900,84360300.0,-0.006999999999999673,-0.04804392587508355
2014-11-24,14.66,14.66,14.567,14.652,9.661171,2200,84881400.0,-0.008000000000000895,-0.05457025920873735
2014-11-25,14.65,14.739,14.61,14.724,9.708644,6600,84823500.0,0.07399999999999984,0.5051194539249136
2014-11-26,14.72,14.86,14.72,14.86,9.798325,4300,85228800.0,0.1399999999999988,0.9510869565217308
2014-11-28,14.87,14.889,14.87,14.889,9.817445,300,86097300.0,0.019000000000000128,0.12777404169468817
2014-12-01,14.93,14.93,14.79,14.79,9.752161,5600,86444700.0,-0.14000000000000057,-0.9377093101138686
2014-12-02,14.79,14.91,14.76,14.91,9.831289,11400,85634100.0,0.120000000000001,0.8113590263691751
2014-12-03,15.04,15.06,15.04,15.06,9.930198,5600,87081600.0,0.02000000000000135,0.13297872340426428
2014-12-04,15.041,15.041,14.87,14.948,9.856349,5200,87087390.0,-0.09299999999999997,-0.6183099527956916
2014-12-05,15.023,15.024,14.72,14.88,9.81151,7300,86983170.0,-0.1429999999999989,-0.9518737935166006
2014-12-08,14.933,14.96,14.83,14.834,9.781179,11100,86462070.0,-0.0990000000000002,-0.6629612268130999
2014-12-09,14.93,15.09,14.898,15.03,9.910419,11700,86444700.0,0.09999999999999964,0.6697923643670439
2014-12-10,15.059,15.06,14.91,14.93,9.84448,2500,87191610.0,-0.12899999999999956,-0.8566305863603132
2014-12-11,14.851,14.93,14.741,14.93,9.890192,5600,85987290.0,0.07899999999999885,0.531950710389865
2014-12-12,14.909,14.909,14.74,14.89,9.86369,2100,86323110.0,-0.019000000000000128,-0.1274398014622049
2014-12-15,14.93,14.93,14.7,14.77,9.784198,13400,86444700.0,-0.16000000000000014,-1.071667782987275
