Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1993-06-11,3.75,4.0,3.5,3.625,3.625,47500,10275000.0,-0.125,-3.3333333333333335
1993-06-14,4.0625,4.0625,4.0,4.0,4.0,16700,11131250.0,-0.0625,-1.5384615384615385
1993-06-15,4.0,4.0,4.0,4.0,4.0,22100,10960000.0,0.0,0.0
1993-06-16,4.25,4.25,4.0,4.0625,4.0625,3900,11645000.0,-0.1875,-4.411764705882353
1993-06-17,4.125,4.125,4.0,4.125,4.125,1200,11302500.0,0.0,0.0
1993-06-18,4.25,4.25,3.625,4.0625,4.0625,1700,11645000.0,-0.1875,-4.411764705882353
1993-06-21,4.125,4.125,4.0,4.0,4.0,800,11302500.0,-0.125,-3.0303030303030303
1993-06-22,4.25,4.25,4.0625,4.25,4.25,1700,11645000.0,0.0,0.0
1993-06-23,4.25,4.25,3.75,3.75,3.75,7900,11645000.0,-0.5,-11.76470588235294
1993-06-24,4.0625,4.125,3.75,4.125,4.125,3400,11131250.0,0.0625,1.5384615384615385
1993-06-25,4.25,4.25,4.25,4.25,4.25,100,11645000.0,0.0,0.0
1993-06-28,4.0,4.25,3.8125,3.8125,3.8125,21500,10960000.0,-0.1875,-4.6875
1993-06-29,4.125,4.125,4.125,4.125,4.125,100,11302500.0,0.0,0.0
1993-06-30,4.125,4.125,4.125,4.125,4.125,0,11302500.0,0.0,0.0
1993-07-01,4.125,4.25,4.125,4.25,4.25,1500,11302500.0,0.125,3.0303030303030303
1993-07-02,4.25,4.25,4.25,4.25,4.25,0,11645000.0,0.0,0.0
1993-07-06,4.0,4.25,3.75,4.25,4.25,4300,10960000.0,0.25,6.25
1993-07-07,3.875,4.25,3.875,3.9375,3.9375,16200,10617500.0,0.0625,1.6129032258064515
1993-07-08,4.0625,4.0625,3.9375,3.9375,3.9375,1800,11131250.0,-0.125,-3.076923076923077
1993-07-09,4.0,4.25,3.9375,4.25,4.25,2000,10960000.0,0.25,6.25
1993-07-12,4.0625,4.25,4.03125,4.03125,4.03125,4000,11131250.0,-0.03125,-0.7692307692307693
1993-07-13,3.9375,4.25,3.875,4.25,4.25,5400,10788750.0,0.3125,7.936507936507936
1993-07-14,4.25,4.25,3.875,4.1875,4.1875,8300,11645000.0,-0.0625,-1.4705882352941175
1993-07-15,4.1875,4.25,3.875,4.25,4.25,6700,11473750.0,0.0625,1.4925373134328357
1993-07-16,3.875,4.1875,3.875,3.875,3.875,2000,10617500.0,0.0,0.0
1993-07-19,4.0,4.25,3.875,4.25,4.25,11200,10960000.0,0.25,6.25
1993-07-20,4.25,4.25,4.0,4.0625,4.0625,21800,11645000.0,-0.1875,-4.411764705882353
1993-07-21,4.25,4.75,4.03125,4.5,4.5,30000,11645000.0,0.25,5.88235294117647
1993-07-22,4.75,5.0,4.5,4.5,4.5,16700,13015000.0,-0.25,-5.263157894736842
1993-07-23,4.75,5.0,4.375,4.5625,4.5625,5000,13015000.0,-0.1875,-3.9473684210526314
1993-07-26,5.0,5.0,4.5,4.5,4.5,5600,13700000.0,-0.5,-10.0
1993-07-27,4.875,4.875,4.5,4.75,4.75,2900,13357500.0,-0.125,-2.564102564102564
