Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1991-12-11,10.75,10.75,10.5,10.5,10.290907,9408500,1663347500.0,-0.25,-2.3255813953488373
1991-12-12,10.5,10.625,10.5,10.5,10.290907,970700,1624665000.0,0.0,0.0
1991-12-13,10.625,10.75,10.375,10.75,10.53593,1528200,1644006250.0,0.125,1.1764705882352942
1991-12-16,10.75,10.75,9.875,10.125,9.923376,857700,1663347500.0,-0.625,-5.813953488372093
1991-12-17,10.25,10.25,9.75,10.0,9.800865,1596300,1585982500.0,-0.25,-2.4390243902439024
1991-12-18,10.0,10.5,9.875,10.25,10.045885,640700,1547300000.0,0.25,2.5
1991-12-19,10.375,10.375,10.0,10.125,9.923376,285800,1605323750.0,-0.25,-2.4096385542168677
1991-12-20,10.25,10.375,10.0,10.125,9.923376,452000,1585982500.0,-0.125,-1.2195121951219512
1991-12-23,10.125,10.625,10.125,10.5,10.290907,783300,1566641250.0,0.375,3.7037037037037033
1991-12-24,10.75,11.125,10.75,11.125,10.903461,1362800,1663347500.0,0.375,3.488372093023256
1991-12-26,11.125,11.75,11.0,11.75,11.516016,1172700,1721371250.0,0.625,5.617977528089887
1991-12-27,11.875,12.0,11.5,11.5,11.270993,766100,1837418750.0,-0.375,-3.1578947368421053
1991-12-30,11.5,12.0,11.5,11.75,11.516016,898500,1779395000.0,0.25,2.1739130434782608
1991-12-31,11.75,12.125,11.625,12.0,11.761038,788100,1818077500.0,0.25,2.127659574468085
1992-01-02,11.875,11.875,11.5,11.625,11.393505,546200,1837418750.0,-0.25,-2.1052631578947367
1992-01-03,11.625,12.25,11.625,12.0,11.761038,693300,1798736250.0,0.375,3.225806451612903
1992-01-06,12.0,12.5,11.625,12.375,12.12857,1023600,1856760000.0,0.375,3.125
1992-01-07,12.25,12.75,12.25,12.75,12.496101,864600,1895442500.0,0.5,4.081632653061225
1992-01-08,12.5,13.25,12.5,12.75,12.496101,941800,1934125000.0,0.25,2.0
1992-01-09,13.0,13.0,12.625,13.0,12.741122,448400,2011490000.0,0.0,0.0
1992-01-10,12.875,13.0,12.625,12.875,12.618613,516100,1992148750.0,0.0,0.0
1992-01-13,12.75,12.875,12.625,12.75,12.496101,273200,1972807500.0,0.0,0.0
1992-01-14,12.625,12.875,12.625,12.875,12.618613,468100,1953466250.0,0.25,1.9801980198019802
1992-01-15,12.875,13.625,12.75,13.375,13.108656,482500,1992148750.0,0.5,3.8834951456310676
1992-01-16,14.25,14.5,13.5,13.875,13.598699,910200,2204902500.0,-0.375,-2.631578947368421
1992-01-17,13.875,14.0,13.5,13.875,13.598699,475300,2146878750.0,0.0,0.0
1992-01-20,13.75,13.75,13.5,13.625,13.353678,184500,2127537500.0,-0.125,-0.9090909090909091
1992-01-21,13.5,13.625,12.5,13.125,12.863633,550400,2088855000.0,-0.375,-2.7777777777777777
1992-01-22,12.75,13.0,12.625,12.875,12.618613,250200,1972807500.0,0.125,0.9803921568627451
1992-01-23,13.0,13.125,12.875,13.0,12.741122,282500,2011490000.0,0.0,0.0
1992-01-24,13.0,13.0,12.625,12.625,12.37359,264800,2011490000.0,-0.375,-2.8846153846153846
1992-01-27,12.75,12.875,12.625,12.75,12.496101,466500,1972807500.0,0.0,0.0
1992-01-28,12.75,12.875,12.625,12.875,12.618613,291700,1972807500.0,0.125,0.9803921568627451
1992-01-29,12.875,13.5,12.375,12.375,12.12857,636900,1992148750.0,-0.5,-3.8834951456310676
1992-01-30,12.625,13.0,12.625,13.0,12.741122,271900,1953466250.0,0.375,2.9702970297029703
1992-01-31,12.875,13.0,12.5,12.75,12.496101,139100,1992148750.0,-0.125,-0.9708737864077669
1992-02-03,12.875,12.875,12.75,12.75,12.496101,109200,1992148750.0,-0.125,-0.9708737864077669
1992-02-04,12.75,13.625,12.75,13.125,12.863633,614700,1972807500.0,0.375,2.941176470588235
1992-02-05,13.25,13.375,12.75,13.375,13.108656,305000,2050172500.0,0.125,0.9433962264150944
1992-02-06,13.375,13.625,13.25,13.625,13.353678,494300,2069513750.0,0.25,1.8691588785046727
1992-02-07,13.625,13.75,13.25,13.375,13.108656,555100,2108196250.0,-0.25,-1.834862385321101
1992-02-10,13.5,13.625,13.125,13.25,12.986145,163300,2088855000.0,-0.25,-1.8518518518518516
1992-02-11,13.125,13.625,13.125,13.5,13.231167,163300,2030831250.0,0.375,2.857142857142857
1992-02-12,13.25,13.375,12.625,13.0,12.741122,218100,2050172500.0,-0.25,-1.8867924528301887
1992-02-13,12.875,13.25,12.875,13.125,12.863633,320900,1992148750.0,0.25,1.9417475728155338
1992-02-14,12.875,13.125,12.625,12.875,12.618613,165200,1992148750.0,0.0,0.0
1992-02-18,12.875,13.25,12.75,13.125,12.863633,210700,1992148750.0,0.25,1.9417475728155338
1992-02-19,13.0,13.125,12.75,13.125,12.863633,278800,2011490000.0,0.125,0.9615384615384616
1992-02-20,13.125,13.5,13.0,13.5,13.231167,421500,2030831250.0,0.375,2.857142857142857
1992-02-21,13.5,13.5,13.25,13.25,12.986145,66400,2088855000.0,-0.25,-1.8518518518518516
1992-02-24,13.375,13.375,12.875,12.875,12.618613,112900,2069513750.0,-0.5,-3.7383177570093453
1992-02-25,12.875,13.125,12.625,13.0,12.741122,117200,1992148750.0,0.125,0.9708737864077669
1992-02-26,13.0,13.0,12.875,12.875,12.618613,35900,2011490000.0,-0.125,-0.9615384615384616
1992-02-27,12.75,13.0,12.75,12.875,12.618613,98400,1972807500.0,0.125,0.9803921568627451
1992-02-28,12.875,13.125,12.75,13.125,12.863633,230900,1992148750.0,0.25,1.9417475728155338
1992-03-02,13.0,13.125,13.0,13.125,12.863633,246300,2011490000.0,0.125,0.9615384615384616
1992-03-03,13.25,13.375,13.125,13.25,12.986145,475600,2050172500.0,0.0,0.0
1992-03-04,13.25,13.25,12.875,12.875,12.618613,81200,2050172500.0,-0.375,-2.8301886792452833
1992-03-05,13.0,13.0,12.5,12.875,12.618613,121600,2011490000.0,-0.125,-0.9615384615384616
1992-03-06,12.75,12.75,12.375,12.375,12.12857,107300,1972807500.0,-0.375,-2.941176470588235
1992-03-09,12.5,12.625,12.25,12.625,12.37359,67100,1934125000.0,0.125,1.0
1992-03-10,12.875,12.875,12.625,12.625,12.37359,32000,1992148750.0,-0.25,-1.9417475728155338
1992-03-11,12.75,12.75,11.75,12.0,11.761038,170700,1972807500.0,-0.75,-5.88235294117647
1992-03-12,11.875,11.875,11.5,11.875,11.638526,169900,1837418750.0,0.0,0.0
1992-03-13,11.875,12.375,11.75,12.375,12.12857,105200,1837418750.0,0.5,4.2105263157894735
1992-03-16,12.375,12.375,11.875,12.0,11.761038,35300,1914783750.0,-0.375,-3.0303030303030303
1992-03-17,12.125,12.625,12.0,12.5,12.25108,172700,1876101250.0,0.375,3.0927835051546393
1992-03-18,12.5,12.625,12.5,12.625,12.37359,169400,1934125000.0,0.125,1.0
1992-03-19,12.75,12.875,12.625,12.75,12.496101,274900,1972807500.0,0.0,0.0
1992-03-20,13.125,13.25,13.0,13.125,12.863633,350400,2030831250.0,0.0,0.0
1992-03-23,13.125,13.5,13.125,13.25,12.986145,267100,2030831250.0,0.125,0.9523809523809524
1992-03-24,13.25,13.375,13.125,13.25,12.986145,383800,2050172500.0,0.0,0.0
