Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2022-01-27,20.0,20.040001,20.0,20.0,15.987601,4982200,880000000.0,0.0,0.0
2022-01-28,20.01,20.030001,20.0,20.0,15.987601,512000,880440000.0000001,-0.010000000000001563,-0.04997501249376093
2022-01-31,20.030001,20.049999,20.0,20.0,15.987601,218500,881320043.9999999,-0.030000999999998612,-0.14978032202793506
2022-02-01,20.01,20.014999,20.0,20.0,15.987601,180800,880440000.0000001,-0.010000000000001563,-0.04997501249376093
2022-02-02,20.01,20.030001,20.0,20.02,16.00358,200600,880440000.0000001,0.00999999999999801,0.04997501249374318
2022-02-03,20.0,20.01,20.0,20.0,15.987601,823200,880000000.0,0.0,0.0
2022-02-04,20.0,20.01,20.0,20.0,15.987601,606000,880000000.0,0.0,0.0
2022-02-07,20.01,20.02,20.0,20.01,15.995593,179000,880440000.0000001,0.0,0.0
2022-02-08,20.01,20.030001,20.0,20.0,15.987601,204000,880440000.0000001,-0.010000000000001563,-0.04997501249376093
2022-02-09,20.0,20.040001,20.0,20.01,15.995593,205200,880000000.0,0.010000000000001563,0.050000000000007816
2022-02-10,20.01,20.01,20.0,20.0,15.987601,235100,880440000.0000001,-0.010000000000001563,-0.04997501249376093
2022-02-11,20.0,20.01,20.0,20.0,15.987601,209100,880000000.0,0.0,0.0
2022-02-14,20.01,20.01,20.0,20.0,15.987601,149200,880440000.0000001,-0.010000000000001563,-0.04997501249376093
2022-02-15,20.0,20.01,20.0,20.0,15.987601,59600,880000000.0,0.0,0.0
2022-02-16,20.0,20.01,20.0,20.0,15.987601,43700,880000000.0,0.0,0.0
2022-02-17,20.0,20.01,20.0,20.0,15.987601,169400,880000000.0,0.0,0.0
2022-02-18,20.0,20.08,20.0,20.0,15.987601,323800,880000000.0,0.0,0.0
2022-02-22,20.040001,20.1,20.0,20.0,15.987601,179900,881760044.0,-0.040001000000000175,-0.19960577846278638
2022-02-23,20.0,20.040001,20.0,20.01,15.995593,773500,880000000.0,0.010000000000001563,0.050000000000007816
2022-02-24,20.0,20.059999,20.0,20.0,15.987601,217700,880000000.0,0.0,0.0
2022-02-25,20.0,20.049999,19.99,20.0,15.987601,305200,880000000.0,0.0,0.0
2022-02-28,19.84,19.84,19.65,19.77,15.803743,67600,872960000.0,-0.07000000000000028,-0.3528225806451627
2022-03-01,19.76,19.85,19.51,19.549999,15.627881,66400,869440000.0000001,-0.21000100000000188,-1.0627580971660013
2022-03-02,19.57,19.629999,19.24,19.24,15.380072,70000,861080000.0,-0.33000000000000185,-1.6862544711292888
2022-03-03,19.26,19.405001,18.9,19.18,15.332106,64900,847440000.0000001,-0.08000000000000185,-0.41536863966771465
2022-03-04,19.200001,19.25,18.879999,18.879999,15.092292,41400,844800044.0,-0.3200019999999988,-1.6666769965272337
2022-03-07,19.0,19.0,18.08,18.440001,14.740567,84400,836000000.0,-0.5599990000000012,-2.9473631578947437
2022-03-08,18.92,18.92,18.139999,18.280001,14.612665,99600,832480000.0000001,-0.6399990000000031,-3.382658562367881
2022-03-09,18.23,18.65,18.23,18.379999,14.692605,61500,802120000.0,0.1499990000000011,0.8228140427866215
2022-03-10,18.370001,18.757,18.190001,18.32,14.644641,85500,808280043.9999999,-0.050000999999998186,-0.27218833575457174
2022-03-11,18.080999,18.299999,18.080999,18.219999,14.564704,44400,795563955.9999999,0.1390000000000029,0.7687628321864456
2022-03-14,18.08,18.245001,17.43,17.5,13.989148,77900,795519999.9999999,-0.5799999999999983,-3.207964601769903
2022-03-15,17.459999,18.0,17.459999,17.58,14.053102,52700,768239956.0,0.12000099999999847,0.6872909901082954
2022-03-16,17.51,17.99,17.48,17.950001,14.34887,131800,770440000.0000001,0.44000099999999875,2.512855511136486
2022-03-17,18.0,18.4,17.66,18.16,14.516741,98000,792000000.0,0.16000000000000014,0.8888888888888897
2022-03-18,18.215,18.629999,18.190001,18.49,14.780534,102900,801460000.0,0.2749999999999986,1.5097447158934865
2022-03-21,18.49,18.598,18.34,18.42,14.72458,77800,813559999.9999999,-0.06999999999999673,-0.37858301784746745
2022-03-22,18.639999,19.039,18.15,18.18,14.532727,79400,820159956.0,-0.4599989999999998,-2.4678059263844374
2022-03-23,18.25,18.370001,18.049999,18.16,14.516741,69000,803000000.0,-0.08999999999999986,-0.49315068493150604
2022-03-24,18.040001,18.219999,17.910999,18.15,14.602827,49900,793760044.0,0.1099989999999984,0.6097505205237983
2022-03-25,18.08,18.129999,17.91,18.040001,14.514327,49100,795519999.9999999,-0.03999899999999812,-0.22123340707963565
2022-03-28,18.120001,18.120001,17.85,17.879999,14.385594,40300,797280043.9999999,-0.24000199999999694,-1.324514275689041
2022-03-29,18.0,18.16,17.799999,18.049999,14.522368,59400,792000000.0,0.04999899999999968,0.2777722222222204
2022-03-30,18.040001,18.43,18.040001,18.129999,14.586737,188600,793760044.0,0.08999800000000135,0.4988802384212804
2022-03-31,18.25,18.51,18.08,18.27,14.699377,84000,803000000.0,0.019999999999999574,0.10958904109588809
2022-04-01,18.290001,18.290001,18.07,18.24,14.675238,209900,804760044.0,-0.05000100000000174,-0.2733788806244556
2022-04-04,18.639999,18.690001,18.25,18.6,14.96488,61000,820159956.0,-0.03999899999999812,-0.21458692138340846
