Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1996-11-15,163.75,164.375,160.625,161.875,61.386162,131500,2384200000.0,-1.875,-1.1450381679389312
1996-11-18,161.25,163.125,161.25,162.5,61.623169,12260,2347800000.0,1.25,0.7751937984496124
1996-11-19,161.875,165.0,161.25,165.0,62.571224,34720,2356900000.0,3.125,1.9305019305019304
1996-11-20,164.375,165.0,163.75,164.375,62.334217,10260,2393300000.0,0.0,0.0
1996-11-21,164.375,164.375,163.125,163.75,62.097229,5340,2393300000.0,-0.625,-0.38022813688212925
1996-11-22,163.125,163.75,161.875,161.875,61.386162,1820,2375100000.0,-1.25,-0.7662835249042145
1996-11-25,162.5,164.375,162.5,163.125,61.86021,4320,2366000000.0,0.625,0.38461538461538464
1996-11-26,162.5,162.5,160.0,160.625,60.912148,4620,2366000000.0,-1.875,-1.153846153846154
1996-11-27,160.0,160.0,156.25,156.25,59.253052,2640,2329600000.0,-3.75,-2.34375
1996-11-29,157.5,158.75,157.5,158.75,60.201103,1460,2293200000.0,1.25,0.7936507936507936
1996-12-02,158.75,158.75,158.125,158.125,59.964092,1240,2311400000.0,-0.625,-0.39370078740157477
1996-12-03,158.75,158.75,158.125,158.75,60.201103,3560,2311400000.0,0.0,0.0
1996-12-04,158.75,159.375,156.875,156.875,59.490078,2160,2311400000.0,-1.875,-1.1811023622047243
1996-12-05,156.875,158.125,156.875,157.5,59.727074,6540,2284100000.0,0.625,0.398406374501992
1996-12-06,156.25,156.25,153.75,153.75,58.305019,3980,2275000000.0,-2.5,-1.6
1996-12-09,153.75,155.625,153.75,153.75,58.305019,1840,2238600000.0,0.0,0.0
1996-12-10,155.0,159.375,155.0,156.25,59.253052,21000,2256800000.0,1.25,0.8064516129032258
1996-12-11,156.875,157.5,153.75,153.75,58.305019,9000,2284100000.0,-3.125,-1.9920318725099602
1996-12-12,153.125,154.375,153.125,153.75,58.305019,4180,2229500000.0,0.625,0.40816326530612246
1996-12-13,153.75,153.75,153.75,153.75,58.305019,80,2238600000.0,0.0,0.0
1996-12-16,154.375,154.375,152.5,153.125,58.068008,5300,2247700000.0,-1.25,-0.8097165991902834
1996-12-17,153.125,156.25,151.875,151.875,57.593971,36060,2229500000.0,-1.25,-0.8163265306122449
1996-12-18,153.125,153.125,151.875,151.875,57.593971,9780,2229500000.0,-1.25,-0.8163265306122449
1996-12-19,151.875,153.125,151.875,152.5,57.830994,12140,2211300000.0,0.625,0.411522633744856
1996-12-20,153.125,155.625,153.125,154.375,58.542034,6000,2229500000.0,1.25,0.8163265306122449
1996-12-23,154.375,159.375,154.375,158.75,60.201103,21100,2247700000.0,4.375,2.834008097165992
1996-12-24,159.375,166.25,159.375,166.25,63.045227,72200,2320500000.0,6.875,4.313725490196078
1996-12-26,166.25,179.375,166.25,178.75,67.785492,20160,2420600000.0,12.5,7.518796992481203
1996-12-27,179.375,180.0,176.875,176.875,67.07444,31380,2611700000.0,-2.5,-1.3937282229965158
1996-12-30,177.5,177.5,173.125,174.375,66.126411,8540,2584400000.0,-3.125,-1.7605633802816902
1996-12-31,174.375,174.375,171.875,173.75,65.889397,1420,2538900000.0,-0.625,-0.35842293906810035
1997-01-02,173.75,175.625,171.875,172.5,65.41539,50900,2529800000.0,-1.25,-0.7194244604316548
1997-01-03,171.875,175.625,171.875,175.0,66.363426,31820,2502500000.0,3.125,1.8181818181818181
1997-01-06,175.625,178.75,175.625,178.75,67.785492,9480,2557100000.0,3.125,1.7793594306049825
1997-01-07,180.0,185.625,179.375,185.625,70.392609,19100,2620800000.0,5.625,3.125
1997-01-08,187.5,191.25,186.25,190.625,72.288727,15200,2730000000.0,3.125,1.6666666666666667
1997-01-09,191.25,200.0,191.25,200.0,75.84391,55020,2784600000.0,8.75,4.57516339869281
1997-01-10,200.0,208.125,198.125,203.75,77.265991,27860,2912000000.0,3.75,1.875
1997-01-13,208.75,209.375,206.25,208.125,78.925072,31180,3039400000.0,-0.625,-0.29940119760479045
1997-01-14,208.125,208.125,200.0,201.25,76.317924,13940,3030300000.0,-6.875,-3.303303303303303
1997-01-15,200.625,201.25,198.75,199.375,75.606895,13800,2921100000.0,-1.25,-0.6230529595015576
