Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1997-09-19,16.125,16.125,15.125,15.75,14.425487,3815400,201240000.0,-0.375,-2.3255813953488373
1997-09-22,15.875,16.0,15.375,15.625,14.310997,560500,198120000.0,-0.25,-1.574803149606299
1997-09-23,15.875,16.0,15.375,15.625,14.310997,190800,198120000.0,-0.25,-1.574803149606299
1997-09-24,15.625,15.875,15.0,15.375,14.082023,457300,195000000.0,-0.25,-1.6
1997-09-25,15.375,15.625,15.25,15.5625,14.253753,274800,191880000.0,0.1875,1.2195121951219512
1997-09-26,15.625,15.625,15.25,15.375,14.082023,286700,195000000.0,-0.25,-1.6
1997-09-29,15.125,15.125,14.0,14.125,12.937141,295500,188760000.0,-1.0,-6.6115702479338845
1997-09-30,14.0,14.5,14.0,14.5,13.280603,246200,174720000.0,0.5,3.571428571428571
1997-10-01,14.5,14.5,14.0,14.0,12.822654,296200,180960000.0,-0.5,-3.4482758620689653
1997-10-02,14.25,14.25,13.875,14.0,12.822654,379600,177840000.0,-0.25,-1.7543859649122806
1997-10-03,14.25,14.25,14.0,14.25,13.051631,367500,177840000.0,0.0,0.0
1997-10-06,14.125,14.125,14.0,14.125,12.937141,111100,176280000.0,0.0,0.0
1997-10-07,14.0625,14.1875,14.0,14.0625,12.879899,134500,175500000.0,0.0,0.0
1997-10-08,14.0625,14.5,14.0625,14.25,13.051631,76700,175500000.0,0.1875,1.3333333333333335
1997-10-09,14.1875,14.25,14.0,14.125,12.937141,241400,177060000.0,-0.0625,-0.4405286343612335
1997-10-10,14.0,14.125,13.75,13.75,12.593675,310300,174720000.0,-0.25,-1.7857142857142856
1997-10-13,13.75,13.75,12.875,13.375,12.250215,217400,171600000.0,-0.375,-2.727272727272727
1997-10-14,8.0,8.25,7.4375,7.53125,6.8979,4399800,99840000.0,-0.46875,-5.859375
1997-10-15,7.5625,7.625,6.875,7.0,6.411327,1079200,94380000.0,-0.5625,-7.43801652892562
1997-10-16,7.0,7.0625,6.25,6.625,6.067863,699800,87360000.0,-0.375,-5.357142857142857
1997-10-17,6.375,6.5625,6.125,6.375,5.838887,173300,79560000.0,0.0,0.0
1997-10-20,6.375,6.75,6.375,6.5,5.953375,244000,79560000.0,0.125,1.9607843137254901
1997-10-21,6.625,7.125,6.5,6.625,6.067863,418000,82680000.0,0.0,0.0
1997-10-22,6.625,6.75,6.4375,6.4375,5.896131,256900,82680000.0,-0.1875,-2.8301886792452833
1997-10-23,5.9375,6.5,5.9375,6.1875,5.667155,135700,74100000.0,0.25,4.2105263157894735
1997-10-24,6.1875,6.4375,6.0625,6.375,5.838887,118500,77220000.0,0.1875,3.0303030303030303
1997-10-27,6.125,6.375,5.125,5.125,4.694007,302300,76440000.0,-1.0,-16.3265306122449
1997-10-28,4.6875,6.0,4.5,5.625,5.15196,410400,58500000.0,0.9375,20.0
1997-10-29,5.75,5.75,5.5,5.5625,5.094715,43600,71760000.0,-0.1875,-3.260869565217391
1997-10-30,5.5,6.1875,5.375,6.1875,5.667155,163000,68640000.0,0.6875,12.5
1997-10-31,6.1875,6.25,5.96875,6.0,5.495423,59100,77220000.0,-0.1875,-3.0303030303030303
1997-11-03,6.1875,6.25,6.0,6.125,5.609911,42700,77220000.0,-0.0625,-1.0101010101010102
1997-11-04,6.125,6.1875,5.875,5.9375,5.438179,73100,76440000.0,-0.1875,-3.061224489795918
1997-11-05,5.875,6.25,5.875,6.0,5.495423,47300,73320000.0,0.125,2.127659574468085
1997-11-06,6.125,6.875,6.0,6.625,6.067863,111600,76440000.0,0.5,8.16326530612245
1997-11-07,6.5,6.625,6.25,6.5,5.953375,57700,81120000.0,0.0,0.0
1997-11-10,6.625,6.625,6.0,6.0,5.495423,61600,82680000.0,-0.625,-9.433962264150944
1997-11-11,6.125,6.125,6.0,6.125,5.609911,8700,76440000.0,0.0,0.0
1997-11-12,6.125,6.25,5.8125,5.8125,5.323691,28400,76440000.0,-0.3125,-5.1020408163265305
1997-11-13,6.0,6.0,5.75,5.75,5.266448,23100,74880000.0,-0.25,-4.166666666666666
1997-11-14,5.75,5.875,5.625,5.625,5.15196,9700,71760000.0,-0.125,-2.1739130434782608
1997-11-17,5.875,5.875,5.625,5.6875,5.209203,17700,73320000.0,-0.1875,-3.1914893617021276
1997-11-18,5.75,5.875,5.625,5.625,5.15196,27300,71760000.0,-0.125,-2.1739130434782608
1997-11-19,5.5,6.0,5.375,5.5,5.037472,145900,68640000.0,0.0,0.0
1997-11-20,5.5,5.8125,5.375,5.5,5.037472,262700,68640000.0,0.0,0.0
1997-11-21,5.5,5.5,5.25,5.25,4.808496,138500,68640000.0,-0.25,-4.545454545454546
1997-11-24,5.25,5.3125,4.875,4.9375,4.522275,47800,65520000.0,-0.3125,-5.952380952380952
1997-11-25,4.875,5.0,4.6875,4.6875,4.2933,98200,60840000.0,-0.1875,-3.8461538461538463
1997-11-26,4.6875,4.8125,4.6875,4.75,4.350543,103000,58500000.0,0.0625,1.3333333333333335
1997-11-28,4.75,5.0,4.6875,5.0,4.579519,118300,59280000.0,0.25,5.263157894736842
1997-12-01,5.0,5.0,4.875,4.9375,4.522275,31800,62400000.0,-0.0625,-1.25
1997-12-02,4.9375,4.9375,4.8125,4.8125,4.407787,171700,61620000.0,-0.125,-2.5316455696202533
1997-12-03,4.8125,5.0,4.8125,4.84375,4.43641,85400,60060000.0,0.03125,0.6493506493506493
1997-12-04,5.0,5.0,4.875,4.9375,4.522275,171300,62400000.0,-0.0625,-1.25
1997-12-05,4.90625,5.25,4.84375,5.1875,4.751251,193500,61230000.0,0.28125,5.7324840764331215
1997-12-08,5.1875,5.875,5.1875,5.625,5.15196,127100,64740000.0,0.4375,8.433734939759036
1997-12-09,5.6875,5.6875,5.375,5.5,5.037472,78800,70980000.0,-0.1875,-3.296703296703297
1997-12-10,5.5625,5.5625,5.125,5.125,4.694007,90900,69420000.0,-0.4375,-7.865168539325842
1997-12-11,5.125,5.125,4.75,4.9375,4.522275,23400,63960000.0,-0.1875,-3.6585365853658534
1997-12-12,5.0,5.125,4.875,4.9375,4.522275,76000,62400000.0,-0.0625,-1.25
1997-12-15,4.9375,5.0,4.8125,4.9375,4.522275,13300,61620000.0,0.0,0.0
1997-12-16,4.9375,5.0,4.8125,4.875,4.465032,53300,61620000.0,-0.0625,-1.2658227848101267
1997-12-17,4.875,5.0,4.8125,4.8125,4.407787,62100,60840000.0,-0.0625,-1.282051282051282
1997-12-18,4.8125,4.8125,4.5,4.5,4.121568,32600,60060000.0,-0.3125,-6.493506493506493
1997-12-19,4.5,4.5625,4.375,4.4375,4.064323,104500,56160000.0,-0.0625,-1.3888888888888888
1997-12-22,4.4375,5.1875,4.4375,4.8125,4.407787,146000,55380000.0,0.375,8.450704225352112
1997-12-23,4.9375,4.9375,4.625,4.6875,4.2933,107000,61620000.0,-0.25,-5.063291139240507
1997-12-24,4.75,4.75,4.6875,4.6875,4.2933,25600,59280000.0,-0.0625,-1.3157894736842104
1997-12-26,4.75,4.8125,4.6875,4.75,4.350543,60700,59280000.0,0.0,0.0
1997-12-29,4.6875,4.8125,4.6875,4.6875,4.2933,124600,58500000.0,0.0,0.0
1997-12-30,4.6875,4.78125,4.6875,4.75,4.350543,221700,58500000.0,0.0625,1.3333333333333335
1997-12-31,4.71875,5.25,4.71875,5.125,4.694007,193900,58890000.0,0.40625,8.609271523178808
1998-01-02,5.125,5.125,4.9375,5.0625,4.636764,17600,63960000.0,-0.0625,-1.2195121951219512
1998-01-05,5.25,5.375,5.125,5.375,4.922984,58500,65520000.0,0.125,2.380952380952381
1998-01-06,5.5,5.6875,5.375,5.625,5.15196,29200,68640000.0,0.125,2.272727272727273
1998-01-07,5.625,5.875,5.625,5.75,5.266448,34200,70200000.0,0.125,2.2222222222222223
1998-01-08,5.875,6.125,5.8125,6.125,5.609911,105800,73320000.0,0.25,4.25531914893617
1998-01-09,6.25,6.375,6.0,6.375,5.838887,78100,78000000.0,0.125,2.0
1998-01-12,6.25,6.4375,6.25,6.375,5.838887,51700,78000000.0,0.125,2.0
1998-01-13,6.5,6.5,6.0,6.0,5.495423,40000,81120000.0,-0.5,-7.6923076923076925
1998-01-14,6.0,6.375,6.0,6.21875,5.695777,32000,74880000.0,0.21875,3.6458333333333335
1998-01-15,6.3125,6.375,6.1875,6.25,5.7244,48100,78780000.0,-0.0625,-0.9900990099009901
1998-01-16,6.21875,6.25,6.21875,6.21875,5.695777,32600,77610000.0,0.0,0.0
1998-01-20,6.3125,6.625,6.3125,6.5,5.953375,90000,78780000.0,0.1875,2.9702970297029703
1998-01-21,6.5625,7.125,6.5,6.875,6.296837,131000,81900000.0,0.3125,4.761904761904762
1998-01-22,7.0,7.75,6.875,7.375,6.754791,300100,87360000.0,0.375,5.357142857142857
1998-01-23,7.5625,7.5625,7.375,7.4375,6.812034,167200,94380000.0,-0.125,-1.6528925619834711
1998-01-26,7.375,7.875,7.25,7.25,6.640302,247600,92040000.0,-0.125,-1.694915254237288
1998-01-27,7.125,7.1875,7.0,7.0625,6.468571,138700,88920000.0,-0.0625,-0.8771929824561403
1998-01-28,7.0,7.4375,7.0,7.3125,6.697547,84000,87360000.0,0.3125,4.464285714285714
1998-01-29,7.25,7.3125,7.25,7.25,6.640302,31000,90480000.0,0.0,0.0
1998-01-30,7.25,7.375,7.25,7.3125,6.697547,48400,90480000.0,0.0625,0.8620689655172413
1998-02-02,7.25,7.5625,7.25,7.5625,6.926523,96700,90480000.0,0.3125,4.310344827586207
1998-02-03,7.75,7.75,7.5,7.5625,6.926523,89300,96720000.0,-0.1875,-2.4193548387096775
1998-02-04,7.75,8.125,7.75,8.125,7.441719,306300,96720000.0,0.375,4.838709677419355
1998-02-05,8.125,8.125,7.5,7.75,7.098254,482500,101400000.0,-0.375,-4.615384615384616
1998-02-06,7.625,7.75,7.5,7.5,6.869279,84700,95160000.0,-0.125,-1.639344262295082
1998-02-09,7.5,7.75,7.5,7.625,6.983766,54200,93600000.0,0.125,1.6666666666666667
1998-02-10,7.8125,7.875,7.625,7.6875,7.041011,56200,97500000.0,-0.125,-1.6
1998-02-11,7.75,7.75,7.5,7.5625,6.926523,66600,96720000.0,-0.1875,-2.4193548387096775
1998-02-12,7.5,7.625,7.5,7.625,6.983766,33300,93600000.0,0.125,1.6666666666666667
1998-02-13,7.5,7.625,7.5,7.5625,6.926523,17500,93600000.0,0.0625,0.8333333333333334
1998-02-17,7.5625,7.625,7.5,7.625,6.983766,31200,94380000.0,0.0625,0.8264462809917356
1998-02-18,7.5,7.5625,7.4375,7.5,6.869279,28100,93600000.0,0.0,0.0
1998-02-19,7.4375,7.5,7.125,7.125,6.525815,95400,92820000.0,-0.3125,-4.201680672268908
1998-02-20,7.25,7.375,7.125,7.125,6.525815,4700,90480000.0,-0.125,-1.7241379310344827
1998-02-23,7.25,7.25,7.0625,7.25,6.640302,8700,90480000.0,0.0,0.0
1998-02-24,7.0,7.375,7.0,7.25,6.640302,26100,87360000.0,0.25,3.571428571428571
1998-02-25,7.5,7.5,7.125,7.125,6.525815,34300,93600000.0,-0.375,-5.0
1998-02-26,7.25,7.25,7.125,7.25,6.640302,17900,90480000.0,0.0,0.0
1998-02-27,7.125,7.375,7.125,7.1875,6.583059,13400,88920000.0,0.0625,0.8771929824561403
1998-03-02,7.25,7.5,7.25,7.5,6.869279,52600,90480000.0,0.25,3.4482758620689653
1998-03-03,7.375,7.5,7.125,7.125,6.525815,64100,92040000.0,-0.25,-3.389830508474576
1998-03-04,7.25,7.5,7.25,7.25,6.640302,16000,90480000.0,0.0,0.0
1998-03-05,7.125,7.5,7.125,7.25,6.640302,17800,88920000.0,0.125,1.7543859649122806
1998-03-06,7.1875,7.5,7.1875,7.4375,6.812034,35100,89700000.0,0.25,3.4782608695652173
1998-03-09,7.5625,7.625,7.375,7.5,6.869279,35400,94380000.0,-0.0625,-0.8264462809917356
1998-03-10,7.8125,8.4375,7.8125,8.0625,7.384475,507000,97500000.0,0.25,3.2
