Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2019-10-29,9.8,10.1,9.674,9.707,9.707,7500,209426000.00000003,-0.09299999999999997,-0.9489795918367343
2019-10-30,9.98,9.98,9.351,9.584,9.584,13400,213272600.0,-0.3960000000000008,-3.967935871743495
2019-10-31,9.577,9.68,9.538,9.58,9.58,9700,204660490.0,0.0030000000000001137,0.03132504959799638
2019-11-01,9.86,9.97,9.456,9.555,9.555,13200,210708200.0,-0.3049999999999997,-3.0933062880324513
2019-11-04,9.71,9.72,9.48,9.51,9.51,6100,207502700.00000003,-0.20000000000000107,-2.0597322348094855
2019-11-05,9.56,9.97,9.37,9.6,9.6,3300,204297200.0,0.03999999999999915,0.41841004184099523
2019-11-06,9.507,9.56,9.5,9.56,9.56,2100,203164590.0,0.053000000000000824,0.5574839591879754
2019-11-07,9.25,9.624,9.25,9.33,9.33,5500,197672500.0,0.08000000000000007,0.8648648648648656
2019-11-08,9.282,9.68,9.08,9.39,9.39,5000,198356340.0,0.10800000000000054,1.163542340012934
2019-11-11,9.07,9.1,8.8,8.81,8.81,8700,193825900.0,-0.2599999999999998,-2.8665931642778366
2019-11-12,9.078,9.078,8.69,8.727,8.727,9200,193996860.0,-0.3509999999999991,-3.866490416391266
2019-11-13,8.7,8.814,8.565,8.636,8.636,5900,185918999.99999997,-0.06400000000000006,-0.7356321839080467
2019-11-14,8.657,8.67,8.511,8.57,8.57,3700,185000090.0,-0.08699999999999974,-1.0049670786646614
2019-11-15,8.675,8.822,8.673,8.7,8.7,5800,185384750.00000003,0.02499999999999858,0.2881844380403294
2019-11-18,8.278,8.562,8.278,8.5,8.5,3000,176900860.0,0.22199999999999953,2.681807199806711
2019-11-19,8.4,8.615,8.0,8.29,8.29,10600,179508000.0,-0.11000000000000121,-1.3095238095238237
2019-11-20,8.32,8.34,8.3,8.331,8.331,1900,177798400.0,0.010999999999999233,0.13221153846152922
2019-11-21,8.18,8.4,8.115,8.34,8.34,4700,174806600.0,0.16000000000000014,1.9559902200489014
2019-11-22,8.3,8.475,8.241,8.27,8.27,14700,177371000.00000003,-0.030000000000001137,-0.3614457831325438
2019-11-25,8.3,8.51,8.18,8.356,8.356,15300,177371000.00000003,0.05599999999999916,0.6746987951807127
2019-11-26,8.31,8.31,7.97,7.97,7.97,6700,177584700.0,-0.34000000000000075,-4.0914560770156525
2019-11-27,7.93,7.93,7.6,7.8,7.8,10300,169464100.0,-0.1299999999999999,-1.6393442622950807
2019-11-29,7.813,7.85,7.813,7.85,7.85,500,166963810.0,0.03699999999999992,0.4735696915397405
2019-12-02,8.18,8.18,7.66,7.75,7.75,7300,174806600.0,-0.4299999999999997,-5.256723716381415
2019-12-03,7.72,8.0,7.66,7.805,7.805,14600,164976400.0,0.08499999999999996,1.1010362694300513
2019-12-04,8.075,8.119,7.9,8.05,8.05,10600,172562749.99999997,-0.02499999999999858,-0.30959752321979667
2019-12-05,8.27,8.455,8.12,8.35,8.35,6600,176729900.0,0.08000000000000007,0.9673518742442574
2019-12-06,8.61,8.771,8.48,8.48,8.48,9700,183995700.0,-0.129999999999999,-1.5098722415795471
2019-12-09,8.53,9.14,8.48,9.128,9.128,5800,182286100.0,0.5980000000000008,7.01055099648301
2019-12-10,9.16,9.425,9.065,9.4,9.4,6500,195749200.0,0.2400000000000002,2.6200873362445436
2019-12-11,9.323,9.66,9.2,9.66,9.66,9800,199232510.0,0.33699999999999974,3.6147162930387187
2019-12-12,9.75,9.77,9.46,9.46,9.46,8100,208357500.0,-0.28999999999999915,-2.9743589743589656
2019-12-13,9.564,9.608,9.56,9.56,9.56,3300,204382680.0,-0.0039999999999995595,-0.041823504809698445
2019-12-16,9.72,9.84,9.59,9.76,9.76,13100,207716400.0,0.03999999999999915,0.41152263374484715
2019-12-17,10.068,10.068,9.19,9.9,9.9,3300,215153160.0,-0.16799999999999926,-1.6686531585220428
2019-12-18,10.1,10.4,9.984,10.0,10.0,71000,215837000.0,-0.09999999999999964,-0.9900990099009866
2019-12-19,9.946,10.251,9.877,9.95,9.95,18300,212546020.0,0.0039999999999995595,0.04021717273275246
2019-12-20,10.41,10.41,9.82,9.87,9.87,43700,222461700.0,-0.5400000000000009,-5.187319884726234
2019-12-23,10.19,10.6,10.12,10.15,10.15,58300,217760300.0,-0.03999999999999915,-0.39254170755641954
2019-12-24,10.33,10.588,10.11,10.588,10.588,4200,220752100.0,0.2579999999999991,2.4975798644724017
2019-12-26,11.46,12.49,11.46,11.95,11.95,14100,244900200.00000003,0.48999999999999844,4.27574171029667
2019-12-27,12.1,12.1,10.67,10.67,10.67,41200,258577000.0,-1.4299999999999997,-11.818181818181817
2019-12-30,10.737,10.997,10.65,10.963,10.963,7300,229449690.0,0.2259999999999991,2.1048710067989114
2019-12-31,10.91,11.55,10.91,10.95,10.95,9300,233146700.0,0.03999999999999915,0.3666361136571874
2020-01-02,11.379,11.379,10.59,10.59,10.59,9100,243169230.0,-0.7889999999999997,-6.9338254679673055
2020-01-03,10.45,10.59,10.3,10.3,10.3,3600,223316499.99999997,-0.14999999999999858,-1.4354066985645797
2020-01-06,10.26,10.46,10.13,10.19,10.19,16700,219256200.0,-0.07000000000000028,-0.6822612085770009
2020-01-07,10.25,10.295,9.9,10.079,10.079,21600,219042500.0,-0.17099999999999937,-1.6682926829268232
2020-01-08,10.24,10.25,9.91,10.0,10.0,10100,218828800.0,-0.2400000000000002,-2.343750000000002
2020-01-09,9.881,10.038,9.775,9.9,9.9,56900,211156970.0,0.019000000000000128,0.19228822993624256
2020-01-10,11.5,12.165,10.87,11.25,11.25,50200,245755000.0,-0.25,-2.1739130434782608
2020-01-13,11.81,13.0,11.5,12.971,12.971,92700,252379700.0,1.1609999999999996,9.830651989839115
2020-01-14,13.24,13.24,12.124,12.64,12.64,42600,282938800.0,-0.5999999999999996,-4.531722054380662
2020-01-15,12.89,13.49,12.7,13.01,13.01,68900,275459300.0,0.11999999999999922,0.9309542280837798
