Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2021-10-21,26.0,31.870001,25.719999,29.1,29.1,16878100,1441440000.0,3.1000000000000014,11.923076923076929
2021-10-22,36.16,45.0,32.099998,37.43,37.43,10008700,2004710399.9999998,1.2700000000000031,3.5121681415929293
2021-10-25,43.48,46.0,38.639999,42.009998,42.009998,5460900,2410531200.0,-1.4700019999999938,-3.380869365225377
2021-10-26,43.290001,46.0,40.5,41.990002,41.990002,2997400,2399997655.4399996,-1.2999989999999997,-3.003000623631309
2021-10-27,42.139999,42.439999,37.549999,40.310001,40.310001,3356400,2336241544.56,-1.8299980000000033,-4.342662656446677
2021-10-28,39.799999,40.0,37.081001,37.310001,37.310001,1526100,2206511944.56,-2.489998,-6.256276539102426
2021-10-29,37.240002,39.389999,35.5,38.0,38.0,1508100,2064585710.8799999,0.7599980000000031,2.04081084635818
2021-11-01,38.622002,41.779999,36.900002,41.759998,41.759998,1392700,2141203790.88,3.137996000000001,8.124892127549476
2021-11-02,41.799999,45.880001,40.169998,42.59,42.59,1526100,2317391944.56,0.7900010000000037,1.8899545906687791
2021-11-03,42.66,44.700001,41.830002,42.73,42.73,810700,2365070400.0,0.07000000000000028,0.16408813877168377
2021-11-04,43.0,51.720001,42.75,51.389999,51.389999,2128400,2383920000.0,8.389999000000003,19.511625581395357
2021-11-05,53.040001,53.040001,43.799999,47.0,47.0,2529300,2940537655.4399996,-6.040000999999997,-11.387633646537822
2021-11-08,47.625,48.470001,44.0,45.0,45.0,1202300,2640330000.0,-2.625,-5.511811023622047
2021-11-09,44.119999,45.200001,40.200001,45.09,45.09,1525900,2446012744.56,0.9700010000000034,2.1985517270750696
2021-11-10,44.43,45.490002,43.52,44.16,44.16,654300,2463199200.0,-0.2700000000000031,-0.6076975016880557
2021-11-11,44.439999,45.439999,43.5,44.830002,44.830002,880700,2463753544.56,0.3900030000000001,0.8775945291987971
2021-11-12,45.0,49.0,44.533001,47.919998,47.919998,1077200,2494800000.0,2.9199979999999996,6.4888844444444445
2021-11-15,47.919998,50.5,47.5,48.619999,48.619999,1101400,2656684689.12,0.7000010000000003,1.4607700943560147
2021-11-16,48.619999,53.700001,47.738998,53.07,53.07,1394400,2695492744.56,4.450001,9.152614338803257
2021-11-17,52.610001,57.724998,50.25,54.220001,54.220001,1677600,2916698455.44,1.6100000000000065,3.060254646260141
2021-11-18,44.419998,56.119999,42.0,48.439999,48.439999,3703500,2462644689.12,4.020001000000001,9.04998014632959
2021-11-19,48.0,49.259998,44.032001,44.720001,44.720001,1509800,2661120000.0,-3.2799989999999966,-6.8333312499999925
2021-11-22,45.714001,45.714001,41.16,41.450001,41.450001,1373300,2534384215.44,-4.264000000000003,-9.327558093197755
2021-11-23,41.5,41.5,38.049999,39.93,39.93,2025900,2300760000.0,-1.5700000000000003,-3.7831325301204823
2021-11-24,39.830002,44.700001,39.830002,43.619999,43.619999,1253800,2208175310.88,3.7899969999999996,9.515432612832909
2021-11-26,41.810001,42.27,40.299999,41.889999,41.889999,706000,2317946455.44,0.07999800000000334,0.1913369961411944
2021-11-29,42.869999,43.619999,40.439999,42.330002,42.330002,940700,2376712744.56,-0.5399969999999996,-1.259615144847565
2021-11-30,42.02,42.618999,38.849998,40.75,40.75,875900,2329588800.0,-1.2700000000000031,-3.022370299857218
2021-12-01,41.18,42.259998,37.0,37.23,37.23,1107900,2283019200.0,-3.950000000000003,-9.592034968431285
2021-12-02,37.860001,39.639999,36.279999,39.639999,39.639999,1107400,2098958455.4399998,1.7799980000000062,4.701526553050028
2021-12-03,39.509998,39.639999,34.581001,35.439999,35.439999,2172000,2190434289.1200004,-4.069999000000003,-10.30118756270249
2021-12-06,35.779999,37.540001,35.0,36.150002,36.150002,1444100,1983643144.5599997,0.3700030000000041,1.0341056745138648
2021-12-07,36.540001,38.5,36.540001,37.689999,37.689999,803500,2025777655.4399998,1.1499980000000036,3.147230346271758
2021-12-08,38.009998,41.900002,37.700001,38.919998,38.919998,1055900,2107274289.1200001,0.9099999999999966,2.3941069399687853
2021-12-09,38.900002,39.169998,35.810001,36.41,36.41,845700,2156616110.88,-2.490002000000004,-6.401033089921188
2021-12-10,36.860001,37.16,33.700001,34.400002,34.400002,1362500,2043518455.4399998,-2.4599989999999963,-6.6738983539365515
2021-12-13,35.02,35.529999,33.889999,34.580002,34.580002,1259800,1941508800.0000002,-0.4399980000000028,-1.256419189034845
2021-12-14,33.93,34.139999,31.85,33.310001,33.310001,1235300,1881079200.0,-0.619999,-1.8272885352195696
2021-12-15,33.310001,34.0,31.200001,33.75,33.75,972000,1846706455.44,0.43999900000000025,1.3209216054961999
2021-12-16,34.0,34.75,31.33,31.620001,31.620001,1716200,1884960000.0,-2.3799990000000015,-6.999997058823534
2021-12-17,31.5,33.330002,29.809999,31.73,31.73,4932000,1746360000.0,0.23000000000000043,0.7301587301587315
2021-12-20,31.43,32.330002,30.610001,31.610001,31.610001,995600,1742479200.0,0.18000100000000074,0.5727044225262512
2021-12-21,32.32,35.639999,32.119999,33.880001,33.880001,1223300,1791820800.0,1.5600009999999997,4.826735767326732
2021-12-22,33.900002,36.73,33.584,36.189999,36.189999,796700,1879416110.88,2.2899969999999996,6.7551529937962815
2021-12-23,36.5,38.799999,36.299999,38.34,38.34,756800,2023560000.0,1.8400000000000034,5.041095890410968
2021-12-27,38.400002,38.758999,35.810001,37.470001,37.470001,847100,2128896110.88,-0.9300009999999972,-2.4218774780272074
2021-12-28,37.25,39.099998,36.630001,36.790001,36.790001,581500,2065140000.0,-0.4599990000000034,-1.234896644295311
2021-12-29,36.599998,37.330002,34.790001,36.82,36.82,770900,2029103889.12,0.22000200000000092,0.6010983935026469
2021-12-30,36.82,38.98,36.759998,37.34,37.34,633500,2041300800.0,0.5200000000000031,1.4122759369907745
2021-12-31,37.490002,38.029999,36.919998,37.540001,37.540001,391700,2078445710.8799999,0.04999899999999968,0.1333662238801686
2022-01-03,38.400002,38.939999,36.25,38.84,38.84,786500,2128896110.88,0.4399980000000028,1.145828065321462
2022-01-04,38.93,40.470001,35.619999,36.310001,36.310001,1842800,2158279200.0,-2.619999,-6.730025687130747
2022-01-05,36.310001,36.470001,32.669998,33.310001,33.310001,1393500,2013026455.44,-3.0,-8.262186497874236
2022-01-06,33.700001,35.060001,32.256001,33.75,33.75,1157500,1868328055.44,0.04999899999999968,0.1483649807606821
2022-01-07,33.450001,35.064999,32.880001,33.740002,33.740002,840900,1854468055.44,0.2900009999999966,0.8669685839471175
2022-01-10,32.965,33.150002,29.799999,32.040001,32.040001,2111900,1827579600.0000002,-0.9249990000000068,-2.8060033368724606
2022-01-11,32.040001,32.68,30.780001,32.43,32.43,1128500,1776297655.4399998,0.3899990000000031,1.2172253053300564
2022-01-12,32.959999,33.112999,29.82,30.030001,30.030001,2020900,1827302344.5600002,-2.9299980000000048,-8.889557308542408
2022-01-13,30.127001,31.129999,29.309999,29.6,29.6,1069400,1670240935.44,-0.5270009999999985,-1.7492647210387735
2022-01-14,29.5,29.950001,27.48,28.860001,28.860001,1870200,1635480000.0,-0.6399989999999995,-2.1694881355932187
2022-01-18,28.540001,29.9,26.790001,26.92,26.92,1495300,1582257655.44,-1.6200009999999985,-5.6762471732218875
2022-01-19,27.209999,27.802999,25.67,27.1,27.1,1042600,1508522344.56,-0.1099989999999984,-0.40425947828957437
2022-01-20,27.25,28.27,25.860001,25.92,25.92,926500,1510740000.0,-1.3299999999999983,-4.880733944954122
2022-01-21,25.77,26.549999,24.790001,25.18,25.18,973100,1428688800.0,-0.5899999999999999,-2.289483896003104
2022-01-24,24.385,26.01,22.75,25.950001,25.950001,2366600,1351904400.0,1.5650009999999988,6.417883945048179
2022-01-25,25.5,26.559999,25.139999,25.620001,25.620001,1441100,1413720000.0,0.12000099999999847,0.4705921568627391
2022-01-26,26.780001,27.25,24.91,25.18,25.18,1125700,1484683255.4399998,-1.600000999999999,-5.974611427385678
2022-01-27,25.459999,26.17,24.200001,24.389999,24.389999,664200,1411502344.56,-1.0700000000000003,-4.202671021314652
2022-01-28,24.379999,24.84,22.84,24.84,24.84,1275700,1351627144.5600002,0.46000099999999833,1.8867966319440714
2022-01-31,25.110001,26.549999,24.77,26.549999,26.549999,1293900,1392098455.44,1.4399979999999992,5.734758831749944
2022-02-01,26.93,29.549999,26.33,29.360001,29.360001,1303400,1492999200.0,2.4300010000000007,9.023397697734872
2022-02-02,29.379999,29.48,27.15,27.299999,27.299999,683600,1628827144.5600002,-2.080000000000002,-7.079646258667339
2022-02-03,26.5,27.75,25.1,25.860001,25.860001,659100,1469160000.0,-0.6399989999999995,-2.415090566037734
2022-02-04,26.0,27.15,25.5,26.809999,26.809999,557300,1441440000.0,0.8099990000000012,3.1153807692307742
2022-02-07,26.690001,27.940001,26.4,27.049999,27.049999,421100,1479693655.4399998,0.35999800000000093,1.3488122387106727
2022-02-08,26.93,28.1,26.200001,27.33,27.33,578800,1492999200.0,0.3999999999999986,1.485332343111766
2022-02-09,27.99,28.363001,27.27,27.77,27.77,750100,1551765600.0,-0.21999999999999886,-0.7859949982136438
2022-02-10,27.200001,29.040001,27.0,27.99,27.99,653000,1507968055.44,0.7899989999999981,2.904407981455582
2022-02-11,27.969999,28.450001,27.049999,27.5,27.5,404300,1550656744.5600002,-0.4699990000000014,-1.6803683117757757
2022-02-14,27.450001,27.969999,26.25,26.969999,26.969999,449600,1521828055.44,-0.48000199999999893,-1.7486411020531434
2022-02-15,27.379999,28.09,27.01,27.92,27.92,361400,1517947144.5600002,0.5400010000000002,1.9722462371163714
2022-02-16,27.780001,27.806,26.02,26.43,26.43,728000,1540123255.4399998,-1.350000999999999,-4.859614655881398
2022-02-17,26.379999,26.379999,23.82,24.690001,24.690001,1619600,1462507144.5600002,-1.6899980000000028,-6.406361122303313
2022-02-18,24.879999,25.16,23.52,23.85,23.85,806600,1379347144.5600002,-1.029999,-4.139867529737441
2022-02-22,23.459999,24.32,22.73,23.23,23.23,610800,1300622344.56,-0.2299989999999994,-0.9803879360779146
2022-02-23,23.5,23.969999,22.209999,22.57,22.57,698000,1302840000.0,-0.9299999999999997,-3.9574468085106367
2022-02-24,21.66,24.620001,21.379999,24.450001,24.450001,710300,1200830400.0,2.790001,12.880891043397968
2022-02-25,24.790001,25.200001,23.5,24.620001,24.620001,476100,1374357655.44,-0.1700000000000017,-0.6857603595901497
2022-02-28,24.33,25.405001,24.200001,25.059999,25.059999,363200,1348855200.0,0.729999000000003,3.0004069050554993
2022-03-01,25.059999,25.139999,23.620001,23.82,23.82,449900,1389326344.5600002,-1.239999000000001,-4.948120708225091
2022-03-02,24.0,24.42,23.26,24.01,24.01,430500,1330560000.0,0.010000000000001563,0.04166666666667318
2022-03-03,24.01,24.188,22.790001,23.51,23.51,949900,1331114400.0,-0.5,-2.082465639316951
2022-03-04,23.18,23.639999,22.440001,23.110001,23.110001,587900,1285099200.0,-0.06999899999999926,-0.30198015530629535
2022-03-07,23.09,23.875,22.375999,23.639999,23.639999,1077800,1280109600.0,0.5499989999999997,2.3819792117799903
2022-03-08,23.9,25.469999,23.15,24.219999,24.219999,773700,1325016000.0,0.3199990000000028,1.338907949790807
2022-03-09,24.76,25.5,23.84,25.059999,25.059999,786100,1372694400.0,0.2999989999999997,1.2116276252019373
2022-03-10,22.0,23.92,21.805,23.32,23.32,1517700,1219680000.0,1.3200000000000003,6.000000000000001
2022-03-11,23.24,23.299999,22.339001,23.110001,23.110001,542400,1288425600.0,-0.12999899999999798,-0.5593760757314887
2022-03-14,23.219999,23.799999,22.049999,22.5,22.5,790900,1287316744.5600002,-0.7199990000000014,-3.1007710207050456
2022-03-15,22.5,24.15,22.5,23.75,23.75,467800,1247400000.0,1.25,5.555555555555555
2022-03-16,24.120001,24.889999,23.65,24.620001,24.620001,422100,1337212855.4399998,0.5,2.0729684049349753
2022-03-17,24.35,26.809999,24.24,26.42,26.42,694300,1349964000.0,2.0700000000000003,8.501026694045175
2022-03-18,26.040001,27.459999,25.799999,26.799999,26.799999,602300,1443657655.44,0.7599979999999995,2.9185789969823714
2022-03-21,26.5,26.959999,24.559999,25.0,25.0,659500,1469160000.0,-1.5,-5.660377358490567
2022-03-22,25.030001,25.719999,24.370001,24.799999,24.799999,826500,1387663255.4399998,-0.23000199999999893,-0.9189052769114908
2022-03-23,24.639999,25.16,24.059999,24.24,24.24,535400,1366041544.56,-0.3999990000000011,-1.623372630818699
2022-03-24,24.26,25.129999,24.040001,24.790001,24.790001,517800,1344974400.0,0.5300009999999986,2.184670239076664
2022-03-25,24.84,24.910999,23.549999,23.82,23.82,438500,1377129600.0,-1.0199999999999996,-4.106280193236713
2022-03-28,24.1,24.52,23.129999,23.76,23.76,496100,1336104000.0,-0.33999999999999986,-1.410788381742738
2022-03-29,23.85,25.07,23.84,24.51,24.51,561000,1322244000.0,0.6600000000000001,2.767295597484277
2022-03-30,24.33,26.25,24.25,25.0,25.0,617200,1348855200.0,0.6700000000000017,2.753801890669962
2022-03-31,24.950001,25.049999,24.26,24.559999,24.559999,345400,1383228055.44,-0.39000199999999907,-1.5631342058864006
2022-04-01,24.68,24.75,23.139999,23.889999,23.889999,423400,1368259200.0,-0.7900010000000002,-3.2009764991896277
2022-04-04,23.92,24.559999,23.610001,24.5,24.5,335000,1326124800.0,0.5799999999999983,2.4247491638795915
2022-04-05,24.450001,24.879999,23.57,23.85,23.85,315100,1355508055.44,-0.6000009999999989,-2.453991719673136
2022-04-06,23.459999,23.5,22.426001,22.98,22.98,606300,1300622344.56,-0.4799989999999994,-2.046031630265625
2022-04-07,22.98,23.305,21.98,22.6,22.6,538700,1274011200.0,-0.379999999999999,-1.6536118363794559
2022-04-08,22.6,23.030001,21.969999,22.450001,22.450001,367400,1252944000.0,-0.1499990000000011,-0.6637123893805358
2022-04-11,22.25,23.02,21.886,22.700001,22.700001,376500,1233540000.0,0.4500010000000003,2.0224764044943835
2022-04-12,23.0,23.25,22.110001,22.27,22.27,447900,1275120000.0,-0.7300000000000004,-3.1739130434782625
2022-04-13,22.27,22.780001,21.985001,22.540001,22.540001,451800,1234648800.0,0.2700010000000006,1.2123978446340395
2022-04-14,22.360001,22.76,22.200001,22.25,22.25,412400,1239638455.44,-0.11000100000000046,-0.4919543608249412
2022-04-18,22.17,22.65,21.364,22.450001,22.450001,472200,1229104800.0,0.2800009999999986,1.262972485340544
2022-04-19,22.360001,23.66,22.186001,23.629999,23.629999,817100,1239638455.44,1.269998000000001,5.679776132389265
2022-04-20,23.799999,23.91,22.190001,23.639999,23.639999,732700,1319471944.56,-0.16000000000000014,-0.6722689358096198
