Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2007-02-01,20.0,22.0,20.0,20.1,4.856624,18300,974000000.0,0.10000000000000142,0.5000000000000071
2007-02-02,20.610001,20.610001,20.25,20.25,4.892867,14700,1003707048.7,-0.36000100000000046,-1.7467296580917218
2007-02-05,20.01,20.5,20.0,20.200001,4.880788,14200,974487000.0000001,0.19000099999999875,0.9495302348825525
2007-02-06,20.5,20.5,20.0,20.0,4.832464,44400,998350000.0,-0.5,-2.4390243902439024
2007-02-07,20.0,20.5,19.889999,20.07,4.849375,19600,974000000.0,0.07000000000000028,0.3500000000000014
2007-02-08,20.4,20.4,20.0,20.139999,4.86629,18800,993479999.9999999,-0.26000099999999904,-1.2745147058823483
2007-02-09,21.75,21.75,20.48,20.530001,4.960526,43400,1059225000.0,-1.2199990000000014,-5.6091908045977075
2007-02-12,20.5,21.9,20.26,20.52,4.958107,11300,998350000.0,0.019999999999999574,0.09756097560975402
2007-02-13,20.559999,21.0,20.25,20.450001,4.941193,10800,1001271951.3000001,-0.10999800000000093,-0.5350097536483388
2007-02-14,20.65,20.65,20.25,20.299999,4.904948,12700,1005654999.9999999,-0.3500009999999989,-1.694920096852295
2007-02-15,20.65,20.65,20.299999,20.49,4.950858,10100,1005654999.9999999,-0.16000000000000014,-0.7748184019370468
2007-02-16,20.799999,20.799999,20.15,20.24,4.890453,18100,1012959951.3,-0.5599990000000012,-2.6923030140530355
2007-02-20,20.1,20.200001,20.0,20.01,4.834879,17100,978870000.0000001,-0.08999999999999986,-0.44776119402985
2007-02-21,20.0,20.299999,20.0,20.24,4.890453,71100,974000000.0,0.23999999999999844,1.1999999999999922
2007-02-22,21.4,21.4,20.25,20.4,4.929112,22500,1042179999.9999999,-1.0,-4.672897196261683
2007-02-23,20.25,20.25,20.0,20.15,4.868704,15700,986175000.0,-0.10000000000000142,-0.4938271604938342
2007-02-26,19.75,20.1,19.700001,20.0,4.832464,53900,961825000.0,0.25,1.2658227848101267
2007-02-27,20.0,20.190001,20.0,20.0,4.832464,136600,974000000.0,0.0,0.0
2007-02-28,20.450001,20.450001,20.0,20.01,4.834879,61900,995915048.7,-0.44000099999999875,-2.151594026816912
2007-03-01,20.0,20.030001,20.0,20.0,4.832464,47200,974000000.0,0.0,0.0
2007-03-02,19.85,20.01,19.85,20.01,4.834879,76900,966695000.0000001,0.16000000000000014,0.8060453400503785
2007-03-05,19.889999,20.15,19.879999,20.0,4.832464,165400,968642951.3,0.11000100000000046,0.5530467849696747
2007-03-06,20.0,20.1,20.0,20.0,4.832464,49200,974000000.0,0.0,0.0
2007-03-07,20.0,20.09,20.0,20.0,4.832464,20400,974000000.0,0.0,0.0
2007-03-08,20.0,20.110001,20.0,20.0,4.832464,14000,974000000.0,0.0,0.0
2007-03-09,20.0,20.09,20.0,20.0,4.832464,8300,974000000.0,0.0,0.0
2007-03-12,20.15,20.15,20.0,20.01,4.834879,7500,981304999.9999999,-0.13999999999999702,-0.6947890818858413
2007-03-13,20.0,20.07,20.0,20.0,4.832464,10300,974000000.0,0.0,0.0
2007-03-14,20.0,20.09,19.950001,20.0,4.832464,12900,974000000.0,0.0,0.0
2007-03-15,20.0,20.0,19.9,19.969999,4.825213,4600,974000000.0,-0.030000999999998612,-0.15000499999999306
2007-03-16,20.0,20.120001,20.0,20.120001,4.861456,4400,974000000.0,0.12000099999999847,0.6000049999999924
2007-03-19,20.15,20.15,19.780001,19.969999,4.825213,14400,981304999.9999999,-0.1800009999999972,-0.8933052109181003
2007-03-20,19.799999,20.01,19.799999,20.0,4.907164,36100,964259951.3,0.20000100000000032,1.0101061116215224
2007-03-21,19.9,20.049999,19.9,20.0,4.907164,25400,969129999.9999999,0.10000000000000142,0.5025125628140775
2007-03-22,20.1,20.1,19.9,19.950001,4.894895,12000,978870000.0000001,-0.1499990000000011,-0.7462636815920453
2007-03-23,19.9,19.950001,19.9,19.940001,4.892443,11800,969129999.9999999,0.040001000000000175,0.20101005025125718
2007-03-26,19.940001,20.040001,19.52,19.65,4.821287,90700,971078048.6999999,-0.2900010000000002,-1.4543680313757266
2007-03-27,19.780001,19.82,19.5,19.77,4.85073,24100,963286048.6999999,-0.010000999999999038,-0.050561170345739814
2007-03-28,19.57,19.719999,19.33,19.469999,4.777122,17200,953059000.0,-0.1000009999999989,-0.5109913132345371
2007-03-29,19.32,19.780001,19.299999,19.4,4.759947,19000,940884000.0,0.0799999999999983,0.41407867494823136
2007-03-30,19.610001,19.610001,19.32,19.33,4.742773,4100,955007048.7,-0.28000100000000216,-1.4278479639037354
