Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2021-03-10,64.5,74.830002,60.5,69.5,69.5,97069300,37000425000.0,5.0,7.751937984496124
2021-03-11,74.93,77.779999,70.129997,73.900002,73.900002,59629300,42983594500.00001,-1.0299980000000062,-1.3746136393967785
2021-03-12,72.470001,72.959999,69.110001,69.699997,69.699997,19714700,41572416073.65,-2.770004,-3.8222767514519562
2021-03-15,70.019997,74.059998,66.25,72.150002,72.150002,19549800,40166971279.05,2.130004999999997,3.0419952745784853
2021-03-16,73.730003,78.0,73.18,77.0,77.0,30274400,42295216220.95,3.2699970000000036,4.43509679499132
2021-03-17,76.029999,79.099998,74.889999,76.790001,76.790001,10054100,43614608926.35,0.7600020000000001,0.9996080626017108
2021-03-18,76.0,77.0,66.800003,67.300003,67.300003,9627400,43597400000.0,-8.699996999999996,-11.447364473684205
2021-03-19,69.470001,72.699997,68.080002,70.5,70.5,6776500,39851466073.65,1.0299990000000037,1.4826529223743696
2021-03-22,71.809998,72.489998,69.540001,70.0,70.0,4238500,41193805352.7,-1.8099979999999931,-2.5205375997921533
2021-03-23,70.099998,71.75,67.629997,68.0,68.0,4456000,40212863852.7,-2.0999979999999994,-2.995717631832171
2021-03-24,69.970001,70.0,64.010002,64.5,64.5,5460000,40138291073.65,-5.470000999999996,-7.817637447225414
2021-03-25,62.009998,69.849998,60.689999,67.849998,67.849998,6283000,35572035352.700005,5.839999999999996,9.41783613668234
2021-03-26,67.889999,71.199997,64.769997,70.970001,70.970001,4531200,38945097926.35,3.0800019999999932,4.536753638779687
2021-03-29,69.0,69.089996,66.510002,67.029999,67.029999,4351600,39581850000.0,-1.9700009999999963,-2.8550739130434732
2021-03-30,66.980003,66.989998,64.474998,65.169998,65.169998,3394500,38423078720.95,-1.8100049999999896,-2.7023065376691453
2021-03-31,65.5,67.190002,64.57,64.830002,64.830002,4094900,37574075000.0,-0.6699980000000068,-1.0228977099236745
2021-04-01,66.800003,69.669998,65.900002,67.339996,67.339996,4063100,38319821720.950005,0.5399929999999955,0.8083727181868472
2021-04-05,70.139999,72.860001,68.559998,70.760002,70.760002,8609500,40235810426.35,0.620002999999997,0.8839506826910518
2021-04-06,71.239998,72.389999,70.760002,71.32,71.32,3915500,40866824852.7,0.08000199999999325,0.11229927322568602
