Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1983-09-12,0.0,6.875,6.5625,6.5625,2.293291,9340,0.0,6.5625,inf
1983-09-13,0.0,6.5625,6.25,6.25,2.184087,4520,0.0,6.25,inf
1983-09-14,0.0,6.5625,6.25,6.25,2.184087,1300,0.0,6.25,inf
1983-09-15,0.0,6.5625,6.25,6.25,2.184087,1540,0.0,6.25,inf
1983-09-16,0.0,6.5625,6.25,6.25,2.184087,1180,0.0,6.25,inf
1983-09-19,0.0,6.5625,6.25,6.25,2.184087,1800,0.0,6.25,inf
1983-09-20,0.0,6.5625,5.9375,5.9375,2.074883,1620,0.0,5.9375,inf
1983-09-21,0.0,6.5625,5.9375,5.9375,2.074883,1580,0.0,5.9375,inf
1983-09-22,0.0,6.5625,5.9375,5.9375,2.074883,3960,0.0,5.9375,inf
1983-09-23,0.0,6.25,5.9375,5.9375,2.074883,18660,0.0,5.9375,inf
1983-09-26,0.0,6.25,5.9375,5.9375,2.074883,10240,0.0,5.9375,inf
1983-09-27,0.0,5.625,5.0,5.0,1.747269,8060,0.0,5.0,inf
1983-09-28,0.0,5.625,5.3125,5.3125,1.856474,3940,0.0,5.3125,inf
1983-09-29,0.0,5.9375,5.3125,5.3125,1.856474,9500,0.0,5.3125,inf
1983-09-30,0.0,5.9375,5.3125,5.3125,1.856474,2080,0.0,5.3125,inf
1983-10-03,0.0,5.625,5.0,5.0,1.747269,3760,0.0,5.0,inf
1983-10-04,0.0,5.3125,4.6875,4.6875,1.638065,960,0.0,4.6875,inf
1983-10-05,0.0,5.625,5.0,5.0,1.747269,2060,0.0,5.0,inf
1983-10-06,0.0,5.625,5.3125,5.3125,1.856474,5760,0.0,5.3125,inf
1983-10-07,0.0,5.625,5.0,5.0,1.747269,5520,0.0,5.0,inf
1983-10-10,0.0,5.9375,5.3125,5.3125,1.856474,2940,0.0,5.3125,inf
1983-10-11,0.0,5.625,5.3125,5.3125,1.856474,800,0.0,5.3125,inf
1983-10-12,0.0,5.9375,5.625,5.625,1.965678,780,0.0,5.625,inf
1983-10-13,0.0,5.9375,5.3125,5.3125,1.856474,2380,0.0,5.3125,inf
1983-10-14,0.0,5.3125,5.0,5.0,1.747269,3440,0.0,5.0,inf
1983-10-17,0.0,5.3125,5.0,5.0,1.747269,1080,0.0,5.0,inf
1983-10-18,0.0,4.6875,4.0625,4.0625,1.419656,8260,0.0,4.0625,inf
1983-10-19,0.0,4.6875,4.0625,4.0625,1.419656,1900,0.0,4.0625,inf
1983-10-20,0.0,4.6875,4.0625,4.0625,1.419656,1960,0.0,4.0625,inf
