Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2017-01-27,25.75,25.809999,24.5,25.0,22.901173,8868600,1532382500.0,-0.75,-2.912621359223301
2017-01-30,25.16,26.139999,24.870001,25.65,23.496609,837200,1497271600.0,0.48999999999999844,1.9475357710651766
2017-01-31,26.0,26.0,25.040001,25.24,23.121021,462100,1547260000.0,-0.7600000000000016,-2.923076923076929
2017-02-01,25.34,25.365,24.9,25.25,23.13019,551100,1507983400.0,-0.08999999999999986,-0.3551696921862662
2017-02-02,25.049999,25.190001,24.870001,25.0,22.901173,277700,1490725440.49,-0.04999899999999968,-0.19959681435516097
2017-02-03,25.1,25.93,25.0,25.860001,23.688972,263700,1493701000.0,0.760000999999999,3.02789243027888
2017-02-06,25.66,26.879999,25.6,25.780001,23.615688,287700,1527026600.0,0.12000099999999847,0.4676578332034235
2017-02-07,25.76,26.0,25.51,25.780001,23.615688,60700,1532977600.0,0.02000099999999705,0.07764363354036122
2017-02-08,25.85,26.92,25.85,26.809999,24.559221,448800,1538333500.0,0.9599989999999998,3.713729206963249
2017-02-09,26.9,28.43,26.5,27.52,25.209608,363100,1600819000.0,0.620000000000001,2.3048327137546507
2017-02-10,28.389999,28.5,27.799999,28.0,25.649313,449300,1689488840.49,-0.38999899999999954,-1.3737196679718078
2017-02-13,28.049999,29.290001,28.0,28.860001,26.437113,594800,1669255440.49,0.8100020000000008,2.8877077678327217
2017-02-14,29.110001,29.165001,28.459999,28.51,26.116499,235200,1732336159.51,-0.6000009999999989,-2.0611507364771264
2017-02-15,28.700001,29.110001,28.389999,28.690001,26.281384,218800,1707937059.51,-0.010000000000001563,-0.034843204360869406
2017-02-16,28.75,28.76,27.09,27.219999,24.934795,223200,1710912500.0,-1.5300009999999986,-5.321742608695647
2017-02-17,26.92,27.879999,26.59,27.59,25.273739,279800,1602009200.0,0.6699999999999982,2.488855869242192
2017-02-21,27.700001,27.700001,26.440001,26.65,24.412651,425000,1648427059.51,-1.0500010000000017,-3.790617191674476
2017-02-22,27.280001,27.85,26.809999,27.49,25.182131,217100,1623432859.51,0.20999899999999982,0.7697910275003282
2017-02-23,27.469999,27.639999,26.51,27.0,24.733274,172000,1634739640.49,-0.4699990000000014,-1.7109538300310874
2017-02-24,27.1,27.99,26.9,27.74,25.41114,191900,1612721000.0,0.639999999999997,2.3616236162361512
2017-02-27,27.379999,28.700001,27.201,28.610001,26.208101,232700,1629383740.49,1.230001999999999,4.4923376366814285
2017-02-28,28.59,28.65,27.73,28.450001,26.061539,213800,1701390900.0,-0.13999899999999954,-0.4896782091640418
2017-03-01,28.549999,28.656,28.0,28.4,26.015732,139100,1699010440.49,-0.1499990000000011,-0.5253905613096558
2017-03-02,28.4,28.4,27.83,27.9,25.557707,86800,1690084000.0,-0.5,-1.7605633802816902
2017-03-03,27.9,28.200001,27.0,28.040001,25.685959,151200,1660329000.0,0.1400010000000016,0.501795698924737
2017-03-06,27.93,28.73,27.790001,27.84,25.502745,210600,1662114300.0,-0.08999999999999986,-0.32223415682062245
2017-03-07,28.17,28.27,25.889999,26.030001,23.844702,387900,1676396700.0,-2.139999000000003,-7.596730564430255
2017-03-08,26.040001,26.879999,25.040001,26.49,24.266081,421200,1549640459.51,0.44999899999999826,1.7281066924690145
2017-03-09,26.5,27.02,26.049999,26.690001,24.449297,180400,1577015000.0,0.19000099999999875,0.7169849056603727
2017-03-10,26.84,27.013,25.424999,25.92,23.743935,270800,1597248400.0,-0.9199999999999982,-3.4277198211624373
2017-03-13,26.120001,26.85,26.120001,26.549999,24.321041,170300,1554401259.51,0.4299980000000012,1.646240365764156
2017-03-14,26.290001,26.535,25.440001,26.209999,24.009592,117700,1564517959.51,-0.08000200000000035,-0.3043058081283464
2017-03-15,26.5,26.5,25.875,26.43,24.211124,189000,1577015000.0,-0.07000000000000028,-0.26415094339622747
2017-03-16,26.360001,27.0,25.795,26.5,24.275244,289700,1568683659.51,0.13999899999999954,0.5311039252236733
2017-03-17,26.75,27.790001,26.360001,27.27,24.980598,1492300,1591892500.0,0.5199999999999996,1.9439252336448583
2017-03-20,27.58,27.719999,27.32,27.65,25.328697,205700,1641285800.0,0.07000000000000028,0.2538071065989858
2017-03-21,27.639999,27.73,26.809999,27.110001,24.83403,249900,1644856340.49,-0.5299979999999991,-1.9175036873192326
2017-03-22,27.1,27.74,27.0,27.6,25.282894,102500,1612721000.0,0.5,1.8450184501845017
2017-03-23,27.450001,27.93,27.42,27.780001,25.447781,175800,1633549559.51,0.3299999999999983,1.2021857485542469
2017-03-24,27.610001,28.0,27.5,27.84,25.502745,191300,1643071159.51,0.2299989999999994,0.8330278582749758
2017-03-27,27.610001,27.92,27.5,27.74,25.41114,164100,1643071159.51,0.12999899999999798,0.4708402582093278
2017-03-28,27.629999,27.91,27.500999,27.809999,25.475266,163500,1644261240.49,0.17999999999999972,0.6514658216238072
2017-03-29,27.9,28.0,27.08,27.799999,25.466105,220900,1660329000.0,-0.1000009999999989,-0.3584265232974871
2017-03-30,27.73,28.049999,27.440001,27.9,25.557707,166800,1650212300.0,0.16999999999999815,0.6130544536602891
2017-03-31,27.809999,28.0,27.450001,27.57,25.255415,1287300,1654973040.49,-0.23999900000000096,-0.8629953564543493
2017-04-03,27.67,27.969999,26.75,27.620001,25.301212,346700,1646641700.0,-0.049999000000003235,-0.1806975063245509
2017-04-04,27.59,27.639999,27.129999,27.540001,25.227928,194100,1641880900.0,-0.04999899999999968,-0.18122145704965453
2017-04-05,27.469999,27.76,27.040001,27.280001,24.989765,329500,1634739640.49,-0.18999800000000278,-0.691656377563038
2017-04-06,27.190001,27.780001,27.110001,27.690001,25.365339,125200,1618076959.51,0.5,1.838911296840335
2017-04-07,27.549999,27.799999,27.389999,27.68,25.35618,102300,1639500440.49,0.13000100000000003,0.47187297538558903
2017-04-10,27.68,28.0,27.49,27.719999,25.392822,107700,1647236800.0,0.03999900000000167,0.14450505780347425
2017-04-11,27.620001,27.690001,27.24,27.57,25.255415,79300,1643666259.51,-0.050000999999998186,-0.1810318544159292
2017-04-12,27.41,27.5,26.790001,27.120001,24.843189,184900,1631169100.0,-0.28999900000000167,-1.0580043779642527
2017-04-13,27.09,27.879999,26.73,27.360001,25.063046,180300,1612125900.0,0.2700010000000006,0.9966814322628298
2017-04-17,27.379999,27.549999,27.059999,27.52,25.209608,64800,1629383740.49,0.14000099999999804,0.5113258039198542
