Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2013-05-02,14.0,14.0,13.0,13.52,4.225674,3757850,6764940000.0,-0.4800000000000004,-3.4285714285714315
2013-05-03,14.0,14.0,13.0,13.5,4.219425,2934900,6764940000.0,-0.5,-3.571428571428571
2013-05-06,13.5,13.98,13.32,13.82,4.31944,730400,6523335000.0,0.3200000000000003,2.3703703703703725
2013-05-07,13.8,14.26,13.8,14.2,4.438209,1409250,6668298000.0,0.3999999999999986,2.898550724637671
2013-05-08,14.4,14.58,14.0,14.12,4.413205,2697500,6958224000.0,-0.28000000000000114,-1.9444444444444524
2013-05-09,14.2,14.5,13.68,13.96,4.363199,992450,6861582000.0,-0.23999999999999844,-1.6901408450704116
2013-05-10,13.76,14.02,13.68,13.94,4.356946,2805150,6648969600.0,0.17999999999999972,1.3081395348837188
2013-05-13,14.0,14.12,13.54,13.7,4.281934,741300,6764940000.0,-0.3000000000000007,-2.142857142857148
2013-05-14,13.94,13.96,13.64,13.66,4.26943,1172450,6735947400.0,-0.27999999999999936,-2.0086083213773267
2013-05-15,13.94,13.94,13.0,13.1,4.094403,1811350,6735947400.0,-0.8399999999999999,-6.025824964131994
2013-05-16,13.4,14.08,13.4,14.0,4.375699,3307400,6475014000.0,0.5999999999999996,4.477611940298504
2013-05-17,14.28,14.28,13.7,13.84,4.325691,3300500,6900238800.0,-0.4399999999999995,-3.0812324929971955
2013-05-20,13.84,13.98,13.24,13.78,4.306938,1813150,6687626400.0,-0.0600000000000005,-0.43352601156069726
2013-05-21,13.76,13.88,13.42,13.8,4.313188,2351700,6648969600.0,0.040000000000000924,0.2906976744186114
2013-05-22,13.86,13.92,13.44,13.52,4.225674,3801300,6697290600.0,-0.33999999999999986,-2.4531024531024523
2013-05-23,13.26,14.0,12.72,13.88,4.338194,2112050,6407364600.0,0.620000000000001,4.67571644042233
2013-05-24,13.84,13.88,13.56,13.86,4.331944,644550,6687626400.0,0.019999999999999574,0.14450867052022812
2013-05-28,13.8,13.86,12.94,13.1,4.094403,2584150,6668298000.0,-0.7000000000000011,-5.0724637681159495
2013-05-29,12.84,13.5,12.7,13.48,4.213173,2034450,6204416400.0,0.6400000000000006,4.984423676012466
2013-05-30,13.5,13.76,13.38,13.66,4.26943,739700,6523335000.0,0.16000000000000014,1.1851851851851862
2013-05-31,13.4,13.7,13.32,13.68,4.275683,945450,6475014000.0,0.27999999999999936,2.0895522388059655
2013-06-03,13.38,13.76,13.1,13.58,4.244429,1527150,6465349800.0,0.1999999999999993,1.4947683109118033
2013-06-04,13.6,13.62,12.9,13.48,4.213173,1122350,6571656000.0,-0.11999999999999922,-0.8823529411764649
2013-06-05,13.4,13.66,13.32,13.44,4.200671,824000,6475014000.0,0.03999999999999915,0.2985074626865608
2013-06-06,13.42,13.5,13.3,13.48,4.213173,891400,6484678200.0,0.0600000000000005,0.4470938897168443
2013-06-07,13.5,13.5,13.0,13.1,4.094403,1198650,6523335000.0,-0.40000000000000036,-2.9629629629629655
2013-06-10,13.08,13.26,12.64,13.18,4.119408,1798500,6320386800.0,0.09999999999999964,0.7645259938837894
2013-06-11,12.68,12.9,12.32,12.84,4.056227,2270400,6127102800.0,0.16000000000000014,1.2618296529968467
2013-06-12,12.88,13.06,12.32,12.52,3.955137,1220100,6223744800.0,-0.3600000000000012,-2.79503105590063
2013-06-13,12.02,13.06,11.7,12.98,4.100453,2691500,5808184200.0,0.9600000000000009,7.986688851913485
2013-06-14,13.08,13.4,12.94,13.18,4.163635,858200,6320386800.0,0.09999999999999964,0.7645259938837894
2013-06-17,13.36,13.58,13.12,13.4,4.233134,1480950,6455685600.0,0.040000000000000924,0.29940119760479733
2013-06-18,13.4,13.5,13.22,13.36,4.220498,737750,6475014000.0,-0.040000000000000924,-0.2985074626865741
2013-06-19,13.36,13.44,13.08,13.14,4.150998,638900,6455685600.0,-0.21999999999999886,-1.6467065868263389
2013-06-20,13.32,13.32,12.8,12.92,4.081499,1756500,6436357200.0,-0.40000000000000036,-3.003003003003006
2013-06-21,13.08,13.1,12.16,12.96,4.094136,1534450,6320386800.0,-0.11999999999999922,-0.9174311926605444
2013-06-24,12.74,12.84,12.3,12.58,3.974092,2167400,6156095400.0,-0.16000000000000014,-1.2558869701726856
2013-06-25,12.62,13.02,12.56,12.94,4.087817,1336850,6098110200.0,0.3200000000000003,2.535657686212364
2013-06-26,12.92,13.32,12.82,12.9,4.075182,1831350,6243073200.0,-0.019999999999999574,-0.1547987616099038
2013-06-27,13.04,13.34,12.92,13.1,4.138362,1258800,6301058400.0,0.0600000000000005,0.4601226993865069
2013-06-28,13.16,13.52,13.06,13.48,4.258407,11326000,6359043600.0,0.3200000000000003,2.4316109422492422
2013-07-01,13.48,13.48,12.7,13.0,4.106771,1512450,6513670800.0,-0.4800000000000004,-3.5608308605341277
2013-07-02,12.98,13.2,12.78,12.9,4.075182,1564850,6272065800.0,-0.08000000000000007,-0.6163328197226507
2013-07-03,12.84,12.98,12.7,12.92,4.081499,559450,6204416400.0,0.08000000000000007,0.6230529595015583
2013-07-05,13.2,13.58,12.7,13.56,4.283679,1390850,6378372000.0,0.3600000000000012,2.7272727272727364
2013-07-08,13.56,13.66,13.32,13.46,4.252089,1130550,6552327600.0,-0.09999999999999964,-0.7374631268436552
2013-07-09,13.46,13.6,13.06,13.14,4.150998,947550,6504006600.0,-0.3200000000000003,-2.377414561664192
2013-07-10,13.1,13.28,12.88,13.26,4.188908,918050,6330051000.0,0.16000000000000014,1.2213740458015279
2013-07-11,13.32,13.34,13.1,13.34,4.214181,1341100,6436357200.0,0.019999999999999574,0.15015015015014693
2013-07-12,13.28,13.88,13.26,13.76,4.34686,1350700,6417028800.0,0.4800000000000004,3.6144578313253044
2013-07-15,13.8,13.86,13.5,13.6,4.296316,1198850,6668298000.0,-0.20000000000000107,-1.4492753623188481
2013-07-16,13.58,13.6,13.4,13.48,4.258407,1217550,6561991800.0,-0.09999999999999964,-0.7363770250368162
2013-07-17,13.5,13.66,13.4,13.48,4.258407,1070750,6523335000.0,-0.019999999999999574,-0.148148148148145
2013-07-18,13.56,13.72,13.48,13.58,4.289998,790450,6552327600.0,0.019999999999999574,0.14749262536872842
2013-07-19,13.42,13.58,13.22,13.26,4.188908,855250,6484678200.0,-0.16000000000000014,-1.1922503725782425
2013-07-22,13.14,13.34,13.1,13.28,4.195226,967000,6349379400.0,0.1399999999999988,1.065449010654481
2013-07-23,13.2,13.3,12.88,13.26,4.188908,1748100,6378372000.0,0.0600000000000005,0.45454545454545836
2013-07-24,13.2,13.22,12.88,13.04,4.119408,956200,6378372000.0,-0.16000000000000014,-1.2121212121212133
2013-07-25,12.86,13.14,12.84,13.1,4.138362,984400,6214080600.0,0.2400000000000002,1.8662519440124437
2013-07-26,12.96,13.14,12.7,12.84,4.056227,1490750,6262401600.0,-0.120000000000001,-0.9259259259259335
2013-07-29,12.68,13.0,12.6,12.82,4.049908,139500,6127102800.0,0.14000000000000057,1.1041009463722444
2013-07-30,12.9,13.34,12.74,13.28,4.195226,1059950,6233409000.0,0.379999999999999,2.9457364341085195
2013-07-31,13.4,13.5,13.18,13.26,4.188908,869650,6475014000.0,-0.14000000000000057,-1.0447761194029892
2013-08-01,13.26,13.56,13.14,13.56,4.283679,2560500,6407364600.0,0.3000000000000007,2.2624434389140324
2013-08-02,13.6,13.68,13.42,13.5,4.264725,1309900,6571656000.0,-0.09999999999999964,-0.7352941176470562
2013-08-05,13.38,13.48,13.24,13.32,4.207861,1264500,6465349800.0,-0.0600000000000005,-0.44843049327354634
2013-08-06,13.44,13.76,13.4,13.62,4.302632,1308300,6494342400.0,0.17999999999999972,1.3392857142857122
2013-08-07,13.66,13.92,13.32,13.7,4.327907,1886600,6600648600.0,0.03999999999999915,0.29282576866763654
2013-08-08,13.7,13.9,13.7,13.78,4.353178,688750,6619977000.0,0.08000000000000007,0.5839416058394167
2013-08-09,13.72,13.84,13.34,13.58,4.289998,770300,6629641200.0,-0.14000000000000057,-1.0204081632653101
2013-08-12,13.5,13.58,13.28,13.4,4.233134,718100,6523335000.0,-0.09999999999999964,-0.740740740740738
2013-08-13,13.4,13.46,13.1,13.3,4.201543,679250,6475014000.0,-0.09999999999999964,-0.7462686567164152
2013-08-14,13.26,13.4,13.04,13.06,4.125727,797850,6407364600.0,-0.1999999999999993,-1.5082956259426794
2013-08-15,13.0,13.0,12.6,12.64,3.993047,2020750,6281730000.0,-0.35999999999999943,-2.7692307692307647
2013-08-16,12.6,12.98,12.4,12.42,3.923545,1324100,6088446000.0,-0.17999999999999972,-1.4285714285714262
