Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2013-06-27,11.4,12.9,11.27,11.83,7.88466,951400,106476000.0,0.4299999999999997,3.7719298245614006
2013-06-28,11.75,12.3,11.35,12.0,7.997963,125400,109745000.0,0.25,2.127659574468085
2013-07-01,12.56,12.6,12.0,12.39,8.257897,46400,117310400.0,-0.16999999999999993,-1.3535031847133752
2013-07-02,12.75,12.75,11.56,11.65,7.76469,31900,119085000.0,-1.0999999999999996,-8.627450980392155
2013-07-03,11.77,11.99,11.65,11.73,7.818007,46300,109931800.0,-0.03999999999999915,-0.3398470688190242
2013-07-05,11.72,11.78,11.45,11.59,7.724699,65500,109464800.0,-0.13000000000000078,-1.109215017064853
2013-07-08,11.54,11.74,11.5,11.53,7.684711,29000,107783599.99999999,-0.009999999999999787,-0.0866551126516446
2013-07-09,11.46,11.7,11.25,11.7,7.798012,49700,107036400.00000001,0.23999999999999844,2.0942408376963213
2013-07-10,11.78,11.85,11.7,11.75,7.831341,5600,110025200.0,-0.02999999999999936,-0.25466893039048694
2013-07-11,12.48,12.8,11.97,12.58,8.384527,39200,116563200.0,0.09999999999999964,0.8012820512820484
2013-07-12,13.0,13.08,12.55,12.65,8.431185,24500,121420000.0,-0.34999999999999964,-2.69230769230769
2013-07-15,12.65,12.75,12.54,12.75,8.497834,15200,118151000.0,0.09999999999999964,0.7905138339920921
2013-07-16,12.8,12.99,12.25,12.99,8.657794,36100,119552000.0,0.1899999999999995,1.484374999999996
2013-07-17,12.98,12.98,11.7,12.61,8.40453,42100,121233200.0,-0.370000000000001,-2.850539291217265
2013-07-18,12.63,12.63,12.35,12.5,8.331214,41600,117964200.0,-0.13000000000000078,-1.0292953285827455
2013-07-19,12.54,12.55,12.11,12.26,8.171251,92700,117123599.99999999,-0.27999999999999936,-2.232854864433807
2013-07-22,12.75,13.97,12.5,12.9,8.59781,132000,119085000.0,0.15000000000000036,1.1764705882352968
2013-07-23,12.98,13.2,12.91,13.1,8.731109,49100,121233200.0,0.11999999999999922,0.9244992295839694
2013-07-24,13.0,14.04,13.0,13.71,9.137673,48100,121420000.0,0.7100000000000009,5.461538461538469
2013-07-25,14.3,14.3,13.65,14.25,9.497581,59700,133562000.0,-0.05000000000000071,-0.3496503496503546
2013-07-26,14.32,14.32,13.51,14.06,9.370946,79900,133748800.0,-0.2599999999999998,-1.815642458100557
2013-07-29,14.24,15.52,13.6,14.01,9.337624,249500,133001600.0,-0.23000000000000043,-1.6151685393258457
2013-07-30,14.05,14.45,13.45,13.63,9.084354,40900,131227000.0,-0.41999999999999993,-2.9893238434163694
2013-07-31,14.22,14.48,13.2,13.6,9.06436,27300,132814800.0,-0.620000000000001,-4.360056258790443
2013-08-01,13.87,13.87,13.0,13.4,8.93106,46600,129545800.0,-0.46999999999999886,-3.3886085075702876
2013-08-02,13.4,14.6,13.25,14.04,9.357617,126000,125156000.0,0.6399999999999988,4.776119402985065
2013-08-05,13.77,14.1,13.5,13.6,9.06436,39800,128611800.0,-0.16999999999999993,-1.2345679012345674
2013-08-06,13.57,13.84,13.52,13.82,9.210987,8900,126743800.0,0.25,1.8422991893883567
2013-08-07,13.8,13.8,13.5,13.5,8.997707,10200,128892000.0,-0.3000000000000007,-2.173913043478266
2013-08-08,13.98,14.22,13.25,13.58,9.05103,23700,130573200.0,-0.40000000000000036,-2.8612303290414904
2013-08-09,13.86,14.0,13.25,13.6,9.06436,31000,129452400.0,-0.2599999999999998,-1.8759018759018746
2013-08-12,13.64,13.83,13.01,13.6,9.06436,6300,127397600.0,-0.040000000000000924,-0.2932551319648162
2013-08-13,13.57,13.97,13.57,13.87,9.244311,12200,126743800.0,0.29999999999999893,2.21075902726602
2013-08-14,14.25,14.25,13.6,13.75,9.164331,25400,133095000.0,-0.5,-3.508771929824561
2013-08-15,13.61,13.96,13.5,13.96,9.304296,45200,127117400.0,0.3500000000000014,2.571638501102141
2013-08-16,14.0,14.23,13.5,14.0,9.330956,26500,130760000.0,0.0,0.0
2013-08-19,13.52,14.19,13.52,13.88,9.250978,47200,126276800.0,0.3600000000000012,2.6627218934911334
2013-08-20,13.85,14.25,13.5,14.0,9.330956,23100,129359000.0,0.15000000000000036,1.0830324909747318
2013-08-21,13.76,14.24,13.0,14.23,9.48425,19100,128518400.0,0.47000000000000064,3.415697674418609
2013-08-22,14.15,14.3,13.81,13.81,9.204324,16100,132161000.0,-0.33999999999999986,-2.4028268551236738
2013-08-23,14.17,14.2,14.0,14.2,9.464255,28300,132347800.0,0.02999999999999936,0.2117148906139687
2013-08-26,14.06,14.35,14.01,14.01,9.337624,15000,131320400.0,-0.05000000000000071,-0.3556187766714133
2013-08-27,14.0,14.0,13.07,13.53,9.017704,45500,130760000.0,-0.47000000000000064,-3.357142857142862
2013-08-28,13.37,13.46,12.63,12.77,8.511167,56500,124875800.0,-0.5999999999999996,-4.487658937920715
2013-08-29,12.8,13.0,11.46,12.48,8.317882,139300,119552000.0,-0.3200000000000003,-2.500000000000002
2013-08-30,12.6,12.6,12.16,12.23,8.151258,39200,117684000.0,-0.3699999999999992,-2.93650793650793
2013-09-03,12.7,12.79,11.9,12.11,8.071278,85400,118618000.0,-0.5899999999999999,-4.6456692913385815
2013-09-04,12.05,13.42,12.05,12.95,8.631134,29500,112547000.0,0.8999999999999986,7.46887966804978
2013-09-05,12.79,12.99,12.55,12.56,8.371201,21100,119458599.99999999,-0.22999999999999865,-1.79827990617669
2013-09-06,13.4,13.4,12.58,12.69,8.457845,8500,125156000.0,-0.7100000000000009,-5.298507462686573
2013-09-09,12.68,13.35,12.62,13.05,8.697787,38200,118431200.0,0.370000000000001,2.917981072555213
2013-09-10,12.64,13.9,12.64,13.2,8.797758,44700,118057600.0,0.5599999999999987,4.430379746835433
2013-09-11,13.04,13.81,12.53,13.12,8.744439,22600,121793599.99999999,0.08000000000000007,0.6134969325153381
2013-09-12,13.0,13.54,12.62,13.28,8.851079,53800,121420000.0,0.27999999999999936,2.153846153846149
2013-09-13,12.9,13.86,12.86,13.49,8.991043,26400,120486000.0,0.5899999999999999,4.5736434108527115
2013-09-16,13.58,14.27,13.36,13.57,9.044362,56800,126837200.0,-0.009999999999999787,-0.0736377025036803
2013-09-17,13.74,14.11,13.38,13.38,8.917729,19100,128331600.0,-0.35999999999999943,-2.6200873362445374
2013-09-18,13.66,13.79,13.31,13.39,8.924395,31000,127584400.0,-0.2699999999999996,-1.9765739385065855
2013-09-19,13.47,13.97,13.33,13.82,9.210987,40100,125809800.0,0.34999999999999964,2.5983667409057136
2013-09-20,13.7,13.85,12.5,12.5,8.331214,95700,127958000.0,-1.1999999999999993,-8.759124087591236
2013-09-23,12.84,13.85,12.62,13.65,9.097681,63900,119925600.0,0.8100000000000005,6.308411214953274
2013-09-24,13.64,13.81,13.12,13.56,9.0377,27000,127397600.0,-0.08000000000000007,-0.5865102639296192
2013-09-25,13.14,13.7,13.08,13.45,8.964384,49300,122727600.0,0.3099999999999987,2.3592085235920752
2013-09-26,13.29,13.61,13.01,13.57,9.044362,57100,124128599.99999999,0.28000000000000114,2.1068472535741245
2013-09-27,13.58,13.77,13.25,13.28,8.851079,76000,126837200.0,-0.3000000000000007,-2.209131075110462
2013-09-30,13.37,13.9,13.05,13.63,9.084354,627400,124875800.0,0.26000000000000156,1.9446522064323228
2013-10-01,13.57,14.24,13.48,13.99,9.324294,31800,126743800.0,0.41999999999999993,3.095062638172439
2013-10-02,13.95,13.95,13.63,13.7,9.131007,55200,130293000.0,-0.25,-1.792114695340502
2013-10-03,13.54,13.86,13.45,13.69,9.124342,15600,126463599.99999999,0.15000000000000036,1.107828655834567
2013-10-04,13.65,14.09,13.61,13.72,9.144339,27000,127491000.0,0.07000000000000028,0.5128205128205149
2013-10-07,13.75,14.05,13.48,13.73,9.151003,13300,128425000.0,-0.019999999999999574,-0.14545454545454234
2013-10-08,13.73,13.92,13.4,13.49,8.991043,25600,128238200.0,-0.2400000000000002,-1.747997086671524
2013-10-09,13.51,13.85,13.35,13.65,9.097681,13200,126183400.0,0.14000000000000057,1.0362694300518176
2013-10-10,13.67,14.11,13.67,14.1,9.397609,66800,127677800.0,0.4299999999999997,3.14557425018288
2013-10-11,14.17,15.0,14.01,14.85,9.897482,22400,132347800.0,0.6799999999999997,4.798870853916724
2013-10-14,14.88,15.07,14.49,14.9,9.930803,56800,138979200.0,0.019999999999999574,0.13440860215053477
2013-10-15,14.91,14.95,14.5,14.74,9.824166,31400,139259400.0,-0.16999999999999993,-1.1401743796109987
2013-10-16,14.85,14.85,14.58,14.64,9.757512,19700,138699000.0,-0.20999999999999908,-1.414141414141408
2013-10-17,14.63,14.75,14.53,14.63,9.750851,19800,136644200.0,0.0,0.0
2013-10-18,14.54,14.75,14.27,14.53,9.684199,61400,135803600.0,-0.009999999999999787,-0.06877579092159414
2013-10-21,14.59,14.73,14.41,14.5,9.664207,8900,136270600.0,-0.08999999999999986,-0.6168608636052081
2013-10-22,14.57,14.6,13.77,13.86,9.237646,75500,136083800.0,-0.7100000000000009,-4.873026767330136
2013-10-23,13.75,14.38,13.66,14.01,9.337624,60600,128425000.0,0.2599999999999998,1.8909090909090893
2013-10-24,14.13,14.26,13.95,14.25,9.497581,17100,131974200.0,0.11999999999999922,0.8492569002123087
2013-10-25,14.29,14.43,13.84,14.22,9.477585,15800,133468599.99999999,-0.06999999999999851,-0.48985304408676356
2013-10-28,14.51,14.51,14.0,14.39,9.590889,15300,135523400.0,-0.11999999999999922,-0.8270158511371414
2013-10-29,14.37,14.61,13.98,14.34,9.557567,32600,134215800.0,-0.02999999999999936,-0.2087682672233776
2013-10-30,14.3,14.56,13.87,14.2,9.464255,25100,133562000.0,-0.10000000000000142,-0.6993006993007091
2013-10-31,14.25,14.87,14.05,14.77,9.844163,29600,133095000.0,0.5199999999999996,3.649122807017541
2013-11-01,14.64,14.83,14.3,14.4,9.597554,25400,136737600.0,-0.2400000000000002,-1.6393442622950833
2013-11-04,14.47,15.0,14.47,14.75,9.830828,21200,135149800.0,0.27999999999999936,1.9350380096751856
2013-11-05,14.6,15.01,14.53,14.78,9.850825,16200,136364000.0,0.17999999999999972,1.2328767123287652
2013-11-06,14.69,14.88,14.2,14.77,9.844163,14000,137204600.0,0.08000000000000007,0.5445881552076247
2013-11-07,14.55,14.8,14.41,14.64,9.757512,11600,135897000.0,0.08999999999999986,0.6185567010309269
2013-11-08,14.71,15.15,14.2,14.8,9.864155,8300,137391400.0,0.08999999999999986,0.6118286879673682
2013-11-11,14.82,14.82,14.21,14.29,9.52424,22200,138418800.0,-0.5300000000000011,-3.5762483130904257
2013-11-12,14.2,14.3,14.2,14.3,9.530909,1700,132628000.0,0.10000000000000142,0.7042253521126861
2013-11-13,14.19,14.95,14.0,14.92,9.944137,9300,132534600.0,0.7300000000000004,5.144467935165613
2013-11-14,14.11,14.8,14.11,14.67,9.77751,42200,131787400.0,0.5600000000000005,3.9688164422395498
2013-11-15,14.62,14.89,14.52,14.7,9.797505,6400,136550800.0,0.08000000000000007,0.5471956224350211
2013-11-18,14.42,14.65,14.19,14.5,9.664207,84400,134682800.0,0.08000000000000007,0.5547850208044388
2013-11-19,14.5,14.79,14.36,14.7,9.797505,27200,135430000.0,0.1999999999999993,1.3793103448275814
2013-11-20,14.63,14.82,14.5,14.5,9.664207,7100,136644200.0,-0.13000000000000078,-0.8885850991114201
2013-11-21,14.63,14.85,14.46,14.74,9.824166,11300,136644200.0,0.10999999999999943,0.7518796992481164
