Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1980-03-17,0.0,1.375,1.041667,1.083333,0.925454,126000,0.0,1.083333,inf
1980-03-18,0.0,1.5,1.0,1.458333,1.245804,202200,0.0,1.458333,inf
1980-03-19,0.0,1.541667,1.458333,1.5,1.281398,66900,0.0,1.5,inf
1980-03-20,0.0,1.541667,1.291667,1.416667,1.21021,257100,0.0,1.416667,inf
1980-03-21,0.0,1.458333,1.375,1.416667,1.21021,22200,0.0,1.416667,inf
1980-03-24,0.0,1.416667,1.333333,1.333333,1.139021,35400,0.0,1.333333,inf
1980-03-25,0.0,1.291667,1.208333,1.291667,1.103427,31200,0.0,1.291667,inf
1980-03-26,0.0,1.333333,1.25,1.25,1.067832,26700,0.0,1.25,inf
1980-03-27,0.0,1.291667,1.083333,1.125,0.961049,142800,0.0,1.125,inf
1980-03-28,0.0,1.5,1.208333,1.458333,1.245804,78300,0.0,1.458333,inf
1980-03-31,0.0,1.583333,1.416667,1.458333,1.245804,114300,0.0,1.458333,inf
1980-04-01,0.0,1.458333,1.333333,1.333333,1.139021,83700,0.0,1.333333,inf
1980-04-02,0.0,1.458333,1.333333,1.416667,1.21021,57000,0.0,1.416667,inf
1980-04-03,0.0,1.458333,1.375,1.416667,1.21021,34500,0.0,1.416667,inf
1980-04-07,0.0,1.416667,1.375,1.416667,1.21021,25200,0.0,1.416667,inf
1980-04-08,0.0,1.416667,1.375,1.416667,1.21021,18000,0.0,1.416667,inf
1980-04-09,0.0,1.5,1.416667,1.458333,1.245804,47400,0.0,1.458333,inf
1980-04-10,0.0,1.583333,1.458333,1.541667,1.316993,64800,0.0,1.541667,inf
1980-04-11,0.0,1.541667,1.5,1.541667,1.316993,24000,0.0,1.541667,inf
1980-04-14,0.0,1.541667,1.416667,1.458333,1.245804,15300,0.0,1.458333,inf
1980-04-15,0.0,1.458333,1.375,1.458333,1.245804,14400,0.0,1.458333,inf
1980-04-16,0.0,1.458333,1.416667,1.416667,1.21021,23100,0.0,1.416667,inf
1980-04-17,0.0,1.458333,1.375,1.458333,1.245804,38400,0.0,1.458333,inf
1980-04-18,0.0,1.375,1.291667,1.333333,1.139021,61800,0.0,1.333333,inf
1980-04-21,0.0,1.375,1.333333,1.333333,1.139021,14400,0.0,1.333333,inf
1980-04-22,0.0,1.541667,1.375,1.458333,1.245804,81300,0.0,1.458333,inf
1980-04-23,0.0,1.541667,1.458333,1.5,1.281398,40800,0.0,1.5,inf
1980-04-24,0.0,1.583333,1.5,1.541667,1.316993,74400,0.0,1.541667,inf
1980-04-25,0.0,1.625,1.541667,1.625,1.388182,54300,0.0,1.625,inf
1980-04-28,0.0,1.625,1.541667,1.583333,1.352587,71400,0.0,1.583333,inf
1980-04-29,0.0,1.625,1.5,1.5,1.281398,82200,0.0,1.5,inf
1980-04-30,0.0,1.625,1.416667,1.458333,1.245804,264600,0.0,1.458333,inf
1980-05-01,0.0,1.583333,1.416667,1.583333,1.352587,811200,0.0,1.583333,inf
1980-05-02,0.0,1.666667,1.5,1.666667,1.423776,201300,0.0,1.666667,inf
1980-05-05,0.0,1.666667,1.5,1.5,1.281398,84900,0.0,1.5,inf
1980-05-06,0.0,1.541667,1.5,1.5,1.281398,36900,0.0,1.5,inf
1980-05-07,0.0,1.541667,1.375,1.416667,1.21021,58500,0.0,1.416667,inf
1980-05-08,0.0,1.458333,1.333333,1.333333,1.139021,131700,0.0,1.333333,inf
1980-05-09,0.0,1.458333,1.375,1.458333,1.245804,26100,0.0,1.458333,inf
1980-05-12,0.0,1.5,1.416667,1.458333,1.245804,50700,0.0,1.458333,inf
1980-05-13,0.0,1.583333,1.458333,1.583333,1.352587,119100,0.0,1.583333,inf
1980-05-14,0.0,1.583333,1.458333,1.5,1.281398,68400,0.0,1.5,inf
1980-05-15,0.0,1.5,1.458333,1.458333,1.245804,25800,0.0,1.458333,inf
1980-05-16,0.0,1.5,1.375,1.416667,1.21021,126600,0.0,1.416667,inf
1980-05-19,0.0,1.416667,1.333333,1.333333,1.139021,185700,0.0,1.333333,inf
1980-05-20,0.0,1.416667,1.333333,1.375,1.174615,39900,0.0,1.375,inf
1980-05-21,0.0,1.375,1.333333,1.333333,1.139021,13800,0.0,1.333333,inf
1980-05-22,0.0,1.375,1.333333,1.375,1.174615,36000,0.0,1.375,inf
1980-05-23,0.0,1.375,1.291667,1.333333,1.139021,199200,0.0,1.333333,inf
1980-05-27,0.0,1.333333,1.291667,1.333333,1.139021,157500,0.0,1.333333,inf
1980-05-28,0.0,1.333333,1.291667,1.291667,1.103427,17400,0.0,1.291667,inf
1980-05-29,0.0,1.333333,1.25,1.25,1.067832,23100,0.0,1.25,inf
1980-05-30,0.0,1.333333,1.25,1.25,1.067832,31200,0.0,1.25,inf
1980-06-02,0.0,1.291667,1.25,1.25,1.067832,43200,0.0,1.25,inf
1980-06-03,0.0,1.333333,1.25,1.333333,1.139021,44700,0.0,1.333333,inf
1980-06-04,0.0,1.375,1.291667,1.291667,1.103427,60600,0.0,1.291667,inf
1980-06-05,0.0,1.291667,1.208333,1.208333,1.032237,31800,0.0,1.208333,inf
1980-06-06,0.0,1.291667,1.208333,1.25,1.067832,37500,0.0,1.25,inf
1980-06-09,0.0,1.25,1.166667,1.166667,0.996643,41400,0.0,1.166667,inf
1980-06-10,0.0,1.25,1.166667,1.208333,1.032237,24000,0.0,1.208333,inf
1980-06-11,0.0,1.291667,1.208333,1.291667,1.103427,17100,0.0,1.291667,inf
1980-06-12,0.0,1.25,1.208333,1.25,1.067832,16800,0.0,1.25,inf
1980-06-13,0.0,1.25,1.208333,1.208333,1.032237,28200,0.0,1.208333,inf
1980-06-16,0.0,1.25,1.208333,1.25,1.067832,24600,0.0,1.25,inf
1980-06-17,0.0,1.25,1.208333,1.208333,1.032237,18000,0.0,1.208333,inf
1980-06-18,0.0,1.291667,1.208333,1.291667,1.103427,14700,0.0,1.291667,inf
1980-06-19,0.0,1.291667,1.25,1.25,1.067832,13500,0.0,1.25,inf
1980-06-20,0.0,1.291667,1.208333,1.208333,1.032237,29700,0.0,1.208333,inf
1980-06-23,0.0,1.291667,1.208333,1.291667,1.103427,11100,0.0,1.291667,inf
1980-06-24,0.0,1.291667,1.208333,1.291667,1.103427,8700,0.0,1.291667,inf
1980-06-25,0.0,1.291667,1.208333,1.25,1.067832,40500,0.0,1.25,inf
1980-06-26,0.0,1.25,1.208333,1.208333,1.032237,27600,0.0,1.208333,inf
1980-06-27,0.0,1.25,1.208333,1.208333,1.032237,33300,0.0,1.208333,inf
1980-06-30,0.0,1.291667,1.208333,1.291667,1.103427,57300,0.0,1.291667,inf
1980-07-01,0.0,1.291667,1.208333,1.25,1.067832,25200,0.0,1.25,inf
1980-07-02,0.0,1.291667,1.25,1.25,1.067832,32700,0.0,1.25,inf
1980-07-03,0.0,1.333333,1.25,1.291667,1.103427,44700,0.0,1.291667,inf
1980-07-07,0.0,1.333333,1.25,1.25,1.067832,45600,0.0,1.25,inf
1980-07-08,0.0,1.291667,1.208333,1.291667,1.103427,19200,0.0,1.291667,inf
1980-07-09,0.0,1.291667,1.25,1.291667,1.103427,14400,0.0,1.291667,inf
1980-07-10,0.0,1.291667,1.25,1.25,1.067832,4500,0.0,1.25,inf
