Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2021-11-18,52.0,56.200001,46.009998,49.5,49.5,11489600,5168800000.0,-2.5,-4.807692307692308
2021-11-19,45.5,53.222,43.23,53.0,53.0,2766900,4522700000.0,7.5,16.483516483516482
2021-11-22,51.52,51.799999,44.112999,44.380001,44.380001,1659000,5121088000.0,-7.139999000000003,-13.858693711180129
2021-11-23,44.84,46.82,39.0,39.380001,39.380001,1678800,4457096000.0,-5.459999000000003,-12.176625780553083
2021-11-24,38.0,43.349998,37.5,41.009998,41.009998,2234600,3777200000.0,3.009998000000003,7.9210473684210605
2021-11-26,40.0,40.554001,38.189999,40.049999,40.049999,438200,3976000000.0,0.04999899999999968,0.12499749999999922
2021-11-29,40.939999,42.27,39.610001,41.75,41.75,442700,4069435900.6,0.8100009999999997,1.9785076203836733
2021-11-30,41.900002,44.220001,38.18,38.18,38.18,541400,4164860198.8,-3.720002000000001,-8.878285972396853
2021-12-01,38.5,38.900002,32.57,32.66,32.66,1546800,3826900000.0,-5.840000000000003,-15.16883116883118
2021-12-02,33.540001,33.919998,29.9,30.67,30.67,3044500,3333876099.3999996,-2.870000999999995,-8.556949655427843
2021-12-03,30.4,31.32,24.33,24.82,24.82,3628800,3021760000.0,-5.579999999999998,-18.355263157894733
2021-12-06,25.6,27.450001,24.66,27.42,27.42,1943300,2544640000.0,1.8200000000000003,7.109375000000001
2021-12-07,28.52,31.6,27.6,30.9,30.9,1582700,2834888000.0,2.379999999999999,8.34502103786816
2021-12-08,31.16,34.490002,30.799999,33.0,33.0,1441800,3097304000.0,1.8399999999999999,5.905006418485237
2021-12-09,33.0,33.258999,30.200001,30.459999,30.459999,988500,3280200000.0,-2.540001,-7.696972727272727
2021-12-10,30.5,32.5,30.0,31.940001,31.940001,834900,3031700000.0,1.4400009999999988,4.721314754098357
2021-12-13,32.700001,33.849998,28.66,29.52,29.52,987000,3250380099.4,-3.1800010000000007,-9.724773402912131
2021-12-14,29.5,30.599001,28.360001,29.75,29.75,855900,2932300000.0,0.25,0.847457627118644
2021-12-15,30.18,31.83,29.15,30.809999,30.809999,380700,2999892000.0,0.6299990000000015,2.0874718356527553
2021-12-16,31.26,31.5,28.610001,30.059999,30.059999,1251200,3107244000.0,-1.2000010000000003,-3.83877479206654
2021-12-17,29.0,30.290001,27.389999,27.950001,27.950001,1371100,2882600000.0,-1.0499989999999997,-3.6206862068965506
2021-12-20,26.82,28.42,26.059999,27.139999,27.139999,735500,2665908000.0,0.31999899999999926,1.193135719612227
2021-12-21,27.16,28.9,26.08,28.799999,28.799999,754600,2699704000.0,1.6399989999999995,6.038287923416788
2021-12-22,28.799999,32.490002,28.6,29.809999,29.809999,1125500,2862719900.6,1.0100000000000016,3.5069445662133583
2021-12-23,29.5,32.32,29.5,31.360001,31.360001,458700,2932300000.0,1.8600010000000005,6.305088135593222
2021-12-27,31.17,36.330002,31.129999,35.029999,35.029999,1308300,3098298000.0,3.859998999999995,12.383699069618205
2021-12-28,34.880001,34.880001,30.51,30.84,30.84,990300,3467072099.4,-4.040001,-11.582571342242796
2021-12-29,30.610001,33.029999,29.65,31.389999,31.389999,475900,3042634099.4,0.7799979999999991,2.548180249977774
2021-12-30,31.799999,34.43,31.25,32.02,32.02,503600,3160919900.6,0.22000100000000344,0.6918270657807362
2021-12-31,32.0,33.439999,31.549999,32.0,32.0,388100,3180800000.0,0.0,0.0
2022-01-03,32.66,32.77,30.950001,31.48,31.48,614900,3246403999.9999995,-1.1799999999999962,-3.6129822412737176
2022-01-04,31.299999,32.07,28.780001,30.309999,30.309999,926700,3111219900.6,-0.9899999999999984,-3.162939398176973
2022-01-05,30.0,30.459999,25.629999,26.049999,26.049999,1536300,2982000000.0,-3.9500010000000003,-13.16667
2022-01-06,26.709999,27.457001,24.889999,26.99,26.99,1515400,2654973900.6,0.2800009999999986,1.0483003013216086
2022-01-07,26.209999,27.51,25.08,27.049999,27.049999,970300,2605273900.6,0.8399999999999999,3.204883754478586
2022-01-10,26.530001,27.68,25.52,27.219999,27.219999,783900,2637082099.4,0.6899980000000028,2.60082161323704
2022-01-11,27.219999,28.51,26.959999,27.41,27.41,411800,2705667900.6,0.19000099999999875,0.6980198639977861
2022-01-12,27.860001,28.91,27.16,27.91,27.91,577700,2769284099.4,0.04999899999999968,0.17946517661646774
2022-01-13,28.1,28.700001,27.01,27.190001,27.190001,972400,2793140000.0,-0.9099990000000027,-3.2384306049822156
2022-01-14,26.57,28.450001,25.549999,26.209999,26.209999,707900,2641058000.0,-0.36000100000000046,-1.3549153180278526
2022-01-18,25.299999,25.9,22.809999,23.68,23.68,1722800,2514819900.6,-1.619999,-6.403158355856061
2022-01-19,24.41,26.5,23.799999,25.01,25.01,829200,2426354000.0,0.6000000000000014,2.458009012699719
2022-01-20,25.32,27.35,24.610001,24.83,24.83,921200,2516808000.0,-0.490000000000002,-1.9352290679304975
2022-01-21,24.24,25.110001,23.1,24.549999,24.549999,636800,2409456000.0,0.30999900000000125,1.278873762376243
2022-01-24,23.219999,30.950001,21.299999,30.280001,30.280001,2781300,2308067900.6,7.060001999999997,30.404833350768
2022-01-25,28.129999,32.0,26.49,31.0,31.0,1652500,2796121900.6000004,2.8700009999999985,10.20263456106059
2022-01-26,31.0,33.240002,30.299999,31.200001,31.200001,1669100,3081400000.0,0.20000100000000032,0.6451645161290332
2022-01-27,31.129999,31.27,27.34,28.49,28.49,665100,3094321900.6000004,-2.639999000000003,-8.480562431113484
2022-01-28,27.98,29.709999,27.16,29.200001,29.200001,548000,2781212000.0,1.220001,4.360260900643316
2022-01-31,29.0,31.110001,28.424,30.25,30.25,606100,2882600000.0,1.25,4.310344827586207
2022-02-01,30.57,32.400002,29.709999,30.65,30.65,830300,3038658000.0,0.0799999999999983,0.2616944717042797
2022-02-02,31.02,31.02,27.0,28.0,28.0,925200,3083388000.0,-3.0199999999999996,-9.73565441650548
2022-02-03,27.26,28.780001,25.309999,26.469999,26.469999,707500,2709644000.0,-0.7900010000000002,-2.898022743947176
2022-02-04,26.59,27.639,25.77,26.799999,26.799999,378200,2643046000.0,0.20999899999999982,0.7897668296352005
2022-02-07,26.719999,29.200001,26.26,26.57,26.57,515800,2655967900.6,-0.1499990000000011,-0.5613735240035043
2022-02-08,26.389999,29.469999,26.049999,28.799999,28.799999,536400,2623165900.6,2.41,9.13224740933109
2022-02-09,29.120001,30.700001,28.870001,29.889999,29.889999,528400,2894528099.3999996,0.7699980000000011,2.644223810294516
2022-02-10,28.639999,33.259998,28.620001,30.549999,30.549999,790500,2846815900.6,1.9100000000000001,6.66899464626378
2022-02-11,30.57,31.700001,27.16,27.35,27.35,444100,3038658000.0,-3.219999999999999,-10.533202486097478
2022-02-14,27.549999,29.41,26.75,27.190001,27.190001,556600,2738469900.6,-0.35999800000000093,-1.306707851423156
2022-02-15,27.5,29.07,27.469999,28.74,28.74,472400,2733500000.0,1.2399999999999984,4.5090909090909035
2022-02-16,27.690001,28.17,26.799999,27.799999,27.799999,645000,2752386099.4,0.10999800000000093,0.3972480896624053
2022-02-17,27.1,27.969999,25.75,25.93,25.93,644500,2693740000.0,-1.1700000000000017,-4.31734317343174
