Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1980-03-17,0.0,2.366667,2.333333,2.333333,0.994207,18750,0.0,2.333333,inf
1980-03-18,0.0,2.333333,2.3,2.3,0.980003,4125,0.0,2.3,inf
1980-03-19,0.0,2.333333,2.333333,2.333333,0.994207,4125,0.0,2.333333,inf
1980-03-20,0.0,2.333333,2.3,2.3,0.980003,2625,0.0,2.3,inf
1980-03-21,0.0,2.266667,2.166667,2.2,0.937395,27750,0.0,2.2,inf
1980-03-24,0.0,2.166667,2.033333,2.033333,0.86638,28875,0.0,2.033333,inf
1980-03-25,0.0,2.033333,1.966667,2.0,0.852177,14625,0.0,2.0,inf
1980-03-26,0.0,2.0,1.933333,1.933333,0.823771,10125,0.0,1.933333,inf
1980-03-27,0.0,1.966667,1.833333,1.833333,0.781162,12375,0.0,1.833333,inf
1980-03-28,0.0,2.0,1.933333,2.0,0.852177,68250,0.0,2.0,inf
1980-03-31,0.0,2.0,1.866667,2.0,0.852177,51375,0.0,2.0,inf
1980-04-01,0.0,2.0,1.966667,2.0,0.852177,28125,0.0,2.0,inf
1980-04-02,0.0,2.0,1.966667,2.0,0.852177,11250,0.0,2.0,inf
1980-04-03,0.0,2.066667,2.0,2.0,0.852177,21750,0.0,2.0,inf
1980-04-07,0.0,2.066667,1.966667,2.033333,0.86638,9750,0.0,2.033333,inf
1980-04-08,0.0,2.066667,2.0,2.033333,0.86638,12750,0.0,2.033333,inf
1980-04-09,0.0,2.066667,2.033333,2.033333,0.86638,15750,0.0,2.033333,inf
1980-04-10,0.0,2.066667,1.966667,2.0,0.852177,22125,0.0,2.0,inf
1980-04-11,0.0,2.066667,1.966667,2.033333,0.86638,5250,0.0,2.033333,inf
1980-04-14,0.0,2.066667,2.0,2.033333,0.86638,8625,0.0,2.033333,inf
1980-04-15,0.0,2.1,1.866667,2.1,0.894785,6750,0.0,2.1,inf
1980-04-16,0.0,2.1,2.066667,2.066667,0.880583,9000,0.0,2.066667,inf
1980-04-17,0.0,2.033333,2.033333,2.033333,0.86638,6000,0.0,2.033333,inf
1980-04-18,0.0,2.066667,2.033333,2.066667,0.880583,9375,0.0,2.066667,inf
1980-04-21,0.0,2.066667,2.0,2.0,0.852177,14625,0.0,2.0,inf
1980-04-22,0.0,2.1,2.033333,2.066667,0.880583,13500,0.0,2.066667,inf
1980-04-23,0.0,2.066667,2.033333,2.066667,0.880583,15750,0.0,2.066667,inf
1980-04-24,0.0,2.1,2.0,2.033333,0.86638,13500,0.0,2.033333,inf
1980-04-25,0.0,2.066667,2.066667,2.066667,0.880583,375,0.0,2.066667,inf
1980-04-28,0.0,2.1,2.033333,2.1,0.894785,36750,0.0,2.1,inf
1980-04-29,0.0,2.133333,2.1,2.133333,0.908989,33750,0.0,2.133333,inf
1980-04-30,0.0,2.133333,2.1,2.1,0.894785,31875,0.0,2.1,inf
1980-05-01,0.0,2.133333,2.066667,2.1,0.894785,8250,0.0,2.1,inf
1980-05-02,0.0,2.1,2.066667,2.1,0.894785,8625,0.0,2.1,inf
1980-05-05,0.0,2.1,2.066667,2.1,0.894785,10500,0.0,2.1,inf
1980-05-06,0.0,2.1,2.066667,2.1,0.894785,7500,0.0,2.1,inf
1980-05-07,0.0,2.1,2.066667,2.066667,0.880583,13125,0.0,2.066667,inf
1980-05-08,0.0,2.1,2.066667,2.066667,0.880583,12000,0.0,2.066667,inf
1980-05-09,0.0,2.1,2.066667,2.066667,0.880583,28125,0.0,2.066667,inf
1980-05-12,0.0,2.133333,2.033333,2.133333,0.908989,10125,0.0,2.133333,inf
1980-05-13,0.0,2.2,2.166667,2.2,0.937395,20250,0.0,2.2,inf
1980-05-14,0.0,2.533333,2.266667,2.466667,1.051019,124125,0.0,2.466667,inf
1980-05-15,0.0,2.566667,2.5,2.5,1.065221,19125,0.0,2.5,inf
1980-05-16,0.0,2.666667,2.5,2.566667,1.093628,15750,0.0,2.566667,inf
1980-05-19,0.0,2.8,2.6,2.633333,1.122033,34500,0.0,2.633333,inf
1980-05-20,0.0,2.7,2.6,2.7,1.150439,18000,0.0,2.7,inf
1980-05-21,0.0,2.7,2.633333,2.633333,1.122033,2625,0.0,2.633333,inf
1980-05-22,0.0,2.666667,2.666667,2.666667,1.136236,9375,0.0,2.666667,inf
1980-05-23,0.0,2.666667,2.6,2.6,1.10783,17625,0.0,2.6,inf
1980-05-27,0.0,2.6,2.533333,2.6,1.10783,10500,0.0,2.6,inf
1980-05-28,0.0,2.6,2.6,2.6,1.10783,9000,0.0,2.6,inf
1980-05-29,0.0,2.6,2.566667,2.566667,1.093628,4500,0.0,2.566667,inf
1980-05-30,0.0,2.566667,2.5,2.533333,1.079424,5625,0.0,2.533333,inf
1980-06-02,0.0,2.566667,2.533333,2.533333,1.079424,7875,0.0,2.533333,inf
1980-06-03,0.0,2.533333,2.5,2.533333,1.079424,2250,0.0,2.533333,inf
1980-06-04,0.0,2.566667,2.5,2.5,1.065221,3000,0.0,2.5,inf
1980-06-05,0.0,2.533333,2.466667,2.466667,1.051019,4125,0.0,2.466667,inf
1980-06-06,0.0,2.533333,2.466667,2.466667,1.051019,5250,0.0,2.466667,inf
1980-06-09,0.0,2.5,2.5,2.5,1.065221,375,0.0,2.5,inf
