Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1995-09-19,58.0,61.0,54.0,58.0,58.0,1036900,4171940000.0,0.0,0.0
1995-09-20,60.0,60.0,55.0,56.5,56.5,180200,4315800000.0,-3.5,-5.833333333333333
1995-09-21,55.0,57.0,52.0,54.0,54.0,158400,3956150000.0,-1.0,-1.8181818181818181
1995-09-22,53.0,55.0,50.0,51.0,51.0,117000,3812290000.0,-2.0,-3.7735849056603774
1995-09-25,51.0,52.0,51.0,51.0,51.0,18825,3668430000.0,0.0,0.0
1995-09-26,52.0,52.0,49.0,49.0,49.0,42000,3740360000.0,-3.0,-5.769230769230769
1995-09-27,51.5,51.5,36.0,39.5,39.5,193875,3704395000.0,-12.0,-23.300970873786408
1995-09-28,39.5,44.0,38.0,42.0,42.0,66900,2841235000.0,2.5,6.329113924050633
1995-09-29,43.5,44.0,39.0,39.5,39.5,61900,3128955000.0,-4.0,-9.195402298850574
1995-10-02,41.0,41.0,37.0,41.0,41.0,37525,2949130000.0,0.0,0.0
1995-10-03,39.0,41.0,39.0,41.0,41.0,52875,2805270000.0,2.0,5.128205128205128
1995-10-04,39.0,41.0,34.0,35.0,35.0,34350,2805270000.0,-4.0,-10.256410256410255
1995-10-05,35.0,40.0,35.0,40.0,40.0,270050,2517550000.0,5.0,14.285714285714285
1995-10-06,40.0,46.0,38.0,43.0,43.0,124750,2877200000.0,3.0,7.5
1995-10-09,43.0,46.0,42.0,45.0,45.0,54325,3092990000.0,2.0,4.651162790697675
1995-10-10,42.0,44.0,42.0,42.0,42.0,56325,3021060000.0,0.0,0.0
1995-10-11,44.0,46.0,42.0,46.0,46.0,31150,3164920000.0,2.0,4.545454545454546
1995-10-12,46.0,49.0,44.0,47.0,47.0,59675,3308780000.0,1.0,2.1739130434782608
1995-10-13,49.0,49.0,47.0,47.5,47.5,41425,3524570000.0,-1.5,-3.061224489795918
1995-10-16,49.0,49.0,47.0,48.0,48.0,40100,3524570000.0,-1.0,-2.0408163265306123
1995-10-17,47.0,50.0,47.0,50.0,50.0,32550,3380710000.0,3.0,6.382978723404255
1995-10-18,50.0,55.0,47.0,53.0,53.0,93750,3596500000.0,3.0,6.0
1995-10-19,54.0,57.0,53.0,53.0,53.0,119375,3884220000.0,-1.0,-1.8518518518518516
1995-10-20,53.0,56.0,53.0,53.0,53.0,30625,3812290000.0,0.0,0.0
1995-10-23,53.0,56.0,52.0,53.0,53.0,23500,3812290000.0,0.0,0.0
1995-10-24,53.0,53.0,52.0,53.0,53.0,26600,3812290000.0,0.0,0.0
1995-10-25,53.0,54.0,52.0,54.0,54.0,15175,3812290000.0,1.0,1.8867924528301887
1995-10-26,54.0,54.0,52.0,52.0,52.0,41375,3884220000.0,-2.0,-3.7037037037037033
1995-10-27,52.0,54.0,50.0,50.0,50.0,45250,3740360000.0,-2.0,-3.8461538461538463
1995-10-30,49.0,50.0,46.0,46.0,46.0,9925,3524570000.0,-3.0,-6.122448979591836
1995-10-31,46.0,49.0,46.0,49.0,49.0,2550,3308780000.0,3.0,6.521739130434782
1995-11-01,49.0,49.0,46.0,47.0,47.0,6500,3524570000.0,-2.0,-4.081632653061225
1995-11-02,45.0,45.0,41.0,43.0,43.0,8925,3236850000.0,-2.0,-4.444444444444445
1995-11-03,44.0,44.0,42.0,42.0,42.0,24850,3164920000.0,-2.0,-4.545454545454546
1995-11-06,44.0,44.0,42.0,42.0,42.0,8800,3164920000.0,-2.0,-4.545454545454546
1995-11-07,42.0,44.0,41.0,44.0,44.0,3775,3021060000.0,2.0,4.761904761904762
1995-11-08,41.0,44.0,39.0,41.5,41.5,10525,2949130000.0,0.5,1.2195121951219512
1995-11-09,42.0,42.0,39.0,40.0,40.0,28000,3021060000.0,-2.0,-4.761904761904762
1995-11-10,39.0,40.0,37.0,39.0,39.0,156500,2805270000.0,0.0,0.0
1995-11-13,40.0,44.0,38.5,41.0,41.0,22375,2877200000.0,1.0,2.5
1995-11-14,41.0,41.0,34.0,35.5,35.5,47450,2949130000.0,-5.5,-13.414634146341465
1995-11-15,38.0,40.0,35.0,37.0,37.0,32300,2733340000.0,-1.0,-2.631578947368421
1995-11-16,39.0,40.0,38.0,40.0,40.0,29400,2805270000.0,1.0,2.564102564102564
1995-11-17,38.0,42.0,38.0,42.0,42.0,35025,2733340000.0,4.0,10.526315789473683
1995-11-20,42.0,43.0,41.0,41.0,41.0,20550,3021060000.0,-1.0,-2.380952380952381
1995-11-21,43.0,43.0,40.0,41.5,41.5,6025,3092990000.0,-1.5,-3.488372093023256
1995-11-22,43.0,43.0,40.0,42.0,42.0,3525,3092990000.0,-1.0,-2.3255813953488373
1995-11-24,41.5,43.0,40.0,43.0,43.0,2850,2985095000.0,1.5,3.614457831325301
1995-11-27,43.0,43.0,35.0,38.0,38.0,14175,3092990000.0,-5.0,-11.627906976744185
1995-11-28,36.5,38.0,36.0,38.0,38.0,2625,2625445000.0,1.5,4.10958904109589
1995-11-29,37.0,39.0,37.0,39.0,39.0,11750,2661410000.0,2.0,5.405405405405405
1995-11-30,39.0,39.0,37.0,39.0,39.0,14850,2805270000.0,0.0,0.0
1995-12-01,39.0,39.0,37.0,39.0,39.0,8500,2805270000.0,0.0,0.0
1995-12-04,39.0,41.0,38.0,39.0,39.0,11975,2805270000.0,0.0,0.0
1995-12-05,39.0,41.0,39.0,41.0,41.0,9975,2805270000.0,2.0,5.128205128205128
1995-12-06,39.0,41.0,38.0,40.0,40.0,10975,2805270000.0,1.0,2.564102564102564
1995-12-07,40.0,40.0,37.0,39.0,39.0,4150,2877200000.0,-1.0,-2.5
1995-12-08,39.0,39.0,37.0,37.0,37.0,6875,2805270000.0,-2.0,-5.128205128205128
1995-12-11,37.0,39.0,36.0,38.0,38.0,5225,2661410000.0,1.0,2.7027027027027026
1995-12-12,36.0,36.0,28.0,30.0,30.0,188000,2589480000.0,-6.0,-16.666666666666664
1995-12-13,30.0,30.5,27.5,27.5,27.5,64750,2157900000.0,-2.5,-8.333333333333332
1995-12-14,29.5,30.5,27.5,29.5,29.5,18075,2121935000.0,0.0,0.0
1995-12-15,27.5,30.5,22.0,24.0,24.0,80500,1978075000.0,-3.5,-12.727272727272727
1995-12-18,24.5,24.5,23.0,24.0,24.0,62625,1762285000.0,-0.5,-2.0408163265306123
1995-12-19,23.0,24.0,21.0,23.0,23.0,60125,1654390000.0,0.0,0.0
1995-12-20,23.0,23.0,21.0,21.0,21.0,36025,1654390000.0,-2.0,-8.695652173913043
1995-12-21,23.0,24.0,21.0,24.0,24.0,212375,1654390000.0,1.0,4.3478260869565215
1995-12-22,23.5,27.0,23.5,26.5,26.5,120750,1690355000.0,3.0,12.76595744680851
1995-12-26,27.0,28.0,25.0,28.0,28.0,15700,1942110000.0,1.0,3.7037037037037033
1995-12-27,26.5,28.0,26.0,28.0,28.0,6775,1906145000.0,1.5,5.660377358490567
1995-12-28,27.0,28.0,26.0,27.0,27.0,64100,1942110000.0,0.0,0.0
1995-12-29,27.0,29.0,27.0,27.0,27.0,22925,1942110000.0,0.0,0.0
1996-01-02,29.0,29.0,27.0,28.5,28.5,22025,2085970000.0,-0.5,-1.7241379310344827
1996-01-03,29.0,30.0,27.0,29.0,29.0,17725,2085970000.0,0.0,0.0
1996-01-04,29.0,29.0,25.0,27.0,27.0,22775,2085970000.0,-2.0,-6.896551724137931
1996-01-05,27.0,27.0,25.0,26.0,26.0,4825,1942110000.0,-1.0,-3.7037037037037033
1996-01-08,25.0,27.0,25.0,25.0,25.0,3175,1798250000.0,0.0,0.0
1996-01-09,25.0,26.0,22.0,24.0,24.0,13425,1798250000.0,-1.0,-4.0
1996-01-10,22.0,24.0,22.0,24.0,24.0,7775,1582460000.0,2.0,9.090909090909092
1996-01-11,24.0,24.0,22.0,24.0,24.0,4550,1726320000.0,0.0,0.0
1996-01-12,23.5,24.0,22.0,24.0,24.0,6050,1690355000.0,0.5,2.127659574468085
1996-01-15,23.0,23.0,20.0,22.0,22.0,6900,1654390000.0,-1.0,-4.3478260869565215
1996-01-16,22.0,22.0,20.0,22.0,22.0,14200,1582460000.0,0.0,0.0
1996-01-17,23.0,23.0,21.0,23.0,23.0,7100,1654390000.0,0.0,0.0
1996-01-18,21.0,23.0,21.0,23.0,23.0,6850,1510530000.0,2.0,9.523809523809524
