Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2017-03-02,24.0,26.049999,23.5,24.48,24.48,217048900,33360000000.0,0.4800000000000004,2.0000000000000018
2017-03-03,26.389999,29.440001,26.059999,27.09,27.09,148166400,36682098610.0,0.7000010000000003,2.652523783725798
2017-03-06,28.17,28.25,23.77,23.77,23.77,72903000,39156300000.0,-4.400000000000002,-15.619453319133836
2017-03-07,22.209999,22.5,20.639999,21.440001,21.440001,71857800,30871898610.0,-0.7699980000000011,-3.4668979498828483
2017-03-08,22.030001,23.43,21.309999,22.809999,22.809999,49819100,30621701389.999996,0.7799980000000026,3.54061717927295
2017-03-09,23.17,23.68,22.51,22.709999,22.709999,25803200,32206300000.000004,-0.4600010000000019,-1.9853301683211126
2017-03-10,23.360001,23.4,22.0,22.07,22.07,18337600,32470401390.0,-1.2900010000000002,-5.52226431839622
2017-03-13,22.049999,22.15,20.959999,21.09,21.09,20605900,30649498610.0,-0.9599989999999998,-4.353737158899643
2017-03-14,20.9,20.98,20.15,20.58,20.58,20033200,29050999999.999996,-0.3200000000000003,-1.5311004784689008
2017-03-15,20.08,21.4,20.049999,20.77,20.77,24985900,27911199999.999996,0.6900000000000013,3.436254980079688
2017-03-16,20.65,20.690001,19.75,19.889999,19.889999,25630200,28703499999.999996,-0.760000999999999,-3.680392251815976
2017-03-17,19.799999,19.85,18.9,19.540001,19.540001,34252000,27521998610.0,-0.2599979999999995,-1.313121278440466
2017-03-20,19.940001,20.43,19.719999,19.93,19.93,21016000,27716601390.0,-0.010000999999999038,-0.050155463883873624
2017-03-21,20.040001,20.540001,19.549999,20.379999,20.379999,19801500,27855601390.0,0.33999800000000135,1.696596721726717
2017-03-22,20.65,22.25,20.52,21.82,21.82,47599300,28703499999.999996,1.1700000000000017,5.665859564164657
2017-03-23,22.690001,23.299999,22.219999,23.129999,23.129999,40645400,31539101390.0,0.4399980000000028,1.9391713556998202
2017-03-24,23.049999,23.1,22.34,22.74,22.74,17263200,32039498610.0,-0.30999900000000125,-1.3448981060693377
2017-03-27,23.09,24.4,22.6,23.83,23.83,48398200,32095100000.0,0.7399999999999984,3.204850584668681
2017-03-28,23.309999,23.360001,22.17,22.209999,22.209999,49889900,32400898610.0,-1.1000000000000014,-4.719004921450239
2017-03-29,21.77,22.709999,21.33,22.549999,22.549999,31475600,30260300000.0,0.7799990000000001,3.5829076711070287
2017-03-30,22.549999,22.85,22.0,22.23,22.23,17094300,31344498610.0,-0.31999899999999926,-1.4190643644817866
2017-03-31,22.049999,22.620001,22.0,22.530001,22.530001,15087100,30649498610.0,0.48000199999999893,2.176879917318812
2017-04-03,22.700001,22.9,22.110001,22.35,22.35,12521300,31553001390.0,-0.3500009999999989,-1.5418545576275475
2017-04-04,22.209999,22.67,21.879999,22.139999,22.139999,16313500,30871898610.0,-0.07000000000000028,-0.31517335953054426
2017-04-05,22.15,22.219999,20.67,20.700001,20.700001,26099300,30788499999.999996,-1.4499989999999983,-6.546270880361166
2017-04-06,20.76,20.76,20.030001,20.57,20.57,21933900,28856400000.000004,-0.19000000000000128,-0.9152215799614705
2017-04-07,20.68,21.08,20.6,20.82,20.82,10580900,28745200000.0,0.14000000000000057,0.6769825918762117
2017-04-10,21.09,21.27,20.700001,20.969999,20.969999,8629800,29315100000.0,-0.12000099999999847,-0.5689947842579349
2017-04-11,21.01,21.200001,20.34,20.700001,20.700001,13310700,29203900000.000004,-0.30999900000000125,-1.4754831032841562
2017-04-12,20.700001,20.83,20.18,20.219999,20.219999,9362600,28773001390.0,-0.48000199999999893,-2.3188501295241433
2017-04-13,20.200001,20.370001,19.809999,20.190001,20.190001,13600400,28078001390.0,-0.010000000000001563,-0.049504948044317244
2017-04-17,20.09,20.209999,19.799999,19.940001,19.940001,11714700,27925100000.0,-0.1499990000000011,-0.7466351418616282
2017-04-18,19.83,20.889999,19.73,20.549999,20.549999,15974700,27563699999.999996,0.7199990000000014,3.6308572869389883
2017-04-19,20.5,20.91,20.41,20.620001,20.620001,8737800,28495000000.0,0.12000099999999847,0.5853707317073096
2017-04-20,20.629999,21.26,20.620001,21.15,21.15,10025600,28675698610.000004,0.520000999999997,2.520606035899454
2017-04-21,21.370001,21.49,20.709999,20.93,20.93,7724300,29704301389.999996,-0.44000099999999875,-2.0589657436141384
2017-04-24,21.200001,21.299999,21.01,21.200001,21.200001,5928200,29468001390.0,0.0,0.0
2017-04-25,21.08,21.4,20.559999,21.34,21.34,9588000,29301199999.999996,0.26000000000000156,1.2333965844402353
2017-04-26,21.25,21.65,21.08,21.58,21.58,10141300,29537500000.0,0.3299999999999983,1.5529411764705803
2017-04-27,21.58,22.120001,21.58,22.01,22.01,10764400,29996199999.999996,0.43000000000000327,1.992585727525502
2017-04-28,22.049999,22.59,22.01,22.549999,22.549999,9031600,30649498610.0,0.5,2.2675737989829385
2017-05-01,22.66,22.84,22.110001,22.209999,22.209999,7959300,31497400000.0,-0.4500010000000003,-1.9858826125330995
2017-05-02,22.370001,22.370001,21.75,21.99,21.99,8135900,31094301389.999996,-0.38000100000000003,-1.6987080152566825
2017-05-03,21.799999,22.209999,21.632999,21.82,21.82,7074300,30301998610.0,0.0200010000000006,0.0917477106306317
2017-05-04,22.18,23.219999,21.9,22.59,22.59,19005400,30830200000.0,0.41000000000000014,1.8485121731289456
2017-05-05,23.08,23.25,22.51,23.190001,23.190001,12833900,32081199999.999996,0.11000100000000046,0.4766074523396901
2017-05-08,23.17,23.57,22.225,22.459999,22.459999,18088000,32206300000.000004,-0.7100010000000019,-3.0643116098403187
2017-05-09,22.700001,23.440001,22.674999,23.32,23.32,17935000,31553001390.0,0.619999,2.731273007432907
2017-05-10,23.110001,23.32,22.870001,22.98,22.98,47513200,32122901390.0,-0.13000100000000003,-0.5625313473590937
2017-05-11,17.959999,18.9,17.59,18.049999,18.049999,131859500,24964398610.0,0.08999999999999986,0.5011136136477505
2017-05-12,18.440001,19.48,18.16,19.139999,19.139999,68971000,25631601390.0,0.6999980000000008,3.796084392837076
2017-05-15,19.57,20.950001,19.49,20.74,20.74,69830000,27202300000.0,1.1699999999999982,5.978538579458345
2017-05-16,20.540001,20.879999,20.15,20.780001,20.780001,41017400,28550601390.0,0.23999999999999844,1.1684517444765385
2017-05-17,20.559999,20.59,19.690001,19.9,19.9,29254500,28578398610.0,-0.6599990000000027,-3.210112023838146
2017-05-18,19.860001,20.58,19.860001,20.27,20.27,16005000,27605401390.0,0.4099989999999991,2.0644460189100653
2017-05-19,20.42,20.639999,19.93,20.0,20.0,18960700,28383800000.000004,-0.4200000000000017,-2.0568070519099004
2017-05-22,20.139999,20.34,20.01,20.08,20.08,9151900,27994598610.0,-0.059999000000001246,-0.29790964736394104
2017-05-23,20.139999,20.299999,19.9,20.030001,20.030001,8239200,27994598610.0,-0.10999800000000093,-0.5461668592932946
2017-05-24,20.200001,20.620001,20.0,20.530001,20.530001,13659900,28078001390.0,0.3299999999999983,1.633663285462205
2017-05-25,20.16,21.940001,20.110001,21.93,21.93,24326000,28022400000.0,1.7699999999999996,8.779761904761903
2017-05-26,21.66,21.700001,21.07,21.219999,21.219999,13374000,30107400000.0,-0.44000099999999875,-2.031398891966753
2017-05-30,21.299999,21.58,21.01,21.450001,21.450001,9509400,29606998610.0,0.15000200000000063,0.704234774846706
2017-05-31,21.5,21.75,21.094,21.209999,21.209999,9507200,29885000000.0,-0.2900010000000002,-1.3488418604651171
2017-06-01,21.32,21.450001,21.190001,21.34,21.34,7146500,29634800000.0,0.019999999999999574,0.09380863039399424
2017-06-02,21.34,21.450001,21.0,21.09,21.09,9595400,29662600000.0,-0.25,-1.1715089034676665
2017-06-05,20.52,20.889999,20.139999,20.209999,20.209999,15225100,28522800000.0,-0.31000099999999975,-1.5107261208576985
2017-06-06,20.219999,20.440001,20.129999,20.360001,20.360001,6666400,28105798610.000004,0.14000199999999907,0.6923937038770331
2017-06-07,20.370001,20.489,19.450001,19.559999,19.559999,16977000,28314301389.999996,-0.8100019999999972,-3.9764455583482654
2017-06-08,19.4,19.4,18.18,18.85,18.85,32644900,26965999999.999996,-0.5499999999999972,-2.835051546391738
