Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2021-02-04,26.379999,26.5,18.9,18.9,18.9,3691600,659499975.0,-7.479999000000003,-28.35481153733176
2021-02-05,22.24,22.5,19.25,22.49,22.49,1531400,556000000.0,0.25,1.1241007194244605
2021-02-08,24.139999,24.459999,21.25,22.75,22.75,578100,603499975.0,-1.3899989999999995,-5.758073975065201
2021-02-09,21.549999,22.85,20.360001,20.5,20.5,283300,538749975.0,-1.0499989999999997,-4.8723853769088326
2021-02-10,21.01,21.452999,18.209999,19.0,19.0,617900,525250000.00000006,-2.0100000000000016,-9.566872917658264
2021-02-11,18.790001,19.879999,18.5,18.889999,18.889999,176200,469750025.0,0.09999799999999937,0.5321873053652278
2021-02-12,19.0,19.385,18.530001,19.280001,19.280001,160400,475000000.0,0.2800009999999986,1.4736894736842032
2021-02-16,19.66,20.68,19.030001,19.700001,19.700001,345300,491500000.0,0.040001000000000175,0.2034638860630731
2021-02-17,19.799999,21.290001,19.41,19.950001,19.950001,343200,494999975.0,0.15000200000000063,0.7575858968477758
2021-02-18,20.5,20.5,19.634001,19.92,19.92,181200,512500000.0,-0.5799999999999983,-2.8292682926829187
2021-02-19,20.0,20.365,19.5,19.889999,19.889999,141600,500000000.0,-0.11000100000000046,-0.5500050000000023
2021-02-22,19.879999,19.879999,18.309999,18.75,18.75,134900,496999975.00000006,-1.1299990000000015,-5.684099883506038
2021-02-23,18.549999,19.0,16.0,17.190001,17.190001,373600,463749975.0,-1.359998000000001,-7.331526001699521
2021-02-24,17.51,18.799999,16.379999,16.389999,16.389999,128900,437750000.00000006,-1.120001000000002,-6.396350656767573
2021-02-25,17.299999,17.98,15.45,16.290001,16.290001,265500,432499975.0,-1.0099979999999995,-5.838139065788383
2021-02-26,16.870001,17.159,15.565,16.5,16.5,257300,421750024.99999994,-0.37000099999999847,-2.193248239878578
2021-03-01,17.33,17.879999,16.870001,17.0,17.0,297400,433249999.99999994,-0.3299999999999983,-1.9042123485285536
2021-03-02,16.84,17.139999,15.93,16.110001,16.110001,224600,421000000.0,-0.7299989999999994,-4.334910926365792
2021-03-03,16.459999,16.99,15.21,15.74,15.74,157800,411499975.0,-0.7199989999999996,-4.37423477364731
2021-03-04,15.89,16.0,13.6,14.5,14.5,266900,397250000.0,-1.3900000000000006,-8.74764002517307
2021-03-05,14.94,15.35,13.0,15.05,15.05,282100,373500000.0,0.11000000000000121,0.7362784471218288
2021-03-08,16.200001,16.690001,15.1,15.5,15.5,202200,405000025.0,-0.7000010000000003,-4.320993560432498
2021-03-09,15.81,16.74,15.5,16.700001,16.700001,141700,395250000.0,0.8900009999999998,5.629354838709676
2021-03-10,16.5,16.799999,15.7,16.0,16.0,98600,412500000.0,-0.5,-3.0303030303030303
2021-03-11,16.58,17.110001,16.360001,16.459999,16.459999,128100,414499999.99999994,-0.12000099999999847,-0.723769601930027
2021-03-12,16.370001,16.57,16.02,16.49,16.49,84000,409250024.99999994,0.11999899999999997,0.7330421054952897
2021-03-15,16.5,16.58,15.75,15.88,15.88,101600,412500000.0,-0.6199999999999992,-3.7575757575757525
2021-03-16,15.92,16.360001,15.8,16.0,16.0,66800,398000000.0,0.08000000000000007,0.5025125628140708
2021-03-17,15.85,15.87,15.01,15.49,15.49,148900,396250000.0,-0.35999999999999943,-2.2712933753943183
2021-03-18,15.25,15.63,15.25,15.51,15.51,169300,381250000.0,0.2599999999999998,1.7049180327868836
2021-03-19,15.72,16.299999,15.355,15.48,15.48,1163000,393000000.0,-0.2400000000000002,-1.5267175572519098
2021-03-22,15.62,15.82,14.78,15.03,15.03,156900,390500000.0,-0.5899999999999999,-3.7772087067861704
2021-03-23,14.79,15.0,13.82,14.11,14.11,156000,369750000.0,-0.6799999999999997,-4.597701149425286
2021-03-24,14.1,14.335,13.5,13.5,13.5,143300,352500000.0,-0.5999999999999996,-4.255319148936168
2021-03-25,13.18,13.81,13.18,13.49,13.49,134300,329500000.0,0.3100000000000005,2.3520485584218553
2021-03-26,13.36,13.976,13.02,13.3,13.3,76900,334000000.0,-0.05999999999999872,-0.44910179640717607
2021-03-29,13.07,13.43,11.9,12.04,12.04,163700,326750000.0,-1.0300000000000011,-7.88064269319052
2021-03-30,11.77,12.35,11.75,12.3,12.3,114400,294250000.0,0.5300000000000011,4.5029736618521765
2021-03-31,12.35,14.8,12.35,14.53,14.53,285700,308750000.0,2.1799999999999997,17.65182186234818
2021-04-01,14.59,14.77,13.7,14.42,14.42,138100,364750000.0,-0.16999999999999993,-1.1651816312542833
2021-04-05,14.84,15.15,14.44,15.14,15.14,165900,371000000.0,0.3000000000000007,2.021563342318064
2021-04-06,14.95,15.18,14.06,14.24,14.24,35000,373750000.0,-0.7099999999999991,-4.749163879598656
2021-04-07,14.22,14.585,13.97,14.07,14.07,36800,355500000.0,-0.15000000000000036,-1.054852320675108
2021-04-08,14.21,14.81,13.64,14.79,14.79,77200,355250000.0,0.5799999999999983,4.081632653061212
2021-04-09,14.54,14.851,14.01,14.13,14.13,30100,363500000.0,-0.40999999999999837,-2.8198074277854084
2021-04-12,14.04,14.57,13.93,14.5,14.5,37300,351000000.0,0.46000000000000085,3.2763532763532823
2021-04-13,14.4,14.475,14.0,14.34,14.34,50200,360000000.0,-0.0600000000000005,-0.4166666666666701
2021-04-14,14.35,14.83,14.337,14.75,14.75,30500,358750000.0,0.40000000000000036,2.7874564459930338
2021-04-15,14.81,14.94,14.47,14.94,14.94,20700,370250000.0,0.129999999999999,0.8777852802160634
2021-04-16,14.94,14.94,13.89,14.12,14.12,38500,373500000.0,-0.8200000000000003,-5.488621151271756
2021-04-19,13.97,14.014,13.0,13.2,13.2,42800,349250000.0,-0.7700000000000014,-5.511811023622057
2021-04-20,13.12,13.79,12.67,12.98,12.98,88300,328000000.0,-0.1399999999999988,-1.0670731707316983
2021-04-21,13.06,14.11,12.83,13.96,13.96,54600,326500000.0,0.9000000000000004,6.891271056661565
2021-04-22,13.98,14.38,13.3,13.34,13.34,25000,349500000.0,-0.6400000000000006,-4.5779685264663845
2021-04-23,13.32,13.45,13.01,13.18,13.18,15400,333000000.0,-0.14000000000000057,-1.0510510510510553
2021-04-26,13.19,13.4,13.07,13.15,13.15,92900,329750000.0,-0.03999999999999915,-0.3032600454890004
2021-04-27,13.22,13.39,13.14,13.33,13.33,15100,330500000.0,0.10999999999999943,0.8320726172465918
2021-04-28,13.3,13.4,13.05,13.26,13.26,29500,332500000.0,-0.040000000000000924,-0.30075187969925504
2021-04-29,13.3,13.58,12.91,13.16,13.16,37500,332500000.0,-0.14000000000000057,-1.0526315789473726
2021-04-30,12.91,13.38,12.91,13.24,13.24,131200,322750000.0,0.33000000000000007,2.556158017041054
2021-05-03,13.25,14.1,13.19,13.2,13.2,110900,331250000.0,-0.05000000000000071,-0.3773584905660431
2021-05-04,13.14,13.3,12.0,12.08,12.08,98600,328500000.0,-1.0600000000000005,-8.066971080669715
2021-05-05,12.3,12.63,12.0,12.08,12.08,86600,307500000.0,-0.22000000000000064,-1.7886178861788666
2021-05-06,12.07,12.46,11.49,11.8,11.8,48200,301750000.0,-0.2699999999999996,-2.2369511184755555
2021-05-07,11.34,12.3,11.34,11.86,11.86,44100,283500000.0,0.5199999999999996,4.585537918871249
2021-05-10,11.74,11.74,10.78,10.83,10.83,71100,293500000.0,-0.9100000000000001,-7.7512776831345835
2021-05-11,10.44,10.8,9.66,10.16,10.16,117800,261000000.0,-0.27999999999999936,-2.6819923371647447
2021-05-12,9.6,10.11,9.6,9.69,9.69,191000,240000000.0,0.08999999999999986,0.9374999999999986
2021-05-13,9.68,10.35,9.53,10.2,10.2,73300,242000000.0,0.5199999999999996,5.371900826446277
2021-05-14,10.88,10.94,9.35,9.6,9.6,126000,272000000.0,-1.2800000000000011,-11.764705882352951
2021-05-17,9.33,9.42,9.05,9.1,9.1,91200,233250000.0,-0.23000000000000043,-2.4651661307609904
2021-05-18,9.15,9.695,9.09,9.23,9.23,165900,228750000.0,0.08000000000000007,0.8743169398907111
2021-05-19,9.23,9.92,9.23,9.73,9.73,198100,230750000.0,0.5,5.417118093174431
2021-05-20,9.81,13.29,9.81,12.66,12.66,1587400,245250000.0,2.8499999999999996,29.05198776758409
2021-05-21,12.577,15.12,12.14,13.01,13.01,687400,314425000.0,0.43299999999999983,3.4427923988232476
2021-05-24,13.24,14.02,12.633,13.68,13.68,161200,331000000.0,0.4399999999999995,3.32326283987915
2021-05-25,13.61,13.69,12.613,12.74,12.74,69600,340250000.0,-0.8699999999999992,-6.392358559882434
2021-05-26,12.92,13.115,12.29,12.39,12.39,70000,323000000.0,-0.5299999999999994,-4.102167182662534
2021-05-27,12.4,12.78,11.88,12.38,12.38,72800,310000000.0,-0.019999999999999574,-0.16129032258064172
2021-05-28,12.54,12.74,12.19,12.43,12.43,51100,313500000.0,-0.10999999999999943,-0.8771929824561358
2021-06-01,12.47,12.92,12.41,12.9,12.9,74500,311750000.0,0.4299999999999997,3.4482758620689635
2021-06-02,12.97,13.0,12.03,12.16,12.16,40200,324250000.0,-0.8100000000000005,-6.245181187355439
2021-06-03,12.1,12.61,11.78,12.54,12.54,62500,302500000.0,0.4399999999999995,3.6363636363636322
2021-06-04,12.56,12.679,12.16,12.24,12.24,36300,314000000.0,-0.3200000000000003,-2.5477707006369448
2021-06-07,12.22,12.481,11.9,12.07,12.07,61900,305500000.0,-0.15000000000000036,-1.227495908346975
2021-06-08,12.11,12.16,11.74,12.06,12.06,36200,302750000.0,-0.049999999999998934,-0.4128819157720804
2021-06-09,12.18,12.18,11.67,11.83,11.83,39400,304500000.0,-0.34999999999999964,-2.8735632183908018
2021-06-10,11.91,12.02,11.66,11.86,11.86,31600,297750000.0,-0.05000000000000071,-0.41981528127624446
2021-06-11,12.09,12.16,11.76,11.99,11.99,56000,302250000.0,-0.09999999999999964,-0.8271298593879209
2021-06-14,12.17,12.66,12.05,12.57,12.57,76100,304250000.0,0.40000000000000036,3.286770747740348
2021-06-15,12.54,12.62,12.07,12.42,12.42,64800,313500000.0,-0.11999999999999922,-0.9569377990430561
2021-06-16,12.5,12.99,12.43,12.71,12.71,44100,312500000.0,0.21000000000000085,1.6800000000000068
2021-06-17,12.64,13.0,12.455,12.63,12.63,45400,316000000.0,-0.009999999999999787,-0.07911392405063122
2021-06-18,12.34,12.86,11.7,11.7,11.7,127200,308500000.0,-0.6400000000000006,-5.186385737439227
2021-06-21,11.93,12.19,11.04,11.13,11.13,98100,298250000.0,-0.7999999999999989,-6.705783738474426
2021-06-22,11.12,11.37,10.72,11.12,11.12,103900,278000000.0,0.0,0.0
2021-06-23,11.04,11.47,11.02,11.13,11.13,74500,276000000.0,0.09000000000000163,0.8152173913043628
2021-06-24,11.26,11.36,10.95,11.22,11.22,63500,281500000.0,-0.03999999999999915,-0.3552397868561203
2021-06-25,11.41,11.41,10.75,10.95,10.95,420600,285250000.0,-0.46000000000000085,-4.031551270815082
2021-06-28,11.05,11.06,10.75,10.83,10.83,71900,276250000.0,-0.22000000000000064,-1.9909502262443497
2021-06-29,9.73,9.89,9.0,9.1,9.1,471500,243250000.0,-0.6300000000000008,-6.474820143884901
2021-06-30,9.1,9.89,9.05,9.76,9.76,274700,227500000.0,0.6600000000000001,7.2527472527472545
2021-07-01,9.32,9.45,9.03,9.08,9.08,144800,233000000.0,-0.2400000000000002,-2.5751072961373414
2021-07-02,9.22,9.278,8.76,8.98,8.98,87100,230500000.00000003,-0.2400000000000002,-2.6030368763557505
2021-07-06,8.9,8.97,8.5,8.83,8.83,84100,222500000.0,-0.07000000000000028,-0.7865168539325874
2021-07-07,8.7,8.94,8.41,8.43,8.43,64600,217499999.99999997,-0.2699999999999996,-3.1034482758620645
2021-07-08,8.13,8.5,8.04,8.37,8.37,57200,203250000.00000003,0.23999999999999844,2.9520295202951834
2021-07-09,8.54,9.037,8.26,8.91,8.91,88300,213499999.99999997,0.370000000000001,4.332552693208442
2021-07-12,8.9,8.91,8.07,8.12,8.12,74200,222500000.0,-0.7800000000000011,-8.764044943820238
2021-07-13,8.21,8.25,7.65,7.76,7.76,89000,205250000.00000003,-0.45000000000000107,-5.481120584652874
2021-07-14,7.72,7.9,6.8,6.97,6.97,143800,193000000.0,-0.75,-9.71502590673575
2021-07-15,6.8,7.2,6.8,7.11,7.11,75000,170000000.0,0.3100000000000005,4.5588235294117725
2021-07-16,7.15,7.435,7.02,7.23,7.23,38000,178750000.0,0.08000000000000007,1.1188811188811199
2021-07-19,7.04,7.09,6.91,6.99,6.99,41600,176000000.0,-0.04999999999999982,-0.7102272727272702
