Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1989-09-12,0.0,9.201975,9.049877,9.201975,4.073714,5095,0.0,9.201975,inf
1989-09-13,0.0,9.278025,9.201975,9.201975,4.073714,5753,0.0,9.201975,inf
1989-09-14,0.0,9.278025,9.125926,9.278025,4.107382,28107,0.0,9.278025,inf
1989-09-15,0.0,9.278025,9.125926,9.125926,4.040047,8547,0.0,9.125926,inf
1989-09-18,0.0,9.354074,9.125926,9.354074,4.141049,13807,0.0,9.354074,inf
1989-09-19,0.0,9.278025,9.201975,9.278025,4.130214,13642,0.0,9.278025,inf
1989-09-20,0.0,9.582222,9.201975,9.506173,4.231776,15122,0.0,9.506173,inf
1989-09-21,0.0,9.88642,9.658272,9.81037,4.367194,14793,0.0,9.81037,inf
1989-09-22,0.0,9.81037,9.734321,9.81037,4.367194,3616,0.0,9.81037,inf
1989-09-25,0.0,9.81037,9.582222,9.582222,4.265632,4109,0.0,9.582222,inf
1989-09-26,0.0,9.734321,9.658272,9.734321,4.333339,4109,0.0,9.734321,inf
1989-09-27,0.0,9.734321,9.658272,9.734321,4.333339,9862,0.0,9.734321,inf
1989-09-28,0.0,9.734321,9.734321,9.734321,4.333339,493,0.0,9.734321,inf
1989-09-29,0.0,9.81037,9.734321,9.81037,4.367194,2959,0.0,9.81037,inf
1989-10-02,0.0,10.342716,9.658272,10.342716,4.604175,19888,0.0,10.342716,inf
1989-10-03,0.0,11.02716,10.570864,10.951111,4.875008,31230,0.0,10.951111,inf
1989-10-04,0.0,11.02716,10.875062,10.951111,4.875008,17094,0.0,10.951111,inf
1989-10-05,0.0,11.02716,10.951111,10.951111,4.875008,8383,0.0,10.951111,inf
1989-10-06,0.0,11.10321,10.799012,10.799012,4.807299,16601,0.0,10.799012,inf
1989-10-09,0.0,10.875062,10.875062,10.875062,4.841155,1151,0.0,10.875062,inf
1989-10-10,0.0,11.179259,10.799012,11.179259,4.976567,10026,0.0,11.179259,inf
1989-10-11,0.0,11.407407,11.02716,11.407407,5.078135,15615,0.0,11.407407,inf
1989-10-12,0.0,11.711605,11.255309,11.407407,5.078135,12492,0.0,11.407407,inf
1989-10-13,0.0,11.483457,10.494815,10.494815,4.671884,13807,0.0,10.494815,inf
1989-10-16,0.0,10.646914,9.962469,10.646914,4.73959,14629,0.0,10.646914,inf
1989-10-17,0.0,11.407407,10.722963,11.255309,5.010426,6903,0.0,11.255309,inf
1989-10-18,0.0,11.863704,11.483457,11.559506,5.14584,10684,0.0,11.559506,inf
1989-10-19,0.0,11.635556,11.255309,11.331358,5.04428,11670,0.0,11.331358,inf
1989-10-20,0.0,11.255309,10.951111,11.10321,4.942715,4931,0.0,11.10321,inf
1989-10-23,0.0,11.02716,10.722963,10.951111,4.875008,25477,0.0,10.951111,inf
1989-10-24,0.0,10.951111,10.722963,10.722963,4.773446,7068,0.0,10.722963,inf
1989-10-25,0.0,10.951111,10.875062,10.951111,4.875008,4274,0.0,10.951111,inf
1989-10-26,0.0,10.951111,10.722963,10.722963,4.773446,4602,0.0,10.722963,inf
1989-10-27,0.0,10.875062,10.722963,10.722963,4.773446,3452,0.0,10.722963,inf
1989-10-30,0.0,10.951111,10.646914,10.951111,4.875008,4274,0.0,10.951111,inf
1989-10-31,0.0,10.951111,10.799012,10.799012,4.807299,7068,0.0,10.799012,inf
1989-11-01,0.0,10.875062,10.646914,10.875062,4.841155,2630,0.0,10.875062,inf
1989-11-02,0.0,10.646914,10.494815,10.646914,4.73959,50132,0.0,10.646914,inf
1989-11-03,0.0,10.799012,10.799012,10.799012,4.807299,1315,0.0,10.799012,inf
1989-11-06,0.0,10.875062,10.570864,10.646914,4.73959,4931,0.0,10.646914,inf
1989-11-07,0.0,10.646914,10.494815,10.494815,4.671884,657,0.0,10.494815,inf
1989-11-08,0.0,10.722963,10.418765,10.722963,4.773446,27449,0.0,10.722963,inf
1989-11-09,0.0,10.799012,10.570864,10.646914,4.73959,10684,0.0,10.646914,inf
1989-11-10,0.0,10.722963,10.494815,10.570864,4.705739,8547,0.0,10.570864,inf
1989-11-13,0.0,10.494815,10.342716,10.342716,4.604175,5424,0.0,10.342716,inf
1989-11-14,0.0,10.494815,10.190617,10.266667,4.570319,16272,0.0,10.266667,inf
1989-11-15,0.0,10.875062,10.342716,10.875062,4.841155,11999,0.0,10.875062,inf
1989-11-16,0.0,10.722963,10.494815,10.646914,4.73959,4602,0.0,10.646914,inf
1989-11-17,0.0,10.799012,10.646914,10.799012,4.807299,1151,0.0,10.799012,inf
1989-11-20,0.0,10.646914,10.418765,10.418765,4.638029,2630,0.0,10.418765,inf
1989-11-21,0.0,10.494815,10.342716,10.342716,4.604175,6246,0.0,10.342716,inf
1989-11-22,0.0,10.190617,10.114568,10.190617,4.536466,8218,0.0,10.190617,inf
1989-11-24,0.0,10.190617,10.190617,10.190617,4.536466,3945,0.0,10.190617,inf
1989-11-27,0.0,10.266667,10.190617,10.190617,4.536466,2137,0.0,10.190617,inf
1989-11-28,0.0,10.266667,10.038519,10.190617,4.536466,3452,0.0,10.190617,inf
1989-11-29,0.0,10.342716,10.114568,10.114568,4.502613,3780,0.0,10.114568,inf
1989-11-30,0.0,10.190617,10.114568,10.190617,4.536466,493,0.0,10.190617,inf
1989-12-01,0.0,10.266667,10.114568,10.114568,4.502613,3452,0.0,10.114568,inf
1989-12-04,0.0,10.494815,10.038519,10.342716,4.604175,7068,0.0,10.342716,inf
1989-12-05,0.0,10.418765,10.266667,10.342716,4.604175,4274,0.0,10.342716,inf
1989-12-06,0.0,10.190617,10.114568,10.114568,4.502613,493,0.0,10.114568,inf
1989-12-07,0.0,10.114568,10.038519,10.114568,4.502613,1644,0.0,10.114568,inf
1989-12-08,0.0,10.342716,9.962469,10.342716,4.604175,17752,0.0,10.342716,inf
1989-12-11,0.0,10.190617,10.038519,10.038519,4.468757,13807,0.0,10.038519,inf
1989-12-12,0.0,10.038519,10.038519,10.038519,4.468757,1315,0.0,10.038519,inf
1989-12-13,0.0,10.190617,9.88642,9.962469,4.434904,17259,0.0,9.962469,inf
1989-12-14,0.0,9.88642,9.506173,9.582222,4.265632,7068,0.0,9.582222,inf
1989-12-15,0.0,9.88642,9.582222,9.88642,4.401051,13807,0.0,9.88642,inf
1989-12-18,0.0,9.88642,9.734321,9.88642,4.424191,10848,0.0,9.88642,inf
1989-12-19,0.0,9.81037,9.658272,9.658272,4.322096,21203,0.0,9.658272,inf
1989-12-20,0.0,9.88642,9.582222,9.88642,4.424191,6575,0.0,9.88642,inf
1989-12-21,0.0,9.81037,9.658272,9.81037,4.390159,3452,0.0,9.81037,inf
1989-12-22,0.0,9.88642,9.81037,9.81037,4.390159,986,0.0,9.81037,inf
1989-12-26,9.81037,9.81037,9.81037,9.81037,4.390159,0,1434668508.8000002,0.0,0.0
1989-12-27,0.0,9.734321,9.734321,9.734321,4.356127,6246,0.0,9.734321,inf
1989-12-28,0.0,9.88642,9.81037,9.81037,4.390159,5260,0.0,9.81037,inf
1989-12-29,0.0,9.962469,9.658272,9.962469,4.458224,9369,0.0,9.962469,inf
1990-01-02,0.0,10.418765,9.88642,10.418765,4.662417,16601,0.0,10.418765,inf
1990-01-03,0.0,10.494815,10.190617,10.418765,4.662417,14464,0.0,10.418765,inf
1990-01-04,0.0,10.494815,10.418765,10.494815,4.696446,3780,0.0,10.494815,inf
1990-01-05,0.0,10.646914,10.418765,10.646914,4.764513,11341,0.0,10.646914,inf
1990-01-08,0.0,10.646914,10.418765,10.418765,4.662417,16601,0.0,10.418765,inf
1990-01-09,0.0,10.570864,10.342716,10.342716,4.628385,9040,0.0,10.342716,inf
1990-01-10,0.0,10.494815,10.190617,10.190617,4.56032,11013,0.0,10.190617,inf
1990-01-11,0.0,10.190617,9.88642,9.962469,4.458224,8547,0.0,9.962469,inf
1990-01-12,10.038519,10.038519,9.734321,9.962469,4.458224,13149,1468033018.5600002,-0.0760500000000004,-0.7575818703934354
1990-01-15,9.81037,9.81037,9.734321,9.734321,4.356127,1644,1434668508.8000002,-0.07604900000000114,-0.7751899265777044
1990-01-16,9.658272,9.658272,9.430123,9.658272,4.322096,12328,1412425697.28,0.0,0.0
1990-01-17,9.658272,9.88642,9.658272,9.88642,4.424191,4274,1412425697.28,0.22814799999999913,2.362203093886765
1990-01-18,9.734321,9.81037,9.658272,9.81037,4.390159,4602,1423547103.04,0.07604900000000114,0.7812460673939265
1990-01-19,9.88642,10.038519,9.734321,10.038519,4.492253,4274,1445790060.8,0.15209900000000154,1.5384638726657531
1990-01-22,10.038519,10.038519,9.88642,9.962469,4.458224,9369,1468033018.5600002,-0.0760500000000004,-0.7575818703934354
1990-01-23,10.038519,10.038519,9.734321,9.734321,4.356127,10026,1468033018.5600002,-0.3041980000000013,-3.0303075583161347
1990-01-24,9.658272,9.658272,9.506173,9.506173,4.254028,2630,1412425697.28,-0.15209899999999976,-1.5748055138641752
1990-01-25,9.658272,9.658272,9.582222,9.582222,4.288061,3123,1412425697.28,-0.0760500000000004,-0.7874079338415857
1990-01-26,9.582222,9.582222,9.430123,9.430123,4.219998,7397,1401304145.28,-0.15209899999999976,-1.5873040720617804
1990-01-29,9.354074,9.582222,9.354074,9.582222,4.288061,6246,1367939781.76,0.22814799999999913,2.4390228257762248
1990-01-30,9.658272,9.734321,9.582222,9.582222,4.288061,10355,1412425697.28,-0.0760500000000004,-0.7874079338415857
1990-01-31,9.582222,9.582222,9.430123,9.430123,4.219998,2466,1401304145.28,-0.15209899999999976,-1.5873040720617804
1990-02-01,9.354074,9.506173,9.278025,9.354074,4.185964,12328,1367939781.76,0.0,0.0
1990-02-02,9.354074,9.354074,9.201975,9.354074,4.185964,11999,1367939781.76,0.0,0.0
1990-02-05,9.506173,9.582222,9.201975,9.278025,4.151932,15122,1390182739.52,-0.2281480000000009,-2.3999984010389976
1990-02-06,9.430123,9.506173,9.430123,9.430123,4.219998,2301,1379061187.52,0.0,0.0
1990-02-07,9.354074,9.582222,9.354074,9.582222,4.288061,4767,1367939781.76,0.22814799999999913,2.4390228257762248
1990-02-08,9.734321,9.88642,9.430123,9.582222,4.288061,17094,1423547103.04,-0.15209899999999976,-1.562502407718009
1990-02-09,9.506173,9.734321,9.430123,9.734321,4.356127,13149,1390182739.52,0.22814799999999913,2.399998401038979
1990-02-12,9.734321,9.734321,9.506173,9.506173,4.254028,24326,1423547103.04,-0.22814799999999913,-2.343748475111917
1990-02-13,9.430123,9.506173,9.430123,9.430123,4.219998,5424,1379061187.52,0.0,0.0
1990-02-14,9.278025,9.430123,9.278025,9.354074,4.185964,4602,1356818376.0,0.07604900000000114,0.8196679789071613
1990-02-15,9.354074,9.354074,9.278025,9.278025,4.151932,2301,1367939781.76,-0.07604900000000114,-0.8130040450824008
1990-02-16,9.430123,9.430123,9.278025,9.278025,4.151932,9698,1379061187.52,-0.1520980000000005,-1.612895187051118
1990-02-20,9.201975,9.430123,9.201975,9.201975,4.117902,8711,1345696823.9999998,0.0,0.0
1990-02-21,9.201975,9.354074,9.201975,9.354074,4.185964,14629,1345696823.9999998,0.15209900000000154,1.6528951665267677
1990-02-22,9.354074,9.354074,9.201975,9.278025,4.151932,14629,1367939781.76,-0.07604900000000114,-0.8130040450824008
1990-02-23,9.278025,9.430123,9.278025,9.430123,4.219998,16437,1356818376.0,0.1520980000000005,1.6393359578143034
1990-02-26,9.430123,9.430123,9.125926,9.125926,4.083869,13478,1379061187.52,-0.3041970000000003,-3.225800978417782
1990-02-27,9.354074,9.354074,9.125926,9.201975,4.117902,7890,1367939781.76,-0.15209900000000154,-1.6260187806938615
1990-02-28,9.201975,9.430123,9.201975,9.430123,4.219998,33860,1345696823.9999998,0.2281480000000009,2.4793373161739836
1990-03-01,9.430123,9.430123,9.430123,9.430123,4.219998,2466,1379061187.52,0.0,0.0
1990-03-02,9.430123,9.734321,9.430123,9.658272,4.322096,29586,1379061187.52,0.22814900000000016,2.4193639892077776
1990-03-05,9.734321,10.266667,9.658272,10.190617,4.56032,21696,1423547103.04,0.45629600000000003,4.687496950223853
1990-03-06,10.342716,11.10321,10.266667,11.10321,4.968707,89416,1512518787.84,0.7604940000000013,7.35294288270123
1990-03-07,11.255309,11.331358,10.799012,10.799012,4.832579,48159,1645976388.16,-0.45629700000000106,-4.054060177290566
1990-03-08,10.799012,10.799012,10.418765,10.418765,4.662417,25313,1579247514.8799999,-0.3802469999999989,-3.521127673531606
1990-03-09,10.722963,10.799012,10.418765,10.418765,4.662417,18245,1568126109.12,-0.3041979999999995,-2.8368837978830994
1990-03-12,10.570864,10.646914,10.494815,10.570864,4.730479,24326,1545883151.3600001,0.0,0.0
1990-03-13,10.418765,10.418765,10.190617,10.418765,4.662417,13642,1523640193.6000001,0.0,0.0
1990-03-14,10.418765,10.646914,10.190617,10.646914,4.764513,30079,1523640193.6000001,0.22814900000000016,2.1897892888456565
1990-03-15,10.722963,10.951111,10.646914,10.875062,4.866611,23669,1568126109.12,0.15209899999999976,1.4184418989415497
1990-03-16,10.875062,10.875062,10.570864,10.570864,4.753082,10519,1590369066.8799999,-0.3041979999999995,-2.7972070412104273
1990-03-19,10.494815,10.570864,10.418765,10.570864,4.753082,6410,1534761745.6,0.07604900000000114,0.7246340216573722
1990-03-20,10.418765,10.494815,10.342716,10.494815,4.718887,10026,1523640193.6000001,0.07604999999999862,0.7299329623040602
1990-03-21,10.494815,10.494815,10.418765,10.494815,4.718887,1315,1534761745.6,0.0,0.0
1990-03-22,10.494815,10.799012,10.494815,10.722963,4.821473,22190,1534761745.6,0.2281480000000009,2.1739115934868876
1990-03-23,10.722963,11.10321,10.722963,11.10321,4.992448,32380,1568126109.12,0.38024700000000067,3.5461000844636006
1990-03-26,11.255309,11.483457,11.10321,11.483457,5.163424,47995,1645976388.16,0.22814799999999913,2.0270256462972194
1990-03-27,11.559506,11.559506,11.255309,11.255309,5.060837,65089,1690462157.44,-0.3041970000000003,-2.6315743942690997
1990-03-28,11.255309,11.407407,11.255309,11.255309,5.060837,36818,1645976388.16,0.0,0.0
1990-03-29,11.255309,11.483457,11.255309,11.407407,5.129224,64761,1645976388.16,0.15209799999999873,1.3513445077340722
1990-03-30,11.407407,11.483457,11.10321,11.483457,5.163424,50296,1668219199.6799998,0.0760500000000004,0.6666721017317994
1990-04-02,11.483457,11.483457,10.951111,11.255309,5.060837,60487,1679340751.6799998,-0.22814799999999913,-1.9867536404760269
1990-04-03,11.10321,11.179259,10.875062,11.179259,5.026643,18080,1623733430.4,0.07604899999999937,0.6849280523380118
1990-04-04,11.02716,11.10321,10.875062,10.875062,4.889863,18080,1612611878.4,-0.1520980000000005,-1.3793034652621392
1990-04-05,10.875062,10.875062,10.266667,10.266667,4.616305,34188,1590369066.8799999,-0.6083949999999998,-5.594404887070987
1990-04-06,10.418765,10.418765,9.734321,9.734321,4.37694,19231,1523640193.6000001,-0.6844440000000009,-6.569339072337277
1990-04-09,9.88642,10.190617,9.88642,10.190617,4.582108,17587,1445790060.8,0.3041970000000003,3.0769176304466157
1990-04-10,10.114568,10.190617,10.038519,10.038519,4.513718,3287,1479154424.32,-0.07604899999999937,-0.751875908096118
1990-04-11,10.038519,10.342716,9.88642,9.962469,4.479524,18080,1468033018.5600002,-0.0760500000000004,-0.7575818703934354
1990-04-12,10.114568,10.418765,9.88642,9.962469,4.479524,14136,1479154424.32,-0.15209899999999976,-1.5037617029219612
1990-04-16,9.88642,10.266667,9.88642,10.266667,4.616305,8876,1445790060.8,0.38024700000000067,3.8461546242219193
1990-04-17,10.038519,10.038519,9.734321,9.81037,4.411136,24819,1468033018.5600002,-0.22814900000000016,-2.272735649551494
1990-04-18,9.734321,10.038519,9.734321,9.88642,4.445329,11013,1423547103.04,0.15209899999999976,1.562502407718009
1990-04-19,10.038519,10.114568,9.88642,9.88642,4.445329,1808,1468033018.5600002,-0.15209900000000154,-1.5151537791580763
1990-04-20,9.88642,9.88642,9.582222,9.734321,4.37694,17916,1445790060.8,-0.15209899999999976,-1.5384638726657351
1990-04-23,9.88642,9.88642,9.582222,9.582222,4.308549,9862,1445790060.8,-0.3041979999999995,-3.0769277453314703
1990-04-24,9.582222,9.658272,9.582222,9.658272,4.342745,1479,1401304145.28,0.0760500000000004,0.793657254027306
1990-04-25,9.506173,9.506173,9.278025,9.430123,4.24016,11670,1390182739.52,-0.0760500000000004,-0.8000064799998947
1990-04-26,9.278025,9.354074,9.201975,9.354074,4.205966,13807,1356818376.0,0.07604900000000114,0.8196679789071613
1990-04-27,9.201975,9.201975,9.125926,9.125926,4.103383,4931,1345696823.9999998,-0.07604899999999937,-0.8264421496472156
1990-04-30,9.278025,9.278025,9.049877,9.049877,4.069186,1151,1356818376.0,-0.22814799999999913,-2.4590147148773487
1990-05-01,9.125926,9.658272,9.125926,9.430123,4.24016,33695,1334575418.24,0.3041970000000003,3.33332748917754
1990-05-02,9.582222,9.582222,9.430123,9.506173,4.274353,5588,1401304145.28,-0.07604899999999937,-0.7936468180344743
1990-05-03,9.430123,9.430123,9.125926,9.278025,4.17177,5588,1379061187.52,-0.1520980000000005,-1.612895187051118
1990-05-04,9.125926,9.201975,9.125926,9.125926,4.103383,3287,1334575418.24,0.0,0.0
1990-05-07,9.125926,9.430123,9.125926,9.278025,4.17177,4602,1334575418.24,0.15209899999999976,1.6666692234848253
1990-05-08,9.278025,9.354074,9.201975,9.278025,4.17177,15944,1356818376.0,0.0,0.0
1990-05-09,9.278025,9.658272,9.278025,9.582222,4.308549,10355,1356818376.0,0.3041970000000003,3.2786826937845097
1990-05-10,9.658272,9.734321,9.506173,9.734321,4.37694,44379,1412425697.28,0.07604899999999937,0.7873975800225896
