Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2017-05-12,12.21,12.47,11.0,11.55,9.130157,4329500,373381800.0,-0.6600000000000001,-5.405405405405406
2017-05-15,11.95,12.0,11.41,11.75,9.28825,575100,365431000.0,-0.1999999999999993,-1.673640167364011
2017-05-16,11.88,12.25,11.62,12.03,9.50959,247400,363290400.0,0.14999999999999858,1.2626262626262506
2017-05-17,12.01,12.2,11.61,12.04,9.517493,263400,367265800.0,0.02999999999999936,0.24979184013321698
2017-05-18,12.02,12.07,11.76,12.0,9.485874,312100,367571600.0,-0.019999999999999574,-0.16638935108152725
2017-05-19,11.98,12.11,11.67,11.85,9.3673,166000,366348400.0,-0.13000000000000078,-1.0851419031719596
2017-05-22,11.95,12.05,11.75,11.83,9.35149,244900,365431000.0,-0.11999999999999922,-1.0041841004184036
2017-05-23,11.82,12.01,11.73,11.85,9.3673,149600,361455600.0,0.02999999999999936,0.25380710659897937
2017-05-24,11.81,12.01,11.72,12.0,9.485874,190200,361149800.0,0.1899999999999995,1.6088060965283615
2017-05-25,12.04,12.137,11.74,12.0,9.485874,284800,368183200.0,-0.03999999999999915,-0.3322259136212554
2017-05-26,11.96,12.015,11.77,11.98,9.470063,412700,365736800.0,0.019999999999999574,0.16722408026755495
2017-05-30,12.0,12.049,11.84,11.87,9.383111,436700,366960000.0,-0.13000000000000078,-1.0833333333333397
2017-05-31,11.79,11.94,11.3,11.5,9.090631,328800,360538200.0,-0.28999999999999915,-2.4597116200169564
2017-06-01,11.47,12.0,11.468,11.7,9.248728,171800,350752600.0,0.22999999999999865,2.00523103748909
2017-06-02,11.67,11.85,11.63,11.67,9.225014,124200,356868600.0,0.0,0.0
2017-06-05,11.63,11.77,11.5,11.56,9.138059,167600,355645400.0,-0.07000000000000028,-0.6018916595012922
2017-06-06,11.8,11.9,11.44,11.54,9.122249,571500,360844000.0,-0.26000000000000156,-2.203389830508488
2017-06-07,11.62,11.652,10.08,10.36,8.18947,738300,355339600.0,-1.2599999999999998,-10.843373493975902
2017-06-08,10.34,10.55,9.895,10.04,7.936514,534700,316197200.0,-0.3000000000000007,-2.9013539651837594
2017-06-09,10.1,10.24,9.93,9.97,7.881182,437800,308858000.0,-0.129999999999999,-1.2871287128712774
2017-06-12,10.05,10.55,10.05,10.39,8.213187,401100,307329000.0,0.33999999999999986,3.3830845771144267
2017-06-13,10.79,11.688,10.52,11.34,8.96415,558100,329958200.0,0.5500000000000007,5.097312326227995
2017-06-14,11.27,11.35,10.9,11.16,8.821861,370700,344636600.0,-0.10999999999999943,-0.9760425909494183
2017-06-15,11.08,11.38,10.56,11.13,8.798148,243600,338826400.0,0.05000000000000071,0.4512635379061436
2017-06-16,11.08,11.48,11.0,11.25,8.893009,379300,338826400.0,0.16999999999999993,1.5342960288808658
2017-06-19,11.28,11.38,10.9,11.26,8.900912,172200,344942400.0,-0.019999999999999574,-0.17730496453900332
2017-06-20,11.19,11.19,10.6,10.71,8.466144,205200,342190200.0,-0.47999999999999865,-4.289544235924922
2017-06-21,10.74,11.0,10.501,10.9,8.616333,143100,328429200.0,0.16000000000000014,1.4897579143389212
2017-06-22,10.83,11.05,10.11,10.31,8.149947,242200,331181400.0,-0.5199999999999996,-4.801477377654659
2017-06-23,10.21,10.8,10.21,10.73,8.481955,1175600,312221800.0,0.5199999999999996,5.0930460333006815
2017-06-26,10.8,10.89,10.6,10.74,8.489855,105100,330264000.0,-0.0600000000000005,-0.5555555555555601
2017-06-27,10.74,11.5,10.74,11.1,8.774434,168800,328429200.0,0.35999999999999943,3.351955307262564
2017-06-28,11.14,11.97,11.05,11.43,9.035295,168200,340661200.0,0.28999999999999915,2.603231597845594
2017-06-29,11.33,11.86,11.33,11.77,9.30406,125900,346471400.0,0.4399999999999995,3.8834951456310636
2017-06-30,11.77,11.9,11.47,11.53,9.114344,103900,359926600.0,-0.2400000000000002,-2.0390824129141905
2017-07-03,11.46,11.81,11.46,11.62,9.185488,195200,350446800.0,0.15999999999999837,1.396160558464209
2017-07-05,11.69,11.69,11.18,11.38,8.99577,140200,357480200.0,-0.3099999999999987,-2.6518391787852758
2017-07-06,11.4,11.96,11.181,11.61,9.177583,234900,348612000.0,0.20999999999999908,1.8421052631578867
2017-07-07,11.55,11.73,11.22,11.59,9.161774,177700,353199000.0,0.03999999999999915,0.3463203463203389
2017-07-10,11.6,12.01,11.04,11.98,9.470063,185700,354728000.0,0.3800000000000008,3.275862068965524
2017-07-11,11.96,12.2,11.778,12.0,9.485874,165500,365736800.0,0.03999999999999915,0.3344481605351099
2017-07-12,12.08,12.1,11.5,11.71,9.256631,101000,369406400.0,-0.3699999999999992,-3.0629139072847615
2017-07-13,11.67,12.0,11.211,11.95,9.446351,109300,356868600.0,0.27999999999999936,2.399314481576687
2017-07-14,11.87,12.24,11.53,12.09,9.557017,60300,362984600.0,0.22000000000000064,1.8534119629317662
2017-07-17,12.05,13.45,11.77,12.93,10.221029,347500,368489000.0,0.879999999999999,7.302904564315344
2017-07-18,13.02,13.16,12.8,12.88,10.181505,237700,398151600.0,-0.1399999999999988,-1.0752688172042917
2017-07-19,12.85,14.0,12.16,13.86,10.956184,396300,392953000.0,1.0099999999999998,7.859922178988326
2017-07-20,14.02,14.067,12.58,12.71,10.047122,348000,428731600.0,-1.3099999999999987,-9.3437945791726
2017-07-21,12.77,13.055,12.32,12.76,10.086645,121000,390506600.0,-0.009999999999999787,-0.07830853563038204
2017-07-24,12.75,12.89,12.36,12.72,10.055027,166600,389895000.0,-0.02999999999999936,-0.23529411764705382
2017-07-25,12.75,12.9,12.0,12.29,9.715116,154100,389895000.0,-0.46000000000000085,-3.607843137254909
2017-07-26,12.26,13.0,12.153,12.78,10.102455,281600,374910800.0,0.5199999999999996,4.2414355628058695
2017-07-27,12.81,13.422,12.53,12.94,10.228937,142400,391729800.0,0.129999999999999,1.0148321623731382
2017-07-28,12.83,13.38,12.78,13.1,10.355413,122400,392341400.0,0.2699999999999996,2.104442712392826
2017-07-31,13.17,13.24,12.74,13.05,10.315886,94200,402738600.0,-0.11999999999999922,-0.9111617312072834
2017-08-01,13.12,13.12,12.62,12.86,10.165697,85100,401209600.0,-0.2599999999999998,-1.9817073170731694
2017-08-02,12.9,12.92,12.49,12.57,9.936453,122700,394482000.0,-0.33000000000000007,-2.558139534883721
2017-08-03,12.75,12.84,12.45,12.66,10.007596,236300,389895000.0,-0.08999999999999986,-0.7058823529411754
2017-08-04,12.7,13.51,12.63,13.44,10.624181,261900,388366000.0,0.7400000000000002,5.826771653543309
2017-08-07,13.54,13.8,13.11,13.42,10.608371,193500,414053200.0,-0.11999999999999922,-0.8862629246676458
2017-08-08,13.27,13.45,12.85,12.99,10.268457,179000,405796600.0,-0.27999999999999936,-2.1100226073850745
2017-08-09,12.9,13.25,12.52,12.71,10.047122,84500,394482000.0,-0.1899999999999995,-1.4728682170542597
2017-08-10,12.25,12.58,11.71,12.12,9.58073,264500,374605000.0,-0.13000000000000078,-1.0612244897959247
2017-08-11,12.21,12.74,11.8,11.83,9.35149,189000,373381800.0,-0.3800000000000008,-3.1122031122031184
2017-08-14,11.93,13.09,11.9,12.3,9.723022,239800,364819400.0,0.370000000000001,3.101424979044434
2017-08-15,12.47,12.47,12.03,12.14,9.596542,101600,381332600.0,-0.33000000000000007,-2.64635124298316
2017-08-16,12.29,12.63,12.19,12.39,9.794165,147000,375828200.0,0.10000000000000142,0.8136696501220622
2017-08-17,12.29,12.45,12.07,12.27,9.699307,104500,375828200.0,-0.019999999999999574,-0.16273393002440664
2017-08-18,12.17,12.91,12.17,12.81,10.126174,220800,372158600.0,0.6400000000000006,5.258833196384557
2017-08-21,12.88,13.35,12.5,13.25,10.473986,157400,393870400.0,0.3699999999999992,2.8726708074534097
2017-08-22,13.36,13.57,12.91,13.49,10.663704,164300,408548800.0,0.13000000000000078,0.9730538922155748
2017-08-23,13.44,13.78,13.07,13.29,10.505607,164900,410995200.0,-0.15000000000000036,-1.1160714285714313
2017-08-24,13.3,13.865,13.06,13.54,10.703225,199100,406714000.0,0.23999999999999844,1.804511278195477
2017-08-25,13.6,13.955,12.27,13.27,10.489797,387900,415888000.0,-0.33000000000000007,-2.426470588235295
2017-08-28,13.38,13.43,12.96,13.23,10.458177,97900,409160400.0,-0.15000000000000036,-1.121076233183859
2017-08-29,13.09,13.59,13.01,13.45,10.632085,132300,400292200.0,0.35999999999999943,2.7501909854850988
2017-08-30,13.43,13.867,13.19,13.73,10.85342,132700,410689400.0,0.3000000000000007,2.233804914370817
2017-08-31,13.8,14.47,13.65,14.16,11.193332,247600,422004000.0,0.35999999999999943,2.6086956521739086
2017-09-01,14.16,14.48,13.875,14.43,11.406766,106700,433012800.0,0.2699999999999996,1.906779661016946
2017-09-05,14.38,14.99,14.38,14.75,11.659721,228600,439740400.0,0.3699999999999992,2.5730180806675884
2017-09-06,14.75,15.74,14.75,15.62,12.347446,229400,451055000.0,0.8699999999999992,5.898305084745757
2017-09-07,15.71,16.280001,14.71,14.84,11.730866,212700,480411800.0,-0.870000000000001,-5.5378739656269955
2017-09-08,14.81,14.81,14.06,14.32,11.319809,171900,452889800.0,-0.4900000000000002,-3.3085752869682663
2017-09-11,14.39,15.4,14.39,15.15,11.975917,150900,440046200.0,0.7599999999999998,5.2814454482279345
2017-09-12,15.14,16.058001,15.14,15.98,12.632023,307800,462981200.0,0.8399999999999999,5.548216644649933
2017-09-13,16.09,16.99,15.875,16.08,12.711071,329800,492032200.0,-0.010000000000001563,-0.06215040397763558
2017-09-14,16.280001,16.49,15.58,15.7,12.410687,214000,497842430.58,-0.5800009999999993,-3.5626594863231236
2017-09-15,15.8,16.23,15.52,15.96,12.616212,236100,483164000.0,0.16000000000000014,1.0126582278481022
2017-09-18,15.88,16.48,15.56,16.389999,12.956124,147300,485610400.0,0.5099989999999988,3.211580604533997
2017-09-19,16.32,16.370001,15.78,16.07,12.703167,116600,499065600.0,-0.25,-1.531862745098039
2017-09-20,16.059999,16.4,15.92,16.290001,12.877075,182900,491114769.42,0.23000199999999893,1.4321420567958871
2017-09-21,16.290001,16.440001,15.71,16.129999,12.750595,118700,498148230.58,-0.16000199999999865,-0.9822098844561068
2017-09-22,16.139999,16.530001,16.139999,16.42,12.97984,273800,493561169.41999996,0.28000100000000216,1.7348266254539557
2017-09-25,16.42,17.07,16.42,16.83,13.303939,117800,502123600.00000006,0.4099999999999966,2.496954933008505
2017-09-26,16.860001,17.719999,16.860001,17.41,13.762424,348300,515578830.58000004,0.5499989999999997,3.2621528314262833
2017-09-27,17.450001,17.658001,17.17,17.5,13.833569,223600,533621030.58,0.04999899999999968,0.28652720421047356
2017-09-28,17.6,17.6,17.129999,17.5,13.833569,203200,538208000.0,-0.10000000000000142,-0.5681818181818262
2017-09-29,17.5,17.5,17.299999,17.43,13.778232,105100,535150000.0,-0.07000000000000028,-0.40000000000000163
2017-10-02,17.27,17.5,17.120001,17.5,13.833569,93500,528116600.0,0.23000000000000043,1.3317892298784044
2017-10-03,17.48,17.700001,17.155001,17.26,13.643847,137000,534538400.0,-0.21999999999999886,-1.258581235697934
2017-10-04,17.35,17.450001,16.73,16.950001,13.398799,131600,530563000.00000006,-0.3999990000000011,-2.305469740634012
2017-10-05,17.07,17.709999,16.940001,17.559999,13.880998,180000,522000600.0,0.48999900000000096,2.870527240773292
2017-10-06,17.32,17.370001,17.02,17.07,13.493657,87800,529645600.0,-0.25,-1.443418013856813
2017-10-09,17.190001,17.67,17.040001,17.440001,13.786136,285700,525670230.58,0.25,1.4543338304634188
2017-10-10,17.52,17.610001,17.01,17.059999,13.485752,164700,535761600.0,-0.46000099999999833,-2.6255764840182554
2017-10-11,16.25,16.6,15.726,16.59,13.11422,364600,496925000.0,0.33999999999999986,2.0923076923076915
2017-10-12,16.459999,16.639999,16.18,16.530001,13.066793,131600,503346769.42,0.07000199999999879,0.4252855665422506
2017-10-13,16.73,16.74,16.040001,16.15,12.766406,156300,511603400.0,-0.5800000000000018,-3.466826060968331
2017-10-16,16.4,16.48,15.88,15.98,12.632023,95400,501511999.99999994,-0.41999999999999815,-2.5609756097560865
2017-10-17,16.18,16.18,15.73,15.88,12.552973,150300,494784400.0,-0.29999999999999893,-1.8541409147095111
2017-10-18,16.0,16.040001,14.761,14.98,11.841533,419900,489280000.0,-1.0199999999999996,-6.374999999999997
2017-10-19,14.92,15.4,14.91,15.02,11.873154,147100,456253600.0,0.09999999999999964,0.6702412868632683
2017-10-20,15.14,15.31,14.6,15.3,12.09449,108500,462981200.0,0.16000000000000014,1.0568031704095122
2017-10-23,15.26,15.57,15.14,15.32,12.1103,128100,466650800.0,0.0600000000000005,0.3931847968545249
2017-10-24,15.54,15.54,15.12,15.23,12.039153,118600,475213200.0,-0.3099999999999987,-1.9948519948519867
2017-10-25,15.12,15.12,14.24,14.28,11.288188,218800,462369600.0,-0.8399999999999999,-5.555555555555555
2017-10-26,14.26,14.805,14.03,14.7,11.620195,341500,436070800.0,0.4399999999999995,3.0855539971949475
2017-10-27,14.58,15.48,14.58,15.43,12.197253,100700,445856400.0,0.8499999999999996,5.829903978052124
2017-10-30,15.42,15.83,15.32,15.61,12.339541,99200,471543600.0,0.1899999999999995,1.2321660181582328
2017-10-31,15.66,16.280001,15.47,15.96,12.616212,119300,478882800.0,0.3000000000000007,1.9157088122605408
2017-11-01,16.139999,16.360001,15.82,16.07,12.703167,107100,493561169.41999996,-0.06999899999999926,-0.4336989116294199
2017-11-02,16.129999,16.15,15.76,15.79,12.481829,125400,493255369.4200001,-0.3399990000000024,-2.107867458640279
2017-11-03,15.46,16.370001,14.3,15.96,12.616212,480700,472766800.0,0.5,3.2341526520051747
2017-11-06,16.059999,16.67,16.040001,16.6,13.122128,311600,491114769.42,0.5400010000000002,3.362397469638698
2017-11-07,16.700001,18.118999,16.700001,17.870001,14.126051,442500,510686030.58,1.1699999999999982,7.005987604431869
2017-11-08,17.440001,18.42,16.43,17.280001,13.659661,636500,533315230.58,-0.16000000000000014,-0.9174311400555548
2017-11-09,16.959999,17.67,16.25,16.5,13.043075,732700,518636769.42,-0.4599989999999998,-2.712258414637877
2017-11-10,16.6,16.65,15.75,16.08,12.711071,3361900,507628000.00000006,-0.5200000000000031,-3.132530120481946
2017-11-13,16.059999,16.24,15.78,16.059999,12.695261,524800,491114769.42,0.0,0.0
2017-11-14,15.94,15.95,15.01,15.28,12.078682,640100,487445200.0,-0.6600000000000001,-4.140526976160603
2017-11-15,15.11,15.4,14.75,15.0,11.857344,309400,462063800.0,-0.10999999999999943,-0.7279947054930472
2017-11-16,15.01,15.1,14.75,14.96,11.825724,322500,459005800.0,-0.049999999999998934,-0.3331112591605525
2017-11-17,14.99,15.575,14.91,15.22,12.031252,299000,458394200.0,0.23000000000000043,1.534356237491664
2017-11-20,15.14,16.25,15.14,16.200001,12.805931,445000,462981200.0,1.0600009999999997,7.001327608982826
2017-11-21,16.200001,16.84,16.07,16.49,13.035172,283000,495396030.58,0.2899989999999981,1.7901171734495454
2017-11-22,16.6,17.299999,16.469999,16.76,13.248606,400900,507628000.00000006,0.16000000000000014,0.9638554216867478
2017-11-24,16.889999,17.450001,16.790001,16.889999,13.351369,420000,516496169.41999996,0.0,0.0
2017-11-27,16.98,17.209,16.26,16.459999,13.011459,158500,519248400.0,-0.5200010000000006,-3.062432273262665
2017-11-28,16.43,16.66,15.41,15.99,12.639928,273100,502429400.0,-0.4399999999999995,-2.6780279975654264
2017-11-29,15.98,16.23,15.38,15.68,12.394876,364800,488668400.0,-0.3000000000000007,-1.877346683354197
2017-11-30,15.78,16.32,15.67,16.200001,12.805931,310300,482552400.0,0.42000100000000096,2.6616032953105258
2017-12-01,16.27,16.879999,16.27,16.690001,13.193269,409800,497536600.0,0.4200009999999992,2.581444376152423
2017-12-04,16.77,16.99,16.66,16.83,13.303939,272100,512826600.0,0.05999999999999872,0.3577817531305827
2017-12-05,16.77,16.99,16.700001,16.74,13.232796,234800,512826600.0,-0.030000000000001137,-0.17889087656530195
2017-12-06,16.639999,16.67,15.91,16.110001,12.734785,298300,508851169.41999996,-0.5299979999999991,-3.185084326026697
2017-12-07,16.17,16.32,15.79,15.95,12.608306,244600,494478600.00000006,-0.22000000000000242,-1.3605442176870897
2017-12-08,16.0,16.440001,15.94,16.24,12.837549,142700,489280000.0,0.23999999999999844,1.4999999999999902
2017-12-11,16.48,17.6,16.32,17.379999,13.738709,572000,503958400.0,0.8999990000000011,5.461158980582531
2017-12-12,17.379999,18.93,17.200001,18.620001,14.718916,581000,531480369.4200001,1.240001999999997,7.134649432373368
2017-12-13,18.65,19.549999,18.57,18.82,14.877009,844600,570317000.0,0.1700000000000017,0.9115281501340574
2017-12-14,18.75,18.895,18.030001,18.26,14.43434,392100,573375000.0,-0.48999999999999844,-2.6133333333333253
2017-12-15,18.49,19.790001,18.379999,19.4,15.335497,1382200,565424200.0,0.9100000000000001,4.921579232017308
2017-12-18,19.6,19.691999,18.98,19.07,15.074634,347000,599368000.0,-0.5300000000000011,-2.704081632653067
2017-12-19,19.059999,19.4,18.639999,18.67,14.758442,375800,582854769.4200001,-0.38999899999999954,-2.046164850270976
2017-12-20,18.82,19.57,18.51,19.389999,15.327591,793700,575515600.0,0.5699989999999993,3.0286875664186996
2017-12-21,19.43,20.299999,19.34,19.950001,15.770267,608000,594169400.0,0.5200010000000006,2.6762789500772035
2017-12-22,20.049999,20.219999,19.57,20.15,15.928367,197600,613128969.42,0.1000009999999989,0.4987581296138663
2017-12-26,20.15,21.02,19.799999,20.93,16.544943,248800,616187000.0,0.7800000000000011,3.8709677419354898
2017-12-27,20.98,21.344999,20.52,21.15,16.718853,418800,641568400.0,0.16999999999999815,0.8102955195424125
2017-12-28,21.32,21.83,20.91,21.68,17.13781,276300,651965600.0,0.35999999999999943,1.6885553470919297
2017-12-29,21.889999,22.01,20.833,21.41,16.924385,219800,669396169.42,-0.4799989999999994,-2.1927776241561245
2018-01-02,21.469999,22.450001,21.32,22.370001,17.683252,431600,656552569.4200001,0.9000019999999971,4.191905178942938
2018-01-03,22.67,23.049999,21.91,22.42,17.722782,490100,693248600.0,-0.25,-1.102779003087781
2018-01-04,22.610001,23.389999,22.5,23.040001,18.212879,527500,691413830.58,0.4299999999999997,1.9018132728079036
2018-01-05,23.139999,23.98,22.85,23.459999,18.544884,576800,707621169.42,0.3200000000000003,1.3828868359069517
2018-01-08,23.66,23.719,22.84,22.870001,18.078497,365300,723522800.0,-0.7899990000000017,-3.3389644970414274
2018-01-09,23.01,23.280001,22.370001,22.98,18.165451,245800,703645800.0,-0.030000000000001137,-0.13037809647979634
2018-01-10,22.969999,23.09,22.5,23.08,18.244497,197900,702422569.4200001,0.1100009999999969,0.4788898771828283
2018-01-11,23.17,23.700001,22.299999,22.41,17.714874,678100,708538600.0,-0.7600000000000016,-3.2801035822183926
2018-01-12,22.629999,23.059999,21.02,21.790001,17.224771,626500,692025369.4200001,-0.8399980000000014,-3.7118782020273238
2018-01-16,22.01,22.01,19.65,19.98,15.793983,1058700,673065800.0,-2.030000000000001,-9.223080417991826
2018-01-17,20.0,21.18,19.860001,20.700001,16.363132,490800,611600000.0,0.7000010000000003,3.500005000000002
2018-01-18,20.59,20.93,20.209999,20.799999,16.442179,310000,629642200.0,0.20999899999999982,1.0199077221952395
2018-01-19,20.66,20.950001,20.34,20.9,16.521229,519400,631782800.0,0.23999999999999844,1.161665053242974
2018-01-22,20.889999,21.290001,20.73,21.0,16.600286,349600,638816169.42,0.11000100000000046,0.5265725479450739
2018-01-23,21.15,21.280001,20.809999,21.059999,16.647711,351400,646767000.0,-0.09000099999999733,-0.42553664302599215
2018-01-24,21.469999,22.629999,21.309999,22.16,17.517252,1143300,656552569.4200001,0.6900009999999988,3.2137914864364863
2018-01-25,22.299999,22.450001,20.389999,20.41,16.13389,427900,681933969.42,-1.8899989999999995,-8.47533221862476
2018-01-26,20.51,20.549999,19.200001,19.959999,15.778173,588900,627195800.0,-0.5500010000000017,-2.6816235982447667
2018-01-29,20.440001,20.440001,19.25,19.57,15.469882,329800,625055230.5799999,-0.8700009999999985,-4.2563647624087615
2018-01-30,19.24,19.57,19.01,19.540001,15.446169,224100,588359200.0,0.30000100000000174,1.559256756756766
2018-01-31,19.540001,19.700001,18.27,18.870001,14.916538,329900,597533230.58,-0.6700000000000017,-3.428863693507496
2018-02-01,18.870001,19.77,18.500999,19.6,15.493597,383600,577044630.5799999,0.729999000000003,3.8685689523810995
2018-02-02,19.309999,19.309999,18.57,18.91,14.948158,462900,590499769.4200001,-0.3999990000000011,-2.0714604904951113
2018-02-05,18.620001,19.059999,18.440001,18.57,14.679391,516300,569399630.5799999,-0.050000999999998186,-0.2685338201646616
2018-02-06,18.059999,19.23,18.030001,18.93,14.963965,554900,552274769.4200001,0.8700009999999985,4.817281551344484
2018-02-07,18.93,19.190001,17.76,17.77,14.046997,292700,578879400.0,-1.1600000000000001,-6.12783940834654
2018-02-08,17.84,17.906,17.370001,17.530001,13.857284,652700,545547200.0,-0.30999900000000125,-1.7376625560538186
2018-02-09,17.67,17.679001,15.7,16.99,13.430418,436000,540348600.0,-0.6800000000000033,-3.8483305036785693
2018-02-12,17.17,17.52,16.780001,17.299999,13.675466,221700,525058600.00000006,0.12999899999999798,0.7571287128712753
2018-02-13,17.040001,17.370001,16.790001,17.030001,13.462037,145400,521083230.58,-0.010000000000001563,-0.058685442565417474
2018-02-14,16.889999,18.43,16.889999,18.27,14.442244,392400,516496169.41999996,1.380001,8.170521502103108
2018-02-15,18.27,18.83,18.139999,18.82,14.877009,634700,558696600.0,0.5500000000000007,3.010399562123704
2018-02-16,18.620001,18.969999,18.59,18.73,14.805866,254100,569399630.5799999,0.10999900000000196,0.5907572185415133
2018-02-20,18.65,19.1,17.5,17.76,14.039093,316100,570317000.0,-0.889999999999997,-4.7721179624664725
2018-02-21,17.67,18.239,17.469999,17.790001,14.062807,346100,540348600.0,0.12000099999999847,0.6791228070175351
2018-02-22,18.049999,18.309999,17.74,17.91,14.157668,508900,551968969.42,-0.13999899999999954,-0.7756177715023671
2018-02-23,17.940001,18.16,17.879999,18.110001,14.315766,390500,548605230.5799999,0.1700000000000017,0.9476030686954908
2018-02-26,18.15,18.299999,17.940001,18.139999,14.339479,143600,555027000.0,-0.010000999999999038,-0.055101928374650354
2018-02-27,18.129999,18.43,17.719999,17.74,14.023284,376500,554415369.4200001,-0.3899990000000031,-2.151125325489555
2018-02-28,17.82,17.969999,16.709999,16.83,13.303939,754900,544935600.0,-0.990000000000002,-5.555555555555566
2018-03-01,16.77,17.469999,16.629999,17.0,13.438324,421600,512826600.0,0.23000000000000043,1.3714967203339323
2018-03-02,16.76,17.370001,16.26,17.209999,13.604325,351700,512520800.00000006,0.44999899999999826,2.684958233890204
2018-03-05,17.200001,17.6,16.93,17.49,13.825664,168900,525976030.58,0.2899989999999981,1.6860405996487915
2018-03-06,17.5,18.42,17.5,18.26,14.43434,458600,535150000.0,0.7600000000000016,4.342857142857151
2018-03-07,18.27,18.27,16.700001,17.030001,13.462037,809400,558696600.0,-1.239999000000001,-6.787077175697871
2018-03-08,16.940001,17.32,16.73,17.049999,13.477843,432200,518025230.58,0.10999800000000093,0.6493388046435236
2018-03-09,17.469999,18.969999,17.469999,17.68,13.975851,673300,534232569.42,0.21000099999999833,1.2020664683495306
2018-03-12,17.58,17.945,16.559999,16.66,13.169556,402000,537596400.0,-0.9199999999999982,-5.233219567690547
2018-03-13,16.73,16.799999,16.115999,16.51,13.050982,433300,511603400.0,-0.21999999999999886,-1.3150029886431491
2018-03-14,16.639999,17.17,16.469999,16.92,13.375083,417800,508851169.41999996,0.28000100000000216,1.6826984184314084
2018-03-15,16.98,17.0,16.040001,16.1,12.726882,414300,519248400.0,-0.879999999999999,-5.182567726737332
2018-03-16,16.17,16.780001,15.7,16.719999,13.216986,942000,494478600.00000006,0.5499989999999997,3.401354359925786
2018-03-19,16.709999,16.76,15.75,15.98,12.632023,354500,510991769.42,-0.7299989999999994,-4.368635809014706
2018-03-20,16.120001,16.99,16.030001,16.870001,13.335559,578800,492949630.5799999,0.75,4.652605170433923
2018-03-21,16.92,18.34,16.92,17.49,13.825664,604000,517413600.00000006,0.5699999999999967,3.3687943262411153
2018-03-22,17.110001,17.58,16.75,16.940001,13.390894,302000,523223830.58000004,-0.1700000000000017,-0.9935709530350214
2018-03-23,17.02,17.52,16.504999,17.059999,13.485752,451300,520471600.0,0.03999900000000167,0.23501175088132595
2018-03-26,17.34,17.49,16.459999,17.200001,13.596423,262200,530257200.0,-0.13999899999999954,-0.8073760092272178
2018-03-27,17.23,17.563999,16.52,16.719999,13.216986,299900,526893400.0,-0.510000999999999,-2.9599593731862974
2018-03-28,16.66,16.76,15.92,16.219999,12.821739,484100,509462800.0,-0.44000099999999875,-2.641062424969981
2018-03-29,16.280001,16.955,16.07,16.559999,13.090507,285700,497842430.58,0.27999800000000263,1.7198893292451434
2018-04-02,16.459999,16.610001,15.96,16.34,12.916596,304700,503346769.42,-0.11999899999999997,-0.7290340661624582
2018-04-03,16.4,16.995001,16.129999,16.9,13.35927,351900,501511999.99999994,0.5,3.0487804878048785
2018-04-04,16.51,16.75,16.1,16.309999,12.892883,525300,504875800.00000006,-0.20000100000000032,-1.2113930950938843
2018-04-05,16.450001,17.49,16.450001,17.209999,13.604325,291500,503041030.58,0.7599979999999995,4.620048351364839
2018-04-06,17.120001,17.93,16.75,17.129999,13.541083,463100,523529630.5799999,0.00999800000000306,0.0583995292991108
2018-04-09,17.299999,17.469999,16.450001,16.459999,13.011459,186800,529033969.42,-0.8399999999999999,-4.855491610144023
2018-04-10,16.809999,17.959999,16.667,17.690001,13.983761,701900,514049769.42,0.8800019999999975,5.234991388161281
2018-04-11,17.58,18.16,17.445,17.860001,14.118145,387400,537596400.0,0.28000100000000216,1.592724687144495
2018-04-12,17.870001,18.0,17.26,17.93,14.173474,198500,546464630.5799999,0.059999000000001246,0.33575263929756494
2018-04-13,18.08,18.23,17.74,18.209999,14.394813,238900,552886400.0,0.12999900000000153,0.7190210176991235
2018-04-16,18.24,18.24,17.719999,18.0,14.228809,165700,557779200.0,-0.23999999999999844,-1.3157894736842022
2018-04-17,18.129999,18.27,17.780001,17.809999,14.078616,309800,554415369.4200001,-0.3200000000000003,-1.7650304338130425
2018-04-18,18.040001,18.450001,18.0,18.18,14.371099,877200,551663230.58,0.13999899999999954,0.7760476288221909
2018-04-19,18.18,18.469999,17.35,17.469999,13.809849,717100,555944400.0,-0.7100009999999983,-3.9053960396039513
