Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2022-04-28,8.72,10.8,7.336,7.5,7.5,187000,1826316800.0000002,-1.2200000000000006,-13.9908256880734
2022-04-29,8.49,8.49,5.75,6.5,6.5,100600,1778145600.0,-1.9900000000000002,-23.439340400471146
2022-05-02,12.2,12.38,8.04,10.95,10.95,17842700,2555168000.0,-1.25,-10.245901639344263
2022-05-03,15.92,18.139999,12.45,12.62,12.62,28541200,3334284800.0,-3.3000000000000007,-20.728643216080407
2022-05-04,10.93,14.9,10.54,14.51,14.51,4531600,2289179200.0,3.58,32.75388838060385
2022-05-05,14.75,16.879999,13.86,14.98,14.98,3599000,3089240000.0,0.23000000000000043,1.5593220338983078
2022-05-06,14.34,15.41,12.56,13.47,13.47,2212500,3003369600.0,-0.8699999999999992,-6.066945606694555
2022-05-09,13.52,14.08,10.11,10.35,10.35,992100,2831628800.0,-3.17,-23.44674556213018
2022-05-10,10.46,11.73,8.88,8.94,8.94,634800,2190742400.0,-1.5200000000000014,-14.531548757170185
2022-05-11,8.36,9.0,7.01,7.19,7.19,561900,1750918400.0,-1.169999999999999,-13.995215311004774
2022-05-12,6.3,6.89,5.33,6.62,6.62,1085700,1319472000.0,0.3200000000000003,5.079365079365084
2022-05-13,6.36,7.255,6.36,6.79,6.79,582400,1332038400.0,0.4299999999999997,6.761006289308172
2022-05-16,6.75,7.18,5.86,6.1,6.1,489900,1413720000.0,-0.6500000000000004,-9.629629629629635
2022-05-17,7.02,7.15,6.01,6.22,6.22,1359200,1470268800.0,-0.7999999999999998,-11.396011396011394
2022-05-18,6.06,6.27,5.15,5.19,5.19,642600,1269206400.0,-0.8699999999999992,-14.356435643564344
2022-05-19,5.23,5.33,4.81,4.86,4.86,610700,1095371200.0,-0.3700000000000001,-7.074569789674953
2022-05-20,4.75,5.05,4.34,4.79,4.79,778800,994840000.0,0.040000000000000036,0.8421052631578954
2022-05-23,4.8,5.36,4.51,5.14,5.14,552800,1005312000.0,0.33999999999999986,7.08333333333333
2022-05-24,5.1,5.7,4.82,5.45,5.45,570800,1068143999.9999999,0.35000000000000053,6.862745098039226
2022-05-25,5.59,6.06,5.3,5.95,5.95,477900,1170769600.0,0.3600000000000003,6.440071556350632
2022-05-26,5.94,6.8,5.88,6.52,6.52,415000,1244073600.0,0.5799999999999992,9.76430976430975
2022-05-27,6.66,8.0,6.51,7.91,7.91,687400,1394870400.0,1.25,18.76876876876877
2022-05-31,8.0,8.1,7.0,7.68,7.68,605100,1675520000.0,-0.3200000000000003,-4.0000000000000036
2022-06-01,7.53,8.73,7.211,8.57,8.57,977000,1577083200.0,1.04,13.811420982735722
2022-06-02,8.45,8.45,7.342,7.95,7.95,783900,1769767999.9999998,-0.4999999999999991,-5.9171597633136
2022-06-03,7.73,8.3,7.69,7.94,7.94,863000,1618971200.0,0.20999999999999996,2.716688227684346
2022-06-06,7.95,8.12,4.1,4.1,4.1,3144000,1665048000.0,-3.8500000000000005,-48.42767295597485
2022-06-07,4.44,4.48,3.81,4.0,4.0,1677100,929913600.0000001,-0.4400000000000004,-9.909909909909919
2022-06-08,4.0,4.335,3.9,4.18,4.18,1080300,837760000.0,0.17999999999999972,4.499999999999993
2022-06-09,4.78,5.24,4.13,4.2,4.2,2956500,1001123200.0,-0.5800000000000001,-12.133891213389122
2022-06-10,4.06,4.12,3.527,3.62,3.62,1274400,850326399.9999999,-0.4399999999999995,-10.837438423645308
2022-06-13,3.4,3.58,3.12,3.2,3.2,782700,712096000.0,-0.19999999999999973,-5.882352941176463
2022-06-14,3.24,3.32,2.89,2.93,2.93,591300,678585600.0,-0.31000000000000005,-9.567901234567902
2022-06-15,2.92,3.12,2.64,2.84,2.84,861000,611564800.0,-0.08000000000000007,-2.739726027397263
2022-06-16,2.74,2.74,2.55,2.67,2.67,703400,573865600.0,-0.07000000000000028,-2.5547445255474552
2022-06-17,2.67,5.07,2.64,4.0,4.0,23696200,559204800.0,1.33,49.81273408239701
2022-06-21,4.07,4.07,3.615,3.75,3.75,2224700,852420800.0,-0.3200000000000003,-7.862407862407869
2022-06-22,3.74,3.84,3.58,3.59,3.59,801400,783305600.0,-0.15000000000000036,-4.010695187165784
2022-06-23,3.57,3.6,3.3,3.45,3.45,467100,747700800.0,-0.11999999999999966,-3.3613445378151168
2022-06-24,3.44,3.59,3.15,3.2,3.2,454800,720473600.0,-0.23999999999999977,-6.9767441860465045
2022-06-27,3.41,3.41,2.94,2.94,2.94,519600,714190400.0,-0.4700000000000002,-13.782991202346045
2022-06-28,2.93,3.2,2.92,2.95,2.95,571600,613659200.0,0.020000000000000018,0.6825938566552906
2022-06-29,2.99,3.028,2.65,2.715,2.715,421100,626225600.0,-0.27500000000000036,-9.19732441471573
2022-06-30,2.82,2.855,2.66,2.68,2.68,439900,590620800.0,-0.13999999999999968,-4.9645390070921875
2022-07-01,2.58,2.67,2.4,2.59,2.59,532500,540355200.0,0.009999999999999787,0.3875968992247979
2022-07-05,2.57,3.1,2.5,3.07,3.07,622400,538260800.0,0.5,19.45525291828794
2022-07-06,3.1,3.1,2.88,3.03,3.03,196500,649264000.0,-0.07000000000000028,-2.2580645161290414
2022-07-07,2.95,3.14,2.76,3.14,3.14,317700,617848000.0,0.18999999999999995,6.440677966101694
2022-07-08,3.09,3.14,2.93,3.1,3.1,174400,647169600.0,0.010000000000000231,0.32362459546926314
2022-07-11,3.02,3.43,2.86,3.25,3.25,723800,632508800.0,0.22999999999999998,7.6158940397351
2022-07-12,3.28,3.5,2.96,3.5,3.5,532200,686963200.0,0.2200000000000002,6.707317073170738
2022-07-13,3.24,3.6,3.11,3.37,3.37,241600,678585600.0,0.1299999999999999,4.012345679012342
2022-07-14,3.27,3.49,3.022,3.23,3.23,226500,684868800.0,-0.040000000000000036,-1.2232415902140683
2022-07-15,3.22,3.69,3.21,3.52,3.52,436800,674396800.0,0.2999999999999998,9.316770186335397
2022-07-18,3.57,3.8,3.32,3.63,3.63,617500,747700800.0,0.06000000000000005,1.6806722689075646
2022-07-19,3.65,3.72,3.46,3.68,3.68,308400,764456000.0,0.03000000000000025,0.8219178082191849
2022-07-20,3.69,4.25,3.68,4.25,4.25,506800,772833600.0,0.56,15.176151761517618
2022-07-21,4.16,4.53,4.04,4.17,4.17,392800,871270400.0,0.009999999999999787,0.24038461538461023
2022-07-22,4.13,4.195,3.43,3.73,3.73,458300,864987200.0,-0.3999999999999999,-9.685230024213073
2022-07-25,3.73,4.16,3.58,4.1,4.1,341600,781211200.0,0.36999999999999966,9.919571045576399
2022-07-26,4.05,4.05,3.53,3.6,3.6,179900,848232000.0,-0.44999999999999973,-11.111111111111105
2022-07-27,3.62,3.88,3.61,3.79,3.79,220700,758172800.0,0.16999999999999993,4.69613259668508
2022-07-28,3.71,3.71,3.45,3.69,3.69,177100,777022400.0,-0.020000000000000018,-0.539083557951483
2022-07-29,3.65,3.805,3.48,3.5,3.5,241200,764456000.0,-0.1499999999999999,-4.109589041095888
2022-08-01,3.46,3.75,3.32,3.65,3.65,188500,724662400.0,0.18999999999999995,5.491329479768785
2022-08-02,3.65,3.93,3.56,3.93,3.93,288700,764456000.0,0.28000000000000025,7.671232876712336
2022-08-03,3.84,3.95,3.53,3.8,3.8,257200,804249600.0,-0.040000000000000036,-1.0416666666666676
2022-08-04,3.78,3.8,3.56,3.7,3.7,136600,791683200.0,-0.07999999999999963,-2.1164021164021065
2022-08-05,3.69,3.81,3.55,3.77,3.77,143600,772833600.0,0.08000000000000007,2.168021680216804
2022-08-08,3.76,3.805,3.47,3.51,3.51,232600,787494400.0,-0.25,-6.648936170212766
2022-08-09,3.51,3.51,3.15,3.21,3.21,284700,735134400.0,-0.2999999999999998,-8.547008547008543
2022-08-10,3.22,3.57,3.182,3.57,3.57,313500,674396800.0,0.34999999999999964,10.869565217391292
2022-08-11,3.6,3.77,3.23,3.57,3.57,480100,753984000.0,-0.03000000000000025,-0.8333333333333403
2022-08-12,3.59,3.76,3.42,3.66,3.66,334600,751889600.0,0.07000000000000028,1.9498607242339914
2022-08-15,3.62,3.75,3.421,3.75,3.75,231000,758172800.0,0.1299999999999999,3.5911602209944724
2022-08-16,3.74,3.74,3.541,3.68,3.68,273000,783305600.0,-0.06000000000000005,-1.6042780748663115
2022-08-17,3.62,3.644,3.42,3.42,3.42,114000,758172800.0,-0.20000000000000018,-5.524861878453043
2022-08-18,3.37,3.49,3.31,3.36,3.36,224000,705812800.0,-0.010000000000000231,-0.29673590504451725
2022-08-19,3.31,3.44,3.23,3.23,3.23,160900,693246400.0,-0.08000000000000007,-2.4169184290030232
2022-08-22,3.15,3.319,2.85,2.855,2.855,277500,659736000.0,-0.29499999999999993,-9.365079365079364
2022-08-23,2.96,3.05,2.92,2.965,2.965,80200,619942400.0,0.004999999999999893,0.16891891891891533
2022-08-24,3.11,3.135,2.87,3.01,3.01,133500,651358400.0,-0.10000000000000009,-3.2154340836012896
2022-08-25,3.05,3.17,2.97,3.15,3.15,128400,638792000.0,0.10000000000000009,3.2786885245901667
2022-08-26,3.12,3.12,2.95,2.95,2.95,122300,653452800.0,-0.16999999999999993,-5.448717948717946
2022-08-29,2.88,2.94,2.8,2.86,2.86,127800,603187200.0,-0.020000000000000018,-0.6944444444444451
2022-08-30,2.95,3.03,2.83,2.88,2.88,122600,617848000.0,-0.07000000000000028,-2.3728813559322126
2022-08-31,2.92,2.99,2.81,2.85,2.85,153100,611564800.0,-0.06999999999999984,-2.3972602739725972
2022-09-01,2.94,3.43,2.8,3.2,3.2,389000,615753600.0,0.26000000000000023,8.843537414965995
2022-09-02,3.26,3.38,3.11,3.31,3.31,164900,682774400.0,0.050000000000000266,1.5337423312883518
2022-09-06,3.17,3.265,2.87,2.91,2.91,189700,663924800.0,-0.2599999999999998,-8.201892744479489
2022-09-07,2.9,3.05,2.85,3.01,3.01,88600,607376000.0,0.10999999999999988,3.7931034482758577
2022-09-08,2.95,3.26,2.93,3.16,3.16,194500,617848000.0,0.20999999999999996,7.118644067796609
2022-09-09,3.23,3.47,3.2,3.24,3.24,613400,676491200.0,0.010000000000000231,0.30959752321982137
2022-09-12,3.3,3.32,3.21,3.26,3.26,69300,691152000.0,-0.040000000000000036,-1.2121212121212133
2022-09-13,3.23,3.28,2.94,3.23,3.23,175600,676491200.0,0.0,0.0
2022-09-14,3.17,3.35,3.17,3.32,3.32,77200,663924800.0,0.1499999999999999,4.731861198738168
2022-09-15,3.32,3.44,3.201,3.25,3.25,111300,695340800.0,-0.06999999999999984,-2.108433734939754
2022-09-16,3.32,3.8,3.14,3.74,3.74,388100,695340800.0,0.4200000000000004,12.650602409638568
2022-09-19,3.73,3.73,3.24,3.24,3.24,101600,781211200.0,-0.48999999999999977,-13.136729222520103
2022-09-20,3.12,3.22,3.02,3.04,3.04,100400,653452800.0,-0.08000000000000007,-2.5641025641025665
2022-09-21,3.0,3.11,2.81,2.85,2.85,317600,628320000.0,-0.1499999999999999,-4.9999999999999964
2022-09-22,2.89,3.33,2.85,3.24,3.24,212400,605281600.0,0.3500000000000001,12.110726643598618
2022-09-23,3.29,3.33,3.02,3.07,3.07,184200,689057600.0,-0.2200000000000002,-6.686930091185417
2022-09-26,3.06,3.3,3.02,3.08,3.08,176700,640886400.0,0.020000000000000018,0.6535947712418306
2022-09-27,3.12,3.29,3.12,3.26,3.26,185600,653452800.0,0.13999999999999968,4.487179487179477
2022-09-28,3.12,3.35,3.03,3.34,3.34,137900,653452800.0,0.21999999999999975,7.051282051282043
2022-09-29,3.23,3.29,3.07,3.24,3.24,222400,676491200.0,0.010000000000000231,0.30959752321982137
2022-09-30,3.27,3.48,3.19,3.28,3.28,206000,684868800.0,0.009999999999999787,0.3058103975535103
2022-10-03,3.37,3.57,3.22,3.52,3.52,149600,705812800.0,0.1499999999999999,4.451038575667654
2022-10-04,3.55,3.8,3.5,3.77,3.77,303500,743512000.0,0.2200000000000002,6.197183098591555
2022-10-05,3.58,3.71,3.44,3.61,3.61,151300,749795200.0,0.029999999999999805,0.837988826815637
2022-10-06,3.59,3.77,3.59,3.68,3.68,132700,751889600.0,0.0900000000000003,2.5069637883008444
2022-10-07,3.63,3.65,3.3,3.42,3.42,106700,760267200.0,-0.20999999999999996,-5.785123966942148
2022-10-10,3.37,3.71,3.37,3.59,3.59,282600,705812800.0,0.21999999999999975,6.52818991097922
2022-10-11,3.58,3.65,3.412,3.5,3.5,195200,749795200.0,-0.08000000000000007,-2.2346368715083815
2022-10-12,3.51,3.51,3.32,3.47,3.47,169800,735134400.0,-0.03999999999999959,-1.139601139601128
2022-10-13,3.34,3.38,3.14,3.37,3.37,240600,699529600.0,0.03000000000000025,0.8982035928143787
2022-10-14,3.36,3.93,3.17,3.93,3.93,1190500,703718400.0,0.5700000000000003,16.964285714285722
2022-10-17,4.0,4.0,3.28,3.5,3.5,578200,837760000.0,-0.5,-12.5
2022-10-18,3.55,3.62,3.17,3.19,3.19,445300,743512000.0,-0.3599999999999999,-10.140845070422532
2022-10-19,3.2,3.23,3.07,3.13,3.13,267700,670208000.0,-0.07000000000000028,-2.187500000000009
2022-10-20,3.11,3.25,2.855,2.92,2.92,292500,651358400.0,-0.18999999999999995,-6.109324758842442
2022-10-21,2.92,3.07,2.85,2.95,2.95,281900,611564800.0,0.03000000000000025,1.0273972602739811
2022-10-24,2.94,2.98,2.65,2.685,2.685,327400,615753600.0,-0.2549999999999999,-8.6734693877551
2022-10-25,2.71,2.852,2.7,2.83,2.83,215100,567582400.0,0.1200000000000001,4.428044280442808
2022-10-26,2.82,3.06,2.74,2.8,2.8,233200,590620800.0,-0.020000000000000018,-0.7092198581560291
2022-10-27,2.81,2.92,2.68,2.68,2.68,99700,588526400.0,-0.1299999999999999,-4.62633451957295
2022-10-28,2.74,2.79,2.5,2.55,2.55,293500,573865600.0,-0.1900000000000004,-6.93430656934308
2022-10-31,2.62,2.87,2.62,2.71,2.71,145000,548732800.0,0.08999999999999986,3.4351145038167887
2022-11-01,2.74,2.82,2.59,2.61,2.61,163200,573865600.0,-0.13000000000000034,-4.744525547445268
2022-11-02,2.6,2.6,2.36,2.4,2.4,231000,544544000.0,-0.20000000000000018,-7.692307692307699
2022-11-03,2.46,2.48,2.11,2.2,2.2,260700,515222400.0,-0.2599999999999998,-10.569105691056901
2022-11-04,2.2,2.32,2.1,2.11,2.11,140000,460768000.00000006,-0.0900000000000003,-4.090909090909104
2022-11-07,2.13,2.199,1.91,1.99,1.99,193900,446107200.0,-0.1399999999999999,-6.5727699530516395
2022-11-08,2.0,2.134,1.9,2.04,2.04,224300,418880000.0,0.040000000000000036,2.0000000000000018
2022-11-09,2.0,2.12,1.95,2.06,2.06,105600,418880000.0,0.06000000000000005,3.0000000000000027
2022-11-10,2.16,2.17,1.85,1.89,1.89,428200,452390400.0,-0.27000000000000024,-12.50000000000001
2022-11-11,2.33,2.62,1.77,1.81,1.81,4426600,487995200.0,-0.52,-22.317596566523605
2022-11-14,1.86,1.87,1.66,1.85,1.85,852800,389558400.0,-0.010000000000000009,-0.5376344086021511
2022-11-15,1.94,1.94,1.72,1.82,1.82,352300,406313600.0,-0.11999999999999988,-6.185567010309272
2022-11-16,1.8,1.94,1.775,1.91,1.91,283000,376992000.0,0.10999999999999988,6.111111111111104
2022-11-17,1.85,2.08,1.83,2.03,2.03,534300,387464000.0,0.17999999999999972,9.729729729729714
2022-11-18,2.09,2.12,1.9,1.92,1.92,413100,437729600.0,-0.16999999999999993,-8.133971291866025
2022-11-21,1.84,1.92,1.62,1.62,1.62,772400,385369600.0,-0.21999999999999997,-11.956521739130432
2022-11-22,1.65,1.65,1.43,1.45,1.45,796000,345576000.0,-0.19999999999999996,-12.12121212121212
2022-11-23,1.4,1.55,1.22,1.45,1.45,930500,293216000.0,0.050000000000000044,3.5714285714285747
2022-11-25,1.35,1.54,1.35,1.52,1.52,200600,282744000.0,0.16999999999999993,12.592592592592586
2022-11-28,1.52,1.52,1.32,1.33,1.33,347600,318348800.0,-0.18999999999999995,-12.499999999999996
2022-11-29,1.31,1.369,1.25,1.32,1.32,273000,274366400.0,0.010000000000000009,0.7633587786259549
2022-11-30,1.37,1.37,1.27,1.28,1.28,489700,286932800.0,-0.09000000000000008,-6.569343065693436
2022-12-01,1.29,1.29,1.19,1.25,1.25,310300,270177600.0,-0.040000000000000036,-3.1007751937984525
2022-12-02,1.23,1.42,1.22,1.35,1.35,290200,257611200.0,0.1200000000000001,9.756097560975618
2022-12-05,1.37,1.41,1.15,1.27,1.27,457200,286932800.0,-0.10000000000000009,-7.299270072992707
2022-12-06,1.27,1.29,1.2,1.29,1.29,226500,265988800.0,0.020000000000000018,1.5748031496063006
2022-12-07,1.23,1.34,1.19,1.19,1.19,380700,257611200.0,-0.040000000000000036,-3.2520325203252063
2022-12-08,1.19,1.3,1.16,1.2,1.2,319400,249233600.0,0.010000000000000009,0.8403361344537823
2022-12-09,1.24,1.405,1.18,1.37,1.37,439700,259705600.0,0.13000000000000012,10.483870967741945
2022-12-12,1.36,1.46,1.11,1.12,1.12,522100,284838400.0,-0.24,-17.64705882352941
2022-12-13,1.15,1.178,1.11,1.14,1.14,416900,240855999.99999997,-0.010000000000000009,-0.8695652173913052
2022-12-14,1.12,1.15,1.07,1.15,1.15,1318700,234572800.00000003,0.029999999999999805,2.6785714285714106
2022-12-15,1.13,1.24,1.12,1.21,1.21,1325200,236667199.99999997,0.08000000000000007,7.079646017699122
2022-12-16,1.24,1.24,1.06,1.16,1.16,1949600,259705600.0,-0.08000000000000007,-6.451612903225811
2022-12-19,1.13,1.15,1.1,1.13,1.13,1405200,236667199.99999997,0.0,0.0
2022-12-20,1.11,1.11,1.06,1.1,1.1,1554100,232478400.00000003,-0.010000000000000009,-0.9009009009009016
2022-12-21,1.06,1.07,1.02,1.02,1.02,339900,222006400.0,-0.040000000000000036,-3.7735849056603805
2022-12-22,1.01,1.034,0.93,0.966,0.966,281700,211534400.0,-0.04400000000000004,-4.35643564356436
2022-12-23,1.01,1.01,0.94,1.0,1.0,154800,211534400.0,-0.010000000000000009,-0.990099009900991
2022-12-27,1.04,1.04,0.979,0.989,0.989,179100,217817600.0,-0.051000000000000045,-4.903846153846158
2022-12-28,0.996,1.02,0.991,1.0,1.0,128400,208602240.0,0.0040000000000000036,0.40160642570281163
2022-12-29,1.0,1.03,0.963,1.03,1.03,294500,209440000.0,0.030000000000000027,3.0000000000000027
2022-12-30,1.01,1.926,1.01,1.77,1.77,6816900,211534400.0,0.76,75.24752475247524
2023-01-03,1.75,1.75,1.27,1.31,1.31,4381500,366520000.0,-0.43999999999999995,-25.14285714285714
2023-01-04,1.27,1.29,1.13,1.18,1.18,1190400,265988800.0,-0.09000000000000008,-7.086614173228353
2023-01-05,1.16,1.19,1.06,1.1,1.1,675400,242950399.99999997,-0.05999999999999983,-5.172413793103434
2023-01-06,1.08,1.1,1.0,1.07,1.07,784400,226195200.0,-0.010000000000000009,-0.9259259259259267
2023-01-09,1.1,1.11,0.99,1.03,1.03,1044300,230384000.00000003,-0.07000000000000006,-6.363636363636369
2023-01-10,1.03,1.06,0.97,1.04,1.04,552700,215723200.0,0.010000000000000009,0.9708737864077678
2023-01-11,1.03,1.1,1.02,1.07,1.07,797200,215723200.0,0.040000000000000036,3.883495145631071
2023-01-12,1.08,1.1,1.02,1.1,1.1,757800,226195200.0,0.020000000000000018,1.8518518518518534
2023-01-13,1.2,1.27,1.03,1.21,1.21,5592400,251328000.0,0.010000000000000009,0.8333333333333341
2023-01-17,1.35,1.6,1.22,1.35,1.35,5476600,282744000.0,0.0,0.0
2023-01-18,1.39,1.45,1.2,1.25,1.25,1625700,291121600.0,-0.1399999999999999,-10.07194244604316
2023-01-19,1.29,1.29,1.21,1.25,1.25,496400,270177600.0,-0.040000000000000036,-3.1007751937984525
