Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1995-02-23,11.5,13.25,11.5,13.0,10.449574,132100,45655000.0,1.5,13.043478260869565
1995-02-24,13.5,13.75,13.0,13.25,10.650528,30100,53595000.0,-0.25,-1.8518518518518516
1995-02-27,13.0,13.0,12.5,13.0,10.449574,55600,51610000.0,0.0,0.0
1995-02-28,13.25,14.0,12.75,12.75,10.248623,175700,52602500.0,-0.5,-3.7735849056603774
1995-03-01,13.25,13.25,11.5,11.5,9.243855,291800,52602500.0,-1.75,-13.20754716981132
1995-03-02,12.0,12.5,11.0,11.75,9.444806,401200,47640000.0,-0.25,-2.083333333333333
1995-03-03,11.25,11.75,11.25,11.25,9.042903,121600,44662500.0,0.0,0.0
1995-03-06,11.625,11.625,11.25,11.5,9.243855,81000,46151250.0,-0.125,-1.0752688172043012
1995-03-07,11.625,11.625,10.75,11.25,9.042903,281000,46151250.0,-0.375,-3.225806451612903
1995-03-08,10.5,11.0,10.25,10.625,8.540519,525600,41685000.0,0.125,1.1904761904761905
1995-03-09,11.0,11.0,10.25,10.375,8.339564,221600,43670000.0,-0.625,-5.681818181818182
1995-03-10,10.25,10.75,10.25,10.625,8.540519,107000,40692500.0,0.375,3.6585365853658534
1995-03-13,10.75,11.25,10.5,11.0,8.84195,145700,42677500.0,0.25,2.3255813953488373
1995-03-14,11.5,12.0,11.0,11.25,9.042903,106600,45655000.0,-0.25,-2.1739130434782608
1995-03-15,11.75,12.0,11.25,11.75,9.444806,186300,46647500.0,0.0,0.0
1995-03-16,11.5,12.0,11.25,11.5,9.243855,135100,45655000.0,0.0,0.0
1995-03-17,11.25,12.0,11.25,11.4375,9.193616,179200,44662500.0,0.1875,1.6666666666666667
1995-03-20,12.0,12.0,11.125,11.125,8.942426,145700,47640000.0,-0.875,-7.291666666666667
1995-03-21,11.125,11.75,11.0,11.0,8.84195,86000,44166250.0,-0.125,-1.1235955056179776
1995-03-22,11.125,11.75,11.125,11.125,8.942426,101900,44166250.0,0.0,0.0
1995-03-23,11.125,11.5,10.875,10.875,8.74147,148300,44166250.0,-0.25,-2.247191011235955
1995-03-24,11.125,11.125,10.25,10.5,8.440045,246900,44166250.0,-0.625,-5.617977528089887
1995-03-27,10.5,11.0,10.25,10.5,8.440045,57400,41685000.0,0.0,0.0
1995-03-28,11.0,11.0,10.375,10.625,8.540519,91500,43670000.0,-0.375,-3.4090909090909087
1995-03-29,10.5,11.0,10.375,10.625,8.540519,113100,41685000.0,0.125,1.1904761904761905
1995-03-30,11.0,11.0,10.5,10.5,8.440045,61700,43670000.0,-0.5,-4.545454545454546
1995-03-31,11.0,11.25,10.5,11.25,9.042903,79700,43670000.0,0.25,2.272727272727273
1995-04-03,11.25,11.25,10.75,11.0,8.84195,78400,44662500.0,-0.25,-2.2222222222222223
1995-04-04,11.25,12.0,11.0,11.875,9.545286,147400,44662500.0,0.625,5.555555555555555
1995-04-05,11.875,12.25,11.375,11.875,9.545286,34500,47143750.0,0.0,0.0
1995-04-06,12.25,12.25,11.5,12.25,9.846713,107800,48632500.0,0.0,0.0
1995-04-07,11.75,12.25,11.5,11.5625,9.294097,51000,46647500.0,-0.1875,-1.5957446808510638
1995-04-10,11.5,11.875,11.5,11.75,9.444806,18200,45655000.0,0.25,2.1739130434782608
1995-04-11,11.5,11.875,11.5,11.5,9.243855,49400,45655000.0,0.0,0.0
1995-04-12,11.875,11.875,11.5,11.5,9.243855,179200,47143750.0,-0.375,-3.1578947368421053
1995-04-13,11.75,11.75,11.5,11.625,9.344332,12500,46647500.0,-0.125,-1.0638297872340425
1995-04-17,11.5,11.75,11.25,11.5,9.243855,41900,45655000.0,0.0,0.0
1995-04-18,11.5,11.5,11.0,11.25,9.042903,36200,45655000.0,-0.25,-2.1739130434782608
1995-04-19,11.0,11.25,10.75,11.25,9.042903,102000,43670000.0,0.25,2.272727272727273
1995-04-20,11.25,11.25,10.75,11.0,8.84195,67400,44662500.0,-0.25,-2.2222222222222223
1995-04-21,10.75,11.25,10.5,11.0,8.84195,25900,42677500.0,0.25,2.3255813953488373
1995-04-24,10.5,11.0,10.5,10.5625,8.490285,47300,41685000.0,0.0625,0.5952380952380952
1995-04-25,10.75,11.0,10.5,11.0,8.84195,94700,42677500.0,0.25,2.3255813953488373
1995-04-26,11.0,12.0,10.75,11.875,9.545286,86500,43670000.0,0.875,7.954545454545454
1995-04-27,12.0,12.0,11.5,11.5,9.243855,20400,47640000.0,-0.5,-4.166666666666666
1995-04-28,12.0,12.0,11.5,11.625,9.344332,40600,47640000.0,-0.375,-3.125
1995-05-01,12.0,12.0,11.25,12.0,9.645762,29600,47640000.0,0.0,0.0
1995-05-02,11.75,12.0,11.25,12.0,9.645762,20400,46647500.0,0.25,2.127659574468085
1995-05-03,12.0,12.0,11.5,12.0,9.645762,11300,47640000.0,0.0,0.0
1995-05-04,12.0,12.25,11.5,11.5,9.243855,52700,47640000.0,-0.5,-4.166666666666666
1995-05-05,11.5,12.0,11.25,11.25,9.042903,11700,45655000.0,-0.25,-2.1739130434782608
1995-05-08,11.25,12.0,11.25,12.0,9.645762,30700,44662500.0,0.75,6.666666666666667
1995-05-09,12.0,12.0,11.25,11.5,9.243855,23400,47640000.0,-0.5,-4.166666666666666
1995-05-10,11.5,12.25,11.25,11.75,9.444806,38400,45655000.0,0.25,2.1739130434782608
1995-05-11,12.25,12.25,11.75,12.0,9.645762,4400,48632500.0,-0.25,-2.0408163265306123
