Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2017-04-28,7.5,9.9,7.5,8.76,8.76,73200,1015050000.0,1.2599999999999998,16.799999999999997
2017-05-01,9.5,9.5,7.55,8.02,8.02,154200,1285730000.0,-1.4800000000000004,-15.578947368421057
2017-05-02,8.51,9.4,7.5,7.841,7.841,106200,1151743400.0,-0.6689999999999996,-7.861339600470031
2017-05-03,7.98,8.0,6.12,6.47,6.47,368000,1080013200.0,-1.5100000000000007,-18.922305764411036
2017-05-04,6.45,6.45,5.21,5.77,5.77,306000,872943000.0,-0.6800000000000006,-10.542635658914739
2017-05-05,5.71,5.96,5.6,5.6,5.6,214000,772791400.0,-0.11000000000000032,-1.9264448336252245
2017-05-08,5.81,6.47,5.64,5.96,5.96,216900,786325400.0,0.15000000000000036,2.5817555938037926
2017-05-09,6.0,6.154,5.65,5.93,5.93,135600,812040000.0,-0.07000000000000028,-1.1666666666666714
2017-05-10,5.93,6.061,5.51,5.58,5.58,204100,802566200.0,-0.34999999999999964,-5.902192242833046
2017-05-11,5.57,5.61,5.1,5.44,5.44,174800,753843800.0,-0.1299999999999999,-2.333931777378813
2017-05-12,5.21,5.6,5.21,5.52,5.52,66600,705121400.0,0.3099999999999996,5.950095969289819
2017-05-15,5.3,5.74,5.3,5.62,5.62,114500,717302000.0,0.3200000000000003,6.0377358490566095
2017-05-16,5.7,5.7,5.421,5.56,5.56,71600,771438000.0,-0.14000000000000057,-2.456140350877203
2017-05-17,5.55,5.6,5.2,5.27,5.27,78300,751137000.0,-0.28000000000000025,-5.0450450450450495
2017-05-18,5.3,5.5,5.11,5.18,5.18,77200,717302000.0,-0.1200000000000001,-2.264150943396228
2017-05-19,5.35,5.36,5.21,5.3,5.3,67700,724069000.0,-0.04999999999999982,-0.9345794392523332
2017-05-22,5.35,5.44,5.19,5.35,5.35,41900,724069000.0,0.0,0.0
2017-05-23,5.33,5.39,5.19,5.26,5.26,28300,721362200.0,-0.07000000000000028,-1.3133208255159527
2017-05-24,5.24,5.29,5.12,5.28,5.28,57000,709181600.0,0.040000000000000036,0.7633587786259549
2017-05-25,5.25,5.35,5.11,5.13,5.13,100800,710535000.0,-0.1200000000000001,-2.285714285714288
2017-05-26,5.23,5.234,4.6,5.14,5.14,171900,707828200.0,-0.09000000000000075,-1.7208413001912188
2017-05-30,5.14,5.14,4.944,5.0,5.0,76200,695647600.0,-0.13999999999999968,-2.723735408560305
2017-05-31,5.0,5.04,4.61,4.71,4.71,74300,676700000.0,-0.29000000000000004,-5.800000000000001
2017-06-01,4.64,5.25,4.64,5.16,5.16,144600,627977600.0,0.5200000000000005,11.20689655172415
2017-06-02,4.65,4.88,4.65,4.87,4.87,672200,629331000.0,0.21999999999999975,4.731182795698919
2017-06-05,4.8,4.95,4.8,4.94,4.94,65900,649632000.0,0.14000000000000057,2.9166666666666785
2017-06-06,4.92,4.93,4.8,4.82,4.82,46900,665872800.0,-0.09999999999999964,-2.0325203252032447
2017-06-07,5.1,5.786,5.02,5.05,5.05,456200,690234000.0,-0.04999999999999982,-0.9803921568627416
2017-06-08,5.12,5.63,5.12,5.49,5.49,186000,692940800.0,0.3700000000000001,7.226562500000002
2017-06-09,5.59,6.71,5.38,6.16,6.16,451700,756550600.0,0.5700000000000003,10.19677996422183
2017-06-12,6.1,6.5,5.93,6.16,6.16,165100,825574000.0,0.0600000000000005,0.9836065573770574
2017-06-13,6.3,6.405,6.0,6.06,6.06,92300,852642000.0,-0.2400000000000002,-3.8095238095238133
2017-06-14,6.39,6.39,6.05,6.1,6.1,58100,864822600.0,-0.29000000000000004,-4.538341158059469
2017-06-15,6.1,6.1,5.93,5.98,5.98,86400,825574000.0,-0.11999999999999922,-1.9672131147540857
2017-06-16,5.99,6.13,5.95,6.0,6.0,102800,810686600.0,0.009999999999999787,0.16694490818029692
2017-06-19,5.97,6.09,5.75,6.0,6.0,59700,807979800.0,0.03000000000000025,0.5025125628140745
2017-06-20,6.05,6.1,5.9,6.05,6.05,64500,818807000.0,0.0,0.0
2017-06-21,6.26,6.26,5.96,6.11,6.11,44600,847228400.0,-0.14999999999999947,-2.396166134185295
2017-06-22,6.17,6.5,6.11,6.41,6.41,104700,835047800.0,0.2400000000000002,3.88978930307942
2017-06-23,6.4,7.23,6.37,6.82,6.82,169800,866176000.0,0.41999999999999993,6.562499999999999
2017-06-26,6.78,7.19,6.78,6.81,6.81,80400,917605200.0,0.02999999999999936,0.4424778761061852
2017-06-27,6.841,6.93,6.5,6.64,6.64,81100,925860940.0,-0.2010000000000005,-2.938166934658683
2017-06-28,6.7,7.15,6.45,6.57,6.57,55800,906778000.0,-0.1299999999999999,-1.940298507462685
2017-06-29,6.57,6.57,6.16,6.24,6.24,154700,889183800.0,-0.33000000000000007,-5.022831050228311
2017-06-30,6.2,6.364,5.88,5.88,5.88,74400,839108000.0,-0.3200000000000003,-5.1612903225806495
2017-07-03,5.91,6.15,5.91,5.95,5.95,27400,799859400.0,0.040000000000000036,0.6768189509306266
