Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2010-10-15,4.5,4.83,4.5,4.83,3.464552,1400,165375000.0,0.33000000000000007,7.333333333333335
2010-10-18,4.25,4.25,4.25,4.25,3.048518,200,156187500.0,0.0,0.0
2010-10-19,4.25,4.75,4.21,4.75,3.407167,2900,156187500.0,0.5,11.76470588235294
2010-10-20,4.25,4.75,4.25,4.75,3.407167,2800,156187500.0,0.5,11.76470588235294
2010-10-21,4.25,4.25,4.25,4.25,3.048518,1400,156187500.0,0.0,0.0
2010-10-22,4.25,4.25,4.25,4.25,3.048518,0,156187500.0,0.0,0.0
2010-10-25,4.01,4.25,4.01,4.25,3.048518,2400,147367500.0,0.2400000000000002,5.985037406483796
2010-10-26,4.7,4.7,4.7,4.7,3.371304,10700,172725000.0,0.0,0.0
2010-10-27,4.3,4.3,4.3,4.3,3.084383,200,158025000.0,0.0,0.0
2010-10-28,4.3,4.3,4.3,4.3,3.084383,0,158025000.0,0.0,0.0
2010-10-29,4.8,4.8,4.8,4.8,3.443032,100,176400000.0,0.0,0.0
2010-11-01,4.75,4.75,4.31,4.31,3.091556,700,174562500.0,-0.4400000000000004,-9.263157894736851
2010-11-02,4.4,4.69,4.4,4.69,3.36413,5100,161700000.0,0.29000000000000004,6.590909090909092
2010-11-03,4.7,4.7,4.7,4.7,3.371304,500,172725000.0,0.0,0.0
2010-11-04,4.7,4.7,4.7,4.7,3.371304,0,172725000.0,0.0,0.0
2010-11-05,4.31,4.65,4.31,4.65,3.335438,1900,158392500.0,0.34000000000000075,7.888631090487257
2010-11-08,4.5,4.5,4.5,4.5,3.227843,700,165375000.0,0.0,0.0
2010-11-09,4.5,4.5,4.5,4.5,3.227843,500,165375000.0,0.0,0.0
2010-11-10,4.35,4.4,4.31,4.4,3.156115,3000,159862500.0,0.05000000000000071,1.1494252873563382
2010-11-11,4.6,4.6,4.6,4.6,3.299572,200,169050000.0,0.0,0.0
2010-11-12,4.6,4.6,4.6,4.6,3.299572,0,169050000.0,0.0,0.0
2010-11-15,4.5,5.15,4.5,4.55,3.263709,27100,165375000.0,0.04999999999999982,1.1111111111111072
2010-11-16,4.55,4.55,4.55,4.55,3.263709,0,167212500.0,0.0,0.0
2010-11-17,4.55,4.55,4.55,4.55,3.263709,0,167212500.0,0.0,0.0
2010-11-18,4.55,4.55,4.55,4.55,3.263709,200,167212500.0,0.0,0.0
2010-11-19,4.6,4.6,4.6,4.6,3.299572,1300,169050000.0,0.0,0.0
2010-11-22,4.6,4.6,4.6,4.6,3.299572,0,169050000.0,0.0,0.0
2010-11-23,4.35,4.35,4.35,4.35,3.120249,300,159862500.0,0.0,0.0
2010-11-24,4.4,4.4,4.4,4.4,3.156115,200,161700000.0,0.0,0.0
2010-11-26,4.95,4.95,4.94,4.94,3.543453,9800,181912500.0,-0.009999999999999787,-0.20202020202019771
2010-11-29,4.41,4.41,4.41,4.41,3.163287,800,162067500.0,0.0,0.0
2010-11-30,4.7,4.7,4.25,4.4,3.156115,7400,172725000.0,-0.2999999999999998,-6.382978723404251
2010-12-01,5.0,5.0,4.8,4.8,3.443032,1500,183750000.0,-0.20000000000000018,-4.0000000000000036
2010-12-02,4.45,4.45,4.45,4.45,3.191977,700,163537500.0,0.0,0.0
2010-12-03,4.45,4.45,4.45,4.45,3.191977,500,163537500.0,0.0,0.0
2010-12-06,4.45,4.45,4.45,4.45,3.191977,800,163537500.0,0.0,0.0
2010-12-07,4.05,4.4,4.0,4.4,3.156115,18300,148837500.0,0.35000000000000053,8.641975308641989
2010-12-08,4.3,4.35,4.3,4.35,3.120249,2100,158025000.0,0.04999999999999982,1.1627906976744147
2010-12-09,4.35,4.35,4.35,4.35,3.120249,0,159862500.0,0.0,0.0
2010-12-10,4.35,4.35,4.35,4.35,3.120249,1500,159862500.0,0.0,0.0
2010-12-13,4.1,4.31,4.1,4.3,3.084383,1300,150675000.0,0.20000000000000018,4.87804878048781
2010-12-14,4.6,4.6,4.1,4.1,2.940924,5100,169050000.0,-0.5,-10.869565217391305
2010-12-15,4.1,4.1,4.1,4.1,2.940924,0,150675000.0,0.0,0.0
2010-12-16,4.6,4.85,4.6,4.8,3.443032,6800,169050000.0,0.20000000000000018,4.347826086956526
2010-12-17,4.7,4.7,4.7,4.7,3.371304,800,172725000.0,0.0,0.0
2010-12-20,4.7,4.7,4.5,4.53,3.249362,9200,172725000.0,-0.16999999999999993,-3.617021276595743
2010-12-21,4.54,4.8,4.54,4.54,3.256535,4300,166845000.0,0.0,0.0
2010-12-22,4.54,4.54,4.54,4.54,3.256535,2900,166845000.0,0.0,0.0
2010-12-23,4.54,4.54,4.54,4.54,3.256535,4800,166845000.0,0.0,0.0
2010-12-27,4.54,4.54,4.54,4.54,3.256535,0,166845000.0,0.0,0.0
2010-12-28,4.73,4.8,4.55,4.6,3.299572,20500,173827500.00000003,-0.13000000000000078,-2.748414376321369
2010-12-29,4.55,4.6,4.55,4.6,3.299572,5500,167212500.0,0.04999999999999982,1.098901098901095
2010-12-30,4.7,4.7,4.65,4.65,3.335438,4100,172725000.0,-0.04999999999999982,-1.0638297872340388
2010-12-31,4.61,4.75,4.61,4.75,3.407167,5500,169417500.0,0.13999999999999968,3.036876355748366
2011-01-03,5.15,5.15,4.75,4.75,3.407167,1200,189262500.0,-0.40000000000000036,-7.766990291262142
2011-01-04,5.15,5.15,5.15,5.15,3.694087,2200,189262500.0,0.0,0.0
2011-01-05,5.15,5.15,5.15,5.15,3.694087,0,189262500.0,0.0,0.0
2011-01-06,5.15,5.15,5.15,5.15,3.694087,0,189262500.0,0.0,0.0
2011-01-07,5.15,5.2,4.83,4.85,3.478898,17500,189262500.0,-0.3000000000000007,-5.825242718446615
