Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2012-04-25,3.2,4.75,3.1,4.72,4.72,28900,498816000.0,1.5199999999999996,47.499999999999986
2012-04-26,4.7,4.76,4.4,4.49,4.49,17400,732636000.0,-0.20999999999999996,-4.468085106382977
2012-04-27,4.47,4.5,4.47,4.5,4.5,700,696783600.0,0.03000000000000025,0.671140939597321
2012-04-30,4.45,4.45,4.15,4.2,4.2,4800,693666000.0,-0.25,-5.617977528089887
2012-05-01,4.0,4.07,3.55,3.7,3.7,547500,623520000.0,-0.2999999999999998,-7.499999999999996
2012-05-02,3.69,3.73,3.29,3.73,3.73,588800,575197200.0,0.040000000000000036,1.084010840108402
2012-05-03,3.63,3.72,3.4,3.72,3.72,834000,565844400.0,0.0900000000000003,2.4793388429752152
2012-05-04,3.5,3.6,3.25,3.33,3.33,564000,545580000.0,-0.16999999999999993,-4.857142857142855
2012-05-07,3.25,3.4,3.1,3.34,3.34,484000,506610000.0,0.08999999999999986,2.7692307692307647
2012-05-08,3.21,3.37,2.95,3.09,3.09,832000,500374800.0,-0.1200000000000001,-3.738317757009349
2012-05-09,2.9,3.3,2.8,3.29,3.29,1240700,452052000.0,0.3900000000000001,13.44827586206897
2012-05-10,3.25,3.3,3.1,3.22,3.22,551800,506610000.0,-0.029999999999999805,-0.9230769230769171
2012-05-11,3.28,3.3,3.06,3.1,3.1,224000,511286399.99999994,-0.17999999999999972,-5.487804878048772
2012-05-14,2.98,3.4,2.92,3.4,3.4,553800,464522400.0,0.41999999999999993,14.093959731543624
2012-05-15,3.05,3.4,3.02,3.39,3.39,514200,475434000.0,0.3400000000000003,11.147540983606568
2012-05-16,3.37,3.45,3.0,3.0,3.0,253200,525315600.0,-0.3700000000000001,-10.979228486646887
2012-05-17,2.92,3.28,2.92,3.28,3.28,493500,455169600.0,0.3599999999999999,12.328767123287667
2012-05-18,3.3,3.37,3.18,3.37,3.37,360300,514404000.0,0.07000000000000028,2.12121212121213
2012-05-21,3.26,3.29,3.1,3.2,3.2,233000,508168799.99999994,-0.05999999999999961,-1.8404907975460003
2012-05-22,3.13,3.18,2.97,2.99,2.99,216400,487904400.0,-0.13999999999999968,-4.472843450479223
2012-05-23,2.98,2.98,2.71,2.78,2.78,313000,464522400.0,-0.20000000000000018,-6.71140939597316
2012-05-24,2.84,2.84,2.52,2.57,2.57,245500,442699200.0,-0.27,-9.507042253521128
2012-05-25,2.55,2.6,2.51,2.6,2.6,112100,397494000.0,0.050000000000000266,1.960784313725501
2012-05-29,2.47,2.69,2.41,2.46,2.46,141900,385023600.00000006,-0.010000000000000231,-0.40485829959515096
2012-05-30,2.48,2.62,2.4,2.62,2.62,144200,386582400.0,0.14000000000000012,5.645161290322586
2012-05-31,2.52,2.6,2.41,2.45,2.45,253900,392817600.0,-0.06999999999999984,-2.7777777777777715
