Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2020-09-03,9.88,10.49,9.86,10.23,10.23,970400,1007661200.0000001,0.34999999999999964,3.542510121457486
2020-09-04,10.33,10.6,10.12,10.25,10.25,253400,1053556700.0,-0.08000000000000007,-0.7744433688286552
2020-09-08,10.31,10.31,10.16,10.24,10.24,70300,1051516900.0,-0.07000000000000028,-0.6789524733268698
2020-09-09,10.25,10.25,10.15,10.2,10.2,53100,1045397500.0,-0.05000000000000071,-0.4878048780487874
2020-09-10,10.16,10.28,10.085,10.11,10.11,87300,1036218400.0,-0.05000000000000071,-0.4921259842519755
2020-09-11,10.25,10.28,10.065,10.135,10.135,44300,1045397500.0,-0.11500000000000021,-1.1219512195121972
2020-09-14,10.14,10.24,10.1,10.15,10.15,53000,1034178600.0,0.009999999999999787,0.09861932938855805
2020-09-15,10.195,10.205,10.14,10.14,10.14,16500,1039788050.0,-0.054999999999999716,-0.539480137322214
2020-09-16,10.13,10.88,10.11,10.16,10.16,49400,1033158700.0000001,0.02999999999999936,0.2961500493583352
2020-09-17,10.455,10.455,10.05,10.14,10.14,23900,1066305450.0,-0.3149999999999995,-3.012912482065992
2020-09-18,10.2,10.54,10.15,10.15,10.15,39800,1040297999.9999999,-0.049999999999998934,-0.49019607843136215
2020-09-21,10.16,10.3,10.1,10.13,10.13,16600,1036218400.0,-0.02999999999999936,-0.2952755905511748
2020-09-22,10.7,10.7,10.163,10.38,10.38,1700,1091293000.0,-0.3199999999999985,-2.9906542056074628
2020-09-23,10.71,10.71,10.2,10.55,10.55,6400,1092312900.0,-0.16000000000000014,-1.493930905695613
2020-09-24,10.36,10.36,10.2,10.28,10.28,3500,1056616400.0,-0.08000000000000007,-0.7722007722007729
2020-09-25,10.235,10.285,10.22,10.22,10.22,1900,1043867650.0,-0.014999999999998792,-0.14655593551537657
2020-09-28,10.22,10.22,10.1,10.11,10.11,1300,1042337800.0000001,-0.11000000000000121,-1.0763209393346498
2020-09-29,10.23,10.23,10.136,10.136,10.136,1200,1043357700.0,-0.0940000000000012,-0.9188660801564145
2020-09-30,10.18,10.615,10.18,10.36,10.36,9700,1038258200.0,0.17999999999999972,1.7681728880157142
2020-10-01,10.5,10.5,10.15,10.15,10.15,1900,1070895000.0,-0.34999999999999964,-3.33333333333333
2020-10-02,10.1,10.1,10.1,10.1,10.1,100,1030099000.0,0.0,0.0
2020-10-05,10.11,10.33,10.1,10.1,10.1,6400,1031118900.0,-0.009999999999999787,-0.09891196834816803
2020-10-06,10.2,10.41,10.14,10.16,10.16,4500,1040297999.9999999,-0.03999999999999915,-0.3921568627450897
2020-10-07,10.2,10.31,10.1,10.14,10.14,4700,1040297999.9999999,-0.05999999999999872,-0.5882352941176345
2020-10-08,10.22,10.29,10.17,10.199,10.199,2400,1042337800.0000001,-0.021000000000000796,-0.2054794520548023
2020-10-09,10.15,10.48,10.14,10.14,10.14,2500,1035198500.0,-0.009999999999999787,-0.09852216748768262
2020-10-12,10.17,10.51,10.1,10.1,10.1,11000,1037238300.0,-0.07000000000000028,-0.6882989183874167
2020-10-13,10.42,10.42,10.15,10.15,10.15,12700,1062735800.0,-0.2699999999999996,-2.5911708253358885
2020-10-14,10.205,10.245,10.12,10.12,10.12,3000,1040807950.0,-0.08500000000000085,-0.8329250367467012
2020-10-15,10.125,10.15,10.12,10.13,10.13,3300,1032648750.0,0.005000000000000782,0.049382716049390436
2020-10-16,10.49,10.49,10.18,10.18,10.18,7100,1069875100.0,-0.3100000000000005,-2.9551954242135414
2020-10-19,10.47,10.47,10.16,10.16,10.16,5200,1067835300.0000001,-0.3100000000000005,-2.9608404966571205
2020-10-20,10.178,10.18,10.1,10.15,10.15,4100,1038054220.0000001,-0.02800000000000047,-0.275103163686387
2020-10-21,10.15,10.15,10.11,10.15,10.15,5800,1035198500.0,0.0,0.0
2020-10-22,10.11,10.15,10.1,10.15,10.15,1100,1031118900.0,0.040000000000000924,0.3956478733926897
2020-10-23,10.1,10.11,10.1,10.1,10.1,5000,1030099000.0,0.0,0.0
2020-10-26,10.1,10.125,10.1,10.1,10.1,2000,1030099000.0,0.0,0.0
2020-10-27,10.06,10.15,9.83,10.1,10.1,60600,1026019400.0,0.03999999999999915,0.3976143141152997
2020-10-28,10.04,10.16,9.902,9.98,9.98,4200,1023979599.9999999,-0.05999999999999872,-0.5976095617529754
2020-10-29,10.0,10.0,9.86,9.91,9.91,8400,1019900000.0,-0.08999999999999986,-0.8999999999999986
2020-10-30,9.88,9.95,9.86,9.95,9.95,6600,1007661200.0000001,0.06999999999999851,0.7085020242914828
2020-11-02,10.09,10.11,10.09,10.11,10.11,600,1029079100.0,0.019999999999999574,0.19821605550049132
2020-11-03,10.11,10.11,10.11,10.11,10.11,0,1031118900.0,0.0,0.0
2020-11-04,9.9,10.04,9.9,10.0,10.0,15000,1009701000.0,0.09999999999999964,1.0101010101010066
2020-11-05,10.02,10.07,10.0,10.05,10.05,2300,1021939800.0,0.030000000000001137,0.29940119760480177
