Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2005-07-27,28.5,28.5,27.5,27.5,10.737167,63000,384465000.0,-1.0,-3.508771929824561
2005-07-28,27.5,27.879999,27.5,27.6,10.776212,63000,370975000.0,0.10000000000000142,0.3636363636363688
2005-07-29,27.6,27.6,27.6,27.6,10.776212,0,372324000.0,0.0,0.0
2005-08-01,27.85,28.6,27.85,28.5,11.12761,160600,375696500.0,0.6499999999999986,2.33393177737881
2005-08-02,29.1,29.25,28.5,28.700001,11.205699,63800,392559000.0,-0.3999990000000011,-1.374567010309282
2005-08-03,28.0,28.299999,28.0,28.049999,10.951911,3100,377720000.0,0.04999899999999968,0.178567857142856
2005-08-04,28.6,28.6,28.0,28.0,10.932387,10800,385814000.0,-0.6000000000000014,-2.097902097902103
2005-08-05,28.07,28.07,27.5,28.049999,10.951911,27700,378664300.0,-0.0200010000000006,-0.07125400783755113
2005-08-08,27.200001,28.25,27.200001,28.0,10.932387,2700,366928013.49,0.7999989999999997,2.941172685986297
2005-08-09,28.0,28.0,28.0,28.0,10.932387,900,377720000.0,0.0,0.0
2005-08-10,27.75,28.0,27.75,28.0,10.932387,10000,374347500.0,0.25,0.9009009009009009
2005-08-11,28.0,28.0,28.0,28.0,10.932387,0,377720000.0,0.0,0.0
2005-08-12,27.0,28.0,27.0,28.0,10.932387,1000,364230000.0,1.0,3.7037037037037033
2005-08-15,28.5,28.5,28.5,28.5,11.12761,2400,384465000.0,0.0,0.0
2005-08-16,28.5,28.5,28.5,28.5,11.12761,0,384465000.0,0.0,0.0
2005-08-17,28.0,28.0,28.0,28.0,10.932387,300,377720000.0,0.0,0.0
2005-08-18,28.0,28.0,28.0,28.0,10.932387,0,377720000.0,0.0,0.0
2005-08-19,27.9,27.92,27.25,27.25,10.639557,18400,376371000.0,-0.6499999999999986,-2.3297491039426474
2005-08-22,27.1,27.75,27.1,27.26,10.643461,8800,365579000.0,0.16000000000000014,0.5904059040590411
2005-08-23,27.5,27.5,26.0,27.0,10.541946,10700,370975000.0,-0.5,-1.8181818181818181
2005-08-24,27.129999,27.25,27.129999,27.25,10.639557,75000,365983686.51000005,0.12000099999999847,0.4423184829457549
2005-08-25,26.5,27.299999,26.5,27.01,10.545851,15200,357485000.0,0.5100000000000016,1.9245283018867982
2005-08-26,27.4,27.4,27.0,27.0,10.541946,2300,369626000.0,-0.3999999999999986,-1.459854014598535
2005-08-29,27.450001,27.950001,27.1,27.25,10.639557,94700,370300513.49,-0.20000100000000032,-0.7286010663533321
2005-08-30,27.15,27.25,27.049999,27.049999,10.561467,1300,366253500.0,-0.1000009999999989,-0.36832780847145086
2005-08-31,27.5,27.5,27.200001,27.200001,10.620035,21800,370975000.0,-0.2999989999999997,-1.0909054545454533
2005-09-01,27.5,27.5,27.5,27.5,10.737167,3000,370975000.0,0.0,0.0
2005-09-02,27.280001,27.280001,27.280001,27.280001,10.651272,4500,368007213.49,0.0,0.0
2005-09-06,27.299999,27.299999,27.25,27.299999,10.659079,5400,368276986.51,0.0,0.0
2005-09-07,27.5,27.549999,27.5,27.5,10.737167,2400,370975000.0,0.0,0.0
2005-09-08,27.299999,27.35,27.15,27.15,10.600512,15800,368276986.51,-0.1499990000000011,-0.5494469065731508
2005-09-09,27.15,27.15,27.0,27.0,10.541946,800,366253500.0,-0.14999999999999858,-0.5524861878452987
2005-09-12,27.0,27.0,27.0,27.0,10.541946,1600,364230000.0,0.0,0.0
2005-09-13,27.0,27.0,27.0,27.0,10.541946,0,364230000.0,0.0,0.0
2005-09-14,27.0,27.0,27.0,27.0,10.541946,600,364230000.0,0.0,0.0
2005-09-15,27.0,27.0,27.0,27.0,10.541946,0,364230000.0,0.0,0.0
2005-09-16,27.0,27.0,27.0,27.0,10.541946,0,364230000.0,0.0,0.0
2005-09-19,27.0,27.0,27.0,27.0,10.541946,200,364230000.0,0.0,0.0
2005-09-20,27.0,27.0,27.0,27.0,10.541946,0,364230000.0,0.0,0.0
2005-09-21,27.0,27.0,27.0,27.0,10.541946,0,364230000.0,0.0,0.0
2005-09-22,26.0,26.5,26.0,26.5,10.346725,200,350740000.0,0.5,1.9230769230769231
2005-09-23,26.5,26.5,26.5,26.5,10.346725,0,357485000.0,0.0,0.0
2005-09-26,27.0,27.0,27.0,27.0,10.541946,3500,364230000.0,0.0,0.0
2005-09-27,27.0,27.0,27.0,27.0,10.541946,3200,364230000.0,0.0,0.0
2005-09-28,26.99,26.99,26.99,26.99,10.538041,100,364095100.0,0.0,0.0
2005-09-29,26.99,26.99,26.950001,26.99,10.538041,200700,364095100.0,0.0,0.0
2005-09-30,26.99,27.1,26.75,27.1,10.580991,2700,364095100.0,0.11000000000000298,0.4075583549462875
2005-10-03,26.01,26.01,24.6,25.0,9.761062,13200,350874900.0,-1.0100000000000016,-3.8831218762014665
2005-10-04,25.0,25.0,25.0,25.0,9.761062,4800,337250000.0,0.0,0.0
2005-10-05,25.0,25.0,25.0,25.0,9.761062,0,337250000.0,0.0,0.0
2005-10-06,24.75,25.0,24.0,24.75,9.66345,4500,333877500.0,0.0,0.0
2005-10-07,24.5,24.5,24.5,24.5,9.565839,100,330505000.0,0.0,0.0
2005-10-10,24.0,24.0,23.75,23.75,9.273008,2300,323760000.0,-0.25,-1.0416666666666665
2005-10-11,23.75,23.75,23.75,23.75,9.273008,0,320387500.0,0.0,0.0
2005-10-12,23.75,23.75,23.75,23.75,9.273008,0,320387500.0,0.0,0.0
2005-10-13,23.75,23.75,23.75,23.75,9.273008,0,320387500.0,0.0,0.0
2005-10-14,23.75,23.75,23.75,23.75,9.273008,0,320387500.0,0.0,0.0
2005-10-17,23.75,23.75,23.75,23.75,9.273008,0,320387500.0,0.0,0.0
2005-10-18,23.75,23.75,23.75,23.75,9.273008,2000,320387500.0,0.0,0.0
2005-10-19,23.0,23.25,23.0,23.25,9.077786,2700,310270000.0,0.25,1.0869565217391304
2005-10-20,23.25,23.25,23.25,23.25,9.077786,0,313642500.0,0.0,0.0
2005-10-21,23.0,23.0,23.0,23.0,8.980176,200,310270000.0,0.0,0.0
2005-10-24,22.0,22.0,21.0,21.75,8.492123,4400,296780000.0,-0.25,-1.1363636363636365
2005-10-25,22.0,22.75,22.0,22.75,8.882565,1200,296780000.0,0.75,3.4090909090909087
