Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1999-03-03,5.512963,5.578593,5.512963,5.578593,3.20052,19046,94492185.82000001,0.06562999999999963,1.1904669050018952
1999-03-04,5.381702,5.512963,5.381702,5.512963,3.162868,10666,92242372.28,0.1312610000000003,2.4390239370370246
1999-03-05,5.381702,5.381702,5.381702,5.381702,3.087561,39616,92242372.28,0.0,0.0
1999-03-08,5.512963,5.512963,5.512963,5.512963,3.162868,6857,94492185.82000001,0.0,0.0
1999-03-09,5.512963,5.512963,5.512963,5.512963,3.162868,0,94492185.82000001,0.0,0.0
1999-03-10,5.512963,5.512963,5.512963,5.512963,3.162868,3809,94492185.82000001,0.0,0.0
1999-03-11,5.316071,5.316071,5.316071,5.316071,3.049907,3047,91117456.94,0.0,0.0
1999-03-12,5.512963,5.512963,5.512963,5.512963,3.162868,4571,94492185.82000001,0.0,0.0
1999-03-15,5.512963,5.512963,5.512963,5.512963,3.162868,0,94492185.82000001,0.0,0.0
1999-03-16,5.512963,5.512963,5.512963,5.512963,3.162868,0,94492185.82000001,0.0,0.0
1999-03-17,5.512963,5.512963,5.512963,5.512963,3.162868,0,94492185.82000001,0.0,0.0
1999-03-18,5.512963,5.512963,5.512963,5.512963,3.162868,0,94492185.82000001,0.0,0.0
1999-03-19,5.316071,5.316071,5.316071,5.316071,3.049907,762,91117456.94,0.0,0.0
1999-03-22,5.316071,5.316071,5.316071,5.316071,3.049907,2286,91117456.94,0.0,0.0
1999-03-23,5.316071,5.316071,5.316071,5.316071,3.049907,0,91117456.94,0.0,0.0
1999-03-24,5.316071,5.316071,5.316071,5.316071,3.049907,0,91117456.94,0.0,0.0
1999-03-25,5.316071,5.316071,5.316071,5.316071,3.049907,0,91117456.94,0.0,0.0
1999-03-26,5.381702,5.381702,5.381702,5.381702,3.087561,1524,92242372.28,0.0,0.0
1999-03-29,5.381702,5.381702,5.381702,5.381702,3.087561,0,92242372.28,0.0,0.0
1999-03-30,5.381702,5.447332,5.381702,5.447332,3.125212,3047,92242372.28,0.06563000000000052,1.2195026777774116
1999-03-31,5.381702,5.381702,5.381702,5.381702,3.087561,3809,92242372.28,0.0,0.0
1999-04-01,5.381702,5.381702,5.381702,5.381702,3.087561,0,92242372.28,0.0,0.0
1999-04-05,5.316071,5.316071,5.316071,5.316071,3.049907,6095,91117456.94,0.0,0.0
1999-04-06,5.316071,5.316071,5.316071,5.316071,3.049907,762,91117456.94,0.0,0.0
1999-04-07,5.316071,5.316071,5.316071,5.316071,3.049907,9142,91117456.94,0.0,0.0
1999-04-08,5.381702,5.381702,5.381702,5.381702,3.087561,13713,92242372.28,0.0,0.0
1999-04-09,5.381702,5.381702,5.316071,5.316071,3.049907,4571,92242372.28,-0.06563099999999977,-1.219521259259613
1999-04-12,5.316071,5.316071,5.316071,5.316071,3.049907,0,91117456.94,0.0,0.0
1999-04-13,5.316071,5.512963,5.316071,5.512963,3.162868,8380,91117456.94,0.19689200000000007,3.7037127607964617
1999-04-14,5.512963,5.512963,5.512963,5.512963,3.178,0,94492185.82000001,0.0,0.0
1999-04-15,5.480148,5.480148,5.480148,5.480148,3.159083,0,93929736.72,0.0,0.0
1999-04-16,5.480148,5.480148,5.480148,5.480148,3.159083,0,93929736.72,0.0,0.0
1999-04-19,5.316071,5.316071,5.316071,5.316071,3.0645,1524,91117456.94,0.0,0.0
1999-04-20,5.316071,5.316071,5.316071,5.316071,3.0645,1524,91117456.94,0.0,0.0
1999-04-21,5.316071,5.316071,5.316071,5.316071,3.0645,0,91117456.94,0.0,0.0
1999-04-22,5.316071,5.316071,5.316071,5.316071,3.0645,0,91117456.94,0.0,0.0
1999-04-23,5.316071,5.316071,5.316071,5.316071,3.0645,0,91117456.94,0.0,0.0
1999-04-26,5.480148,5.480148,5.480148,5.480148,3.159083,1524,93929736.72,0.0,0.0
1999-04-27,5.316071,5.316071,5.250441,5.250441,3.026667,3809,91117456.94,-0.06562999999999963,-1.234558379675509
1999-04-28,5.250441,5.250441,5.250441,5.250441,3.026667,3047,89992558.74000001,0.0,0.0
1999-04-29,5.381702,5.381702,5.250441,5.316071,3.0645,18284,92242372.28,-0.06563099999999977,-1.219521259259613
1999-04-30,5.348887,5.348887,5.348887,5.348887,3.083416,11428,91679923.18,0.0,0.0
1999-05-03,5.250441,5.381702,5.250441,5.381702,3.102334,16760,89992558.74000001,0.1312609999999994,2.499999523849509
1999-05-04,5.381702,5.381702,5.381702,5.381702,3.102334,3809,92242372.28,0.0,0.0
1999-05-05,5.381702,5.381702,5.381702,5.381702,3.102334,0,92242372.28,0.0,0.0
1999-05-06,5.381702,5.381702,5.381702,5.381702,3.102334,762,92242372.28,0.0,0.0
1999-05-07,5.381702,5.381702,5.381702,5.381702,3.102334,0,92242372.28,0.0,0.0
1999-05-10,5.381702,5.381702,5.381702,5.381702,3.102334,7618,92242372.28,0.0,0.0
1999-05-11,5.381702,5.381702,5.381702,5.381702,3.102334,0,92242372.28,0.0,0.0
1999-05-12,5.316071,5.316071,5.316071,5.316071,3.0645,1524,91117456.94,0.0,0.0
1999-05-13,5.316071,5.316071,5.316071,5.316071,3.0645,0,91117456.94,0.0,0.0
1999-05-14,5.316071,5.316071,5.316071,5.316071,3.0645,1524,91117456.94,0.0,0.0
1999-05-17,5.316071,5.316071,5.316071,5.316071,3.0645,3809,91117456.94,0.0,0.0
1999-05-18,5.316071,5.316071,5.316071,5.316071,3.0645,1524,91117456.94,0.0,0.0
1999-05-19,5.316071,5.316071,5.316071,5.316071,3.0645,0,91117456.94,0.0,0.0
1999-05-20,5.316071,5.316071,5.316071,5.316071,3.0645,0,91117456.94,0.0,0.0
1999-05-21,5.316071,5.381702,5.316071,5.381702,3.102334,12189,91117456.94,0.06563099999999977,1.234577190560468
1999-05-24,5.381702,5.381702,5.381702,5.381702,3.102334,0,92242372.28,0.0,0.0
1999-05-25,5.250441,5.250441,5.11918,5.11918,2.951,19808,89992558.74000001,-0.1312610000000003,-2.499999523849526
1999-05-26,5.381702,5.381702,5.381702,5.381702,3.102334,1524,92242372.28,0.0,0.0
1999-05-27,5.250441,5.250441,5.250441,5.250441,3.026667,1524,89992558.74000001,0.0,0.0
1999-05-28,5.348887,5.381702,5.316071,5.316071,3.0645,16760,91679923.18,-0.0328160000000004,-0.6135108107537213
1999-06-01,5.316071,5.381702,5.316071,5.316071,3.0645,5333,91117456.94,0.0,0.0
1999-06-02,5.381702,5.381702,5.381702,5.381702,3.102334,20570,92242372.28,0.0,0.0
1999-06-03,5.316071,5.316071,5.316071,5.316071,3.0645,7618,91117456.94,0.0,0.0
1999-06-04,5.381702,5.381702,5.381702,5.381702,3.102334,3809,92242372.28,0.0,0.0
1999-06-07,5.283256,5.283256,5.283256,5.283256,3.045583,4571,90555007.83999999,0.0,0.0
1999-06-08,5.381702,5.381702,5.381702,5.381702,3.102334,3809,92242372.28,0.0,0.0
1999-06-09,5.381702,5.381702,5.381702,5.381702,3.102334,0,92242372.28,0.0,0.0
1999-06-10,5.381702,5.381702,5.381702,5.381702,3.102334,0,92242372.28,0.0,0.0
1999-06-11,5.283256,5.316071,5.283256,5.316071,3.0645,6095,90555007.83999999,0.03281500000000026,0.6211131923192869
1999-06-14,5.316071,5.316071,5.316071,5.316071,3.0645,0,91117456.94,0.0,0.0
1999-06-15,5.283256,5.283256,5.283256,5.283256,3.045583,3809,90555007.83999999,0.0,0.0
1999-06-16,5.381702,5.381702,5.381702,5.381702,3.102334,9904,92242372.28,0.0,0.0
1999-06-17,5.381702,5.480148,5.381702,5.480148,3.159083,9904,92242372.28,0.09844600000000003,1.8292725981483189
1999-06-18,5.480148,5.480148,5.480148,5.480148,3.159083,0,93929736.72,0.0,0.0
1999-06-21,5.480148,5.480148,5.480148,5.480148,3.159083,0,93929736.72,0.0,0.0
1999-06-22,5.381702,5.381702,5.381702,5.381702,3.102334,28188,92242372.28,0.0,0.0
1999-06-23,5.381702,5.381702,5.381702,5.381702,3.102334,762,92242372.28,0.0,0.0
1999-06-24,5.447332,5.447332,5.447332,5.447332,3.140166,7618,93367270.48,0.0,0.0
1999-06-25,5.381702,5.381702,5.381702,5.381702,3.102334,1524,92242372.28,0.0,0.0
1999-06-28,5.381702,5.381702,5.381702,5.381702,3.102334,762,92242372.28,0.0,0.0
1999-06-29,5.381702,5.381702,5.381702,5.381702,3.102334,0,92242372.28,0.0,0.0
1999-06-30,5.381702,5.381702,5.381702,5.381702,3.102334,1524,92242372.28,0.0,0.0
1999-07-01,5.381702,5.381702,5.381702,5.381702,3.102334,0,92242372.28,0.0,0.0
1999-07-02,5.381702,5.381702,5.381702,5.381702,3.102334,0,92242372.28,0.0,0.0
1999-07-06,5.381702,5.381702,5.381702,5.381702,3.102334,0,92242372.28,0.0,0.0
1999-07-07,5.381702,5.381702,5.381702,5.381702,3.102334,0,92242372.28,0.0,0.0
1999-07-08,5.381702,5.381702,5.381702,5.381702,3.102334,0,92242372.28,0.0,0.0
1999-07-09,5.414517,5.512963,5.414517,5.447332,3.140166,19808,92804821.38,0.03281500000000026,0.6060559048941995
1999-07-12,5.447332,5.447332,5.447332,5.447332,3.140166,0,93367270.48,0.0,0.0
1999-07-13,5.447332,5.447332,5.447332,5.447332,3.140166,0,93367270.48,0.0,0.0
1999-07-14,5.447332,5.447332,5.447332,5.447332,3.155372,1524,93367270.48,0.0,0.0
1999-07-15,5.414517,5.414517,5.414517,5.414517,3.136365,0,92804821.38,0.0,0.0
1999-07-16,5.512963,5.578593,5.512963,5.578593,3.231405,6857,94492185.82000001,0.06562999999999963,1.1904669050018952
