Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2018-02-08,12.25,12.48,11.6,11.6,10.40043,3771800,808377487.75,-0.6500000000000004,-5.306122448979594
2018-02-09,12.0,12.5,11.03,12.39,11.108737,1351300,791879988.0,0.39000000000000057,3.250000000000005
2018-02-12,12.3,12.7,11.88,12.4,11.117702,307700,811676987.7,0.09999999999999964,0.8130081300812979
2018-02-13,12.11,12.84,11.92,12.79,11.467371,309700,799138887.89,0.6799999999999997,5.615194054500411
2018-02-14,12.55,12.88,12.2,12.8,11.476336,257700,828174487.45,0.25,1.9920318725099602
2018-02-15,13.0,13.06,12.415,13.05,11.700486,348000,857869987.0,0.05000000000000071,0.3846153846153901
2018-02-16,12.79,13.13,12.65,13.05,11.700486,224000,844012087.2099999,0.26000000000000156,2.032838154808456
2018-02-20,12.65,13.06,12.51,12.99,11.646688,107200,834773487.35,0.33999999999999986,2.6877470355731212
2018-02-21,12.81,13.11,12.55,12.93,11.592895,171700,845331887.19,0.11999999999999922,0.9367681498828979
2018-02-22,12.7,13.03,12.58,13.0,11.655656,189500,838072987.3,0.3000000000000007,2.362204724409455
2018-02-23,12.98,13.03,12.76,13.0,11.655656,87600,856550187.02,0.019999999999999574,0.15408320493065927
2018-02-26,12.97,13.49,12.82,13.26,11.88877,395500,855890287.0300001,0.28999999999999915,2.235929067077865
2018-02-27,13.12,13.5,12.65,13.0,11.655656,170500,865788786.88,-0.11999999999999922,-0.9146341463414575
2018-02-28,12.87,13.0,12.73,12.95,11.610825,101600,849291287.13,0.08000000000000007,0.6216006216006222
2018-03-01,12.86,13.25,12.5,13.08,11.727381,381700,848631387.14,0.22000000000000064,1.7107309486780766
2018-03-02,12.98,13.41,12.85,13.3,11.924632,138300,856550187.02,0.3200000000000003,2.465331278890603
2018-03-05,13.14,13.21,12.6,12.79,11.467371,152300,867108586.86,-0.3500000000000014,-2.6636225266362357
2018-03-06,12.79,12.95,12.58,12.85,11.521166,75200,844012087.2099999,0.0600000000000005,0.46911649726349103
2018-03-07,12.68,13.03,12.61,13.0,11.655656,169200,836753187.3199999,0.3200000000000003,2.5236593059936934
2018-03-08,12.92,13.15,12.9,13.0,11.655656,100500,852590787.08,0.08000000000000007,0.6191950464396291
2018-03-09,13.03,13.12,12.68,13.0,11.655656,194600,859849686.9699999,-0.02999999999999936,-0.23023791250958836
2018-03-12,12.95,13.13,12.61,12.66,11.350816,117900,854570487.05,-0.28999999999999915,-2.239382239382233
2018-03-13,12.95,13.13,12.42,12.42,11.135634,160500,854570487.05,-0.5299999999999994,-4.092664092664088
2018-03-14,12.25,12.585,11.91,12.33,11.054939,212500,808377487.75,0.08000000000000007,0.6530612244897964
2018-03-15,12.29,12.64,11.9,12.01,10.768031,66300,811017087.7099999,-0.27999999999999936,-2.2782750203417366
2018-03-16,12.0,12.23,11.85,11.94,10.705271,459700,791879988.0,-0.0600000000000005,-0.5000000000000042
2018-03-19,11.96,12.2,11.7,11.87,10.642511,61800,789240388.0400001,-0.09000000000000163,-0.752508361204027
2018-03-20,11.89,12.144,11.2,11.68,10.472158,159900,784621088.11,-0.21000000000000085,-1.7661900756938675
2018-03-21,11.6,12.09,11.6,11.83,10.606647,94600,765483988.4,0.23000000000000043,1.9827586206896588
2018-03-22,11.73,12.15,11.65,12.0,10.759068,57000,774062688.27,0.2699999999999996,2.3017902813299194
2018-03-23,11.92,12.13,11.81,11.92,10.687339,33000,786600788.08,0.0,0.0
2018-03-26,12.12,12.37,11.66,12.27,11.001145,87500,799798787.88,0.15000000000000036,1.2376237623762407
2018-03-27,12.28,12.74,11.81,12.42,11.135634,91200,810357187.7199999,0.14000000000000057,1.1400651465798093
2018-03-28,12.3,12.38,12.1,12.34,11.063907,88600,811676987.7,0.03999999999999915,0.3252032520325134
2018-03-29,12.31,12.48,12.16,12.3,11.028043,48100,812336887.69,-0.009999999999999787,-0.08123476848090809
2018-04-02,12.25,12.86,11.67,11.99,10.7501,204400,808377487.75,-0.2599999999999998,-2.122448979591835
2018-04-03,12.09,12.3,11.43,11.53,10.337667,210800,797819087.91,-0.5600000000000005,-4.631927212572378
2018-04-04,11.34,11.79,10.66,11.2,10.041795,130100,748326588.66,-0.14000000000000057,-1.234567901234573
2018-04-05,11.3,11.529,10.85,11.24,10.077658,124100,745686988.7,-0.0600000000000005,-0.530973451327438
2018-04-06,11.15,11.51,10.755,10.84,9.719023,120000,735788488.85,-0.3100000000000005,-2.7802690582959686
2018-04-09,10.89,11.17,10.52,10.65,9.548672,146900,718631089.11,-0.2400000000000002,-2.2038567493112966
2018-04-10,10.6,11.0,10.57,10.88,9.754886,96700,699493989.4,0.28000000000000114,2.641509433962275
2018-04-11,10.64,10.93,10.53,10.69,9.584537,58600,702133589.36,0.049999999999998934,0.4699248120300652
2018-04-12,10.62,10.99,10.39,10.66,9.557637,60400,700813789.38,0.040000000000000924,0.3766478342749617
2018-04-13,10.6,11.09,10.45,10.74,9.629364,58900,699493989.4,0.14000000000000057,1.3207547169811376
2018-04-16,10.69,11.0,10.39,10.73,9.620398,70100,705433089.31,0.040000000000000924,0.37418147801684687
2018-04-17,10.71,10.98,10.55,10.89,9.763852,72700,706752889.2900001,0.17999999999999972,1.6806722689075602
2018-04-18,10.8,10.85,10.5,10.57,9.476943,99300,712691989.2,-0.23000000000000043,-2.1296296296296333
2018-04-19,10.54,10.7,10.5,10.6,9.503842,24200,695534589.4599999,0.0600000000000005,0.5692599620493406
2018-04-20,10.52,11.04,10.46,10.46,9.37832,76800,694214789.48,-0.05999999999999872,-0.5703422053231818
2018-04-23,10.45,10.64,10.394,10.59,9.494876,32200,689595489.55,0.14000000000000057,1.3397129186602927
2018-04-24,10.64,10.64,10.36,10.6,9.503842,356800,702133589.36,-0.040000000000000924,-0.3759398496240688
2018-04-25,10.64,10.825,10.3,10.61,9.512808,251500,702133589.36,-0.030000000000001137,-0.2819548872180558
2018-04-26,10.62,10.74,10.05,10.5,9.414183,45300,700813789.38,-0.11999999999999922,-1.1299435028248515
2018-04-27,10.42,10.63,10.22,10.51,9.423149,104500,687615789.58,0.08999999999999986,0.8637236084452962
2018-04-30,10.59,11.49,10.532,11.06,9.916274,50900,698834089.41,0.47000000000000064,4.438149197356003
2018-05-01,10.98,11.29,10.72,11.06,9.916274,56800,724570189.02,0.08000000000000007,0.7285974499089259
