Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
2009-09-03,1500.0,1500.0,1500.0,1500.0,1500.0,33,39330000000.0,0.0,0.0
2009-09-04,1500.0,1500.0,1500.0,1500.0,1500.0,33,39330000000.0,0.0,0.0
2009-09-08,1500.0,1500.0,1500.0,1500.0,1500.0,0,39330000000.0,0.0,0.0
2009-09-09,1500.0,1500.0,1500.0,1500.0,1500.0,33,39330000000.0,0.0,0.0
2009-09-10,1500.0,1500.0,1500.0,1500.0,1500.0,0,39330000000.0,0.0,0.0
2009-09-11,1500.0,1500.0,1500.0,1500.0,1500.0,0,39330000000.0,0.0,0.0
2009-09-14,1500.0,1500.0,1500.0,1500.0,1500.0,33,39330000000.0,0.0,0.0
2009-09-15,1500.0,1500.0,1500.0,1500.0,1500.0,33,39330000000.0,0.0,0.0
2009-09-16,1500.0,1500.0,1500.0,1500.0,1500.0,33,39330000000.0,0.0,0.0
2009-09-17,1500.0,1500.0,1500.0,1500.0,1500.0,33,39330000000.0,0.0,0.0
2009-09-18,1500.0,1650.0,1500.0,1650.0,1650.0,33,39330000000.0,150.0,10.0
2009-09-21,1650.0,1650.0,1650.0,1650.0,1650.0,33,43263000000.0,0.0,0.0
2009-09-22,1650.0,1650.0,1650.0,1650.0,1650.0,33,43263000000.0,0.0,0.0
2009-09-23,1650.0,1650.0,1650.0,1650.0,1650.0,33,43263000000.0,0.0,0.0
2009-09-24,1650.0,1800.0,1650.0,1800.0,1800.0,33,43263000000.0,150.0,9.090909090909092
2009-09-25,1950.0,1950.0,1800.0,1950.0,1950.0,33,51129000000.0,0.0,0.0
2009-09-28,1950.0,1950.0,1650.0,1650.0,1650.0,33,51129000000.0,-300.0,-15.384615384615385
2009-09-29,1650.0,2037.0,1650.0,1800.0,1800.0,33,43263000000.0,150.0,9.090909090909092
2009-09-30,1650.0,1890.0,1200.0,1650.0,1650.0,33,43263000000.0,0.0,0.0
