Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1991-07-24,4.5625,4.625,4.5,4.5,4.5,2001000,1175665000.0,-0.0625,-1.36986301369863
1991-07-25,4.5,4.625,4.5,4.5625,4.5625,314600,1159560000.0,0.0625,1.3888888888888888
1991-07-26,4.625,4.625,4.5,4.5,4.5,2001000,1191770000.0,-0.125,-2.7027027027027026
1991-07-29,4.625,4.625,4.5,4.625,4.625,75400,1191770000.0,0.0,0.0
1991-07-30,4.625,4.625,4.5,4.5,4.5,354400,1191770000.0,-0.125,-2.7027027027027026
1991-07-31,4.625,4.625,4.5,4.5,4.5,372000,1191770000.0,-0.125,-2.7027027027027026
1991-08-01,4.5,4.5625,4.5,4.5,4.5,157000,1159560000.0,0.0,0.0
1991-08-02,4.625,4.625,4.5625,4.5625,4.5625,220800,1191770000.0,-0.0625,-1.3513513513513513
1991-08-05,4.625,4.625,4.5,4.625,4.625,103800,1191770000.0,0.0,0.0
1991-08-06,4.5625,4.625,4.5625,4.625,4.625,124600,1175665000.0,0.0625,1.36986301369863
1991-08-07,4.625,4.625,4.5,4.5,4.5,222400,1191770000.0,-0.125,-2.7027027027027026
1991-08-08,4.625,4.625,4.5,4.5625,4.5625,97000,1191770000.0,-0.0625,-1.3513513513513513
1991-08-09,4.5,4.625,4.5,4.5,4.5,172000,1159560000.0,0.0,0.0
1991-08-12,4.5,4.625,4.5,4.5,4.5,41600,1159560000.0,0.0,0.0
1991-08-13,4.625,4.625,4.5,4.5,4.5,63000,1191770000.0,-0.125,-2.7027027027027026
1991-08-14,4.625,4.625,4.5625,4.625,4.625,102200,1191770000.0,0.0,0.0
1991-08-15,4.5,4.625,4.5,4.5,4.5,31800,1159560000.0,0.0,0.0
1991-08-16,4.625,4.625,4.5,4.5,4.5,69800,1191770000.0,-0.125,-2.7027027027027026
1991-08-19,4.4375,4.5,4.1875,4.375,4.375,75400,1143455000.0,-0.0625,-1.4084507042253522
1991-08-20,4.375,4.4375,4.25,4.375,4.375,57800,1127350000.0,0.0,0.0
1991-08-21,4.4375,4.4375,4.3125,4.4375,4.4375,14000,1143455000.0,0.0,0.0
1991-08-22,4.4375,4.5,4.3125,4.375,4.375,41400,1143455000.0,-0.0625,-1.4084507042253522
1991-08-23,4.5,4.5,4.3125,4.3125,4.3125,17000,1159560000.0,-0.1875,-4.166666666666666
1991-08-26,4.5,4.5625,4.3125,4.5625,4.5625,77600,1159560000.0,0.0625,1.3888888888888888
1991-08-27,4.5625,4.6875,4.5,4.625,4.625,72600,1175665000.0,0.0625,1.36986301369863
1991-08-28,4.625,4.6875,4.5,4.6875,4.6875,73400,1191770000.0,0.0625,1.3513513513513513
1991-08-29,4.6875,4.9375,4.5625,4.9375,4.9375,178000,1207875000.0,0.25,5.333333333333334
1991-08-30,4.9375,5.1875,4.8125,5.1875,5.1875,145800,1272295000.0,0.25,5.063291139240507
1991-09-03,5.1875,5.5,5.125,5.125,5.125,326200,1336715000.0,-0.0625,-1.2048192771084338
1991-09-04,5.125,5.25,5.0,5.0,5.0,139000,1320610000.0,-0.125,-2.4390243902439024
1991-09-05,5.0,5.1875,5.0,5.0,5.0,145000,1288400000.0,0.0,0.0
1991-09-06,5.125,5.125,5.0,5.0,5.0,35800,1320610000.0,-0.125,-2.4390243902439024
1991-09-09,5.0,5.125,4.875,4.875,4.875,33800,1288400000.0,-0.125,-2.5
1991-09-10,5.0625,5.0625,4.875,5.0625,5.0625,30200,1304505000.0,0.0,0.0
1991-09-11,4.875,5.125,4.875,5.0,5.0,167400,1256190000.0,0.125,2.564102564102564
1991-09-12,5.25,5.3125,5.0625,5.1875,5.1875,729400,1352820000.0,-0.0625,-1.1904761904761905
1991-09-13,5.375,5.5625,5.375,5.5625,5.5625,110600,1385030000.0,0.1875,3.488372093023256
1991-09-16,5.375,5.5625,5.375,5.5625,5.5625,230800,1385030000.0,0.1875,3.488372093023256
1991-09-17,5.5625,5.5625,5.4375,5.5,5.5,90200,1433345000.0,-0.0625,-1.1235955056179776
