Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1980-03-17,0.0,1.555556,1.444444,1.444444,1.107862,2700,0.0,1.444444,inf
1980-03-18,0.0,1.481481,1.37037,1.37037,1.051049,21600,0.0,1.37037,inf
1980-03-19,0.0,1.444444,1.333333,1.333333,1.022642,4050,0.0,1.333333,inf
1980-03-20,0.0,1.444444,1.333333,1.333333,1.022642,6750,0.0,1.333333,inf
1980-03-21,0.0,1.444444,1.333333,1.333333,1.022642,4050,0.0,1.333333,inf
1980-03-24,0.0,1.407407,1.296296,1.296296,0.994236,1350,0.0,1.296296,inf
1980-03-25,0.0,1.296296,1.185185,1.185185,0.909015,10125,0.0,1.185185,inf
1980-03-26,0.0,1.296296,1.185185,1.185185,0.909015,2025,0.0,1.185185,inf
1980-03-27,0.0,1.222222,1.111111,1.111111,0.852202,13500,0.0,1.111111,inf
1980-03-28,0.0,1.222222,1.111111,1.111111,0.852202,2700,0.0,1.111111,inf
1980-03-31,0.0,1.259259,1.148148,1.148148,0.880608,6075,0.0,1.148148,inf
1980-04-01,0.0,1.296296,1.185185,1.185185,0.909015,4725,0.0,1.185185,inf
1980-04-02,1.185185,1.185185,1.185185,1.185185,0.909015,0,1422222000.0,0.0,0.0
1980-04-03,1.185185,1.185185,1.185185,1.185185,0.909015,0,1422222000.0,0.0,0.0
1980-04-07,0.0,1.333333,1.222222,1.222222,0.937422,17550,0.0,1.222222,inf
1980-04-08,0.0,1.259259,1.148148,1.148148,0.880608,18225,0.0,1.148148,inf
1980-04-09,0.0,1.259259,1.148148,1.148148,0.880608,6750,0.0,1.148148,inf
1980-04-10,1.148148,1.148148,1.148148,1.148148,0.880608,0,1377777600.0,0.0,0.0
1980-04-11,0.0,1.259259,1.148148,1.148148,0.880608,2700,0.0,1.148148,inf
1980-04-14,0.0,1.259259,1.148148,1.148148,0.880608,27675,0.0,1.148148,inf
1980-04-15,0.0,1.222222,1.111111,1.111111,0.852202,14850,0.0,1.111111,inf
1980-04-16,0.0,1.222222,1.111111,1.111111,0.852202,7425,0.0,1.111111,inf
1980-04-17,0.0,1.185185,1.074074,1.074074,0.823795,1350,0.0,1.074074,inf
1980-04-18,0.0,1.185185,1.074074,1.074074,0.823795,10125,0.0,1.074074,inf
