Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1987-06-08,0.0,7.111111,6.617284,6.617284,1.673015,506,0.0,6.617284,inf
1987-06-09,0.0,7.111111,6.617284,6.617284,1.673015,1013,0.0,6.617284,inf
1987-06-10,0.0,7.111111,6.617284,6.617284,1.673015,5063,0.0,6.617284,inf
1987-06-11,0.0,7.111111,6.617284,6.617284,1.673015,1013,0.0,6.617284,inf
1987-06-12,0.0,7.111111,6.617284,6.617284,1.673015,2025,0.0,6.617284,inf
1987-06-15,0.0,7.111111,6.716049,6.716049,1.697986,3038,0.0,6.716049,inf
1987-06-16,0.0,7.111111,6.91358,6.91358,1.747927,24806,0.0,6.91358,inf
1987-06-17,0.0,7.111111,6.91358,6.91358,1.747927,10125,0.0,6.91358,inf
1987-06-18,0.0,7.407407,7.012346,7.012346,1.772897,20756,0.0,7.012346,inf
1987-06-19,0.0,7.407407,7.160494,7.160494,1.810353,9113,0.0,7.160494,inf
1987-06-22,0.0,7.407407,7.209877,7.209877,1.822839,13163,0.0,7.209877,inf
1987-06-23,0.0,7.407407,7.308642,7.308642,1.847809,8100,0.0,7.308642,inf
1987-06-24,0.0,7.407407,7.209877,7.209877,1.822839,6075,0.0,7.209877,inf
1987-06-25,0.0,7.407407,7.209877,7.209877,1.822839,12150,0.0,7.209877,inf
1987-06-26,0.0,7.407407,7.209877,7.209877,1.822839,7594,0.0,7.209877,inf
1987-06-29,0.0,7.308642,7.209877,7.209877,1.822839,4050,0.0,7.209877,inf
1987-06-30,0.0,7.111111,6.814815,6.814815,1.722958,20756,0.0,6.814815,inf
1987-07-01,0.0,7.111111,6.814815,6.814815,1.722958,6075,0.0,6.814815,inf
1987-07-02,6.814815,6.814815,6.814815,6.814815,1.722958,0,116056299.45,0.0,0.0
1987-07-06,0.0,7.111111,6.91358,6.91358,1.747927,6075,0.0,6.91358,inf
1987-07-07,0.0,7.111111,6.91358,6.91358,1.747927,19744,0.0,6.91358,inf
1987-07-08,0.0,7.111111,6.91358,6.91358,1.747927,7088,0.0,6.91358,inf
1987-07-09,0.0,7.111111,6.91358,6.91358,1.747927,5063,0.0,6.91358,inf
1987-07-10,0.0,7.111111,6.91358,6.91358,1.747927,5063,0.0,6.91358,inf
1987-07-13,0.0,7.111111,6.91358,6.91358,1.747927,4050,0.0,6.91358,inf
1987-07-14,0.0,7.111111,6.91358,6.91358,1.747927,2531,0.0,6.91358,inf
1987-07-15,0.0,7.111111,6.91358,6.91358,1.747927,12150,0.0,6.91358,inf
1987-07-16,0.0,7.111111,6.91358,6.91358,1.747927,6581,0.0,6.91358,inf
1987-07-17,0.0,7.111111,6.91358,6.91358,1.747927,8100,0.0,6.91358,inf
1987-07-20,6.91358,6.91358,6.91358,6.91358,1.747927,0,117738267.39999999,0.0,0.0
1987-07-21,0.0,7.111111,6.91358,6.91358,1.747927,5063,0.0,6.91358,inf
1987-07-22,0.0,7.111111,6.91358,6.91358,1.747927,2025,0.0,6.91358,inf
1987-07-23,0.0,7.111111,6.91358,6.91358,1.747927,1519,0.0,6.91358,inf
1987-07-24,0.0,7.111111,6.91358,6.91358,1.747927,3038,0.0,6.91358,inf
1987-07-27,0.0,7.012346,6.814815,6.814815,1.722958,14681,0.0,6.814815,inf
1987-07-28,0.0,7.012346,6.814815,6.814815,1.722958,2025,0.0,6.814815,inf
1987-07-29,6.814815,6.814815,6.814815,6.814815,1.722958,0,116056299.45,0.0,0.0
1987-07-30,0.0,7.012346,6.716049,6.716049,1.706892,7594,0.0,6.716049,inf
1987-07-31,0.0,6.716049,6.617284,6.617284,1.681791,9619,0.0,6.617284,inf
1987-08-03,0.0,6.716049,6.617284,6.617284,1.681791,1013,0.0,6.617284,inf
1987-08-04,0.0,6.617284,6.320988,6.320988,1.606487,12150,0.0,6.320988,inf
1987-08-05,0.0,6.518519,6.17284,6.17284,1.568835,59738,0.0,6.17284,inf
1987-08-06,0.0,6.518519,6.17284,6.17284,1.568835,5063,0.0,6.17284,inf
1987-08-07,0.0,6.518519,6.17284,6.17284,1.568835,1519,0.0,6.17284,inf
1987-08-10,0.0,6.518519,6.17284,6.17284,1.568835,506,0.0,6.17284,inf
1987-08-11,0.0,6.518519,6.17284,6.17284,1.568835,6075,0.0,6.17284,inf
1987-08-12,0.0,6.518519,6.17284,6.17284,1.568835,2025,0.0,6.17284,inf
1987-08-13,0.0,6.518519,6.17284,6.17284,1.568835,1519,0.0,6.17284,inf
1987-08-14,0.0,6.518519,6.17284,6.17284,1.568835,506,0.0,6.17284,inf
1987-08-17,0.0,6.518519,6.222222,6.222222,1.581386,7088,0.0,6.222222,inf
1987-08-18,0.0,6.518519,6.271605,6.271605,1.593937,506,0.0,6.271605,inf
1987-08-19,0.0,6.518519,6.271605,6.271605,1.593937,506,0.0,6.271605,inf
1987-08-20,0.0,6.518519,6.271605,6.271605,1.593937,10125,0.0,6.271605,inf
1987-08-21,0.0,6.518519,6.271605,6.271605,1.593937,1013,0.0,6.271605,inf
1987-08-24,0.0,6.518519,6.271605,6.271605,1.593937,1013,0.0,6.271605,inf
1987-08-25,0.0,6.518519,6.271605,6.271605,1.593937,506,0.0,6.271605,inf
1987-08-26,0.0,6.518519,6.271605,6.271605,1.593937,2531,0.0,6.271605,inf
