Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1978-10-31,0.0,1.375,1.125,1.125,0.903148,13600,0.0,1.125,inf
1978-11-01,0.0,1.4375,1.1875,1.1875,0.953322,27600,0.0,1.1875,inf
1978-11-02,0.0,1.5625,1.3125,1.3125,1.053672,23000,0.0,1.3125,inf
1978-11-03,0.0,1.5625,1.3125,1.3125,1.053672,7400,0.0,1.3125,inf
1978-11-06,0.0,1.8125,1.5625,1.5625,1.254372,10800,0.0,1.5625,inf
1978-11-07,0.0,1.75,1.5,1.5,1.204197,1800,0.0,1.5,inf
1978-11-08,0.0,1.8125,1.5625,1.5625,1.254372,800,0.0,1.5625,inf
1978-11-09,0.0,1.8125,1.5625,1.5625,1.254372,5000,0.0,1.5625,inf
1978-11-10,0.0,1.8125,1.5625,1.5625,1.254372,2000,0.0,1.5625,inf
1978-11-13,0.0,1.75,1.5,1.5,1.204197,10000,0.0,1.5,inf
1978-11-14,0.0,1.625,1.375,1.375,1.103847,1800,0.0,1.375,inf
1978-11-15,0.0,1.4375,1.1875,1.1875,0.953322,16000,0.0,1.1875,inf
1978-11-16,0.0,1.4375,1.1875,1.1875,0.953322,8400,0.0,1.1875,inf
1978-11-17,0.0,1.375,1.125,1.125,0.903148,15600,0.0,1.125,inf
1978-11-20,0.0,1.5625,1.3125,1.3125,1.053672,64200,0.0,1.3125,inf
1978-11-21,0.0,1.4375,1.1875,1.1875,0.953322,15400,0.0,1.1875,inf
1978-11-22,0.0,1.4375,1.1875,1.1875,0.953322,3800,0.0,1.1875,inf
1978-11-24,0.0,1.375,1.125,1.125,0.903148,2400,0.0,1.125,inf
1978-11-27,0.0,1.375,1.125,1.125,0.903148,1000,0.0,1.125,inf
1978-11-28,0.0,1.375,1.125,1.125,0.903148,4600,0.0,1.125,inf
1978-11-29,0.0,1.3125,1.0625,1.0625,0.852973,12600,0.0,1.0625,inf
1978-11-30,0.0,1.3125,1.0625,1.0625,0.852973,5600,0.0,1.0625,inf
1978-12-01,0.0,1.3125,1.0625,1.0625,0.852973,3800,0.0,1.0625,inf
1978-12-04,0.0,1.3125,1.0625,1.0625,0.852973,3000,0.0,1.0625,inf
1978-12-05,0.0,1.3125,1.0625,1.0625,0.852973,3000,0.0,1.0625,inf
1978-12-06,0.0,1.25,1.0,1.0,0.802798,20000,0.0,1.0,inf
1978-12-07,0.0,1.25,1.0,1.0,0.802798,7200,0.0,1.0,inf
1978-12-08,0.0,1.25,1.0,1.0,0.802798,3200,0.0,1.0,inf
1978-12-11,0.0,1.25,1.0,1.0,0.802798,600,0.0,1.0,inf
1978-12-12,0.0,1.25,1.0,1.0,0.802798,5800,0.0,1.0,inf
1978-12-13,0.0,1.1875,0.9375,0.9375,0.752623,43200,0.0,0.9375,inf
1978-12-14,0.0,1.125,0.875,0.875,0.702448,22600,0.0,0.875,inf
1978-12-15,0.0,1.0,0.75,0.75,0.602098,39600,0.0,0.75,inf
1978-12-18,0.0,0.9375,0.6875,0.6875,0.551924,17600,0.0,0.6875,inf
1978-12-19,0.0,1.0,0.75,0.75,0.602098,8000,0.0,0.75,inf
1978-12-20,0.75,0.75,0.75,0.75,0.602098,0,243180000.0,0.0,0.0
1978-12-21,0.0,1.0625,0.8125,0.8125,0.652273,8800,0.0,0.8125,inf
1978-12-22,0.0,1.25,1.0,1.0,0.802798,7800,0.0,1.0,inf
1978-12-26,0.0,1.25,1.0,1.0,0.802798,5200,0.0,1.0,inf
1978-12-27,0.0,1.1875,0.9375,0.9375,0.752623,7400,0.0,0.9375,inf
1978-12-28,0.0,1.1875,0.9375,0.9375,0.752623,2400,0.0,0.9375,inf
1978-12-29,0.0,1.1875,0.9375,0.9375,0.752623,10200,0.0,0.9375,inf
1979-01-02,0.0,1.1875,0.9375,0.9375,0.752623,2600,0.0,0.9375,inf
1979-01-03,0.0,1.1875,0.9375,0.9375,0.752623,2800,0.0,0.9375,inf
1979-01-04,0.0,1.25,1.0,1.0,0.802798,11400,0.0,1.0,inf
1979-01-05,0.0,1.1875,0.9375,0.9375,0.752623,7800,0.0,0.9375,inf
1979-01-08,0.0,1.1875,0.9375,0.9375,0.752623,30200,0.0,0.9375,inf
1979-01-09,0.0,1.1875,0.9375,0.9375,0.752623,16400,0.0,0.9375,inf
1979-01-10,0.0,1.1875,0.9375,0.9375,0.752623,13600,0.0,0.9375,inf
1979-01-11,0.0,1.1875,0.9375,0.9375,0.752623,23200,0.0,0.9375,inf
1979-01-12,0.0,1.375,1.125,1.125,0.903148,43400,0.0,1.125,inf
1979-01-15,0.0,1.375,1.125,1.125,0.903148,12600,0.0,1.125,inf
1979-01-16,0.0,1.3125,1.0625,1.0625,0.852973,14200,0.0,1.0625,inf
1979-01-17,0.0,1.25,1.0,1.0,0.802798,6000,0.0,1.0,inf
1979-01-18,0.0,1.25,1.0,1.0,0.802798,3000,0.0,1.0,inf
1979-01-19,0.0,1.3125,1.0625,1.0625,0.852973,13800,0.0,1.0625,inf
1979-01-22,0.0,1.375,1.125,1.125,0.903148,13600,0.0,1.125,inf
