Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1973-02-21,0.0,10.6875,9.5,9.5,5.625048,158600,0.0,9.5,inf
1973-02-22,0.0,9.875,9.5625,9.5625,5.66206,130400,0.0,9.5625,inf
1973-02-23,0.0,9.625,8.5,8.5625,5.069945,430800,0.0,8.5625,inf
1973-02-26,0.0,8.8125,8.5625,8.625,5.106953,134000,0.0,8.625,inf
1973-02-27,0.0,8.6875,7.6875,8.0,4.736885,137800,0.0,8.0,inf
1973-02-28,0.0,8.5625,8.0,8.4375,4.995931,124600,0.0,8.4375,inf
1973-03-01,0.0,8.5,7.9375,8.0,4.736885,207400,0.0,8.0,inf
1973-03-02,0.0,8.1875,7.9375,8.125,4.810895,156200,0.0,8.125,inf
1973-03-05,0.0,8.3125,8.125,8.125,4.810895,79000,0.0,8.125,inf
1973-03-06,0.0,9.125,8.125,9.0,5.328994,137800,0.0,9.0,inf
1973-03-07,0.0,9.3125,8.6875,9.0,5.328994,126000,0.0,9.0,inf
1973-03-08,0.0,9.0625,8.75,8.75,5.180966,39000,0.0,8.75,inf
1973-03-09,0.0,8.75,8.75,8.75,5.180966,21400,0.0,8.75,inf
1973-03-12,0.0,8.75,8.625,8.6875,5.14396,23200,0.0,8.6875,inf
1973-03-13,0.0,8.625,8.5,8.5625,5.069945,54000,0.0,8.5625,inf
1973-03-14,0.0,8.625,8.125,8.375,4.958926,35200,0.0,8.375,inf
1973-03-15,0.0,8.3125,8.0625,8.1875,4.847905,17800,0.0,8.1875,inf
1973-03-16,0.0,8.25,8.0,8.0,4.736885,75600,0.0,8.0,inf
1973-03-19,0.0,8.0625,7.6875,7.75,4.588857,40800,0.0,7.75,inf
1973-03-20,0.0,7.9375,7.6875,7.9375,4.699876,50400,0.0,7.9375,inf
1973-03-21,0.0,8.1875,7.0625,7.1875,4.255795,106200,0.0,7.1875,inf
1973-03-22,0.0,7.1875,6.875,6.9375,4.107766,105600,0.0,6.9375,inf
1973-03-23,0.0,7.375,6.8125,7.125,4.218788,113800,0.0,7.125,inf
1973-03-26,0.0,8.140625,7.25,8.125,4.810895,64600,0.0,8.125,inf
1973-03-27,0.0,8.5625,8.0,8.3125,4.921916,64800,0.0,8.3125,inf
1973-03-28,0.0,8.3125,7.8125,7.875,4.662869,31400,0.0,7.875,inf
1973-03-29,0.0,7.875,7.0,7.3125,4.329809,453200,0.0,7.3125,inf
1973-03-30,0.0,7.3125,7.0,7.125,4.218788,56600,0.0,7.125,inf
1973-04-02,0.0,7.3125,7.125,7.125,4.218788,26200,0.0,7.125,inf
1973-04-03,0.0,7.25,7.125,7.125,4.218788,22200,0.0,7.125,inf
1973-04-04,0.0,7.1875,7.0625,7.0625,4.18178,79800,0.0,7.0625,inf
1973-04-05,0.0,7.125,7.0625,7.0625,4.18178,15600,0.0,7.0625,inf
1973-04-06,0.0,7.1875,7.0625,7.0625,4.18178,27800,0.0,7.0625,inf
1973-04-09,0.0,7.1875,6.8125,7.125,4.218788,106200,0.0,7.125,inf
1973-04-10,0.0,7.1875,6.625,6.625,3.922732,51600,0.0,6.625,inf
1973-04-11,0.0,6.6875,6.25,6.4375,3.811713,91600,0.0,6.4375,inf
1973-04-12,0.0,6.6875,6.25,6.25,3.700691,75400,0.0,6.25,inf
1973-04-13,0.0,6.375,6.125,6.3125,3.737695,58400,0.0,6.3125,inf
1973-04-16,0.0,6.625,6.375,6.4375,3.811713,33200,0.0,6.4375,inf
1973-04-17,0.0,6.5625,6.375,6.4375,3.811713,35000,0.0,6.4375,inf
1973-04-18,0.0,6.75,6.375,6.75,3.996744,25000,0.0,6.75,inf
1973-04-19,0.0,6.6875,6.4375,6.5,3.848718,25000,0.0,6.5,inf
1973-04-23,0.0,6.4375,6.25,6.25,3.700691,26800,0.0,6.25,inf
1973-04-24,0.0,6.3125,6.0,6.0625,3.589671,24600,0.0,6.0625,inf
1973-04-25,0.0,6.0625,5.5,5.5,3.256607,87400,0.0,5.5,inf
1973-04-26,0.0,6.0625,5.125,6.0625,3.589671,143400,0.0,6.0625,inf
1973-04-27,0.0,6.0625,5.4375,5.625,3.330621,38800,0.0,5.625,inf
1973-04-30,0.0,6.375,5.9375,6.1875,3.663684,88400,0.0,6.1875,inf
1973-05-01,0.0,6.25,5.9375,6.1875,3.663684,54400,0.0,6.1875,inf
1973-05-02,0.0,6.3125,6.125,6.1875,3.663684,35000,0.0,6.1875,inf
1973-05-03,0.0,6.9375,5.75,6.9375,4.107766,89800,0.0,6.9375,inf
1973-05-04,0.0,6.875,6.4375,6.5,3.848718,46200,0.0,6.5,inf
1973-05-07,0.0,4.875,4.6875,4.8125,2.849532,433800,0.0,4.8125,inf
1973-05-08,0.0,4.8125,4.3125,4.75,2.812524,215600,0.0,4.75,inf
1973-05-09,0.0,4.75,4.5,4.6875,2.775517,97200,0.0,4.6875,inf
1973-05-10,0.0,4.625,4.375,4.375,2.590483,124000,0.0,4.375,inf
1973-05-11,0.0,4.4375,4.0,4.0,2.368442,152400,0.0,4.0,inf
1973-05-14,0.0,3.9375,3.6875,3.8125,2.257422,228400,0.0,3.8125,inf
1973-05-15,0.0,4.1875,3.75,4.125,2.442455,107400,0.0,4.125,inf
1973-05-16,0.0,4.3125,3.9375,4.1875,2.479463,80000,0.0,4.1875,inf
1973-05-17,0.0,4.1875,3.875,3.9375,2.331435,65400,0.0,3.9375,inf
1973-05-18,0.0,3.875,3.75,3.75,2.220415,150400,0.0,3.75,inf
1973-05-21,0.0,3.625,3.1875,3.625,2.1464,196200,0.0,3.625,inf
1973-05-22,0.0,3.375,2.5,2.5,1.480276,389000,0.0,2.5,inf
1973-05-23,0.0,3.1875,2.625,2.8125,1.665311,400800,0.0,2.8125,inf
1973-05-24,0.0,3.625,3.0,3.5625,2.109394,257400,0.0,3.5625,inf
1973-05-25,0.0,3.8125,3.4375,3.6875,2.183407,362200,0.0,3.6875,inf
1973-05-29,0.0,4.0625,3.75,3.8125,2.257422,172800,0.0,3.8125,inf
1973-05-30,0.0,3.6875,3.375,3.5,2.072385,154800,0.0,3.5,inf
1973-05-31,0.0,3.4375,3.25,3.375,1.998372,118600,0.0,3.375,inf
1973-06-01,0.0,3.375,3.25,3.375,1.998372,45400,0.0,3.375,inf
1973-06-04,0.0,3.3125,3.1875,3.3125,1.961366,149000,0.0,3.3125,inf
1973-06-05,0.0,3.4375,3.0,3.0625,1.813339,156600,0.0,3.0625,inf
1973-06-06,0.0,3.1875,3.0625,3.0625,1.813339,34200,0.0,3.0625,inf
1973-06-07,0.0,2.625,2.5,2.625,1.55429,1118600,0.0,2.625,inf
1973-06-08,0.0,2.8125,2.5625,2.8125,1.665311,388000,0.0,2.8125,inf
1973-06-11,0.0,2.8125,2.5625,2.6875,1.591297,210000,0.0,2.6875,inf
1973-06-12,0.0,2.8125,2.625,2.8125,1.665311,133800,0.0,2.8125,inf
1973-06-13,0.0,2.875,2.75,2.8125,1.665311,328000,0.0,2.8125,inf
1973-06-14,0.0,2.8125,2.75,2.8125,1.665311,66000,0.0,2.8125,inf
1973-06-15,0.0,2.75,2.625,2.75,1.628304,139200,0.0,2.75,inf
1973-06-18,0.0,2.75,2.5,2.5625,1.517282,772800,0.0,2.5625,inf
1973-06-19,0.0,2.625,2.5625,2.625,1.55429,49800,0.0,2.625,inf
1973-06-20,0.0,2.6875,2.625,2.6875,1.591297,42000,0.0,2.6875,inf
