Date,Open,High,Low,Close,Adj Close,Volume,Market Cap,Delta,DeltaPercent
1985-10-23,0.0,28.0,25.875,27.75,22.337212,4668600,0.0,27.75,inf
1985-10-24,0.0,28.125,27.25,27.25,21.934732,1081200,0.0,27.25,inf
1985-10-25,0.0,28.125,27.125,28.125,22.639061,491200,0.0,28.125,inf
1985-10-28,0.0,28.375,27.75,28.0,22.538448,368700,0.0,28.0,inf
1985-10-29,0.0,29.5,27.875,29.125,23.444016,853800,0.0,29.125,inf
1985-10-30,0.0,29.75,29.0,29.625,23.846479,518000,0.0,29.625,inf
1985-10-31,0.0,29.625,29.125,29.125,23.444016,504600,0.0,29.125,inf
1985-11-01,0.0,29.75,29.0,29.625,23.846479,348100,0.0,29.625,inf
1985-11-04,0.0,29.75,29.25,29.625,23.846479,197200,0.0,29.625,inf
1985-11-05,0.0,29.75,29.25,29.625,23.846479,249900,0.0,29.625,inf
1985-11-06,0.0,31.25,29.75,30.5,24.550806,886900,0.0,30.5,inf
1985-11-07,0.0,31.0,30.25,31.0,24.953272,534200,0.0,31.0,inf
1985-11-08,0.0,31.125,30.75,30.875,24.852654,198900,0.0,30.875,inf
1985-11-11,0.0,32.5,31.0,31.5,25.355745,390900,0.0,31.5,inf
1985-11-12,0.0,31.625,31.125,31.375,25.255135,474500,0.0,31.375,inf
1985-11-13,0.0,31.5,31.125,31.375,25.255135,140600,0.0,31.375,inf
1985-11-14,0.0,31.375,30.5,31.0,24.953272,180100,0.0,31.0,inf
1985-11-15,0.0,30.875,30.125,30.25,24.349566,76200,0.0,30.25,inf
1985-11-18,0.0,30.875,30.125,30.625,24.651417,211700,0.0,30.625,inf
1985-11-19,0.0,30.625,30.25,30.375,24.45018,159800,0.0,30.375,inf
1985-11-20,0.0,30.625,30.125,30.5,24.550806,96900,0.0,30.5,inf
1985-11-21,0.0,31.625,30.75,31.625,25.456369,328600,0.0,31.625,inf
1985-11-22,0.0,32.125,31.625,32.0,25.758224,221100,0.0,32.0,inf
1985-11-25,0.0,32.0,31.0,31.375,25.255135,187800,0.0,31.375,inf
1985-11-26,0.0,31.5,31.25,31.25,25.154512,181300,0.0,31.25,inf
1985-11-27,0.0,31.625,31.125,31.5,25.355745,151200,0.0,31.5,inf
1985-11-29,0.0,31.875,31.25,31.875,25.657606,108700,0.0,31.875,inf
1985-12-02,0.0,32.125,31.625,31.75,25.556984,149800,0.0,31.75,inf
1985-12-03,0.0,31.375,30.875,31.0,24.953272,238900,0.0,31.0,inf
1985-12-04,0.0,32.0,30.875,31.75,25.556984,426500,0.0,31.75,inf
1985-12-05,0.0,32.875,32.0,32.75,26.361931,241800,0.0,32.75,inf
1985-12-06,0.0,32.625,32.0,32.125,25.858841,143100,0.0,32.125,inf
1985-12-09,0.0,32.25,32.0,32.0,25.758224,268700,0.0,32.0,inf
1985-12-10,0.0,32.0,31.625,31.75,25.556984,149800,0.0,31.75,inf
1985-12-11,0.0,31.75,31.125,31.75,25.556984,353900,0.0,31.75,inf
1985-12-12,0.0,32.375,31.75,32.25,25.959452,703700,0.0,32.25,inf
1985-12-13,0.0,33.0,32.125,32.625,26.261303,194300,0.0,32.625,inf
1985-12-16,0.0,33.625,33.0,33.375,26.865026,267700,0.0,33.375,inf
1985-12-17,0.0,33.875,33.375,33.375,26.865026,204400,0.0,33.375,inf
1985-12-18,0.0,33.5,32.75,32.875,26.462547,133100,0.0,32.875,inf
1985-12-19,0.0,33.125,32.625,32.625,26.261303,134000,0.0,32.625,inf
1985-12-20,0.0,33.0,32.625,32.625,26.261303,110300,0.0,32.625,inf
1985-12-23,0.0,32.875,32.0,32.0,25.758224,142400,0.0,32.0,inf
1985-12-24,0.0,31.625,31.25,31.375,25.255135,167100,0.0,31.375,inf
1985-12-26,0.0,31.375,31.125,31.125,25.053892,146600,0.0,31.125,inf
1985-12-27,0.0,31.625,31.125,31.25,25.154512,203900,0.0,31.25,inf
1985-12-30,0.0,31.25,30.5,30.75,24.752045,202900,0.0,30.75,inf
1985-12-31,0.0,31.0,30.625,30.875,24.852654,130300,0.0,30.875,inf
1986-01-02,0.0,31.0,30.625,30.875,24.852654,128900,0.0,30.875,inf
1986-01-03,0.0,31.125,30.875,31.0,24.953272,61500,0.0,31.0,inf
1986-01-06,0.0,32.25,30.875,32.0,25.758224,75800,0.0,32.0,inf
1986-01-07,0.0,33.0,32.0,33.0,26.563162,227400,0.0,33.0,inf
1986-01-08,0.0,34.125,33.0,33.375,26.865026,279300,0.0,33.375,inf
1986-01-09,0.0,32.75,31.25,31.75,25.556984,196600,0.0,31.75,inf
1986-01-10,0.0,32.625,32.125,32.625,26.261303,56300,0.0,32.625,inf
1986-01-13,0.0,32.25,31.75,32.0,25.758224,169400,0.0,32.0,inf
1986-01-14,0.0,32.375,32.0,32.125,25.858841,105900,0.0,32.125,inf
1986-01-15,0.0,33.125,32.5,33.0,26.563162,204800,0.0,33.0,inf
1986-01-16,0.0,33.75,33.0,33.25,26.764412,204200,0.0,33.25,inf
1986-01-17,0.0,33.5,32.0,32.5,26.160692,154100,0.0,32.5,inf
1986-01-20,0.0,32.5,31.75,32.0,25.758224,79700,0.0,32.0,inf
1986-01-21,0.0,32.125,31.625,31.75,25.556984,52500,0.0,31.75,inf
1986-01-22,0.0,33.5,32.5,32.625,26.261303,313500,0.0,32.625,inf
1986-01-23,0.0,34.375,33.125,34.0,27.368114,195700,0.0,34.0,inf
1986-01-24,0.0,34.625,34.0,34.5,27.77058,130100,0.0,34.5,inf
1986-01-27,0.0,35.375,34.75,35.375,28.474895,186000,0.0,35.375,inf
1986-01-28,0.0,35.5,34.875,35.0,28.173048,52600,0.0,35.0,inf
1986-01-29,0.0,37.5,35.0,36.5,29.380472,299100,0.0,36.5,inf
1986-01-30,0.0,37.125,36.375,36.625,29.481087,390100,0.0,36.625,inf
1986-01-31,0.0,37.25,35.75,36.625,29.481087,357500,0.0,36.625,inf
1986-02-03,0.0,36.75,36.25,36.5,29.380472,212600,0.0,36.5,inf
1986-02-04,0.0,37.375,36.5,37.375,30.084795,163000,0.0,37.375,inf
1986-02-05,0.0,38.5,37.5,37.625,30.286034,122700,0.0,37.625,inf
1986-02-06,0.0,37.875,37.5,37.625,30.286034,100400,0.0,37.625,inf
1986-02-07,0.0,38.125,36.625,38.0,30.587877,92500,0.0,38.0,inf
1986-02-10,0.0,38.125,37.5,37.75,30.386641,90300,0.0,37.75,inf
1986-02-11,0.0,38.0,37.25,37.75,30.386641,77800,0.0,37.75,inf
1986-02-12,0.0,37.875,37.25,37.625,30.286034,118700,0.0,37.625,inf
1986-02-13,0.0,37.625,36.75,37.5,30.185419,40400,0.0,37.5,inf
1986-02-14,0.0,37.25,37.0,37.0,29.782951,93900,0.0,37.0,inf
1986-02-18,0.0,36.875,36.125,36.625,29.481087,99100,0.0,36.625,inf
1986-02-19,0.0,36.5,35.5,35.75,28.776766,88900,0.0,35.75,inf
1986-02-20,0.0,36.375,35.5,36.375,29.279865,123800,0.0,36.375,inf
1986-02-21,0.0,37.375,36.375,37.25,29.984186,154500,0.0,37.25,inf
1986-02-24,0.0,37.5,36.75,37.125,29.883562,104200,0.0,37.125,inf
1986-02-25,0.0,36.5,35.5,35.75,28.776766,133300,0.0,35.75,inf
1986-02-26,0.0,36.0,35.125,35.625,28.676136,397400,0.0,35.625,inf
1986-02-27,0.0,37.875,35.75,37.5,30.185419,196800,0.0,37.5,inf
1986-02-28,0.0,40.0,37.5,39.25,31.594055,158000,0.0,39.25,inf
1986-03-03,0.0,39.75,39.125,39.375,31.694702,54400,0.0,39.375,inf
1986-03-04,0.0,39.625,38.875,38.875,31.292221,37500,0.0,38.875,inf
1986-03-05,0.0,38.75,38.125,38.5,30.99037,57400,0.0,38.5,inf
1986-03-06,0.0,39.75,38.5,39.75,31.996534,204700,0.0,39.75,inf
1986-03-07,0.0,39.875,39.5,39.5,31.795296,37100,0.0,39.5,inf
1986-03-10,0.0,39.5,38.5,38.5,30.99037,99700,0.0,38.5,inf
1986-03-11,0.0,38.875,38.375,38.5,30.99037,191500,0.0,38.5,inf
1986-03-12,0.0,38.625,38.0,38.375,30.889727,252000,0.0,38.375,inf
1986-03-13,0.0,38.625,38.375,38.5,30.99037,299000,0.0,38.5,inf
1986-03-14,0.0,39.625,38.5,39.5,31.795296,230000,0.0,39.5,inf
1986-03-17,0.0,40.375,39.625,39.75,31.996534,114500,0.0,39.75,inf
1986-03-18,0.0,41.625,39.875,41.5,33.405197,141000,0.0,41.5,inf
1986-03-19,0.0,43.25,41.875,42.875,34.511993,77900,0.0,42.875,inf
1986-03-20,0.0,43.625,43.0,43.125,34.713226,46300,0.0,43.125,inf
1986-03-21,0.0,44.5,42.25,42.5,34.210133,131800,0.0,42.5,inf
1986-03-24,0.0,42.625,40.125,40.25,32.399002,52400,0.0,40.25,inf
1986-03-25,0.0,40.5,39.875,40.0,32.197781,76900,0.0,40.0,inf
1986-03-26,0.0,41.0,40.125,40.125,32.298382,110100,0.0,40.125,inf
1986-03-27,0.0,41.75,41.0,41.5,33.405197,214000,0.0,41.5,inf
1986-03-31,0.0,42.875,41.5,42.625,34.310753,99700,0.0,42.625,inf
1986-04-01,0.0,43.0,41.625,41.875,33.70705,119700,0.0,41.875,inf
1986-04-02,0.0,41.75,41.25,41.5,33.405197,146400,0.0,41.5,inf
1986-04-03,0.0,42.25,41.375,41.375,33.304573,71400,0.0,41.375,inf
1986-04-04,0.0,41.5,40.0,40.0,32.197781,53100,0.0,40.0,inf
1986-04-07,0.0,40.0,38.5,39.0,31.392832,87300,0.0,39.0,inf
1986-04-08,0.0,40.75,39.125,40.75,32.801491,97500,0.0,40.75,inf
1986-04-09,0.0,41.625,40.5,40.75,32.801491,85800,0.0,40.75,inf
1986-04-10,0.0,41.0,40.75,40.75,32.801491,19500,0.0,40.75,inf
1986-04-11,0.0,41.75,40.375,41.75,33.606422,97500,0.0,41.75,inf
1986-04-14,0.0,43.25,42.125,42.75,34.411385,41200,0.0,42.75,inf
1986-04-15,0.0,42.75,42.0,42.25,34.008911,46500,0.0,42.25,inf
1986-04-16,0.0,43.5,42.0,43.25,34.813839,20000,0.0,43.25,inf
1986-04-17,0.0,43.75,42.25,42.5,34.210133,173300,0.0,42.5,inf
1986-04-18,0.0,42.75,41.5,41.5,33.405197,355300,0.0,41.5,inf
1986-04-21,0.0,41.5,39.75,40.375,32.499626,113800,0.0,40.375,inf
1986-04-22,0.0,40.75,40.125,40.25,32.399002,79700,0.0,40.25,inf
1986-04-23,0.0,40.25,39.5,39.875,32.097164,79400,0.0,39.875,inf
1986-04-24,0.0,39.875,38.875,38.875,31.292221,233300,0.0,38.875,inf
1986-04-25,0.0,39.5,38.875,39.0,31.392832,72500,0.0,39.0,inf
1986-04-28,0.0,39.0,37.875,37.875,30.487289,55100,0.0,37.875,inf
1986-04-29,0.0,38.125,36.5,37.375,30.084795,97900,0.0,37.375,inf
1986-04-30,0.0,37.875,36.625,37.25,29.984186,148100,0.0,37.25,inf
1986-05-01,0.0,37.5,36.625,37.125,29.883562,79100,0.0,37.125,inf
1986-05-02,0.0,37.75,36.875,37.75,30.386641,108700,0.0,37.75,inf
1986-05-05,0.0,39.0,37.875,38.75,31.191607,92300,0.0,38.75,inf
1986-05-06,0.0,39.25,38.625,38.75,31.191607,39500,0.0,38.75,inf
1986-05-07,0.0,38.75,37.75,38.25,30.789124,95900,0.0,38.25,inf
1986-05-08,0.0,38.375,37.75,38.0,30.587877,625800,0.0,38.0,inf
1986-05-09,38.0,38.125,37.25,37.25,29.984186,2074100,97280000.0,-0.75,-1.9736842105263157
1986-05-12,37.0,37.0,36.375,36.5,29.380472,294000,94720000.0,-0.5,-1.3513513513513513
1986-05-13,36.625,36.75,36.125,36.375,29.279865,973100,93760000.0,-0.25,-0.6825938566552902
1986-05-14,36.5,36.625,36.375,36.5,29.380472,444900,93440000.0,0.0,0.0
1986-05-15,36.625,36.875,36.125,36.125,29.078615,463900,93760000.0,-0.5,-1.3651877133105803
1986-05-16,36.375,36.625,36.25,36.25,29.179234,255900,93120000.0,-0.125,-0.3436426116838488
1986-05-19,36.625,36.625,35.875,36.0,28.978004,176000,93760000.0,-0.625,-1.7064846416382253
1986-05-20,36.125,36.25,35.75,36.0,28.978004,122900,92480000.0,-0.125,-0.34602076124567477
1986-05-21,36.5,36.875,36.5,36.5,29.380472,654500,93440000.0,0.0,0.0
1986-05-22,36.625,37.0,36.625,36.875,29.743444,276900,93760000.0,0.25,0.6825938566552902
1986-05-23,37.0,37.25,37.0,37.25,30.045918,522200,94720000.0,0.25,0.6756756756756757
1986-05-27,37.25,37.875,37.25,37.875,30.550064,382900,95360000.0,0.625,1.6778523489932886
1986-05-28,38.125,38.875,37.75,38.75,31.255831,574200,97600000.0,0.625,1.639344262295082
1986-05-29,39.0,39.125,38.125,38.125,30.751686,305400,99840000.0,-0.875,-2.2435897435897436
1986-05-30,38.5,38.875,38.125,38.625,31.155001,152800,98560000.0,0.125,0.3246753246753247
1986-06-02,38.625,38.75,36.875,36.875,29.743444,295300,98880000.0,-1.75,-4.53074433656958
1986-06-03,36.875,36.875,35.625,35.875,28.936842,448400,94400000.0,-1.0,-2.711864406779661
1986-06-04,36.25,36.75,35.875,35.875,28.936842,227900,92800000.0,-0.375,-1.0344827586206897
1986-06-05,36.25,36.5,36.0,36.125,29.138485,124500,92800000.0,-0.125,-0.3448275862068966
1986-06-06,36.125,36.375,34.625,35.25,28.432703,179500,92480000.0,-0.875,-2.422145328719723
1986-06-09,35.5,35.875,33.625,33.625,27.121979,236300,90880000.0,-1.875,-5.28169014084507
1986-06-10,34.0,34.125,33.375,33.75,27.222805,409500,87040000.0,-0.25,-0.7352941176470588
1986-06-11,34.0,35.0,33.75,34.25,27.626116,308100,87040000.0,0.25,0.7352941176470588
1986-06-12,34.625,34.75,34.125,34.25,27.626116,279400,88640000.0,-0.375,-1.083032490974729
1986-06-13,34.25,34.875,34.25,34.875,28.13023,569300,87680000.0,0.625,1.824817518248175
1986-06-16,34.75,34.75,34.25,34.5,27.827763,77800,88960000.0,-0.25,-0.7194244604316548
1986-06-17,34.5,34.5,33.5,33.875,27.323645,207800,88320000.0,-0.625,-1.8115942028985508
1986-06-18,34.125,34.875,34.0,34.75,28.029398,143300,87360000.0,0.625,1.8315018315018317
1986-06-19,34.875,35.0,34.5,35.0,28.231064,276100,89280000.0,0.125,0.35842293906810035
1986-06-20,34.875,35.0,33.5,33.5,27.021152,206400,89280000.0,-1.375,-3.942652329749104
1986-06-23,33.75,34.875,33.625,34.0,27.424465,201400,86400000.0,0.25,0.7407407407407408
1986-06-24,34.25,34.5,34.0,34.5,27.827763,202100,87680000.0,0.25,0.7299270072992701
1986-06-25,34.5,35.25,34.5,35.0,28.231064,384200,88320000.0,0.5,1.4492753623188406
1986-06-26,35.25,35.625,35.125,35.25,28.432703,173300,90240000.0,0.0,0.0
1986-06-27,35.125,35.375,35.0,35.25,28.432703,279600,89920000.0,0.125,0.3558718861209964
