Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,3.296296,3.203704,3.240741,1.025586,10125
1980-03-18,0.000000,3.407407,3.277778,3.407407,1.078331,22275
1980-03-19,0.000000,3.407407,3.388889,3.388889,1.072471,8100
1980-03-20,0.000000,3.388889,3.370370,3.370370,1.066610,17550
1980-03-21,0.000000,3.407407,3.388889,3.407407,1.078331,169425
1980-03-24,0.000000,3.370370,3.351852,3.351852,1.060749,27000
1980-03-25,0.000000,3.351852,3.314815,3.314815,1.049027,20925
1980-03-26,0.000000,3.351852,3.296296,3.296296,1.043168,7425
1980-03-27,0.000000,3.296296,3.259259,3.296296,1.043168,9450
1980-03-28,0.000000,3.388889,3.333333,3.351852,1.060749,7425
1980-03-31,0.000000,3.407407,3.314815,3.407407,1.078331,31725
1980-04-01,0.000000,3.407407,3.407407,3.407407,1.078331,2700
1980-04-02,0.000000,3.444444,3.407407,3.407407,1.078331,32400
1980-04-03,0.000000,3.444444,3.370370,3.407407,1.078331,8775
1980-04-07,0.000000,3.388889,3.370370,3.370370,1.066610,7425
1980-04-08,0.000000,3.333333,3.277778,3.277778,1.037307,10125
1980-04-09,0.000000,3.333333,3.277778,3.314815,1.049027,5400
1980-04-10,0.000000,3.333333,3.314815,3.333333,1.054890,8100
1980-04-11,0.000000,3.388889,3.333333,3.351852,1.060749,20250
1980-04-14,0.000000,3.351852,3.333333,3.333333,1.054890,9450
1980-04-15,0.000000,3.444444,3.370370,3.444444,1.090051,36450
1980-04-16,0.000000,3.444444,3.407407,3.407407,1.078331,172800
1980-04-17,0.000000,3.370370,3.296296,3.296296,1.043168,72900
1980-04-18,0.000000,3.314815,3.259259,3.259259,1.031447,83700
1980-04-21,0.000000,3.296296,3.277778,3.277778,1.037307,2700
1980-04-22,0.000000,3.370370,3.314815,3.370370,1.066610,6750
1980-04-23,0.000000,3.351852,3.333333,3.351852,1.060749,100575
1980-04-24,0.000000,3.407407,3.333333,3.407407,1.078331,12825
1980-04-25,0.000000,3.407407,3.407407,3.407407,1.078331,8775
1980-04-28,0.000000,3.388889,3.296296,3.333333,1.054890,10125
1980-04-29,3.333333,3.333333,3.333333,3.333333,1.054890,0
1980-04-30,0.000000,3.388889,3.277778,3.370370,1.066610,25650
1980-05-01,0.000000,3.407407,3.333333,3.407407,1.078331,107325
1980-05-02,0.000000,3.407407,3.370370,3.370370,1.066610,6750
1980-05-05,0.000000,3.370370,3.296296,3.370370,1.066610,18900
1980-05-06,0.000000,3.425926,3.388889,3.407407,1.078331,13500
1980-05-07,0.000000,3.462963,3.407407,3.462963,1.095913,27675
1980-05-08,0.000000,3.555556,3.481481,3.555556,1.125215,14175
1980-05-09,0.000000,3.555556,3.518519,3.555556,1.125215,37800
1980-05-12,0.000000,3.574074,3.518519,3.518519,1.113493,8100
1980-05-13,0.000000,3.537037,3.500000,3.537037,1.119354,7425
1980-05-14,0.000000,3.574074,3.518519,3.574074,1.131075,7425
1980-05-15,0.000000,3.555556,3.518519,3.518519,1.113493,6750
1980-05-16,0.000000,3.537037,3.500000,3.500000,1.107633,11475
1980-05-19,0.000000,3.555556,3.537037,3.537037,1.119354,8775
1980-05-20,0.000000,3.518519,3.500000,3.500000,1.107633,2025
1980-05-21,0.000000,3.555556,3.500000,3.537037,1.119354,16875
1980-05-22,0.000000,3.574074,3.537037,3.555556,1.125215,9450
1980-05-23,0.000000,3.648148,3.592593,3.648148,1.154517,12825
1980-05-27,0.000000,3.777778,3.629630,3.777778,1.195541,35100
1980-05-28,0.000000,3.777778,3.759259,3.777778,1.195541,28350
1980-05-29,0.000000,3.796296,3.777778,3.777778,1.195541,23625
1980-05-30,0.000000,3.814815,3.740741,3.814815,1.207262,25650
1980-06-02,0.000000,3.888889,3.814815,3.814815,1.207262,22275
1980-06-03,0.000000,3.777778,3.777778,3.777778,1.195541,2700
1980-06-04,0.000000,3.777778,3.666667,3.722222,1.177959,37800
1980-06-05,0.000000,3.833333,3.759259,3.833333,1.213122,17550
1980-06-06,0.000000,3.833333,3.796296,3.833333,1.213122,8100
1980-06-09,0.000000,3.851852,3.777778,3.777778,1.195541,14175
1980-06-10,0.000000,3.759259,3.722222,3.722222,1.177959,123525
1980-06-11,0.000000,3.722222,3.722222,3.722222,1.177959,6075
1980-06-12,0.000000,3.740741,3.722222,3.740741,1.183819,16875
1980-06-13,0.000000,3.759259,3.722222,3.740741,1.183819,9450
1980-06-16,0.000000,3.759259,3.722222,3.759259,1.189679,20250
1980-06-17,0.000000,3.777778,3.740741,3.759259,1.189679,72225
1980-06-18,0.000000,3.962963,3.814815,3.944444,1.248285,113400
1980-06-19,0.000000,3.944444,3.870370,3.907407,1.236564,13500
1980-06-20,0.000000,3.870370,3.870370,3.870370,1.224843,8100
1980-06-23,0.000000,3.944444,3.870370,3.944444,1.248285,9450
1980-06-24,0.000000,3.962963,3.888889,3.944444,1.248285,16875
1980-06-25,0.000000,3.981481,3.944444,3.944444,1.248285,17550
1980-06-26,0.000000,4.000000,3.944444,3.944444,1.248285,10125
1980-06-27,0.000000,3.925926,3.888889,3.925926,1.242425,10125
1980-06-30,0.000000,3.962963,3.925926,3.925926,1.242425,39825
1980-07-01,0.000000,3.981481,3.925926,3.981481,1.260006,38475
1980-07-02,0.000000,3.981481,3.925926,3.925926,1.242425,12150
1980-07-03,0.000000,3.962963,3.925926,3.925926,1.242425,22275
1980-07-07,0.000000,4.055556,3.925926,3.962963,1.254145,56025
1980-07-08,0.000000,4.000000,3.962963,3.981481,1.260006,16200
1980-07-09,0.000000,3.981481,3.907407,3.925926,1.242425,45900
1980-07-10,0.000000,3.981481,3.944444,3.981481,1.260006,33750
1980-07-11,0.000000,3.925926,3.925926,3.925926,1.242425,164700
1980-07-14,0.000000,3.981481,3.925926,3.981481,1.260006,31050
