Date,Open,High,Low,Close,Adj Close,Volume
2017-06-28,10.000000,10.040000,10.000000,10.000000,6.524493,857300
2017-06-29,10.000000,10.020000,10.000000,10.000000,6.524493,154200
2017-06-30,10.020000,10.030000,10.010000,10.020000,6.537542,41000
2017-07-03,10.020000,10.030000,10.000000,10.010000,6.531015,28100
2017-07-05,10.030000,10.040000,10.000000,10.020000,6.537542,96000
2017-07-06,10.020000,10.040000,10.010000,10.040000,6.550588,45800
2017-07-07,10.030000,10.050000,10.010000,10.035000,6.547329,72000
2017-07-10,10.040000,10.090000,10.020000,10.050000,6.557116,55200
2017-07-11,10.070000,10.090000,10.060000,10.080000,6.576688,41400
2017-07-12,10.100000,10.120000,10.070000,10.120000,6.602784,63800
2017-07-13,10.140000,10.140000,10.120000,10.140000,6.615834,27500
2017-07-14,10.150000,10.500000,10.146000,10.280000,6.707180,136500
2017-07-17,10.204000,10.239000,10.200000,10.232000,6.675858,11000
2017-07-18,10.250000,10.250000,10.200000,10.220000,6.668031,9600
2017-07-19,10.178000,10.200000,10.130000,10.150000,6.622359,20800
2017-07-20,10.170000,10.350000,10.141000,10.250000,6.687600,17600
2017-07-21,10.400000,10.480000,10.300000,10.350000,6.752847,33100
2017-07-24,10.450000,10.450000,10.294000,10.300000,6.720226,6700
2017-07-25,10.180000,10.200000,10.030000,10.150000,6.622359,101800
2017-07-26,10.171000,10.171000,10.100000,10.110000,6.596259,38400
2017-07-27,10.150000,10.180000,10.100000,10.100000,6.589735,20400
2017-07-28,10.150000,10.150000,10.050000,10.150000,6.622359,22900
2017-07-31,10.150000,10.150000,10.100000,10.150000,6.622359,11800
2017-08-01,10.123000,10.163000,10.100000,10.140000,6.615834,13100
2017-08-02,10.140000,10.140000,10.090000,10.120000,6.602784,50300
2017-08-03,10.140000,10.140000,10.095000,10.095000,6.586471,12800
2017-08-04,10.130000,10.140000,10.099000,10.140000,6.615834,8100
2017-08-07,10.130000,10.250000,10.130000,10.220000,6.668031,27900
2017-08-08,10.160000,10.200000,10.120000,10.190000,6.648457,21000
2017-08-09,10.190000,10.190000,10.180000,10.180000,6.641932,8000
2017-08-10,10.164000,10.200000,10.160000,10.170000,6.635406,18400
2017-08-11,10.160000,10.220000,10.150000,10.170000,6.635406,24300
2017-08-14,10.170000,10.195000,10.010000,10.050000,6.557116,46600
2017-08-15,10.062000,10.062000,9.900000,9.910000,6.465769,86000
2017-08-16,9.960000,9.960000,9.740000,9.920000,6.472292,103200
2017-08-17,9.860000,9.950000,9.770000,9.770000,6.374428,66600
2017-08-18,9.800000,9.890000,9.710000,9.780000,6.411136,87100
2017-08-21,9.830000,9.860000,9.800000,9.860000,6.463580,8700
2017-08-22,9.860000,9.980000,9.840000,9.850000,6.457025,71700
2017-08-23,9.780000,9.900000,9.700000,9.800000,6.424247,59400
2017-08-24,9.836000,9.836000,9.790000,9.800000,6.424247,7400
2017-08-25,9.800000,9.830000,9.800000,9.810000,6.430805,16700
2017-08-28,9.840000,9.890000,9.810000,9.890000,6.483249,42500
2017-08-29,9.860000,9.940000,9.850000,9.920000,6.502913,25000
2017-08-30,9.930000,9.940000,9.850000,9.850000,6.457025,21400
2017-08-31,9.830000,9.900000,9.830000,9.900000,6.489801,23400
2017-09-01,9.940000,9.950000,9.898000,9.940000,6.516025,30300
2017-09-05,9.900000,9.950000,9.865000,9.950000,6.522581,16600
2017-09-06,9.930000,10.020000,9.900000,10.020000,6.568467,46600
2017-09-07,9.997000,10.020000,9.950000,10.020000,6.568467,20000
2017-09-08,9.910000,10.020000,9.900000,10.010000,6.592173,20200
2017-09-11,10.020000,10.040000,9.958000,10.040000,6.611930,46000
2017-09-12,9.984000,10.050000,9.984000,10.030000,6.605343,35500
2017-09-13,10.040000,10.050000,10.000000,10.020000,6.598761,34800
2017-09-14,10.000000,10.038000,9.990000,10.023000,6.600736,20000
2017-09-15,10.040000,10.040000,9.950000,10.000000,6.585588,37700
2017-09-18,10.000000,10.030000,9.777000,9.950000,6.552660,15700
2017-09-19,9.950000,9.960000,9.850000,9.900000,6.519731,16700
2017-09-20,9.950000,9.950000,9.900000,9.900000,6.519731,6500
2017-09-21,9.910000,9.910000,9.710000,9.740000,6.414364,40200
2017-09-22,9.810000,9.850000,9.810000,9.830000,6.473635,9800
2017-09-25,9.830000,9.880000,9.720000,9.810000,6.460464,45100
2017-09-26,9.850000,9.860000,9.797000,9.860000,6.493389,30400
2017-09-27,9.870000,9.880000,9.800000,9.820000,6.467048,44700
2017-09-28,9.820000,9.920000,9.820000,9.920000,6.532902,18400
2017-09-29,9.877000,9.960000,9.860000,9.950000,6.552660,30300
2017-10-02,9.960000,9.980000,9.941000,9.980000,6.572415,21000
2017-10-03,9.930000,9.937000,9.891000,9.930000,6.539489,23000
2017-10-04,9.920000,9.920000,9.890000,9.900000,6.519731,12000
2017-10-05,9.900000,9.900000,9.870000,9.890000,6.513147,21200
2017-10-06,9.890000,9.890000,9.866000,9.890000,6.513147,17000
2017-10-09,9.900000,9.940000,9.900000,9.930000,6.539489,5100
2017-10-10,9.896000,10.050000,9.896000,10.000000,6.585588,48000
2017-10-11,9.960000,9.960000,9.921000,9.940000,6.576327,13100
2017-10-12,9.941000,9.990000,9.941000,9.970000,6.596174,4400
2017-10-13,9.940000,9.950000,9.900000,9.930000,6.569709,4200
2017-10-16,9.920000,9.920000,9.780000,9.800000,6.483701,26000
2017-10-17,9.870000,9.870000,9.828000,9.850000,6.516781,13800
2017-10-18,9.890000,9.900000,9.850000,9.900000,6.549860,11700
2017-10-19,9.900000,9.940000,9.900000,9.930000,6.569709,10100
2017-10-20,9.950000,9.950000,9.750000,9.800000,6.483701,44500
2017-10-23,9.810000,9.840000,9.780000,9.790000,6.477087,31600
2017-10-24,9.750000,9.800000,9.660000,9.690000,6.410927,67900
2017-10-25,9.702000,9.729000,9.610000,9.660000,6.391078,22700
2017-10-26,9.680000,9.700000,9.650000,9.650000,6.384461,44400
2017-10-27,9.686000,9.686000,9.280000,9.380000,6.205828,83900
2017-10-30,9.391000,9.460000,9.160000,9.170000,6.066892,98900
2017-10-31,9.280000,9.470000,9.190000,9.410000,6.225676,118400
2017-11-01,9.470000,9.500000,9.439000,9.500000,6.285219,19700
2017-11-02,9.490000,9.539000,9.458000,9.530000,6.305067,20900
2017-11-03,9.550000,9.590000,9.536000,9.590000,6.344765,12700
2017-11-06,9.590000,9.650000,9.584000,9.620000,6.364614,34000
2017-11-07,9.621000,9.627000,9.500000,9.560000,6.324916,41800
2017-11-08,9.550000,9.550000,9.250000,9.459000,6.258095,106400
2017-11-09,9.470000,9.490000,9.330000,9.370000,6.199212,44000
2017-11-10,9.360000,9.360000,9.260000,9.300000,6.183259,75200
2017-11-13,9.300000,9.300000,9.250000,9.260000,6.156662,63500
2017-11-14,9.300000,9.300000,9.210000,9.263000,6.158656,64100
2017-11-15,9.310000,9.389000,8.960000,9.080000,6.036986,214700
