Date,Open,High,Low,Close,Adj Close,Volume
1995-11-17,8.125000,8.718750,8.093750,8.625000,6.489460,35659200
1995-11-20,8.593750,8.812500,8.187500,8.312500,6.254336,8434000
1995-11-21,8.250000,8.281250,7.937500,8.156250,6.136773,6440000
1995-11-22,8.125000,8.531250,8.125000,8.406250,6.324874,3480800
1995-11-24,8.468750,8.718750,8.437500,8.718750,6.559999,1279200
1995-11-27,8.718750,8.906250,8.625000,8.750000,6.583510,2403200
1995-11-28,8.750000,8.781250,8.500000,8.625000,6.489460,1054800
1995-11-29,8.593750,8.968750,8.562500,8.750000,6.583510,1331200
1995-11-30,8.843750,9.187500,8.812500,9.093750,6.842149,2426000
1995-12-01,9.093750,9.125000,8.937500,9.000000,6.771612,978400
1995-12-04,9.031250,9.093750,8.843750,8.906250,6.701074,594000
1995-12-05,8.906250,8.906250,8.625000,8.781250,6.607025,1148800
1995-12-06,8.750000,9.000000,8.750000,8.812500,6.630536,1216000
1995-12-07,8.875000,8.906250,8.687500,8.750000,6.583510,641200
1995-12-08,8.718750,8.968750,8.625000,8.968750,6.748100,668800
1995-12-11,9.000000,9.093750,8.968750,9.093750,6.842149,660000
1995-12-12,9.031250,9.062500,8.718750,8.750000,6.583510,971600
1995-12-13,8.812500,8.812500,8.531250,8.687500,6.536486,528400
1995-12-14,8.718750,8.718750,8.437500,8.437500,6.348385,639200
1995-12-15,8.500000,8.562500,8.343750,8.375000,6.301362,1366400
1995-12-18,8.375000,8.406250,8.250000,8.281250,6.230826,741600
1995-12-19,8.250000,8.531250,8.218750,8.437500,6.348385,643600
1995-12-20,8.468750,8.687500,8.468750,8.625000,6.489460,360400
1995-12-21,8.593750,8.781250,8.562500,8.687500,6.536486,301600
1995-12-22,8.718750,8.750000,8.625000,8.750000,6.583510,208400
1995-12-26,8.718750,8.718750,8.500000,8.531250,6.418923,240000
1995-12-27,8.625000,8.843750,8.625000,8.843750,6.654048,351600
1995-12-28,8.875000,8.906250,8.781250,8.812500,6.630536,344400
1995-12-29,8.781250,8.843750,8.656250,8.718750,6.559999,219200
1996-01-02,8.718750,8.781250,8.656250,8.750000,6.583510,169200
1996-01-03,8.781250,8.937500,8.656250,8.718750,6.559999,682000
1996-01-04,8.750000,8.812500,8.531250,8.656250,6.512974,414800
1996-01-05,8.531250,8.593750,8.281250,8.437500,6.348385,773600
1996-01-08,8.437500,8.468750,8.375000,8.468750,6.371898,48800
1996-01-09,8.500000,8.500000,8.375000,8.375000,6.301362,864000
1996-01-10,8.281250,8.375000,8.125000,8.281250,6.230826,458400
1996-01-11,8.312500,8.562500,8.312500,8.468750,6.371898,477600
1996-01-12,8.437500,8.687500,8.406250,8.687500,6.536486,338400
1996-01-15,8.687500,8.750000,8.625000,8.656250,6.512974,580800
1996-01-16,8.593750,8.593750,8.218750,8.437500,6.348385,512800
1996-01-17,8.312500,8.375000,8.125000,8.375000,6.301362,126400
1996-01-18,8.281250,8.343750,8.031250,8.156250,6.136773,696000
1996-01-19,8.156250,8.187500,8.062500,8.093750,6.089749,792800
1996-01-22,8.093750,8.468750,8.093750,8.312500,6.254336,568800
1996-01-23,8.250000,8.281250,8.156250,8.156250,6.136773,798400
1996-01-24,8.125000,8.281250,8.125000,8.281250,6.230826,776400
1996-01-25,8.250000,8.562500,8.250000,8.562500,6.442434,1303200
1996-01-26,8.562500,8.593750,8.500000,8.562500,6.442434,634800
1996-01-29,8.593750,8.593750,8.375000,8.437500,6.348385,652000
1996-01-30,8.437500,9.406250,8.375000,9.250000,6.959711,2810800
1996-01-31,9.187500,9.531250,9.125000,9.218750,6.936197,1136400
1996-02-01,9.187500,9.218750,8.843750,9.031250,6.795125,516800
1996-02-02,9.093750,9.312500,9.093750,9.250000,6.959711,702400
1996-02-05,9.312500,9.468750,9.250000,9.406250,7.077275,756400
1996-02-06,9.406250,9.562500,9.375000,9.468750,7.124299,455200
1996-02-07,9.531250,9.843750,9.500000,9.781250,7.359425,650800
1996-02-08,9.750000,9.812500,9.531250,9.562500,7.194838,571600
1996-02-09,9.625000,9.625000,9.468750,9.593750,7.218350,520800
1996-02-12,9.531250,9.562500,9.250000,9.343750,7.030250,619200
1996-02-13,9.250000,9.281250,9.125000,9.187500,6.912687,204400
1996-02-14,9.218750,9.437500,9.156250,9.156250,6.889176,410000
1996-02-15,9.281250,9.437500,9.281250,9.343750,7.030250,348800
1996-02-16,9.343750,9.343750,9.156250,9.187500,6.912687,322400
1996-02-20,9.062500,9.187500,8.937500,9.062500,6.818638,633200
1996-02-21,9.093750,9.218750,9.093750,9.125000,6.865663,497600
1996-02-22,9.125000,9.125000,8.781250,9.093750,6.842149,1184000
1996-02-23,9.125000,9.343750,9.093750,9.312500,7.006739,532400
1996-02-26,9.312500,9.343750,9.187500,9.250000,6.959711,359600
1996-02-27,9.312500,9.375000,9.125000,9.156250,6.889176,1742400
1996-02-28,9.187500,9.250000,9.187500,9.218750,6.936197,921600
1996-02-29,9.218750,9.375000,9.125000,9.156250,6.889176,812400
1996-03-01,9.281250,9.531250,9.218750,9.468750,7.124299,605600
1996-03-04,9.500000,9.500000,9.312500,9.375000,7.053762,650800
1996-03-05,9.312500,9.468750,9.281250,9.406250,7.077275,511200
1996-03-06,9.437500,9.468750,9.312500,9.312500,7.006739,445600
1996-03-07,9.281250,9.343750,9.203125,9.218750,6.936197,547600
1996-03-08,9.062500,9.218750,8.843750,9.000000,6.771612,625200
1996-03-11,9.000000,9.000000,8.843750,8.875000,6.677560,217200
1996-03-12,8.906250,8.906250,8.406250,8.656250,6.512974,598000
1996-03-13,8.687500,8.937500,8.593750,8.906250,6.717566,335600
1996-03-14,8.906250,8.968750,8.843750,8.906250,6.717566,273600
1996-03-15,8.968750,8.968750,8.625000,8.718750,6.576143,371600
1996-03-18,8.750000,8.968750,8.750000,8.968750,6.764706,257600
1996-03-19,8.968750,8.968750,8.750000,8.906250,6.717566,276800
1996-03-20,8.875000,8.906250,8.656250,8.718750,6.576143,236400
1996-03-21,8.718750,8.718750,8.593750,8.656250,6.529002,520000
1996-03-22,8.656250,8.656250,8.593750,8.656250,6.529002,198000
1996-03-25,8.812500,8.812500,8.718750,8.781250,6.623284,284000
1996-03-26,8.812500,9.218750,8.781250,9.000000,6.788277,327200
1996-03-27,9.062500,9.187500,9.031250,9.093750,6.858986,275600
1996-03-28,9.156250,9.218750,9.062500,9.093750,6.858986,236800
1996-03-29,9.093750,9.125000,8.906250,8.937500,6.741133,280800
1996-04-01,8.968750,9.093750,8.843750,9.093750,6.858986,214800
1996-04-02,9.031250,9.093750,8.875000,8.906250,6.717566,640400
1996-04-03,8.843750,8.843750,8.687500,8.781250,6.623284,164400
1996-04-04,8.843750,8.843750,8.687500,8.781250,6.623284,82400
1996-04-08,8.656250,8.687500,8.593750,8.687500,6.552573,186000
1996-04-09,8.718750,8.718750,8.656250,8.687500,6.552573,285200
1996-04-10,8.687500,8.687500,8.562500,8.656250,6.529002,228000
1996-04-11,8.687500,8.718750,8.625000,8.656250,6.529002,222400
1996-04-12,8.625000,8.750000,8.625000,8.750000,6.599710,238400
1996-04-15,8.781250,8.937500,8.750000,8.843750,6.670424,185600
1996-04-16,8.781250,8.875000,8.750000,8.875000,6.693995,159600
1996-04-17,8.843750,8.843750,8.500000,8.625000,6.505431,766000
1996-04-18,8.625000,8.625000,8.250000,8.437500,6.364007,1770000
1996-04-19,8.437500,8.593750,8.437500,8.593750,6.481862,429200
1996-04-22,8.562500,8.656250,8.500000,8.656250,6.529002,118800
1996-04-23,8.625000,8.687500,8.468750,8.500000,6.411149,206000
1996-04-24,8.437500,8.437500,8.250000,8.312500,6.269726,1152400
1996-04-25,8.312500,8.343750,8.000000,8.343750,6.293297,1270800
1996-04-26,8.343750,9.500000,8.281250,9.406250,7.094692,3303600
1996-04-29,9.312500,9.875000,9.281250,9.500000,7.165402,2256400
1996-04-30,9.437500,9.468750,9.156250,9.156250,6.906130,771200
1996-05-01,9.187500,9.187500,9.031250,9.125000,6.882559,303600
1996-05-02,9.062500,9.281250,9.062500,9.156250,6.906130,489600
1996-05-03,9.187500,9.187500,9.000000,9.125000,6.882559,1512800
1996-05-06,9.125000,9.281250,9.125000,9.156250,6.906130,308400
1996-05-07,9.125000,9.156250,9.093750,9.093750,6.858986,508800
1996-05-08,9.062500,9.250000,8.968750,9.218750,6.953268,362400
1996-05-09,9.375000,9.437500,9.250000,9.312500,7.023982,279200
1996-05-10,9.375000,9.406250,9.250000,9.281250,7.000407,74000
1996-05-13,9.218750,9.250000,9.187500,9.218750,6.953268,198800
1996-05-14,9.187500,9.187500,9.031250,9.125000,6.882559,256400
1996-05-15,9.156250,9.156250,8.968750,9.000000,6.788277,752800
1996-05-16,9.187500,9.656250,9.187500,9.468750,7.141831,1938000
1996-05-17,9.593750,9.625000,9.468750,9.468750,7.141831,601600
1996-05-20,9.437500,9.531250,9.281250,9.406250,7.094692,448000
1996-05-21,9.468750,9.468750,9.125000,9.156250,6.906130,209200
1996-05-22,9.125000,9.125000,8.875000,9.093750,6.858986,368800
1996-05-23,9.093750,9.125000,9.062500,9.062500,6.835417,615200
1996-05-24,9.031250,9.125000,9.031250,9.125000,6.882559,340400
1996-05-28,9.093750,9.500000,9.093750,9.437500,7.118261,999200
1996-05-29,9.500000,9.625000,9.375000,9.406250,7.094692,872400
1996-05-30,9.406250,9.687500,9.375000,9.593750,7.236114,332000
1996-05-31,9.562500,9.687500,9.500000,9.500000,7.165402,531200
1996-06-03,9.437500,9.531250,9.375000,9.437500,7.118261,535600
1996-06-04,9.406250,9.468750,9.312500,9.437500,7.118261,875200
1996-06-05,9.500000,9.968750,9.500000,9.875000,7.448246,684800
1996-06-06,9.875000,10.125000,9.875000,10.000000,7.542524,804400
1996-06-07,9.875000,10.000000,9.750000,10.000000,7.542524,345600
1996-06-10,10.000000,10.062500,9.875000,9.937500,7.495387,269200
1996-06-11,9.968750,10.250000,9.937500,10.093750,7.613242,580400
1996-06-12,10.062500,10.375000,10.062500,10.187500,7.700162,489200
1996-06-13,10.187500,10.312500,10.031250,10.156250,7.676542,193600
1996-06-14,10.125000,10.125000,9.968750,10.000000,7.558437,148400
1996-06-17,9.906250,9.906250,9.343750,9.468750,7.156898,3204400
1996-06-18,9.562500,9.687500,9.406250,9.468750,7.156898,926000
1996-06-19,9.468750,9.468750,9.343750,9.437500,7.133277,302000
1996-06-20,9.468750,9.500000,9.343750,9.468750,7.156898,259600
1996-06-21,9.468750,9.750000,9.468750,9.750000,7.369480,166400
1996-06-24,9.812500,9.843750,9.687500,9.750000,7.369480,332000
1996-06-25,9.750000,10.031250,9.750000,9.968750,7.534820,723600
1996-06-26,10.093750,10.312500,10.031250,10.250000,7.747402,425200
1996-06-27,10.250000,10.562500,10.187500,10.531250,7.959986,568000
1996-06-28,10.750000,11.000000,10.562500,10.562500,7.983603,1070400
1996-07-01,10.750000,10.843750,10.687500,10.687500,8.078084,520800
1996-07-02,10.656250,10.718750,10.500000,10.625000,8.030842,356800
1996-07-03,10.531250,10.531250,10.250000,10.437500,7.889122,1087600
1996-07-05,10.312500,10.500000,10.250000,10.468750,7.912743,157200
1996-07-08,10.406250,10.437500,10.312500,10.343750,7.818264,358800
1996-07-09,10.312500,10.468750,10.312500,10.437500,7.889122,110800
1996-07-10,10.468750,10.500000,10.312500,10.343750,7.818264,621600
1996-07-11,10.250000,10.250000,9.562500,9.906250,7.487583,619600
1996-07-12,10.000000,10.000000,9.750000,9.750000,7.369480,129200
1996-07-15,9.687500,9.687500,9.156250,9.187500,6.944316,337600
1996-07-16,9.062500,9.437500,8.687500,9.437500,7.133277,652000
1996-07-17,9.500000,9.718750,9.281250,9.343750,7.062419,601600
1996-07-18,9.375000,9.781250,9.375000,9.781250,7.393100,711600
1996-07-19,9.781250,9.781250,9.687500,9.687500,7.322241,478400
1996-07-22,9.718750,9.781250,9.562500,9.781250,7.393100,107200
1996-07-23,9.750000,10.000000,9.718750,9.750000,7.369480,183600
1996-07-24,9.625000,9.625000,9.343750,9.406250,7.109659,250000
1996-07-25,9.406250,9.562500,9.406250,9.531250,7.204139,292800
