Date,Open,High,Low,Close,Adj Close,Volume
1993-02-25,3.437500,3.593750,3.437500,3.500000,0.970762,26388800
1993-02-26,3.546875,3.562500,3.500000,3.546875,0.983763,2868000
1993-03-01,3.546875,3.578125,3.531250,3.562500,0.988097,1756800
1993-03-02,3.562500,3.578125,3.515625,3.515625,0.975095,746400
1993-03-03,3.515625,3.546875,3.500000,3.531250,0.979429,880800
1993-03-04,3.531250,3.609375,3.515625,3.609375,1.001098,636000
1993-03-05,3.625000,3.703125,3.625000,3.656250,1.014099,487200
1993-03-08,3.656250,3.750000,3.656250,3.750000,1.040102,440800
1993-03-09,3.750000,3.859375,3.718750,3.843750,1.066104,552000
1993-03-10,3.906250,4.046875,3.906250,4.031250,1.118109,1170400
1993-03-11,4.015625,4.109375,4.000000,4.093750,1.135444,399200
1993-03-12,4.062500,4.125000,4.015625,4.109375,1.139778,238400
1993-03-15,4.109375,4.125000,4.031250,4.046875,1.122443,293600
1993-03-16,4.031250,4.031250,3.781250,3.906250,1.083439,689600
1993-03-17,3.890625,4.062500,3.890625,4.031250,1.118109,278400
1993-03-18,4.031250,4.046875,3.937500,3.984375,1.105108,200800
1993-03-19,3.953125,3.968750,3.906250,3.953125,1.096441,146400
1993-03-22,3.937500,3.953125,3.921875,3.953125,1.102016,114400
1993-03-23,3.953125,4.000000,3.937500,3.984375,1.110727,84000
1993-03-24,3.968750,4.000000,3.968750,3.968750,1.106372,96800
1993-03-25,3.984375,4.062500,3.968750,4.062500,1.132506,262400
1993-03-26,4.078125,4.343750,4.078125,4.218750,1.176065,852000
1993-03-29,4.250000,4.296875,4.234375,4.296875,1.197844,261600
1993-03-30,4.343750,4.453125,4.343750,4.437500,1.237046,427200
1993-03-31,4.437500,4.593750,4.437500,4.562500,1.271892,279200
1993-04-01,4.593750,4.593750,4.437500,4.484375,1.250113,272000
1993-04-02,4.453125,4.500000,4.406250,4.437500,1.237046,125600
1993-04-05,4.421875,4.437500,4.421875,4.421875,1.232689,51200
1993-04-06,4.453125,4.562500,4.453125,4.515625,1.258825,522400
1993-04-07,4.515625,4.546875,4.500000,4.546875,1.267536,285600
1993-04-08,4.562500,4.625000,4.562500,4.625000,1.289315,347200
1993-04-12,4.656250,4.703125,4.625000,4.656250,1.298027,48800
1993-04-13,4.640625,4.687500,4.578125,4.578125,1.276248,105600
