Date,Open,High,Low,Close,Adj Close,Volume
2007-05-25,20.010000,20.100000,20.000000,20.000000,3.599500,61200
2007-05-29,20.080000,20.299999,20.080000,20.190001,3.633695,22800
2007-05-30,20.219999,20.299999,20.150000,20.299999,3.653491,17100
2007-05-31,20.299999,20.490000,20.209999,20.490000,3.687689,10100
2007-06-01,20.700001,20.719999,20.400000,20.600000,3.707487,22000
2007-06-04,20.500000,20.500000,20.299999,20.480000,3.685888,20900
2007-06-05,20.480000,20.490000,20.400000,20.410000,3.673290,11800
2007-06-06,20.459999,20.490000,20.200001,20.200001,3.635494,20700
2007-06-07,20.299999,20.400000,20.200001,20.400000,3.671490,10800
2007-06-08,20.400000,20.400000,20.209999,20.260000,3.646295,23800
2007-06-11,20.260000,20.260000,20.200001,20.250000,3.644493,6200
2007-06-12,20.250000,20.389999,20.250000,20.389999,3.669690,12800
2007-06-13,20.299999,20.299999,20.049999,20.200001,3.635494,15300
2007-06-14,20.299999,20.400000,20.150000,20.160000,3.628296,9000
2007-06-15,20.100000,20.200001,20.010000,20.200001,3.635494,4400
2007-06-18,20.299999,20.299999,20.100000,20.150000,3.626495,4500
2007-06-19,20.250000,20.250000,20.150000,20.150000,3.626495,5400
2007-06-20,20.250000,20.299999,20.250000,20.299999,3.653491,8000
2007-06-21,20.350000,20.500000,20.350000,20.500000,3.689487,8100
2007-06-22,20.500000,20.500000,20.059999,20.100000,3.617497,9600
2007-06-25,20.110001,20.110001,19.459999,19.469999,3.504112,48900
2007-06-26,19.450001,19.740000,19.450001,19.709999,3.547307,46500
2007-06-27,19.700001,19.750000,19.690001,19.709999,3.547307,25500
2007-06-28,19.750000,19.900000,19.750000,19.900000,3.581502,14100
2007-06-29,19.870001,19.900000,19.850000,19.900000,3.581502,9300
2007-07-02,19.750000,19.750000,19.350000,19.600000,3.527509,20000
2007-07-03,19.600000,19.700001,19.600000,19.700001,3.545508,4200
2007-07-05,19.600000,19.750000,19.600000,19.750000,3.554506,9600
2007-07-06,19.650000,19.700001,19.600000,19.620001,3.531109,11000
2007-07-09,19.600000,19.850000,19.600000,19.650000,3.536508,17200
2007-07-10,19.620001,19.700001,19.590000,19.680000,3.541908,29100
2007-07-11,19.620001,19.700001,19.610001,19.660000,3.538310,8500
2007-07-12,19.670000,20.049999,19.620001,19.750000,3.554506,15500
2007-07-13,20.000000,20.000000,19.719999,19.910000,3.583301,8200
2007-07-16,19.900000,19.900000,19.750000,19.760000,3.556306,14400
2007-07-17,19.700001,19.799999,19.629999,19.629999,3.532909,12100
2007-07-18,19.600000,19.639999,19.000000,19.100000,3.437523,28600
2007-07-19,19.100000,19.100000,18.549999,18.750000,3.374532,19900
2007-07-20,18.700001,18.700001,18.260000,18.410000,3.313340,13600
2007-07-23,18.500000,18.500000,18.250000,18.459999,3.322338,13500
2007-07-24,18.459999,18.650000,17.680000,17.760000,3.196356,41200
2007-07-25,17.799999,17.799999,16.750000,17.150000,3.086571,43500
2007-07-26,17.150000,17.490000,16.200001,17.490000,3.147762,36500
2007-07-27,17.450001,17.760000,16.450001,16.990000,3.057776,25900
2007-07-30,17.000000,17.000000,15.480000,16.600000,2.987585,52900
2007-07-31,16.450001,17.250000,16.400000,16.850000,3.032579,46700
2007-08-01,16.750000,17.350000,16.100000,16.410000,2.953389,43700
2007-08-02,16.410000,16.450001,15.010000,16.049999,2.888599,59100
2007-08-03,16.250000,16.250000,15.530000,15.850000,2.852603,32500
2007-08-06,15.800000,16.150000,15.350000,16.100000,2.897598,49000
2007-08-07,16.000000,16.830000,15.850000,16.830000,3.028979,38600
