Date,Open,High,Low,Close,Adj Close,Volume
1992-12-10,2.986111,4.583333,2.986111,4.305556,3.624118,2422800
1992-12-11,4.305556,4.479167,4.236111,4.340278,3.653344,2041920
1992-12-14,4.444444,5.208333,4.305556,5.208333,4.384012,1091160
1992-12-15,5.069444,6.180556,5.069444,5.902778,4.968548,913680
1992-12-16,6.180556,6.319444,5.902778,6.111111,5.143909,804600
1992-12-17,6.111111,6.805556,6.111111,6.666667,5.611536,859680
1992-12-18,6.527778,6.666667,6.180556,6.388889,5.377723,916920
1992-12-21,6.250000,6.597222,6.250000,6.388889,5.377723,143280
1992-12-22,6.458333,6.458333,6.215278,6.388889,5.377723,545040
1992-12-23,6.388889,6.527778,6.180556,6.388889,5.377723,347400
1992-12-24,6.388889,6.597222,6.319444,6.597222,5.553083,150480
1992-12-28,6.388889,6.597222,6.388889,6.388889,5.377723,45720
1992-12-29,6.388889,6.597222,6.180556,6.180556,5.202362,331200
1992-12-30,6.180556,6.319444,5.694444,5.694444,4.793187,1188720
1992-12-31,5.902778,6.180556,5.833333,6.041667,5.085455,156960
1993-01-04,5.833333,5.868056,5.347222,5.555556,4.676282,1275840
1993-01-05,5.555556,6.111111,5.416667,6.111111,5.143909,347400
1993-01-06,6.041667,6.597222,5.972222,6.597222,5.553083,378000
1993-01-07,6.666667,6.944444,6.458333,6.736111,5.669990,1319040
1993-01-08,6.736111,6.875000,6.666667,6.805556,5.728444,1187280
1993-01-11,6.736111,6.805556,6.666667,6.666667,5.611536,1124640
1993-01-12,6.805556,6.805556,6.597222,6.666667,5.611536,518760
1993-01-13,6.736111,6.736111,6.527778,6.562500,5.523857,445320
1993-01-14,6.458333,6.666667,6.388889,6.527778,5.494629,1250640
1993-01-15,6.527778,7.013889,6.527778,6.944444,5.845350,551160
1993-01-18,7.083333,7.361111,6.944444,7.361111,6.196072,554400
1993-01-19,7.291667,8.263889,7.291667,8.055556,6.780607,1640880
1993-01-20,7.847222,8.125000,7.708333,7.777778,6.546793,881280
1993-01-21,7.708333,7.847222,7.361111,7.430556,6.254525,763200
1993-01-22,7.708333,8.194444,7.708333,8.125000,6.839060,1344240
1993-01-25,8.125000,8.333333,8.125000,8.333333,7.014420,460080
1993-01-26,8.333333,8.333333,8.125000,8.125000,6.839060,373320
1993-01-27,8.263889,8.263889,7.291667,7.500000,6.312979,885240
