Date,Open,High,Low,Close,Adj Close,Volume
2012-04-27,20.000000,20.030001,19.990000,20.020000,7.332207,88100
2012-04-30,20.020000,20.110001,20.000000,20.080000,7.354186,16400
2012-05-01,20.080000,20.120001,20.000000,20.030001,7.335869,89200
2012-05-02,20.049999,20.080000,20.000000,20.049999,7.343197,73400
2012-05-03,20.030001,20.110001,20.020000,20.020000,7.332207,66000
2012-05-04,20.049999,20.110001,19.950001,19.950001,7.306572,75400
2012-05-07,20.030001,20.100000,19.990000,20.059999,7.346860,40000
2012-05-08,20.139999,20.150000,20.000000,20.049999,7.343197,57700
2012-05-09,20.049999,20.129999,20.049999,20.110001,7.365174,31100
2012-05-10,20.139999,20.190001,20.100000,20.160000,7.383479,58300
2012-05-11,20.190001,20.420000,20.190001,20.290001,7.431092,35000
2012-05-14,20.299999,20.299999,20.010000,20.150000,7.379818,46600
2012-05-15,20.150000,20.150000,19.950001,20.010000,7.328544,40000
2012-05-16,20.020000,20.090000,20.020000,20.080000,7.354186,28500
2012-05-17,20.030001,20.370001,20.000000,20.030001,7.335869,76400
2012-05-18,20.080000,20.080000,19.900000,19.969999,7.313896,50100
2012-05-21,19.969999,19.969999,19.879999,19.959999,7.310233,79200
2012-05-22,19.950001,19.980000,19.920000,19.950001,7.306572,46800
2012-05-23,19.950001,20.059999,19.900000,20.049999,7.343197,59000
2012-05-24,20.040001,20.040001,19.900000,19.980000,7.317559,60000
2012-05-25,19.950001,20.000000,19.950001,20.000000,7.324882,81800
2012-05-29,19.980000,19.980000,19.850000,19.930000,7.299242,96700
2012-05-30,19.900000,19.910000,19.799999,19.900000,7.288259,110600
2012-05-31,19.950001,20.090000,19.900000,20.090000,7.357846,108000
2012-06-01,19.950001,20.209999,19.850000,20.209999,7.401796,85400
2012-06-04,20.100000,20.100000,19.950001,20.049999,7.343197,127100
2012-06-05,20.030001,20.030001,19.900000,19.950001,7.306572,70600
2012-06-06,19.559999,19.730000,19.350000,19.620001,7.185710,450400
2012-06-07,19.629999,19.700001,19.340000,19.549999,7.160080,279200
2012-06-08,19.450001,20.350000,19.450001,19.700001,7.215012,97000
2012-06-11,19.700001,19.790001,19.309999,19.360001,7.090485,140600
2012-06-12,19.370001,19.600000,19.299999,19.520000,7.149085,113300
2012-06-13,19.540001,19.690001,19.469999,19.500000,7.141759,65000
2012-06-14,19.600000,19.790001,19.500000,19.570000,7.167397,53400
2012-06-15,19.610001,19.780001,19.600000,19.770000,7.240645,42200
2012-06-18,19.500000,19.830000,19.500000,19.790001,7.293350,121900
2012-06-19,19.760000,19.799999,19.639999,19.750000,7.278605,67500
2012-06-20,19.750000,19.780001,19.469999,19.559999,7.208584,101200
2012-06-21,19.600000,19.930000,19.100000,19.350000,7.131192,130000
2012-06-22,19.379999,19.600000,19.260000,19.430000,7.160675,126400
2012-06-25,19.420000,19.510000,19.240000,19.299999,7.112764,73900
2012-06-26,19.270000,19.400000,19.240000,19.370001,7.138564,59800
2012-06-27,19.370001,19.820000,19.370001,19.820000,7.304404,71700
2012-06-28,19.840000,19.840000,19.350000,19.480000,7.179106,77900
2012-06-29,19.860001,19.870001,19.600000,19.750000,7.278605,69800
2012-07-02,19.780001,19.870001,19.709999,19.820000,7.304404,49500
2012-07-03,19.840000,19.990000,19.840000,19.900000,7.333886,33200
2012-07-05,19.889999,19.950001,19.730000,19.900000,7.333886,62000
2012-07-06,19.799999,20.059999,19.799999,20.049999,7.389168,69600
2012-07-09,20.059999,20.080000,19.680000,19.950001,7.352314,72100
2012-07-10,19.930000,20.000000,19.680000,19.990000,7.367058,89000
2012-07-11,19.990000,20.080000,19.900000,20.000000,7.370740,73400
2012-07-12,19.959999,20.059999,19.959999,20.049999,7.389168,56000
2012-07-13,20.070000,20.110001,19.750000,20.100000,7.407592,71600
2012-07-16,20.120001,20.150000,19.900000,19.959999,7.355999,53600
