Date,Open,High,Low,Close,Adj Close,Volume
1996-07-19,6.250000,6.750000,6.000000,6.187500,5.698842,5494400
1996-07-22,6.312500,6.312500,5.968750,6.000000,5.526150,1142400
1996-07-23,6.000000,6.125000,5.250000,5.250000,4.835382,1391800
1996-07-24,5.125000,5.125000,5.000000,5.000000,4.605125,201800
1996-07-25,5.062500,5.750000,5.062500,5.562500,5.123202,491400
1996-07-26,5.875000,6.125000,5.750000,6.000000,5.526150,324400
1996-07-29,6.125000,6.187500,6.000000,6.125000,5.641277,164800
1996-07-30,6.000000,6.187500,6.000000,6.000000,5.526150,90400
1996-07-31,6.125000,6.125000,5.937500,6.062500,5.583715,267400
1996-08-01,6.062500,6.062500,5.812500,6.062500,5.583715,161600
1996-08-02,5.937500,6.625000,5.937500,6.500000,5.986661,211000
1996-08-05,6.375000,6.437500,6.125000,6.187500,5.698842,135800
1996-08-06,6.125000,6.375000,6.125000,6.375000,5.871535,212200
1996-08-07,6.375000,6.937500,6.312500,6.937500,6.389612,561400
1996-08-08,7.125000,9.187500,7.000000,9.187500,8.461918,965400
1996-08-09,9.062500,9.187500,8.625000,8.625000,7.943840,579200
1996-08-12,8.750000,9.625000,8.687500,9.625000,8.864870,365400
1996-08-13,9.562500,9.625000,8.812500,8.812500,8.116534,506000
1996-08-14,8.937500,8.937500,8.750000,8.875000,8.174098,92800
1996-08-15,8.875000,9.187500,8.750000,9.187500,8.461918,89400
1996-08-16,9.187500,9.187500,9.062500,9.062500,8.346792,23200
1996-08-19,9.000000,9.062500,8.750000,8.750000,8.058969,29800
1996-08-20,8.687500,8.687500,8.375000,8.375000,7.713583,17800
1996-08-21,8.187500,8.187500,7.687500,7.875000,7.253074,197800
1996-08-22,7.937500,9.125000,7.937500,9.125000,8.404356,116200
1996-08-23,8.875000,9.187500,8.875000,9.062500,8.346792,73000
1996-08-26,8.750000,8.875000,8.312500,8.375000,7.713583,86800
1996-08-27,8.187500,8.250000,8.000000,8.125000,7.483330,57200
1996-08-28,8.437500,9.125000,8.437500,8.937500,8.231663,119800
1996-08-29,8.937500,9.000000,8.875000,8.875000,8.174098,145600
1996-08-30,9.000000,9.062500,8.687500,9.062500,8.346792,129800
1996-09-03,8.812500,9.250000,8.812500,9.062500,8.346792,108600
1996-09-04,9.250000,9.250000,9.062500,9.062500,8.346792,58800
1996-09-05,9.125000,9.125000,9.062500,9.125000,8.404356,150200
1996-09-06,9.062500,9.125000,9.062500,9.125000,8.404356,3400
1996-09-09,9.125000,11.437500,9.062500,11.187500,10.303967,711000
1996-09-10,11.125000,11.312500,11.125000,11.187500,10.303967,221200
1996-09-11,11.187500,11.250000,11.000000,11.062500,10.188841,136200
1996-09-12,11.125000,11.125000,10.937500,10.937500,10.073712,123000
1996-09-13,11.000000,11.000000,10.750000,10.750000,9.901021,142800
1996-09-16,11.250000,11.750000,11.187500,11.625000,10.706918,357400
1996-09-17,11.875000,12.625000,11.562500,11.562500,10.649351,141200
1996-09-18,11.750000,12.125000,11.687500,11.875000,10.937171,269000
1996-09-19,12.125000,12.500000,12.000000,12.500000,11.512815,64000
1996-09-20,12.500000,12.500000,12.062500,12.125000,11.167430,272800
1996-09-23,12.062500,12.125000,11.875000,11.937500,10.994740,53400
1996-09-24,11.937500,12.062500,11.750000,11.750000,10.822043,11600
1996-09-25,11.812500,12.062500,11.812500,12.000000,11.052299,83400
1996-09-26,12.187500,13.375000,12.187500,13.250000,12.203586,388800
1996-09-27,13.375000,13.375000,13.000000,13.000000,11.973323,576400
1996-09-30,13.062500,13.500000,13.000000,13.000000,11.973323,236600
1996-10-01,13.125000,13.250000,13.062500,13.187500,12.146017,203400
1996-10-02,13.125000,15.375000,13.125000,15.375000,14.160756,359600
1996-10-03,15.500000,15.562500,15.062500,15.250000,14.045630,162000
1996-10-04,15.437500,15.437500,15.187500,15.312500,14.103201,62400
1996-10-07,15.375000,15.375000,14.875000,14.937500,13.757810,87000
1996-10-08,14.937500,15.875000,14.812500,15.875000,14.621271,52400
1996-10-09,16.000000,16.375000,16.000000,16.187500,14.909093,160800
1996-10-10,16.187500,17.312500,16.000000,17.000000,15.657434,240200
1996-10-11,17.000000,17.000000,16.687500,16.687500,15.369606,144200
1996-10-14,16.687500,17.000000,16.687500,16.750000,15.427167,471200
1996-10-15,16.875000,16.875000,16.625000,16.875000,15.542293,292000
1996-10-16,16.875000,16.875000,16.750000,16.750000,15.427167,50800
1996-10-17,16.812500,16.812500,16.562500,16.625000,15.312043,565000
