Date,Open,High,Low,Close,Adj Close,Volume
2021-12-08,16.400000,17.000000,15.800000,16.490000,13.104301,1261900
2021-12-09,16.030001,16.590000,16.000000,16.000000,12.714908,482900
2021-12-10,16.180000,16.299999,16.100000,16.250000,12.913578,97200
2021-12-13,16.540001,16.549999,15.950000,16.290001,12.945366,235700
2021-12-14,16.549999,16.549999,15.980000,16.059999,12.762588,70700
2021-12-15,16.040001,16.370001,15.840000,16.000000,12.714908,125100
2021-12-16,16.040001,16.195000,15.800000,16.000000,12.714908,139900
2021-12-17,16.120001,16.150000,15.500000,16.150000,12.834110,93500
2021-12-20,15.880000,16.150000,15.870000,16.010000,12.722855,20400
2021-12-21,16.830000,17.000000,15.950000,16.020000,12.730801,57100
2021-12-22,16.010000,16.100000,15.990000,16.000000,12.714908,41000
2021-12-23,16.010000,16.115000,15.990000,16.025000,12.734774,52600
2021-12-27,16.145000,16.145000,16.000000,16.059999,12.762588,7700
2021-12-28,16.020000,16.065001,16.020000,16.040001,12.746696,20600
2021-12-29,16.030001,16.180000,16.000000,16.059999,12.762588,127700
2021-12-30,16.094999,16.180000,16.049999,16.059999,12.762588,20400
2021-12-31,16.780001,16.780001,16.200001,16.650000,13.231449,15600
2022-01-03,17.480000,17.480000,16.700001,16.950001,13.469856,96900
2022-01-04,17.530001,17.530001,16.799999,17.120001,13.604951,85300
2022-01-05,17.010000,17.204000,16.910000,17.100000,13.589057,74000
2022-01-06,17.010000,17.490000,17.010000,17.250000,13.708260,60900
2022-01-07,17.270000,17.500000,17.270000,17.330000,13.771834,23400
2022-01-10,17.629999,17.830000,17.100000,17.530001,13.930770,25700
2022-01-11,17.600000,17.981001,17.530001,17.830000,14.169176,37300
2022-01-12,18.110001,18.152000,17.650000,17.760000,14.113546,133100
2022-01-13,18.000000,18.090000,17.750000,18.030001,14.328112,131400
2022-01-14,18.250000,18.500000,17.799999,18.280001,14.526783,85800
2022-01-18,18.730000,18.730000,18.242001,18.450001,14.661879,76600
2022-01-19,20.290001,20.290001,18.500000,18.760000,14.908228,90000
2022-01-20,19.340000,20.215000,18.610001,19.510000,15.504242,110600
2022-01-21,19.780001,19.879999,18.309999,18.950001,15.059218,78500
2022-01-24,18.950001,19.400000,18.320000,18.990000,15.091006,65500
2022-01-25,18.740000,19.000000,18.625000,18.780001,14.924123,22000
2022-01-26,18.600000,19.180000,18.600000,18.690001,14.852603,12900
2022-01-27,18.610001,18.990000,18.309999,18.500000,14.701613,24900
2022-01-28,18.844999,18.979000,18.500000,18.930000,15.043324,33500
2022-01-31,18.959999,19.040001,18.629999,19.000000,15.098953,19800
